Polling Station,Number of Valid votes cast in favour of,,,,,,,,Total of Valid Votes,Total of Rejected Votes,NOTA (NONE OF THE ABOVE),Total,No of Tendered Votes
,Chudasama Rajeshbhai Naranbhai,Punjabhai Bhimabhai Vainsh,Atul Govindbhai Shekhda,Kadri Ibrahim saiyad Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Husenbhai,Saiyad Altafhusen Abdulahmiya,Harilal Ranchhodbhai Chauhan,,,,,
1,270,117,8,2,2,0,3,0,402,0,6,408,0
2,172,257,5,1,2,2,5,2,446,0,12,458,0
3,435,155,2,1,2,4,4,3,606,0,36,642,0
4,433,100,3,1,1,0,1,4,543,0,9,552,0
5,220,184,6,0,0,1,4,10,425,0,13,438,0
6,254,263,9,0,0,1,4,1,532,0,3,535,0
7,64,281,5,0,0,0,9,2,361,0,4,365,0
8,558,210,5,0,0,0,1,0,774,0,2,776,0
9,93,465,2,4,1,0,2,5,572,0,5,577,0
10,174,220,1,0,0,0,0,2,397,0,4,401,0
11,672,43,3,3,1,1,0,3,726,0,13,739,0
12,507,114,5,2,1,1,1,2,633,0,8,641,0
13,505,136,6,0,0,0,0,1,648,0,8,656,0
14,343,38,4,1,0,1,1,3,391,0,10,401,0
15,368,44,0,1,0,0,0,1,414,0,9,423,0
16,54,628,6,1,3,0,1,10,703,0,5,708,0
17,17,775,8,1,1,1,1,9,813,0,11,824,0
18,15,846,7,2,1,2,3,13,889,0,5,894,0
19,52,806,6,0,1,0,2,3,870,0,4,874,0
20,12,395,2,0,0,0,0,1,410,0,1,411,0
21,14,669,3,2,2,1,1,14,706,0,4,710,0
22,6,581,9,1,0,1,0,11,609,0,3,612,0
23,319,321,4,0,0,0,2,4,650,0,5,655,0
24,11,571,2,0,0,0,0,2,586,0,2,588,0
25,198,553,8,1,0,0,1,9,770,0,4,774,0
26,366,139,3,1,3,0,1,4,517,0,13,530,0
27,372,224,4,0,2,0,2,6,610,0,6,616,0
28,580,62,6,1,0,0,0,2,651,0,15,666,0
29,379,149,9,1,1,0,1,2,542,0,6,548,0
30,164,134,3,1,0,0,1,2,305,0,5,310,0
31,41,685,8,3,2,0,2,17,758,0,9,767,0
32,25,625,9,3,3,1,1,9,676,0,5,681,0
33,8,968,5,0,0,0,3,1,985,0,1,986,0
34,29,954,14,1,1,3,2,19,1023,0,8,1031,0
35,59,660,9,1,3,2,2,6,742,0,14,756,0
36,119,611,7,5,2,1,1,10,756,0,13,769,0
37,39,448,6,0,0,1,2,5,501,0,7,508,0
38,29,726,7,0,0,1,1,3,767,0,8,775,0
39,32,413,3,1,1,0,2,5,457,0,6,463,0
40,11,742,8,0,2,1,3,6,773,0,5,778,0
41,229,303,9,1,0,1,1,2,546,0,5,551,0
42,134,397,6,0,2,1,1,5,546,0,10,556,0
43,11,725,3,1,0,0,0,6,746,0,2,748,0
44,11,541,7,1,2,0,0,3,565,0,1,566,0
45,11,922,9,2,1,1,2,4,952,0,3,955,0
46,7,817,7,0,0,0,0,11,842,0,5,847,0
47,802,27,2,2,2,2,1,4,842,0,17,859,0
48,831,39,6,2,2,3,1,5,889,0,19,908,0
49,326,8,3,0,0,0,1,1,339,0,7,346,0
