polling station,,,,,,,,,Total of valid Votes,No. of rejected Votes,NOTA,TOTAL,No of Tendered Votes
,Chudasama Rajeshbhai Naranbhai,Punjabhai Bhimabhai Vansh,Atul Govindbhai Shekhada,Kadri Ibrahim Saiyed Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Hushenbhai,Saiyed Altaf Husain Abdullah Miyan,Harilal Ranchhodbhai Chauhan,,,,,
1,438,58,1,0,0,0,0,1,498,0,0,498,0
2,598,15,0,0,0,0,0,0,613,0,0,613,0
3,653,40,4,4,0,4,0,2,707,0,6,713,0
4,553,106,9,2,4,3,2,12,691,0,13,704,0
5,577,40,5,0,1,0,0,2,625,0,6,631,0
6,694,61,1,2,0,0,1,2,761,0,5,766,0
7,141,473,12,2,3,3,1,4,639,0,5,644,0
8,252,434,12,6,4,3,6,6,723,0,10,733,0
9,357,219,8,1,0,3,2,2,592,0,8,600,0
10,532,173,2,0,0,0,1,0,708,0,2,710,0
11,518,192,2,0,1,0,1,3,717,0,4,721,0
12,327,121,6,0,0,0,2,0,456,0,4,460,0
13,880,104,4,0,0,0,0,0,988,0,2,990,0
14,811,110,4,0,0,0,0,0,925,0,0,925,0
15,136,355,13,3,0,2,0,4,513,0,13,526,0
16,282,389,5,3,1,1,2,4,687,0,8,695,0
17,400,50,0,1,0,3,1,2,457,0,1,458,0
18,232,206,7,3,0,1,6,2,457,0,6,463,0
19,384,377,8,0,1,0,0,3,773,0,8,781,0
20,411,305,7,0,1,3,1,2,730,0,4,734,0
21,569,48,1,0,2,1,1,2,624,0,4,628,0
22,440,200,11,0,2,4,0,6,663,0,9,672,0
23,99,779,10,0,0,1,3,3,895,0,3,898,0
24,671,150,9,2,0,0,3,1,836,0,14,850,0
25,135,404,66,3,4,4,5,10,631,0,22,653,0
26,181,551,31,3,5,1,3,5,780,0,11,791,0
27,267,291,24,0,2,4,5,2,595,0,11,606,0
28,300,505,9,2,2,4,6,16,844,0,10,854,0
29,273,30,2,0,1,0,0,1,307,0,6,313,0
30,167,269,8,3,0,3,2,1,453,0,4,457,0
31,186,143,10,1,3,1,5,1,350,0,1,351,0
32,377,372,10,3,1,0,1,6,770,0,5,775,0
33,252,266,3,0,0,0,2,0,523,0,3,526,0
34,568,69,1,0,0,0,0,1,639,0,1,640,0
35,202,379,4,1,1,0,1,2,590,0,6,596,0
36,162,410,1,1,0,1,1,3,579,0,3,582,0
37,303,148,2,3,0,0,1,3,460,0,4,464,0
38,271,206,2,0,0,0,0,2,481,0,1,482,0
39,119,191,2,0,0,0,2,2,316,0,3,319,0
40,94,434,1,0,1,0,0,0,530,0,2,532,0
41,295,201,16,9,17,1,4,8,551,0,14,565,0
42,412,401,8,0,0,0,1,2,824,0,4,828,0
43,981,76,5,1,1,0,1,1,1066,0,5,1071,0
44,361,62,0,1,0,1,0,0,425,0,3,428,0
45,595,58,1,0,2,2,1,2,661,0,8,669,0
46,645,99,3,0,0,1,2,1,751,0,8,759,0
47,163,432,2,2,0,0,2,3,604,0,6,610,0
48,397,253,10,1,2,4,3,7,677,0,16,693,0
49,651,139,4,2,0,3,1,4,804,0,5,809,0
50,62,760,18,3,2,5,4,11,865,0,17,882,0
51,33,489,3,1,0,1,0,4,531,0,8,539,0
52,80,667,25,2,1,0,3,2,780,0,2,782,0
53,609,114,4,0,0,1,0,0,728,0,2,730,0
54,480,54,2,0,0,1,0,0,537,0,11,548,0
55,480,48,6,1,0,0,2,2,539,0,7,546,0
56,293,122,3,0,0,0,0,2,420,0,2,422,0
57,29,26,0,0,0,0,0,0,55,0,1,56,0
58,476,207,11,5,2,0,0,1,702,0,4,706,0
59,554,211,10,0,1,0,0,3,779,0,10,789,0
60,611,95,4,1,0,1,0,1,713,0,9,722,0
61,751,72,5,0,0,1,2,3,834,0,14,848,0
62,793,106,6,0,0,0,0,1,906,0,14,920,0
63,695,66,6,0,3,0,0,0,770,0,20,790,0
64,361,71,3,0,2,0,1,0,438,0,2,440,0
65,544,87,2,1,1,1,0,4,640,0,10,650,0
66,730,111,6,0,0,0,1,3,851,0,8,859,0
67,508,55,4,1,0,0,0,3,571,0,9,580,0
68,656,132,5,4,0,0,0,3,800,0,11,811,0
69,428,70,6,3,0,0,0,2,509,0,3,512,0
70,697,144,16,5,2,1,1,7,873,0,18,891,0
71,545,81,5,0,1,0,0,5,637,0,5,642,0
72,742,43,9,1,0,0,0,3,798,0,8,806,0
73,652,65,11,1,1,1,1,1,733,0,10,743,0
74,1112,30,3,0,0,1,2,2,1150,0,3,1153,0
75,851,64,5,1,0,2,1,1,925,0,2,927,0
76,719,60,2,0,1,0,0,1,783,0,8,791,0
77,781,78,1,1,0,0,1,0,862,0,9,871,0
78,627,65,3,1,0,1,0,0,697,0,6,703,0
79,636,52,5,0,0,0,0,0,693,0,5,698,0
80,890,42,7,0,0,0,0,1,940,0,1,941,0
81,482,46,0,1,0,0,1,0,530,0,5,535,0
82,681,62,10,1,0,1,1,5,761,0,14,775,0
83,645,58,2,1,1,1,0,1,709,0,7,716,0
84,645,63,9,0,0,0,0,2,719,0,9,728,0
85,13,656,3,2,0,1,2,5,682,0,2,684,0
86,884,35,4,3,2,1,0,1,930,0,9,939,0
87,897,85,5,0,0,0,0,0,987,0,9,996,0
88,1125,59,3,2,1,0,2,6,1198,0,28,1226,0
89,460,42,1,0,0,0,0,0,503,0,8,511,0
90,643,113,13,1,1,0,0,0,771,0,7,778,0
91,863,79,7,1,2,0,2,0,954,0,9,963,0
92,619,62,3,0,2,0,0,1,687,0,11,698,0
93,979,87,2,1,0,1,1,7,1078,0,9,1087,0
94,870,63,9,0,1,0,1,0,944,0,7,951,0
95,944,23,4,1,1,0,2,6,981,0,18,999,0
96,292,167,7,1,0,1,0,1,469,0,7,476,0
97,415,217,16,2,1,0,2,6,659,0,9,668,0
98,518,49,2,0,1,1,2,3,576,0,7,583,0
99,576,61,3,0,0,0,0,1,641,0,6,647,0
100,348,18,0,0,0,0,2,0,368,0,4,372,0
101,580,61,3,1,0,0,0,1,646,0,4,650,0
102,386,59,3,0,0,0,0,2,450,0,8,458,0
103,453,51,1,1,0,0,1,0,507,0,4,511,0
104,835,21,1,2,0,0,2,8,869,0,28,897,0
105,858,17,6,0,1,1,1,6,890,0,25,915,0
106,978,29,2,5,5,3,6,9,1037,0,52,1089,0
107,1026,23,6,5,1,3,3,5,1072,0,20,1092,0
108,552,18,2,1,1,2,0,9,585,0,10,595,0
109,669,10,0,1,1,1,2,2,686,0,11,697,0
110,461,14,1,1,0,0,3,4,484,0,27,511,0
111,798,13,1,0,1,1,2,3,819,0,16,835,0
112,1009,22,1,0,2,0,2,4,1040,0,19,1059,0
113,355,182,4,0,1,0,1,3,546,0,10,556,0
114,560,66,5,2,0,0,3,5,641,0,15,656,0
115,81,849,25,1,1,3,4,8,972,0,2,974,0
116,27,576,16,3,1,3,4,5,635,0,9,644,0
117,645,31,1,0,0,1,2,3,683,0,14,697,0
118,632,13,1,1,0,1,0,2,650,0,6,656,0
119,881,14,3,2,1,4,2,2,909,0,17,926,0
120,345,440,6,2,0,1,2,3,799,0,9,808,0
