Polling Station,,Number of Valid votes cast in favour of,,,,,,,,Total of Valid Votes,Total of Rejected Votes,NOTA (NONE OF THE ABOVE),Total,No of Tendered Votes
,Name,Chudasama Rajeshbhai Naranbhai,Punjabhai Bhimabhai Vainsh,Atul Govindbhai Shekhda,Kadri Ibrahim saiyad Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Husenbhai,Saiyad Altafhusen Abdulahmiya,Harilal Ranchhodbhai Chauhan,,,,,
1,DEVALIYA,1,1,0,0,0,0,0,0,2,0,0,2,0
2,HIRANVEL,277,216,4,0,1,3,1,12,514,0,16,530,0
3,DUDHALA,45,4,3,1,2,0,0,0,55,0,7,62,0
4,KANSIYA,60,52,3,3,0,0,2,2,122,0,5,127,0
5,BHALCHEL,279,253,13,1,0,1,2,10,559,0,15,574,0
6,HARIPUR-1,308,127,4,0,0,0,3,2,444,0,5,449,0
7,HARIPUR-2,133,193,4,1,0,0,0,4,335,0,2,337,0
8,BAKULA DHANEJ-1,538,332,3,0,1,1,2,3,880,0,8,888,0
9,BAKULA DHANEJ-2,504,260,3,3,0,0,1,8,779,0,12,791,0
10,SEMARVAV-1,236,114,1,0,0,0,0,2,353,0,4,357,0
11,SEMARVAV-2,219,345,11,0,4,0,1,9,589,0,14,603,0
12,SEMARVAV-3,94,322,4,2,0,2,0,6,430,0,7,437,0
13,UMRETHI-1,295,290,7,2,0,0,1,4,599,0,4,603,0
14,UMRETHI-2,186,173,5,0,0,0,1,1,366,0,1,367,0
15,KHIRDHAR,548,358,7,0,0,1,0,3,917,0,9,926,0
16,JEPUR-1,156,184,2,1,0,1,1,1,346,0,5,351,0
17,JEPUR-2,206,194,3,0,0,1,0,3,407,0,3,410,0
18,CHITRAVAD-1,148,245,17,3,0,0,0,1,414,0,4,418,0
19,CHITRAVAD-2,120,215,10,1,0,0,1,6,353,0,8,361,0
20,CHITRAVAD-3,59,327,9,1,0,0,0,4,400,0,2,402,0
21,CHITRAVAD-4,50,216,4,1,0,1,0,2,274,0,4,278,0
22,SANGODRA,184,419,13,4,1,1,0,12,634,0,14,648,0
23,CHITROD,379,310,19,2,3,1,0,11,725,0,6,731,0
24,SASAN-1,289,368,10,3,0,2,4,4,680,0,33,713,0
25,SASAN-2,263,260,13,2,2,3,0,1,544,0,7,551,0
26,MALJINGVA-1,278,214,2,0,1,0,0,2,497,0,7,504,0
27,MALJINGVA-2,237,274,0,1,0,0,1,1,514,0,1,515,0
28,GHUNSIYA-1,515,148,2,0,0,1,1,1,668,0,8,676,0
29,GHUNSIYA-2,259,431,8,0,3,0,1,10,712,0,10,722,0
30,GHUNSIYA-3,368,310,10,1,2,2,2,6,701,0,11,712,0
31,GHUNSIYA-4,335,240,10,3,1,2,2,3,596,0,20,616,0
32,GALIYAVAD,319,245,3,2,0,0,2,3,574,0,4,578,0
33,RAMRECHI-1,364,319,15,0,2,0,2,4,706,0,9,715,0
