Polling Station,,,,,,,,,valid,rejected,NOTA,Total,No of Tendered Votes
,ChudasamaRaje shbhai Naranbhai,Punjabhai Bhimabhai Vainsh,Atul Govindbhai Shekhda,Kadri Ibrahim saiyad Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Husenbhai,Saiyad Altafhusen Abdulahmiya,Harilal Ranchhodbhai Chauhan,,,,,
1,316,194,14,1,2,0,0,4,531,0,21,552,0
2,287,163,5,0,1,0,1,3,460,0,6,466,0
3,188,146,8,0,2,2,1,2,349,0,9,358,0
4,341,260,5,4,2,2,6,19,639,0,25,664,0
5,235,251,6,2,9,2,2,11,518,0,24,542,0
6,147,432,14,5,108,2,2,10,720,0,10,730,0
7,234,347,6,1,4,2,6,16,616,0,39,655,0
8,191,151,6,2,1,0,3,0,354,0,9,363,0
9,180,157,8,0,1,1,1,3,351,0,7,358,0
10,397,246,8,1,0,4,1,6,663,0,17,680,0
11,251,252,11,3,4,3,6,4,534,0,15,549,0
12,232,293,14,5,2,0,1,3,550,0,10,560,0
13,153,169,7,2,2,2,4,6,345,0,12,357,0
14,186,293,10,1,0,2,1,14,507,0,16,523,0
15,197,244,7,2,1,1,3,6,461,0,17,478,0
16,211,212,2,0,0,1,4,5,435,0,5,440,0
17,205,259,3,3,11,3,2,6,492,0,6,498,0
18,342,147,5,0,1,0,4,5,504,0,6,510,0
19,199,125,4,1,2,2,2,1,336,0,6,342,0
20,229,108,2,2,0,2,1,4,348,0,12,360,0
21,376,206,8,1,1,1,4,12,609,0,25,634,0
22,374,184,4,1,2,1,0,7,573,0,12,585,0
23,376,183,3,2,1,0,4,4,573,0,12,585,0
24,252,402,12,0,11,3,1,6,687,0,11,698,0
25,281,282,7,3,2,0,0,9,584,0,23,607,0
26,58,174,2,0,1,1,0,1,237,0,4,241,0
27,296,447,11,3,5,1,5,12,780,0,14,794,0
28,95,237,11,3,1,1,2,1,351,0,6,357,0
29,188,229,4,0,0,1,1,4,427,0,5,432,0
30,101,159,4,0,2,1,1,6,274,0,4,278,0
31,363,190,2,2,0,3,2,6,568,0,12,580,0
32,305,143,5,0,0,0,1,3,457,0,2,459,0
33,324,152,3,5,1,3,3,6,497,0,8,505,0
34,125,219,3,1,2,1,1,2,354,0,6,360,0
35,133,146,6,0,3,1,1,1,291,0,5,296,0
36,272,119,5,1,0,0,0,0,397,0,4,401,0
37,203,225,4,2,1,0,4,5,444,0,12,456,0
38,402,344,5,0,2,0,0,15,768,0,18,786,0
39,353,112,1,0,2,4,1,0,473,0,5,478,0
40,365,241,8,0,0,2,2,3,621,0,8,629,0
41,375,209,3,2,0,5,1,2,597,0,9,606,0
42,599,187,6,0,0,1,1,5,799,0,11,810,0
43,128,272,3,0,6,0,3,2,414,0,6,420,0
44,120,207,4,2,10,0,1,2,346,0,5,351,0
45,429,226,12,1,4,1,1,5,679,0,5,684,0
46,243,286,4,1,0,4,0,6,544,0,3,547,0
47,275,101,0,0,0,0,2,1,379,0,6,385,0
48,344,135,8,1,2,2,2,3,497,0,10,507,0
49,300,211,6,1,0,2,0,2,522,0,8,530,0
50,189,141,5,3,5,2,0,3,348,0,11,359,0
51,393,152,3,0,4,1,0,2,555,0,9,564,0
52,260,268,10,0,2,2,0,5,547,0,16,563,0
53,300,415,8,1,0,1,3,5,733,0,4,737,0
54,227,458,8,2,3,2,1,5,706,0,14,720,0
55,118,290,5,1,2,2,2,5,425,0,4,429,0
56,135,286,7,1,0,0,0,1,430,0,4,434,0
57,232,254,9,0,1,0,1,2,499,0,4,503,0
58,299,95,7,0,0,2,1,3,407,0,3,410,0
59,299,46,5,0,0,0,0,0,350,0,6,356,0
60,200,447,10,0,1,1,0,8,667,0,11,678,0
61,199,311,8,3,7,3,1,4,536,0,9,545,0
62,209,229,7,2,1,2,1,5,456,0,8,464,0
63,249,285,7,4,1,1,3,11,561,0,15,576,0
64,236,369,11,1,2,2,7,3,631,0,11,642,0
65,125,344,5,1,3,0,3,3,484,0,12,496,0
66,139,200,3,0,6,2,0,5,355,0,13,368,0
67,190,298,10,2,8,1,2,4,515,0,3,518,0
68,239,267,1,2,4,4,0,1,518,0,10,528,0
69,205,259,4,1,0,1,2,2,474,0,0,474,0
70,266,300,13,3,14,3,2,5,606,0,9,615,0
71,210,210,8,1,0,0,0,6,435,0,2,437,0
72,249,192,6,0,0,0,1,2,450,0,10,460,0
73,425,163,6,1,1,0,3,3,602,0,11,613,0
74,268,228,7,2,0,0,1,4,510,0,1,511,0
75,149,173,4,0,2,1,0,2,331,0,3,334,0
76,514,325,13,1,0,1,4,9,867,0,17,884,0
77,281,176,3,1,0,1,3,4,469,0,5,474,0
78,203,403,8,2,0,1,1,10,628,0,13,641,0
79,552,395,9,0,1,1,4,2,964,0,15,979,0
80,670,203,12,2,2,0,1,3,893,0,14,907,0
81,314,180,9,2,0,0,4,2,511,0,10,521,0
82,240,484,6,3,0,0,3,6,742,0,2,744,0
