Polling Station,Number of Valid votes cast in favour of,,,,,,,,Total of Valid Votes,Total of Rejected Votes,NOTA,Total,No of Tendered Votes
,Chudasama Rajeshbhai Naranbhai,Punjabhai Bhimabhai Vansh,Atul Govindbhai Shekhada,Kadri Ibrahim Saiyed Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Hushenbha i,Saiyed Altaf Husain Abdullah Miyan,Harilal Ranchhodb hai Chauhan,,,,,
1,25,25,1,0,0,0,0,2,53,0,2,55,0
2,26,0,0,0,0,0,0,0,26,0,0,26,0
3,1,0,0,0,0,0,0,0,1,0,0,1,0
4,25,55,7,1,0,0,1,2,91,0,4,95,0
5,235,289,6,1,1,0,2,7,541,0,9,550,0
6,126,161,4,0,1,1,1,2,296,0,2,298,0
7,257,227,9,1,3,5,2,7,511,0,11,522,0
8,124,86,0,2,0,0,0,1,213,0,8,221,0
9,475,143,6,1,1,1,2,3,632,0,14,646,0
10,475,240,8,2,0,4,5,2,736,0,13,749,0
11,227,270,15,5,1,4,3,7,532,0,16,548,0
12,204,74,5,0,1,0,2,6,292,0,13,305,0
13,78,92,4,3,0,0,2,3,182,0,3,185,0
14,279,173,18,4,4,2,6,8,494,0,31,525,0
15,472,294,12,2,3,2,4,15,804,0,17,821,0
16,415,317,13,2,0,7,5,17,776,0,20,796,0
17,229,255,9,4,3,1,7,10,518,0,9,527,0
18,185,149,2,2,0,2,1,5,346,0,6,352,0
19,381,280,7,6,1,2,0,5,682,0,12,694,0
20,187,159,5,2,0,3,1,2,359,0,4,363,0
21,271,209,5,2,3,1,1,4,496,0,10,506,0
22,254,367,14,5,1,6,5,7,659,0,22,681,0
23,363,219,8,4,3,2,3,8,610,0,12,622,0
24,149,253,6,2,1,1,3,10,425,0,11,436,0
25,160,185,4,0,1,2,1,5,358,0,2,360,0
26,233,160,5,0,1,0,1,2,402,0,4,406,0
27,297,266,9,2,2,3,0,4,583,0,4,587,0
28,188,336,14,1,2,0,3,6,550,0,3,553,0
29,456,329,6,0,1,0,1,12,805,0,7,812,0
30,208,269,7,0,7,2,1,3,497,0,5,502,0
31,254,170,7,2,1,0,1,5,440,0,13,453,0
32,303,174,8,1,23,1,0,4,514,0,5,519,0
