Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI,DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
1,317,190,5,0,3,1,4,3,0,0,1,0,2,4,530,0,7,537,0
2,300,77,1,0,3,1,0,0,1,1,0,1,4,7,396,0,15,411,0
3,124,149,3,5,1,2,9,2,1,0,2,2,7,1,308,0,9,317,0
4,176,158,4,4,0,0,11,1,0,0,2,2,4,6,368,0,14,382,0
5,248,265,0,0,1,4,10,5,0,1,1,2,7,5,549,0,12,561,0
6,272,271,2,0,1,2,5,2,0,2,3,0,4,9,573,0,12,585,0
7,239,96,2,0,0,1,0,0,1,1,2,0,8,5,355,0,7,362,0
8,180,149,5,0,0,1,2,2,0,1,0,0,6,0,346,0,13,359,0
9,285,179,6,2,1,2,6,2,0,4,0,3,6,7,503,0,5,508,0
10,206,256,7,1,1,2,2,0,1,2,3,3,2,9,495,0,4,499,0
11,172,180,7,1,1,0,2,3,0,1,0,1,2,2,372,0,7,379,0
12,133,282,3,1,0,1,8,2,0,1,2,0,4,4,441,0,12,453,0
13,129,229,3,1,2,2,3,3,1,0,0,2,6,1,382,0,5,387,0
14,296,337,9,0,1,1,15,3,1,1,0,3,10,10,687,0,16,703,0
15,245,129,3,1,0,1,1,0,2,2,1,1,4,1,391,0,9,400,0
16,111,166,3,1,0,3,1,1,2,0,0,1,3,2,294,0,2,296,0
17,116,196,3,0,0,0,12,0,1,0,2,1,2,2,335,0,6,341,0
18,189,132,2,0,2,1,6,0,0,0,4,3,6,7,352,0,9,361,0
