Serial No. of Polling Station,,,,,,,,,,,,,,,valid,rejected,Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
1,136,441,10,1,0,4,2,0,0,1,1,4,8,8,616,0,9,625,0
2,182,101,4,5,1,1,10,1,1,1,4,1,3,4,319,0,6,325,0
3,211,234,6,2,0,2,4,1,0,0,0,2,3,2,467,0,6,473,0
4,90,71,2,0,1,0,1,3,0,0,0,0,4,2,174,0,4,178,0
5,228,381,11,0,4,2,15,1,0,2,3,4,10,8,669,0,15,684,0
6,195,354,10,0,2,0,13,2,1,1,1,4,9,1,593,0,13,606,0
7,163,195,4,2,1,0,4,1,1,1,1,0,3,4,380,0,7,387,0
8,208,252,6,4,1,1,3,1,1,0,2,0,4,1,484,0,3,487,0
9,128,324,11,5,2,0,4,2,1,2,1,4,6,5,495,0,11,506,0
10,88,360,11,2,0,1,3,1,1,0,0,4,8,1,480,0,7,487,0
11,149,314,9,4,1,8,4,2,1,1,2,3,14,6,518,0,11,529,0
12,265,285,1,2,2,0,16,1,1,1,1,0,6,2,583,0,10,593,0
13,333,349,7,1,3,4,5,4,0,2,1,1,4,3,717,0,10,727,0
14,66,278,8,0,0,1,7,3,0,4,0,1,1,5,374,0,8,382,0
15,158,217,2,0,0,0,10,1,2,0,0,0,1,4,395,0,14,409,0
16,208,319,10,1,1,0,7,0,1,0,3,1,5,6,562,0,11,573,0
17,249,385,6,1,3,1,3,0,0,2,1,3,3,3,660,0,13,673,0
18,244,370,12,0,1,1,5,4,2,1,0,0,8,5,653,0,8,661,0
19,352,222,6,0,0,2,10,5,0,4,2,0,9,6,618,0,18,636,0
20,227,191,2,0,0,3,5,2,2,1,0,1,5,2,441,0,10,451,0
21,263,86,3,1,1,0,0,0,0,0,3,1,4,6,368,0,10,378,0
22,232,175,3,3,3,1,1,1,0,2,1,3,7,8,440,0,14,454,0
23,332,321,10,3,1,2,0,2,1,0,1,3,4,9,689,0,12,701,0
24,218,209,13,17,3,1,7,3,0,2,3,3,9,8,496,0,12,508,0
25,212,203,6,16,1,1,6,1,3,1,3,0,7,5,465,0,13,478,0
26,125,243,11,0,1,4,3,1,0,0,1,3,7,7,406,0,9,415,0
