polling station,,,,,,,,,,,,,,,,,Total  of  Valid  Votes,No.of  Rejecte d Votes,NOTA,Total,No. of  tendere d votes,
polling station,GITA  CHETAN  PAUNDA  (ADVOCA TE  GITABA  JADEJA),DR.BHARA TIBEN  DHIRUBH AI SHIYAL,RATHOD  PRAVINBH AI  JINABHAI,DR.KANU BHAI.V.KA LSARIYA,KAGADA  RAMESHB HAI  PUNABHA I,KHADRAN I  ASIMBHAI   PIRBHAI,GOHIL  PRAVINSI NH  DHIRUBH A,GOHEL  BHARATB HAI  BHIMABH AI,JAGDISHB HAI  AMARAB HAI  VEGAD,BHAVES  GHANSHY AMBHAI  RAJYAGU RU,MEHTA  YASHVAN TRAY  ODHAVJIB HAI,MARU  MANHAR BHAI  VALJIBHAI,RASIDKHA N  HASANKH AN  PATHAN,RATHOD  PRAVINSI NH  CHANDRA SINH,VAGHELA  NARENDR ABHAI  SAVAJIBH AI,VEGAD  NATHABH AI(PRAGN ACHAKHS U  CANDIDA TE),,,,,,
1,7,563,102,16,4,1,3,2,3,8,3,2,5,7,25,6,757,0,3,760,0,
2,2,308,34,33,3,1,2,2,0,2,0,0,1,1,1,2,392,0,15,407,0,
3,7,418,116,23,4,0,2,1,0,1,5,3,3,0,76,4,663,0,1,664,0,
4,8,567,53,4,3,2,2,1,2,29,1,2,0,2,3,1,680,0,4,684,0,
5,7,360,83,14,4,0,2,2,1,11,2,2,5,6,6,4,509,0,4,513,0,
6,13,188,84,28,0,0,3,0,3,3,1,0,3,4,4,4,338,0,3,341,0,
7,11,232,40,8,2,2,2,1,2,2,2,1,3,2,54,9,373,0,4,377,0,
8,2,182,98,33,0,0,2,2,0,1,1,0,0,2,2,2,327,0,1,328,0,
9,4,271,27,136,0,1,2,1,0,2,1,1,3,0,1,3,453,0,3,456,0,
10,1,178,132,43,2,5,0,0,1,1,0,3,2,4,1,3,376,0,4,380,0,
11,0,286,27,10,0,0,3,0,0,0,0,0,1,1,2,3,333,0,8,341,0,
12,8,306,184,41,3,1,0,5,3,4,3,2,4,5,7,9,585,0,3,588,0,
13,6,259,188,105,3,1,2,3,3,0,1,6,7,9,6,6,605,0,2,607,0,
14,6,451,37,13,28,1,1,1,1,3,1,2,1,3,3,2,554,0,4,558,0,
15,5,354,56,141,3,2,3,2,3,18,6,2,4,5,6,3,613,0,2,615,0,
16,6,205,52,97,2,0,1,0,7,19,1,3,1,10,3,7,414,0,4,418,0,
17,5,221,111,146,3,0,3,2,7,11,2,1,3,6,7,7,535,0,7,542,0,
18,1,80,45,19,2,0,3,1,0,3,1,1,0,2,2,1,161,0,4,165,0,
19,2,135,42,7,1,0,1,3,0,0,0,0,0,1,10,3,205,0,1,206,0,
20,7,315,89,4,9,3,3,3,1,1,0,3,0,5,5,5,453,0,7,460,0,
21,2,324,35,12,0,2,1,2,1,1,0,0,0,0,0,1,381,0,0,381,0,
22,10,202,19,318,2,0,0,6,3,5,1,1,1,3,2,6,579,0,5,584,0,
23,4,308,34,205,3,5,2,4,10,4,1,2,5,4,3,7,601,0,5,606,0,
24,11,458,172,29,0,2,1,1,0,3,1,3,3,9,9,6,708,0,2,710,0,
25,7,274,96,148,2,0,3,0,0,2,1,0,1,4,1,2,541,0,2,543,0,
26,11,377,165,25,1,1,3,0,3,1,3,5,3,0,3,4,605,0,6,611,0,
27,3,375,96,8,34,1,2,4,0,4,3,3,1,3,6,0,543,0,5,548,0,
28,17,269,160,11,1,0,2,1,1,1,1,6,2,7,3,12,494,0,6,500,0,
29,5,212,158,7,1,0,2,0,1,2,4,0,3,7,6,4,412,0,0,412,0,
30,3,187,195,4,1,1,2,3,2,5,5,3,6,5,3,6,431,0,4,435,0,
31,16,295,196,9,6,1,2,1,1,1,3,2,0,10,16,3,562,0,2,564,0,
32,15,399,255,13,4,0,2,1,0,2,2,5,4,12,15,11,740,0,5,745,0,
33,9,269,147,7,2,0,1,1,2,1,0,3,3,6,2,7,460,0,2,462,0,
34,6,244,234,12,0,1,1,2,0,0,2,1,1,6,3,4,517,0,4,521,0,
35,4,257,196,8,2,2,4,0,1,0,1,2,4,5,2,13,501,0,3,504,0,
36,13,274,151,8,1,1,4,2,1,1,2,3,2,8,5,19,495,0,18,513,0,
37,6,308,95,10,10,2,1,2,3,32,1,3,1,8,2,2,486,0,5,491,0,
38,2,201,97,6,15,1,1,2,2,14,0,3,1,4,5,1,355,0,5,360,0,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,* * * *
39,0,163,88,30,0,4,0,3,2,3,0,1,1,5,2,5,307,0,0,307,0,
40,12,152,180,42,4,2,6,3,2,0,1,2,1,4,3,8,422,0,4,426,0,
41,5,240,28,61,2,0,0,1,2,1,0,1,3,2,7,7,360,0,9,369,0,
42,2,270,24,148,2,0,0,0,4,2,0,0,1,0,3,2,458,0,7,465,0,
43,3,195,20,30,2,1,2,1,0,0,1,0,0,1,3,0,259,0,4,263,0,
44,2,197,52,22,1,0,1,0,0,0,0,1,1,0,0,2,279,0,4,283,0,
45,3,159,62,15,0,2,0,3,2,3,2,3,2,7,11,5,279,0,6,285,0,
46,1,79,25,101,1,0,1,1,2,2,0,0,0,0,8,2,223,0,2,225,0,
47,1,671,29,4,0,0,1,0,1,1,1,0,0,1,0,0,710,0,1,711,0,
48,6,251,114,44,1,2,1,2,1,2,2,0,2,6,3,3,440,0,5,445,0,
49,14,590,153,27,10,3,0,1,2,1,2,2,4,7,13,6,835,0,5,840,0,
50,2,265,61,12,5,2,1,0,0,0,0,1,0,1,4,2,356,0,0,356,0,
51,5,283,90,9,3,1,4,2,0,0,0,1,2,2,2,0,404,0,4,408,0,
52,2,292,61,11,1,2,1,2,1,3,2,4,3,7,3,9,404,0,7,411,0,
53,5,211,29,105,8,2,1,1,1,2,0,1,0,1,0,0,367,0,2,369,0,
54,6,230,83,86,5,1,1,0,3,3,2,3,7,8,6,7,451,0,4,455,0,
55,2,467,41,27,3,2,1,2,4,0,3,2,1,5,1,4,565,0,3,568,0,
56,8,293,39,20,1,0,1,1,0,4,1,1,1,5,3,2,380,0,0,380,0,
57,5,248,24,41,1,0,0,0,2,1,3,1,0,0,1,0,327,0,4,331,0,
58,4,242,94,10,2,0,3,0,2,1,3,1,0,3,2,8,375,0,2,377,0,
59,6,167,44,2,0,0,2,0,0,1,0,0,0,2,0,3,227,0,3,230,0,
60,4,282,64,30,0,1,0,0,0,1,0,1,2,0,2,2,389,0,1,390,0,
61,7,287,38,7,3,4,1,2,2,4,1,3,3,11,24,13,410,0,3,413,0,
62,6,364,111,21,3,0,2,3,0,0,3,6,1,5,2,1,528,0,3,531,0,
63,8,339,91,13,3,1,2,2,0,1,0,2,3,3,1,1,470,0,0,470,0,
64,7,327,156,27,1,0,2,2,2,2,3,5,4,10,3,6,557,0,3,560,0,
65,3,57,47,66,2,1,1,1,2,1,0,0,0,0,2,1,184,0,3,187,0,
66,6,148,50,60,2,0,8,0,3,0,0,0,1,1,3,1,283,0,2,285,0,
67,5,94,41,62,5,0,0,0,2,2,1,0,4,2,0,3,221,0,6,227,0,
68,11,232,157,9,2,2,0,3,1,1,2,0,3,5,10,5,443,0,0,443,0,
69,5,360,36,27,1,0,2,1,3,1,1,1,2,6,8,8,462,0,16,478,0,
70,7,429,55,23,3,2,2,0,0,0,4,2,7,9,5,5,553,0,2,555,0,
71,5,338,42,11,2,5,1,1,2,0,0,1,2,1,4,2,417,0,4,421,0,
72,3,333,65,6,2,0,4,2,2,1,2,2,2,5,8,10,447,0,0,447,0,
73,6,540,72,19,0,1,5,4,5,1,5,1,4,5,2,6,676,0,4,680,0,
74,7,342,76,30,18,1,0,3,2,8,5,5,4,2,9,2,514,0,12,526,0,
75,5,375,38,24,6,1,2,1,0,9,1,2,0,6,2,1,473,0,2,475,0,
76,9,405,75,26,5,0,3,1,1,0,5,2,5,10,5,12,564,0,0,564,0,
77,8,223,59,19,40,1,1,3,0,13,5,5,3,2,9,3,394,0,4,398,0,
78,2,406,82,28,2,1,1,3,1,2,6,2,2,4,5,8,555,0,5,560,0,
79,6,358,97,31,3,2,1,1,0,0,2,0,0,2,2,2,507,0,3,510,0,
80,3,418,80,14,4,0,1,3,0,0,1,1,5,6,1,9,546,0,1,547,0,
81,1,137,39,4,0,2,0,1,1,7,1,1,0,1,1,1,197,0,1,198,0,
82,6,336,90,11,1,0,0,1,0,1,1,3,2,1,0,2,455,0,8,463,0,
83,0,18,52,0,0,0,0,0,0,0,0,0,0,1,0,0,71,0,2,73,0,
84,6,207,102,10,3,1,3,3,0,4,3,1,4,7,4,10,368,0,5,373,0,
85,9,295,61,24,7,2,1,1,4,1,5,2,3,6,2,6,429,0,5,434,0,
86,7,241,79,36,6,0,2,0,2,3,0,1,2,3,4,7,393,0,9,402,0,
87,7,264,77,12,4,1,0,1,0,1,2,1,1,1,2,1,375,0,6,381,0,
88,7,319,37,36,0,1,5,1,1,1,0,0,0,2,2,1,413,0,0,413,0,
