polling station,,,,,,,,,,,,,,,,,valid,NOTA,rejected,total,tendered
,GITA  CHETAN  PAUNDA  (ADVOCAT E GITABA  JADEJA),DR.BHARTI BEN  DHIRUBHA I SHIYAL,RATHOD  PRAVINBH AI  JINABHAI,DR.KANUB HAI V.  KALSARIA,KAGDA  RAMESHB HAI  PUNABHAI,KHADRANI  ASIMBHAI  PIRBHAI,GOHIL  PRAVINSIN H  DHIRUBHA,GOHEL  BHARATBH AI  BHIMABHA I,JAGADISHB HAI  AMARABH AI VEGAD,BHAVES GHANSHYAMBHAI RAJYAGURU,MEHTA  YASHVANT RAI  ODHAVJIB HAI,MARU  MANHARB HAI  VALJIBHAI,RASIDKHA N  HASANKH AN  PATHAN,RATHOD  PRAVINSIN H  CHANDRAS INH,VAGHELA  NARENDR ABHAI  SHAVJIBHA I,VEGAD  NATHABH AI  (VEGADBH AI  PRAGNAC HAKSHU  CANDIDAT E),,,,,
1,7,272,109,5,1,1,1,2,1,1,2,3,3,4,2,3,417,8,0,425,0
2,6,159,169,2,0,2,1,2,3,1,2,1,0,7,3,7,365,4,0,369,0
3,7,349,100,12,1,0,0,1,2,1,3,4,8,4,5,4,501,5,0,506,0
4,4,180,84,6,0,0,0,0,0,1,0,0,2,1,1,4,283,0,0,283,0
5,9,335,213,3,2,3,2,0,1,0,1,1,3,3,2,9,587,8,0,595,0
6,7,295,90,5,1,1,0,1,2,1,1,5,2,3,16,6,436,5,0,441,0
7,1,288,71,5,0,0,1,0,0,4,2,4,0,2,0,0,378,1,0,379,0
8,2,152,41,1,2,0,3,0,0,0,0,2,1,4,29,4,241,2,0,243,0
9,6,292,203,14,0,0,1,0,0,4,0,1,2,5,1,3,532,8,0,540,0
10,2,271,89,20,0,0,3,1,0,2,0,0,2,1,2,1,394,0,0,394,0
11,5,237,44,5,0,0,0,0,0,5,0,0,1,1,0,0,298,1,0,299,0
12,12,289,138,22,1,0,2,0,0,3,1,1,2,8,3,1,483,8,0,491,0
13,6,433,140,11,1,0,2,0,1,8,2,0,1,1,2,1,609,4,0,613,0
14,2,239,54,8,0,0,1,1,0,4,1,1,1,2,0,2,316,3,0,319,0
15,3,298,207,18,3,0,2,0,2,2,0,1,1,1,4,7,549,6,0,555,0
16,3,339,99,27,4,0,1,0,0,8,1,0,0,4,2,2,490,0,0,490,0
17,3,257,30,0,1,1,0,0,2,0,0,1,0,3,1,0,299,0,0,299,0
18,13,203,145,18,7,2,4,0,1,2,0,2,1,3,1,5,407,18,0,425,0
19,6,274,217,17,4,1,1,0,1,3,2,3,3,1,3,9,545,5,0,550,0
20,1,199,77,5,1,5,2,1,0,2,1,2,5,3,2,5,311,3,0,314,0
21,5,306,115,9,2,0,2,0,1,1,0,1,0,3,1,7,453,7,0,460,0
22,9,246,109,18,3,3,0,1,1,15,0,0,1,1,13,4,424,5,0,429,0
23,9,291,241,19,6,1,3,2,4,4,0,6,1,6,18,7,618,12,0,630,0
