No and Name of Polling station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected/ missing votes,N O T A,Total,No. of tendered votes
,GITA CHETAN PAUNDA (ADVOCATE GITABA JADEJA),DR. BHARATI BEN DHIRU BHAI SHIYAL,RATHOD PRAVIN BHAI JINABHAI,DR. KANUBHAI V. KALSARIYA,KAGADA RAMESH BHAI PUNA BHAI,KHADRANI ASIMBHAI PIRBHAI,GOHIL PRAVIN SINH DHIRU BHAI,GOHEL BHARAT BHAI BHIMA BHAI,JAGDISH BHAI AMARA BHAI VEGAD,BHAVES GHANSHYAM BHAI RAJYAGURU,MEHTA YASHVANT RAY ODHAVJI BHAI,MARU MANHAR VALJI BHAI,RASID KHAN HASAN KHAN PATHAN,RATHOD PRAVIN SINH CHANDRA SINH,VAGHELA NARENDRA BHAI SHAVJI BHAI,VEGAD NATHA BHAI (PRAGNA CHAKSHU CANDIDATE),,,,,
1,6,492,88,3,0,1,2,0,2,1,1,4,1,2,1,4,608,0,9,617,0
2,6,557,85,12,2,3,1,2,2,2,3,2,4,6,6,6,699,0,7,706,0
3,8,291,20,106,83,1,3,0,2,2,5,6,5,4,7,7,550,0,7,557,0
4,7,318,27,24,153,3,5,2,0,0,3,2,2,1,2,5,554,0,2,556,0
5,7,294,88,24,158,0,2,1,1,1,1,5,1,4,7,13,607,0,3,610,0
6,5,218,106,40,11,0,0,0,0,2,2,1,0,4,0,6,395,0,9,404,0
7,6,275,15,32,12,1,1,0,1,1,4,0,0,1,2,0,351,0,3,354,0
8,4,479,48,12,2,2,0,1,1,0,0,2,1,0,1,4,557,0,5,562,0
9,8,457,30,23,0,1,0,0,0,0,0,0,0,1,0,0,520,0,1,521,0
10,6,560,84,17,1,0,0,0,2,6,3,1,2,6,5,1,694,0,5,699,0
11,7,398,74,3,0,2,0,0,0,0,1,0,0,2,2,2,491,0,1,492,0
12,1,199,150,3,0,0,0,1,1,0,0,2,0,3,3,4,367,0,1,368,0
13,3,301,19,2,0,1,0,2,0,1,0,0,0,0,6,4,339,0,1,340,0
14,12,566,68,4,1,0,0,3,1,2,1,2,1,3,28,2,694,0,4,698,0
15,5,543,81,5,3,1,1,2,1,2,2,0,1,2,9,6,664,0,0,664,0
16,9,216,59,113,3,3,0,1,5,1,2,3,5,4,1,11,436,0,5,441,0
17,5,123,115,127,2,1,1,0,6,0,0,0,2,1,34,4,421,0,6,427,0
18,8,328,48,8,3,1,0,0,0,1,1,1,0,1,2,2,404,0,0,404,0
19,5,391,58,6,0,1,3,0,2,0,0,0,4,3,5,5,483,0,2,485,0
20,4,400,101,17,0,0,1,2,0,0,0,0,1,2,2,3,533,0,2,535,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,369,69,45,5,1,0,0,0,1,0,0,1,1,3,1,498,0,2,500,0
23,3,277,35,18,6,1,1,1,2,1,5,3,5,1,41,8,408,0,4,412,0
24,6,170,21,43,2,2,1,0,2,0,2,0,1,4,56,5,315,0,3,318,0
25,5,382,38,43,32,3,4,1,1,1,3,2,0,3,7,3,528,0,3,531,0
26,10,323,139,8,1,0,2,0,1,1,4,0,3,5,54,6,557,0,6,563,0
