No. & Name of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,N O T A,Total,No. of Tendered Votes
,Gita Chetan Paunda (Advocate Gitaba Jadeja),Dr.Bharatiben Dhirubhai Shiyal,Rathod Pravinhai Jinabhai,Dr.Kanubhai V. Kalsaria,Kagada Ramesh bhai Punabhai,Khadrani Asimbhai Pirbhai,Gohil Pravinsinh Dhirubha,Gohel Bharatbhai Bhimabhai,Jagdishbhai Amarabhai Vegad,Bhaves Ghanshyam bhai Rajyaguru,Mehta Yashvan tray Odhavji bhai,Maru Manhar Valjibhai,Rasidkhan Hasankhan Pathan,Rathod Pravin sinh Chandra sinh,Vaghela Narendra bhai Shavji bhai,Vegad Nathabhai (Pragna chakhsu Candidate),,,,,
1,6,230,55,2,3,2,1,1,1,1,3,1,1,2,8,6,323,0,4,327,0
2,10,482,154,21,3,0,3,1,0,3,1,2,2,4,6,9,701,0,10,711,0
3,8,268,114,4,1,1,0,1,3,0,1,0,1,6,1,12,421,0,10,431,0
4,4,464,51,49,1,0,1,2,1,6,5,1,0,1,0,2,588,0,3,591,0
5,1,257,14,21,0,1,0,2,1,11,3,0,0,0,1,0,312,0,4,316,0
6,1,436,35,59,0,0,1,1,0,7,2,1,0,1,1,0,545,0,7,552,0
7,5,597,57,58,1,1,0,1,1,9,0,0,2,0,1,3,736,0,15,751,0
8,6,454,108,32,0,0,1,0,0,6,0,2,0,3,2,3,617,0,5,622,0
9,4,503,162,36,0,0,1,1,2,14,2,2,3,7,4,4,745,0,6,751,0
10,4,255,75,41,1,0,0,0,1,0,1,1,1,1,2,0,383,0,6,389,0
11,2,378,51,30,2,0,1,1,1,0,1,0,1,2,4,3,477,0,5,482,0
12,10,518,207,18,2,1,2,2,3,3,0,1,3,3,14,8,795,0,6,801,0
13,7,415,189,26,3,0,0,0,2,2,1,0,3,1,7,4,660,0,4,664,0
14,3,390,94,22,0,0,2,3,1,1,1,3,2,2,5,4,533,0,20,553,0
15,7,593,221,24,1,0,2,0,3,0,2,0,0,8,2,4,867,0,1,868,0
16,6,345,204,20,2,0,1,1,2,2,1,3,4,3,3,7,604,0,6,610,0
17,3,431,120,4,0,0,0,0,0,3,0,1,0,3,1,4,570,0,3,573,0
18,2,294,276,19,5,2,0,0,0,2,1,0,2,1,1,1,606,0,1,607,0
19,7,216,157,22,0,0,1,1,2,0,0,1,0,5,3,6,421,0,4,425,0
20,5,518,92,17,1,0,0,2,0,12,1,0,1,4,5,4,662,0,3,665,0
21,6,677,55,48,1,0,4,0,0,7,1,0,1,1,2,4,807,0,10,817,0
22,4,648,132,22,3,3,1,1,3,6,2,3,3,3,4,11,849,0,20,869,0
23,3,293,33,16,0,0,3,1,0,2,0,0,1,0,1,4,357,0,5,362,0
24,7,207,308,41,1,1,0,1,0,0,0,3,2,7,11,3,592,0,5,597,0
25,10,750,147,41,0,1,0,0,0,2,0,3,1,5,6,10,976,0,5,981,0
26,3,77,664,66,4,1,0,1,0,0,2,0,1,3,0,3,825,0,7,832,0
27,4,359,357,59,2,0,0,1,1,0,1,4,4,1,2,8,803,0,10,813,0
28,2,690,67,46,1,0,0,0,0,4,0,1,0,2,0,4,817,0,7,824,0
29,0,19,356,36,3,0,0,0,0,0,0,0,2,0,1,2,419,0,4,423,0
30,4,91,367,38,1,1,1,0,1,1,1,0,0,1,1,5,513,0,8,521,0
31,4,400,169,33,3,1,1,1,2,3,0,2,0,4,2,2,627,0,2,629,0
32,4,517,80,7,0,0,1,1,1,2,2,2,2,5,8,6,638,0,5,643,0
33,2,465,75,9,0,0,0,1,2,1,0,1,2,2,5,6,571,0,4,575,0
34,9,690,138,28,0,2,2,3,1,3,4,4,5,9,12,7,917,0,28,945,0
35,2,600,89,31,1,0,1,0,1,2,2,1,1,6,2,7,746,0,10,756,0
36,7,547,225,25,2,3,0,3,3,6,5,1,4,9,11,13,864,0,12,876,0
37,4,443,122,29,0,0,1,0,0,1,3,3,1,4,3,8,622,0,19,641,0
38,0,445,91,12,0,0,0,3,1,0,0,3,1,5,6,3,570,0,4,574,0
39,7,381,138,15,2,2,2,2,1,1,1,3,2,6,3,8,574,0,7,581,0
40,7,433,159,11,2,2,3,1,0,4,1,3,5,7,9,12,659,0,15,674,0
41,8,379,404,9,2,2,1,2,3,5,2,4,10,10,6,17,864,0,28,892,0
42,5,567,105,6,0,2,3,1,2,2,1,2,3,1,3,10,713,0,6,719,0
43,3,606,106,13,1,1,2,4,3,0,3,1,5,12,17,2,779,0,8,787,0
44,5,477,111,3,1,3,2,2,2,1,5,1,1,2,5,4,625,0,6,631,0
45,3,551,274,53,2,1,2,2,1,6,1,4,4,3,4,6,917,0,12,929,0
46,0,26,340,57,0,0,0,0,0,1,0,0,1,0,1,1,427,0,5,432,0
47,2,119,412,56,0,0,1,1,0,0,0,0,1,3,1,0,596,0,5,601,0
48,7,449,438,41,2,0,2,1,2,0,5,4,3,3,2,11,970,0,12,982,0
49,3,520,135,13,6,2,3,4,0,2,4,3,1,2,9,4,711,0,4,715,0
50,3,23,450,40,0,0,0,1,0,0,2,0,2,3,1,6,531,0,3,534,0
51,2,20,100,5,0,0,0,0,0,0,1,2,0,2,1,1,134,0,1,135,0
