,,,,,,,,,,,,,,,,,,,,,
Polling Station No.,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,Total of valid votes,No. of reje cted votes,N O T A,Total,No. of tender ed votes
,GITA CHETAN PAUNDA (ADVO CATE GITABA JADEJA),DR. BHARATI BEN DHIRU BHAI SHIYAL,RATHOD PRAVIN BHAI JINA BHAI,DR. KANU BHAI V. KALSARIA,KAGADA RAMESH BHAI PUNA BHAI,KHAD RANI ASIM BHAI PIRBHAI,GOHIL PRAVI NSINH DHIRU BHA,GOHEL BHARAT BHAI BHIMA BHAI,JAGDISH BHAI AMARA BHAI VEGAD,BHAVES GHAN SHYAM BHAI RAJYA GURU,MEHTA YASHVA NT RAY ODHAVJI BHAI,MARU MANHAR VALJI BHAI,RASID KHAN HASAN KHAN PATHAN,RATHOD PRAVIN SINH CHANDRA SINH,VAGHELA NARE NDRA BHAI SHAVJI BHAI,VEGAD NATHA BHAI (PRAGNA CHAKHSU CANDI DATE),,,,,
1,0,551,34,43,1,0,1,0,0,1,0,1,1,0,4,3,640,0,8,648,0
2,3,355,28,21,0,0,0,0,0,3,0,0,0,4,3,0,417,0,1,418,0
3,8,450,50,63,1,0,2,0,0,6,0,0,2,3,2,4,591,0,2,593,0
4,4,439,17,14,0,0,0,0,0,3,1,0,0,0,0,0,478,0,16,494,0
5,11,493,117,75,0,2,2,2,2,14,1,0,1,2,4,1,727,0,7,734,0
6,13,267,217,36,3,0,2,2,1,2,0,1,0,4,0,3,551,0,3,554,0
7,10,534,206,39,0,3,0,2,0,0,1,1,2,3,4,10,815,0,11,826,0
8,6,140,379,17,3,0,0,0,0,0,1,4,1,11,3,5,570,0,10,580,0
9,6,248,211,18,1,2,1,2,0,2,1,1,6,7,5,9,520,0,3,523,0
10,5,168,209,9,5,3,0,2,0,0,4,0,1,3,4,9,422,0,10,432,0
11,5,361,123,12,2,1,2,1,1,3,0,1,0,7,3,3,525,0,3,528,0
12,3,354,70,15,0,2,1,0,0,0,2,0,1,2,5,8,463,0,4,467,0
13,7,303,219,11,1,0,0,0,0,2,0,2,6,4,11,5,571,0,4,575,0
14,3,249,176,43,0,1,1,0,1,1,0,0,1,0,2,2,480,0,8,488,0
15,7,189,450,32,1,0,2,0,0,1,1,1,2,12,4,5,707,0,5,712,0
16,0,504,118,54,1,0,1,1,1,13,0,1,0,1,3,0,698,0,17,715,0
17,0,440,37,18,0,1,1,0,0,8,1,0,0,0,1,1,508,0,5,513,0
18,2,441,39,25,0,0,1,0,0,0,0,0,1,0,3,1,513,0,5,518,0
19,0,668,66,75,0,1,0,0,0,5,0,0,0,0,0,1,816,0,21,837,0
20,2,455,46,46,1,0,0,0,0,5,0,0,0,0,1,0,556,0,7,563,0
21,2,99,12,12,1,0,1,1,0,0,0,0,0,1,1,1,131,0,0,131,0
22,4,749,86,79,0,0,0,0,0,6,0,0,0,0,1,2,927,0,9,936,0
23,2,454,35,56,1,0,0,0,0,4,1,0,0,0,0,1,554,0,11,565,0
24,2,439,33,45,0,0,0,0,1,10,1,0,0,0,0,2,533,0,5,538,0
25,7,542,294,25,4,5,3,4,3,2,2,4,4,8,10,5,922,0,5,927,0
26,14,420,337,24,5,3,3,5,1,6,1,0,1,10,11,8,849,0,19,868,0
27,7,366,418,23,1,1,2,1,0,2,0,4,1,10,9,9,854,0,5,859,0
28,16,652,242,34,6,2,5,2,7,2,3,4,6,9,12,11,1013,0,6,1019,0
29,9,805,118,13,0,1,3,1,3,0,1,0,1,3,8,8,974,0,11,985,0
30,12,510,224,15,1,1,2,0,1,1,0,0,3,13,12,19,814,0,14,828,0
31,12,225,607,27,1,1,1,1,2,3,1,3,8,10,3,11,916,0,7,923,0
32,10,228,416,12,2,3,0,0,1,2,3,4,3,10,4,14,712,0,15,727,0
33,30,245,479,85,0,2,0,1,0,3,4,2,3,8,3,11,876,0,18,894,0
34,5,175,402,19,0,0,1,1,0,1,0,0,4,2,4,5,619,0,0,619,0
35,2,69,392,10,0,0,2,0,0,1,1,2,2,2,1,6,490,0,1,491,0
36,7,313,149,12,0,0,1,0,1,2,0,1,2,2,3,9,502,0,1,503,0
37,10,159,710,43,0,0,0,0,1,0,0,2,0,7,1,7,940,0,10,950,0
38,3,303,175,19,1,0,1,0,0,0,0,1,0,2,0,2,507,0,7,514,0
39,7,245,184,12,1,2,0,0,0,1,1,1,3,10,4,6,477,0,4,481,0
40,11,227,459,35,1,1,0,0,0,0,0,12,4,5,1,6,762,0,16,778,0
41,5,381,352,36,1,0,4,2,0,2,0,0,1,4,4,2,794,0,2,796,0
42,3,78,556,31,0,1,1,1,0,2,0,0,1,1,2,4,681,0,6,687,0
43,2,86,470,26,0,0,3,1,0,1,0,0,0,2,0,6,597,0,6,603,0
44,7,113,456,21,2,0,3,0,1,1,0,0,3,2,1,2,612,0,3,615,0
45,5,549,113,25,0,0,1,0,0,4,1,0,3,2,0,6,709,0,8,717,0
46,4,90,508,34,0,2,1,1,1,0,1,2,1,0,3,5,653,0,18,671,0
47,1,90,342,47,0,0,0,1,0,1,1,0,4,0,1,0,488,0,2,490,0
48,6,304,392,46,1,0,0,0,1,2,0,0,2,1,1,2,758,0,11,769,0
49,8,657,94,49,0,2,1,0,0,9,0,1,0,2,0,3,826,0,16,842,0
50,7,731,145,27,2,3,1,0,5,2,1,0,2,1,1,9,937,0,9,946,0
51,6,759,128,39,0,1,1,1,1,7,0,2,3,2,5,5,960,0,15,975,0
52,3,349,440,49,0,0,0,1,1,5,0,2,0,1,5,7,863,0,7,870,0
53,17,304,533,88,3,1,1,3,1,1,1,1,6,5,3,20,988,0,9,997,0
54,9,125,304,20,1,0,1,2,0,0,0,2,2,2,1,9,478,0,13,491,0
55,16,224,343,34,2,0,3,4,1,2,2,3,3,7,4,12,660,0,13,673,0
56,7,281,444,101,0,1,0,1,0,4,0,2,1,5,4,8,859,0,9,868,0
57,14,476,92,14,0,3,0,2,1,1,2,2,1,5,13,19,645,0,13,658,0
58,0,200,331,21,0,1,0,1,1,0,1,0,1,6,10,8,581,0,10,591,0
59,5,481,56,16,0,0,0,1,0,1,1,4,0,3,2,2,572,0,13,585,0
60,15,305,477,40,0,1,0,3,0,1,1,2,2,4,1,7,859,0,6,865,0
61,2,698,67,17,1,0,1,1,0,0,0,2,2,3,3,4,801,0,13,814,0
62,12,480,226,44,0,1,0,1,0,0,2,2,0,8,5,8,789,0,10,799,0
63,12,655,114,18,1,1,3,6,1,1,1,3,2,4,8,11,841,0,5,846,0
64,13,653,116,19,3,2,3,2,2,0,1,1,2,5,15,10,847,0,12,859,0
65,5,438,86,33,1,0,1,0,1,0,0,1,1,0,3,7,577,0,14,591,0
66,3,397,86,16,1,2,0,1,0,0,2,0,1,2,3,1,515,0,2,517,0
67,6,427,74,9,0,0,0,1,0,1,0,0,2,3,2,6,531,0,4,535,0
68,7,265,50,3,1,1,0,0,0,1,3,1,1,2,0,5,340,0,5,345,0
69,2,132,407,22,3,2,0,1,0,0,2,0,2,3,1,2,579,0,5,584,0
70,0,99,302,37,0,0,1,2,1,2,1,0,2,0,5,6,458,0,8,466,0
71,8,293,491,60,4,1,1,3,0,0,1,1,2,5,0,9,879,0,2,881,0
72,6,404,368,34,1,0,1,0,2,0,2,4,2,3,9,7,843,0,11,854,0
73,2,214,153,23,2,0,2,3,0,0,2,1,2,2,3,9,418,0,3,421,0
74,8,77,366,15,0,2,1,1,0,1,1,1,1,9,3,6,492,0,4,496,0
75,15,235,400,27,2,1,0,4,0,2,4,2,7,12,22,22,755,0,13,768,0
76,16,285,328,19,2,1,1,0,1,2,2,2,2,6,8,8,683,0,2,685,0
77,9,424,97,42,2,1,3,1,0,3,0,2,0,2,3,6,595,0,4,599,0
78,1,324,58,28,0,1,0,0,2,0,0,0,0,2,10,1,427,0,7,434,0
79,10,623,98,58,1,0,2,2,3,2,2,3,3,4,29,2,842,0,0,842,0
80,2,157,43,14,0,1,0,0,0,0,1,0,2,0,8,3,231,0,0,231,0
81,6,449,155,35,2,0,2,0,0,0,1,1,1,2,15,6,675,0,14,689,0
82,2,134,102,86,0,0,9,0,0,0,0,2,0,5,1,3,344,0,11,355,0
83,4,182,64,74,2,0,0,0,1,1,0,1,1,2,0,0,332,0,4,336,0
84,2,346,27,23,0,0,1,0,0,1,0,1,0,0,0,2,403,0,2,405,0
85,3,307,44,106,1,0,4,1,1,13,0,1,1,1,2,3,488,0,7,495,0
86,2,457,65,16,1,0,0,0,1,4,2,1,0,0,2,1,552,0,5,557,0
87,1,446,27,19,0,0,0,0,0,7,0,0,0,0,2,2,504,0,3,507,0
88,4,264,78,11,0,1,0,1,1,2,0,1,0,5,11,8,387,0,5,392,0
89,1,290,221,26,0,0,2,0,0,0,0,1,3,2,13,5,564,0,12,576,0
90,0,378,24,22,0,0,0,0,0,6,0,0,0,0,1,3,434,0,3,437,0
91,3,314,32,42,0,0,2,1,0,1,0,0,0,2,0,2,399,0,8,407,0
92,2,667,63,36,1,0,1,1,0,1,0,0,0,1,1,0,774,0,2,776,0
93,6,439,198,29,0,0,0,2,1,3,0,3,0,1,4,5,691,0,5,696,0
94,7,369,356,39,1,0,1,1,0,2,1,0,3,4,10,8,802,0,23,825,0
95,2,252,171,32,0,2,0,1,3,4,1,1,0,0,5,5,479,0,5,484,0
96,7,533,221,36,1,1,1,0,0,4,1,1,3,3,2,5,819,0,4,823,0
97,4,401,71,20,1,2,1,1,1,5,1,0,0,4,0,1,513,0,5,518,0
98,1,392,34,21,0,0,1,0,0,6,0,2,1,1,2,2,463,0,3,466,0
99,3,326,48,6,1,0,1,2,0,0,1,0,1,2,3,2,396,0,3,399,0
100,5,440,137,30,1,0,1,0,0,1,1,0,2,3,9,8,638,0,12,650,0
101,8,699,97,37,2,1,2,2,0,5,3,2,0,5,8,10,881,0,10,891,0
102,7,476,336,52,0,3,0,0,3,3,1,0,1,1,8,12,903,0,12,915,0
103,11,580,165,23,1,0,1,1,1,2,1,1,0,1,3,3,794,0,10,804,0
104,5,320,45,10,0,0,0,0,0,0,0,1,1,2,0,0,384,0,3,387,0
105,4,260,172,31,0,1,0,0,1,1,1,0,0,0,1,0,472,0,4,476,0
106,3,616,91,31,0,2,1,1,0,1,1,2,0,2,4,2,757,0,8,765,0
107,3,423,272,40,2,0,2,1,0,6,0,2,1,3,5,3,763,0,6,769,0
108,18,752,129,14,1,0,2,2,0,4,0,5,6,9,26,19,987,0,41,1028,0
109,9,617,130,30,2,0,4,0,1,9,1,6,1,3,4,15,832,0,7,839,0
110,9,520,168,19,1,0,4,2,3,7,1,2,0,3,4,10,753,0,10,763,0
111,7,347,148,70,0,0,1,0,0,14,0,0,0,1,3,5,596,0,10,606,0
112,5,444,163,48,1,1,1,0,1,2,1,0,0,3,4,5,679,0,4,683,0
113,4,216,155,59,2,0,0,0,2,7,3,1,0,2,1,3,455,0,4,459,0
114,6,331,90,36,0,3,1,0,0,1,0,2,1,0,1,3,475,0,2,477,0
115,2,396,96,30,0,0,5,0,1,5,0,0,0,0,0,1,536,0,8,544,0
116,3,484,32,25,1,0,0,0,2,0,0,0,1,0,0,1,549,0,3,552,0
117,11,517,137,32,1,1,2,0,1,10,0,2,1,0,3,8,726,0,10,736,0
118,2,613,83,31,0,0,0,3,1,5,1,0,1,0,2,5,747,0,11,758,0
119,4,555,83,34,1,1,1,1,0,7,0,1,1,3,2,5,699,0,5,704,0
120,6,337,171,24,3,0,1,0,2,1,0,0,4,6,6,6,567,0,5,572,0
121,15,533,186,30,4,3,2,4,1,2,3,0,6,4,41,18,852,0,9,861,0
122,2,633,123,47,0,1,0,0,0,9,0,1,0,0,1,3,820,0,5,825,0
123,8,540,118,62,1,2,0,0,0,10,0,0,2,2,1,4,750,0,10,760,0
124,2,451,184,53,1,1,1,0,2,2,0,0,0,0,8,3,708,0,12,720,0
125,6,236,87,36,0,0,0,0,2,7,0,0,1,1,2,2,380,0,9,389,0
126,0,740,28,74,1,2,0,0,1,5,0,0,0,0,1,0,852,0,8,860,0
127,6,595,152,53,2,1,1,2,0,1,1,0,0,1,4,2,821,0,10,831,0
128,1,349,44,46,0,2,0,0,1,8,0,0,1,1,1,2,456,0,8,464,0
129,5,321,40,30,0,0,2,0,0,5,0,0,0,0,1,0,404,0,3,407,0
130,15,395,330,38,1,1,2,4,1,2,2,0,2,5,3,9,810,0,12,822,0
131,3,150,272,48,2,0,2,0,0,4,1,1,0,1,1,3,488,0,4,492,0
132,3,294,259,58,1,0,0,1,0,2,0,1,1,0,2,2,624,0,6,630,0
133,4,621,101,83,0,0,0,0,1,3,0,0,0,1,0,0,814,0,13,827,0
134,13,234,329,45,0,1,1,1,0,6,1,0,1,2,1,1,636,0,14,650,0
135,1,133,91,38,0,0,2,0,0,2,0,0,0,0,1,1,269,0,6,275,0
136,2,705,36,35,0,0,1,0,0,7,0,1,0,1,3,3,794,0,4,798,0
137,0,334,41,16,0,0,0,0,0,0,0,0,0,0,0,0,391,0,3,394,0
138,3,602,35,69,0,0,0,0,0,1,1,0,1,0,1,0,713,0,8,721,0
139,4,589,45,77,0,0,1,0,0,2,0,1,0,1,0,2,722,0,6,728,0
140,3,710,52,53,0,0,1,0,1,2,0,0,1,0,1,0,824,0,5,829,0
141,4,491,217,58,1,0,0,0,0,2,0,0,1,3,3,3,783,0,10,793,0
142,2,484,97,41,0,0,3,1,0,10,1,2,2,2,1,3,649,0,4,653,0
143,4,366,87,37,2,0,0,0,0,0,1,1,0,2,1,2,503,0,8,511,0
144,1,229,62,37,0,0,1,1,0,2,0,0,0,1,1,1,336,0,13,349,0
145,3,356,102,52,1,0,0,0,0,1,0,0,0,2,0,3,520,0,8,528,0
146,1,310,44,28,0,0,1,0,0,0,0,0,1,2,0,1,388,0,7,395,0
147,2,395,69,51,0,0,0,0,0,7,0,0,0,0,0,1,525,0,7,532,0
148,10,856,56,50,1,0,0,0,0,11,0,0,2,1,7,3,997,0,11,1008,0
149,1,633,39,57,1,1,2,0,1,2,0,0,0,0,0,0,737,0,5,742,0
150,7,521,130,50,1,0,1,1,1,4,2,0,2,1,4,3,728,0,16,744,0
151,1,221,153,63,0,0,0,0,1,1,0,0,0,0,1,1,442,0,6,448,0
152,1,325,56,46,0,0,0,0,0,0,0,0,0,0,0,0,428,0,6,434,0
153,1,572,94,53,1,1,0,0,0,4,0,0,0,2,1,0,729,0,6,735,0
154,1,322,30,35,0,0,0,0,0,1,0,0,0,0,1,0,390,0,2,392,0
