polling station,,,,,,,,,,,,,,,,,valid,rejected,nota,Total,tendered
,GITA  CHETAN  PAUNDA  (ADVO CATE  GITABA  JADEJA),DR.  BHARATI  BEN DHIRU  BHAI SHIYAL,RATHOD  PRAVIN  BHAI JINA  BHAI,DR. KANU  BHAI V.  KALSARIA,KAGADA  RAMESH  BHAI PUNA  BHAI,KHAD  RANI  ASIM  BHAI  PIRBHAI,GOHIL  PRAVIN  SINH  DHIRU  BHA,GOHEL  BHARAT  BHAI  BHIMA BHAI,JAGDISH  BHAI  AMARA  BHAI  VEGAD,BHAVES  GHAN  SHYAM  BHAI RAJYA  GURU,MEHTA  YASHVA NT  RAY   ODHAVJI  BHAI,MARU  MANHAR  VALAJI  BHAI,RASID  KHAN  HASAN  KHAN  PATHAN,RATHOD  PRAVIN SINH  CHANDRA  SINH,VAGHELA  NARE NDRA  BHAI SHAVJI  BHAI,VEGAD  NATHA BHAI  (PRAGNA  CHAKHSU  CANDI DATE) ,,,,,
1,9,278,435,8,2,1,2,1,2,2,3,1,6,10,4,11,775,0,5,780,0
2,4,73,66,0,3,0,0,0,0,0,0,1,1,2,0,1,151,0,4,155,0
3,3,398,164,17,2,1,2,2,1,1,1,0,2,7,3,4,608,0,3,611,0
4,7,287,303,7,4,1,4,3,2,2,3,3,7,5,16,11,665,0,9,674,0
5,17,308,383,10,3,1,4,5,4,3,5,6,7,11,10,12,789,0,13,802,0
6,3,129,15,1,0,0,0,0,1,0,1,1,0,1,3,3,158,0,0,158,0
7,28,204,423,7,5,2,1,6,1,4,6,1,3,11,13,15,730,0,3,733,0
8,13,318,165,3,1,0,2,1,0,1,1,1,1,7,2,3,519,0,2,521,0
9,18,159,344,9,4,0,1,3,5,1,2,4,3,8,3,5,569,0,10,579,0
10,8,172,252,5,4,0,2,2,1,1,3,0,0,5,3,2,460,0,2,462,0
11,10,263,400,13,1,5,2,2,2,2,1,1,1,9,4,9,725,0,6,731,0
12,3,168,430,12,2,0,2,3,0,1,3,0,1,1,6,12,644,0,3,647,0
13,6,339,182,13,0,1,0,1,1,0,2,2,0,6,2,5,560,0,9,569,0
14,6,237,310,7,1,1,0,2,0,1,1,0,1,5,5,6,583,0,8,591,0
15,6,214,282,16,1,0,0,2,0,3,0,2,3,6,3,9,547,0,7,554,0
16,9,181,140,10,0,0,0,2,2,0,1,1,0,3,4,7,360,0,5,365,0
17,12,590,158,9,3,0,1,0,1,1,0,2,4,3,7,3,794,0,4,798,0
18,20,172,603,11,4,0,0,3,2,2,2,0,4,6,3,13,845,0,9,854,0
19,12,162,410,17,3,0,4,0,1,0,1,1,5,10,5,10,641,0,11,652,0
20,4,105,188,4,1,0,0,1,1,0,0,0,0,5,2,2,313,0,6,319,0
21,8,221,300,12,4,0,7,2,2,1,1,4,1,9,5,2,579,0,3,582,0
22,14,203,575,16,1,1,1,3,4,3,2,1,3,8,2,3,840,0,10,850,0
