Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
1,211,7,380,2,0,3,2,3,1,3,1,2,6,6,8,635,0,18,653,0
2,151,1,285,3,2,3,0,6,2,0,2,1,2,4,6,468,0,9,477,0
3,127,2,55,0,0,1,0,3,2,0,2,0,1,4,4,201,0,1,202,0
4,30,2,416,1,1,2,0,2,0,0,1,0,5,5,0,465,0,3,468,0
5,67,3,420,3,0,0,3,1,1,0,1,1,0,5,4,509,0,8,517,0
6,553,2,49,0,1,0,0,1,0,1,0,0,1,1,1,610,0,10,620,0
7,222,2,262,4,0,1,1,1,2,0,1,0,3,1,3,503,0,14,517,0
8,514,7,117,1,0,0,0,0,0,0,0,0,0,0,2,641,0,14,655,0
9,394,4,62,3,0,0,2,2,0,1,1,0,0,3,2,474,0,19,493,0
10,270,3,193,2,0,2,1,0,2,0,0,0,0,1,1,475,0,8,483,0
11,147,3,251,1,3,0,0,0,0,0,0,1,0,2,3,411,0,5,416,0
12,201,2,284,5,3,1,1,1,0,1,0,3,0,3,6,511,0,20,531,0
13,179,1,311,1,0,1,1,1,0,0,0,0,3,8,4,510,0,13,523,0
14,550,2,117,2,0,0,0,0,0,0,0,1,2,2,5,681,0,5,686,0
15,346,3,272,4,0,0,3,1,0,0,1,0,0,4,1,635,0,8,643,0
16,314,2,268,3,1,3,2,1,1,0,0,1,2,4,1,603,0,4,607,0
17,155,2,208,4,0,0,1,0,1,1,0,2,1,8,7,390,0,17,407,0
18,105,5,359,5,0,1,1,0,0,0,2,1,0,3,3,485,0,7,492,0
