No & name of polling station,No. of Valid Votes Cast in Favours of,,,,,,,,,,,,,,,,Total of Valid Votes,No.of Reject ed Votes,Total,No.of tender ed Votes
,CHAUHAN 1 DEVUSINH JESINGBHAI,DINSHA PATEL,PANDAV BHAILALBHAI KALUBHAI,ABDUL RAZAKKHAN PATHAN,BADHIWALA LABHUBHAI JIVRAJBHAI,RANVEER PRANAYRAJ GOVINDBHAI,ADWARD KHUSHALBHA I,CHAUHAN DEVUSING MOTISHING,PATHAN AMANULLAKHA SITABKHA,PARIKH VIRAL HASMUKHBHAI,MALEK YAKUBMIYA NABIMIYA,MALEK SADIK HUSHEN MAH. HUSHEN,MALEK SABIRHUSEN ISMAELBHAI,RATANSINH UDESINH CHAUHAN,ROSHAN PRIYAVADAN SHAH,NONE OF THE ABOVE(NOTA),,,,
1,460,137,1,1,1,0,0,2,0,2,3,1,4,3,10,25,650,0,650,0
2,333,261,5,0,1,1,0,5,1,0,0,1,3,7,20,20,658,0,658,0
3,479,140,2,1,1,0,0,1,1,0,1,3,5,2,12,31,679,0,679,0
4,279,151,2,0,0,0,0,2,0,0,1,1,2,2,8,16,464,0,464,0
5,395,237,0,1,4,0,0,2,0,0,0,0,0,0,1,2,642,0,642,0
6,459,354,1,1,4,0,1,2,0,0,0,0,0,0,1,7,830,0,830,0
7,581,254,2,2,1,1,1,2,0,0,0,0,0,1,3,11,859,0,859,0
8,616,341,1,0,2,0,1,3,0,0,0,0,1,0,1,12,978,0,978,0
9,664,74,3,0,0,1,0,3,2,0,0,0,0,1,0,7,755,0,755,0
10,655,114,3,0,0,0,1,1,0,0,0,1,1,0,2,12,790,0,790,0
11,361,295,2,0,1,0,0,0,0,0,1,0,0,1,1,3,665,0,665,0
12,318,528,5,1,8,2,0,1,0,0,0,2,1,1,6,18,891,0,891,0
13,322,297,3,0,2,0,0,0,1,0,0,0,1,1,3,8,638,0,638,0
14,134,675,2,1,6,1,2,2,1,0,0,0,1,1,4,4,834,0,834,0
15,152,517,1,0,0,0,0,1,0,1,1,1,2,1,4,12,693,0,693,0
