No & name of polling station,No. of Valid Votes Cast in Favours of,,,,,,,,,,,,,,,Total of Valid Votes,No. of  vote Rejected votes  (test Votes),"Votes for ""NOTA"" option",total
,Chauhan Devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai  Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakhan  Sitabkhan,Parikh Viral  Hasmukbhai,Malek Yakubmiya  Nabimiya,Malek Sadik Hushen  Mahammd Hushen,Malek Sabirhusen  Ismaelbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,,,,
1,252,528,3,0,5,0,1,1,0,0,1,1,0,1,4,797,0,15,812
2,161,507,1,0,13,0,2,0,1,0,0,0,0,3,0,688,0,10,698
3,250,306,2,1,11,0,1,1,0,0,0,0,1,2,2,577,0,16,593
4,164,571,0,0,6,0,0,1,0,0,0,0,0,1,1,744,0,5,749
5,307,602,1,1,6,1,21,3,0,2,0,0,0,0,2,946,0,11,957
6,31,314,0,0,5,0,0,0,0,0,0,0,0,0,0,350,0,2,352
7,357,95,1,0,2,2,0,3,0,1,0,1,2,0,0,464,0,7,471
8,305,107,0,0,2,0,1,1,0,0,0,1,0,0,1,418,0,10,428
9,378,389,4,0,7,2,0,2,2,0,0,0,0,4,4,792,0,11,803
10,353,343,1,5,7,2,0,2,1,0,0,2,0,0,1,717,0,5,722
11,695,79,1,0,8,1,0,3,0,0,0,0,1,1,0,789,0,14,803
12,566,143,0,0,5,0,0,1,1,0,0,0,0,1,2,719,0,2,721
13,157,350,1,0,3,0,0,3,0,0,0,0,0,0,2,516,0,3,519
14,280,143,2,1,3,0,0,3,0,0,0,1,3,2,3,441,0,5,446
15,490,181,4,1,5,0,1,2,2,3,1,7,1,4,4,706,0,42,748
16,521,102,2,3,2,1,0,2,0,0,0,0,0,3,6,642,0,17,659
17,114,229,1,0,0,0,0,1,0,0,0,0,0,0,0,345,0,5,350
18,88,475,1,0,3,0,0,0,0,0,0,0,0,0,0,567,0,3,570
19,162,96,0,0,1,0,0,0,0,0,0,0,0,1,0,260,0,2,262
20,794,44,0,0,5,0,0,0,0,0,0,0,0,0,5,848,0,12,860
21,690,148,7,0,3,0,4,4,1,1,2,2,2,4,17,885,0,50,935
22,384,164,4,0,4,1,0,1,0,1,0,0,1,2,2,564,0,11,575
23,301,176,0,1,3,0,0,0,0,0,0,0,0,0,3,484,0,10,494
24,351,139,1,0,1,0,0,0,1,0,0,0,0,0,1,494,0,9,503
25,491,174,3,0,4,0,0,1,0,0,2,1,0,1,5,682,0,17,699
26,680,173,1,0,0,0,0,3,1,0,0,1,2,2,6,869,0,13,882
27,326,461,4,0,2,1,2,1,1,0,0,2,3,1,7,811,0,12,823
28,429,84,1,0,1,0,3,4,2,3,3,2,3,3,2,540,0,24,564
29,528,259,3,1,11,0,1,1,0,1,0,0,0,2,1,808,0,6,814
30,210,251,2,0,6,0,0,2,0,0,1,0,0,1,2,475,0,9,484
31,186,87,0,1,1,0,0,1,1,0,0,0,0,0,0,277,0,4,281
32,703,126,1,0,6,0,1,1,1,0,1,0,1,0,4,845,0,10,855
33,536,71,0,1,2,0,0,0,1,0,0,1,0,1,1,614,0,6,620
34,322,113,0,0,2,0,1,2,0,0,1,0,0,2,1,444,0,3,447
35,531,194,0,1,5,1,0,0,1,1,0,0,1,0,0,735,0,7,742
36,446,178,1,0,3,0,1,0,1,0,0,0,0,1,0,631,0,6,637
37,201,437,1,1,5,0,1,1,0,1,2,0,2,0,1,653,0,7,660
38,400,97,1,0,1,0,0,1,0,0,0,0,0,0,3,503,0,16,519
39,573,185,1,0,4,0,0,5,1,0,0,1,0,1,11,782,0,44,826
40,634,105,5,0,0,1,0,0,1,1,0,1,0,1,4,753,0,44,797
41,63,573,6,0,6,0,0,1,0,0,0,1,0,0,1,651,0,7,658
42,270,391,2,0,1,0,0,1,1,0,1,0,0,0,6,673,0,8,681
43,199,469,1,0,1,0,0,0,0,1,1,2,0,3,5,682,0,3,685
44,15,755,0,0,8,0,0,0,0,0,1,0,0,0,1,780,0,2,782
45,314,384,19,0,6,0,0,0,0,0,0,1,0,1,0,725,0,5,730
