polling station,Number of valid vote cast in favour of,,,,,,,,,,,,,,,,Total  Of  Valid  Votes  Tendred,No. of   Vote  Rejected  (Test  Votes),Total,No of  Tendered  Votes
,Chauhan  Devusinh  Jesingbhai  (Chauhan  Devusinh),Dinsha  Patel,Pandav  Bhailalbhai  Kalubhai,Abdul  Rajjakkhan  Pathan,Badhivala  Labhubhai  Jivrajbhai,Ranvir  Pranavraj  Govindbhai,Khristi  Advord  Khushalbha i,Chauhan  Devusinh  Motisinh,Pathan  Amanullakha  Sitabka,Parikh Viral  Hasmukhbh ai,Malek  Yakubmiya  Nabi miya,Malek  Shadikhusen  Mahmadhuse n,Malek  Sabirhusen  Ismailbhai,Ratansinh  Udesinh  Chauhan,Roshan  Priyvadan  Shan,NOTA,,,,
1,483,57,2,0,0,0,0,0,0,0,2,1,3,2,8,27,585,0,585,0
2,210,259,3,0,2,0,0,2,1,3,1,2,5,5,2,8,503,0,503,0
3,192,50,3,0,0,0,1,0,0,0,0,1,1,0,0,10,258,0,258,0
4,280,45,3,0,0,0,0,2,0,2,0,1,3,3,4,19,362,0,362,0
5,184,426,9,0,4,0,5,3,0,1,1,1,0,0,8,16,658,0,658,0
6,245,189,0,0,0,0,0,0,1,0,1,1,0,2,6,10,455,0,455,0
7,424,163,1,1,0,0,1,2,0,0,0,4,2,9,11,28,646,0,646,0
8,347,96,10,2,2,2,0,0,1,4,1,0,6,5,4,16,496,0,496,0
9,239,123,2,0,0,2,0,0,0,0,0,2,3,2,4,16,393,0,393,0
10,178,99,3,1,0,0,0,2,0,0,0,0,0,2,1,2,288,0,288,0
11,327,122,2,0,2,0,0,3,0,2,0,1,1,4,11,10,485,0,485,0
12,232,154,2,0,1,0,0,2,1,0,0,0,1,1,6,4,404,0,404,0
13,216,253,3,1,0,0,1,0,0,2,1,0,1,5,4,10,497,0,497,0
14,397,296,3,4,0,0,3,1,1,0,1,1,2,3,6,13,731,0,731,0
15,243,69,1,0,0,0,0,0,0,0,1,0,0,0,5,15,334,0,334,0
16,342,65,1,0,1,0,0,0,0,1,0,2,1,1,2,9,425,0,425,0
17,117,241,2,1,1,0,0,1,0,0,0,1,0,5,2,6,377,0,377,0
18,209,147,2,1,0,0,0,1,1,0,0,0,1,1,4,9,376,0,376,0
19,238,82,0,0,0,0,0,0,0,0,1,0,0,1,1,7,330,0,330,0
20,229,72,3,2,0,0,0,0,1,1,1,1,0,0,1,21,332,0,332,0
21,432,124,5,0,2,0,1,2,0,0,0,0,0,2,11,22,601,0,601,0
22,328,179,3,0,2,0,0,1,0,0,0,0,3,4,13,19,552,0,552,0
23,408,159,1,0,0,0,1,2,0,1,1,1,4,3,4,15,600,0,600,0
24,222,189,4,0,1,0,0,1,0,0,0,2,1,4,4,8,436,0,436,0
25,155,209,1,0,0,0,1,0,0,0,1,1,3,4,4,13,392,0,392,0
26,189,30,0,0,0,0,0,0,0,0,0,0,0,1,0,6,226,0,226,0
27,158,177,6,1,0,2,0,2,2,0,1,1,1,3,8,13,375,0,375,0
28,241,105,2,2,0,3,1,2,0,0,2,1,7,7,12,20,405,0,405,0
29,255,162,6,2,0,0,0,0,1,0,0,1,3,0,1,5,436,0,436,0
30,193,175,2,0,1,0,0,0,0,0,0,1,0,1,4,8,385,0,385,0
31,319,204,4,1,2,0,0,0,0,1,0,1,0,2,7,6,547,0,547,0
32,239,198,2,1,1,0,1,5,0,1,2,1,2,3,10,7,473,0,473,0
33,208,32,0,0,1,0,0,0,0,0,0,0,0,0,0,6,247,0,247,0
34,190,190,0,1,2,0,1,0,0,2,0,0,2,1,1,4,394,0,394,0
35,535,37,2,2,0,0,1,0,0,0,1,0,1,2,2,6,589,0,589,0
36,297,108,4,3,2,2,1,0,0,2,0,1,6,7,12,42,487,0,487,0
37,181,126,1,0,0,0,0,0,0,0,0,0,0,3,2,10,323,0,323,0
