polling station,No. of Valid Votes cast in favor of,,,,,,,,,,,,,,,Total of valied votes  tendered,No. of rejected votes (Test  votes),Votes for NOTA option,Total votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkhan Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbhai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbhai,Malek Yakubmiya Nabhimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavadan  Shah,,,,
1,268,123,0,0,1,1,1,2,0,0,0,0,5,3,3,407,0,4,411
2,128,111,2,0,0,0,0,4,1,1,0,2,3,0,3,255,0,7,262
3,406,175,2,1,1,1,2,0,0,1,1,0,1,1,2,594,0,16,610
4,249,478,2,1,1,0,1,2,1,0,0,3,2,2,7,749,0,17,766
5,257,348,4,1,2,0,0,2,0,0,0,1,2,0,10,627,0,17,644
6,278,204,3,0,6,0,0,1,0,0,1,0,3,1,7,504,0,9,513
7,225,302,1,0,1,0,0,1,3,1,1,2,5,4,7,553,0,11,564
8,43,197,1,0,0,0,0,0,0,1,1,0,1,0,1,245,0,5,250
9,155,60,0,0,0,0,0,3,0,0,2,1,0,1,1,223,0,7,230
10,197,57,1,0,1,0,1,0,1,0,1,1,0,2,2,264,0,10,274
11,390,97,2,0,2,0,0,1,0,0,0,0,1,2,2,497,0,8,505
12,274,134,5,1,2,0,0,2,1,1,0,0,1,0,0,421,0,4,425
13,26,109,4,0,0,0,0,0,0,0,0,0,0,1,3,143,0,2,145
14,208,131,4,0,0,1,0,0,0,0,1,0,2,1,0,348,0,3,351
15,87,112,2,0,0,1,0,0,0,1,0,0,3,2,3,211,0,9,220
16,55,153,4,1,0,0,0,1,0,0,0,1,0,1,2,218,0,1,219
17,396,50,1,0,0,0,1,0,0,0,0,0,1,1,2,452,0,18,470
18,44,278,2,0,1,0,0,1,0,0,0,0,0,0,3,329,0,1,330
19,498,96,0,0,1,0,0,0,0,0,0,1,1,1,6,604,0,6,610
20,478,146,6,0,1,0,0,0,0,0,2,0,0,2,3,638,0,22,660
21,447,78,3,0,2,1,0,0,0,0,0,0,2,3,4,540,0,16,556
22,210,197,1,1,0,1,0,0,1,0,0,0,1,1,7,420,0,6,426
23,279,113,0,0,1,0,1,1,0,0,0,1,1,0,2,399,0,7,406
24,154,162,1,1,0,1,0,2,0,0,0,0,0,0,4,325,0,3,328
25,86,137,0,0,0,0,0,0,0,0,0,0,3,0,4,230,0,3,233
26,174,306,1,0,1,0,0,1,1,0,1,0,0,1,0,486,0,12,498
27,134,208,1,0,0,0,0,0,0,0,0,0,0,0,4,347,0,3,350
28,257,138,3,0,0,0,1,1,0,1,0,2,0,1,3,407,0,8,415
29,289,54,1,0,0,0,0,2,0,0,0,0,0,3,0,349,0,1,350
30,310,213,2,1,0,0,0,2,0,0,1,0,2,1,5,537,0,8,545
31,28,217,5,3,1,0,0,1,0,0,1,2,2,3,11,274,0,5,279
32,246,298,7,1,2,0,2,0,0,1,1,2,4,1,4,569,0,11,580
33,115,79,0,0,0,0,0,0,0,1,1,1,4,3,6,210,0,7,217
34,25,524,4,1,0,0,3,0,0,0,0,0,1,1,17,576,0,2,578
35,55,443,3,0,3,0,1,0,0,0,0,1,1,1,2,510,0,4,514
36,129,196,2,1,1,0,0,1,0,1,1,1,4,1,6,344,0,8,352
37,441,112,0,0,1,0,0,1,0,0,0,0,0,0,3,558,0,4,562
38,271,222,2,1,0,0,0,0,0,0,0,0,3,2,3,504,0,4,508
39,587,28,2,0,0,1,0,0,0,1,0,0,0,3,0,622,0,18,640
40,17,346,1,0,0,0,0,0,0,0,0,1,0,0,2,367,0,3,370
41,207,144,1,0,0,0,1,1,0,0,0,0,1,2,3,360,0,9,369
42,88,192,8,1,0,1,1,1,0,0,0,2,4,2,8,308,0,8,316
43,161,62,0,0,0,0,0,0,0,0,0,0,1,0,0,224,0,2,226
44,61,293,1,0,1,0,0,0,0,0,0,0,1,3,9,369,0,4,373
45,268,71,4,1,0,0,1,2,2,0,1,1,0,2,4,357,0,8,365
46,275,227,2,0,3,0,1,1,0,0,0,1,1,0,3,514,0,7,521
47,308,184,2,1,1,0,0,1,1,0,0,1,0,1,5,505,0,7,512
48,111,519,8,1,2,0,0,0,0,0,2,0,2,1,13,659,0,7,666
49,621,40,1,0,0,0,0,0,0,1,0,0,0,0,0,663,0,4,667
50,1033,48,0,0,1,0,0,1,0,0,0,0,1,0,1,1085,0,15,1100
51,574,71,5,0,6,1,0,1,1,0,1,1,3,2,2,668,0,17,685
52,420,399,2,0,0,0,1,0,1,0,1,4,1,2,6,837,0,13,850
53,611,122,0,0,0,0,0,0,0,0,1,1,2,2,5,744,0,22,766
54,12,623,2,2,0,0,1,2,0,1,1,4,0,2,6,656,0,4,660
55,165,570,2,1,0,0,1,0,0,0,0,1,1,3,3,747,0,5,752
56,121,648,5,1,0,0,1,1,0,0,3,2,3,5,8,798,0,7,805
57,38,676,8,0,1,1,0,1,0,0,1,0,0,3,11,740,0,4,744
58,45,633,1,0,4,0,0,0,0,0,0,0,0,0,9,692,0,3,695
59,278,261,2,0,1,1,1,1,0,0,1,0,3,2,0,551,0,14,565
60,438,98,2,0,0,0,2,1,0,1,0,0,0,0,3,545,0,4,549
61,148,240,4,0,0,1,2,1,0,0,0,3,4,2,3,408,0,6,414
62,318,190,3,0,0,1,5,1,2,0,0,0,0,3,6,529,0,22,551
63,264,27,3,0,1,1,0,1,1,1,0,0,1,4,4,308,0,8,316
64,392,319,10,1,3,1,2,1,0,1,0,4,1,5,6,746,0,10,756
65,46,417,2,1,10,0,0,1,0,1,1,2,2,4,8,495,0,0,495
66,137,163,2,0,0,0,1,0,0,0,0,0,2,2,3,310,0,9,319
67,172,424,6,1,0,1,3,0,1,1,0,0,5,5,8,627,0,4,631
68,147,436,6,1,1,1,4,4,2,0,4,3,4,9,10,632,0,7,639
69,198,305,4,1,0,1,0,0,0,0,0,2,5,6,10,532,0,8,540
70,93,132,0,0,0,0,0,0,0,0,0,1,1,1,2,230,0,4,234
71,10,343,0,0,3,0,0,1,1,0,0,1,0,6,5,370,0,2,372
72,208,120,2,1,1,0,0,1,1,0,1,0,0,0,5,340,0,12,352
73,137,91,0,0,0,0,0,1,1,0,0,0,0,1,2,233,0,4,237
