Sr. No. & Name of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,,,Total  Valid  Votes tendered,No. of Rejected  Votes(Test Votes),Total,No. of Tendered Votes
,Chauhan devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakha  Sitabkha,Parikh Viral  Hasmukhbhai,Malek  Yakubmiya  Nabimiya,Malek Sadik Husen  Mahammd Hushen,Malek Sabirhusen  Ismailbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,None Of the above  (NOTA),,,,
1,86,246,1,0,0,0,0,0,0,0,1,1,2,3,4,7,351,0,351,0
2,64,464,9,0,0,0,0,0,0,0,0,2,1,2,3,15,560,0,560,0
3,136,452,5,0,2,1,3,2,1,2,0,0,1,0,4,4,613,0,613,0
4,407,149,0,0,1,1,0,0,0,0,2,1,2,1,3,11,578,0,578,0
5,515,217,0,0,0,0,2,1,3,0,2,3,1,11,5,35,795,0,795,0
6,349,173,4,1,1,1,0,3,2,1,1,2,5,5,6,15,569,0,569,0
7,150,169,5,0,1,0,2,0,0,0,0,1,1,2,5,14,350,0,350,0
8,347,71,1,0,1,0,0,1,0,0,0,2,2,1,3,7,436,0,436,0
9,397,57,0,0,0,0,0,1,0,0,1,1,0,1,3,6,467,0,467,0
10,188,87,2,1,3,0,1,2,0,1,1,2,4,3,8,20,323,0,323,0
11,457,245,3,1,1,1,1,0,0,0,0,0,3,7,12,41,772,0,772,0
12,429,220,3,0,2,1,1,0,1,0,1,0,6,4,18,25,711,0,711,0
13,555,58,3,0,1,2,0,0,0,2,0,2,3,4,5,21,656,0,656,0
14,348,181,9,1,0,0,0,1,2,1,1,4,5,1,6,14,574,0,574,0
15,123,181,3,1,2,0,1,2,0,0,0,0,1,2,0,3,319,0,319,0
16,595,240,5,4,2,4,2,1,1,3,1,0,6,3,11,29,907,0,907,0
17,304,145,4,1,0,1,0,1,1,0,0,1,2,2,6,8,476,0,476,0
18,98,297,8,1,1,0,0,1,0,0,1,1,3,6,3,13,433,0,433,0
19,628,167,1,0,0,0,0,1,1,1,0,0,4,2,7,24,836,0,836,0
