polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,Total of  Valid  Votes ,No of  rejected  Votes ,Votes for  'NOTA'  Option,Total  Votes,No of  tender  Votes 
1,7,140,95,2,1,3,0,1,3,10,10,8,280,0,13,293,0
2,5,120,157,0,0,2,2,7,1,8,2,5,309,0,12,321,0
3,15,238,78,6,1,1,1,1,1,6,16,12,376,0,45,421,0
4,12,239,76,3,1,4,2,2,0,5,3,1,348,0,7,355,0
5,14,247,168,1,4,0,0,1,1,0,3,3,442,0,1,443,0
6,4,235,100,4,2,0,0,2,2,5,9,6,369,0,10,379,0
7,2,152,75,1,0,1,0,1,4,3,8,5,252,0,4,256,0
8,8,194,42,2,0,1,0,1,2,2,5,3,260,0,9,269,0
9,4,174,49,1,1,0,0,2,1,6,4,7,249,0,4,253,0
10,15,300,147,10,2,3,0,3,1,9,4,6,500,0,6,506,0
11,11,282,66,1,0,0,0,0,1,10,3,2,376,0,4,380,0
12,3,232,88,2,2,1,1,1,3,91,8,4,436,0,21,457,0
13,5,318,60,4,2,1,0,4,3,13,9,14,433,0,24,457,0
14,5,204,27,0,2,1,0,1,1,1,7,6,255,0,8,263,0
15,7,188,279,6,1,4,1,2,2,36,10,4,540,0,24,564,0
16,8,181,91,1,0,1,1,5,4,19,5,3,319,0,10,329,0
17,6,264,33,0,0,0,0,1,2,4,2,1,313,0,3,316,0
18,6,104,28,3,2,0,1,2,1,26,3,3,179,0,5,184,0
19,3,276,339,5,1,1,0,2,1,80,1,4,713,0,14,727,0
20,12,325,49,1,0,0,1,1,3,49,13,9,463,0,13,476,0
21,2,148,80,2,1,0,1,2,1,19,3,5,264,0,6,270,0
22,2,279,102,4,1,1,0,0,1,15,9,6,420,0,19,439,0
23,4,151,33,2,2,1,0,3,0,15,1,6,218,0,13,231,0
24,7,234,197,5,2,1,0,0,4,6,5,6,467,0,7,474,0
25,5,149,62,1,2,0,1,0,0,2,2,0,224,0,0,224,0
26,2,339,18,2,1,0,1,0,1,3,5,4,376,0,9,385,0
27,8,198,28,2,0,0,2,1,0,2,2,4,247,0,9,256,0
28,12,242,198,3,2,1,1,2,1,10,8,8,488,0,11,499,0
29,4,296,79,5,0,0,2,3,6,5,8,16,424,0,29,453,0
30,5,121,65,4,1,0,1,1,3,5,11,6,223,0,29,252,0
31,9,236,29,1,1,0,1,1,1,4,6,6,295,0,12,307,0
32,3,203,69,4,1,1,0,0,2,6,2,3,294,0,8,302,0
33,1,215,42,1,0,0,1,1,1,1,4,2,269,0,2,271,0
34,1,102,12,0,0,0,0,1,1,4,1,2,124,0,5,129,0
35,7,247,17,2,0,0,1,0,0,7,2,0,283,0,4,287,0
36,4,224,105,2,0,0,0,2,2,3,7,2,351,0,14,365,0
37,13,269,66,1,1,2,1,0,1,4,8,5,371,0,9,380,0
38,1,113,61,1,3,0,1,2,1,2,5,7,197,0,11,208,0
