polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,valid,rejected,nota,total,tendered
1,19,516,82,2,0,1,0,1,0,2,5,8,636,0,15,651,0
2,3,293,21,0,0,1,1,0,0,0,0,0,319,0,8,327,0
3,8,222,203,3,2,0,1,2,2,0,5,4,452,0,8,460,0
4,22,285,132,3,2,2,1,0,1,4,10,7,469,0,10,479,0
5,12,220,120,2,3,0,0,3,3,5,12,10,390,0,23,413,0
6,7,289,220,2,0,0,2,2,0,1,3,1,527,0,13,540,0
7,10,205,140,3,1,0,3,2,1,3,7,6,381,0,11,392,0
8,6,86,107,2,1,0,2,0,1,2,1,0,208,0,7,215,0
9,10,286,144,1,0,0,1,0,2,0,3,4,451,0,11,462,0
10,6,162,176,4,0,0,1,2,1,6,8,6,372,0,14,386,0
11,14,303,124,2,2,1,1,2,2,3,9,13,476,0,10,486,0
12,5,259,193,5,0,0,0,2,2,2,7,6,481,0,27,508,0
13,11,212,107,5,4,2,2,3,6,6,13,15,386,0,16,402,0
14,5,142,171,3,0,0,3,2,2,2,7,5,342,0,20,362,0
15,10,232,269,5,3,1,1,2,1,4,6,5,539,0,8,547,0
16,7,204,324,5,5,1,0,1,4,9,10,6,576,0,13,589,0
17,51,532,178,9,7,2,3,5,1,6,9,15,818,0,33,851,0
18,11,348,90,2,2,2,0,0,0,1,4,0,460,0,4,464,0
19,8,335,115,1,0,0,1,0,1,3,7,6,477,0,14,491,0
20,4,102,149,3,0,0,0,1,1,2,4,7,273,0,8,281,0
21,1,94,140,2,0,1,1,1,0,2,5,1,248,0,6,254,0
22,36,102,142,6,1,1,1,5,2,7,10,18,331,0,51,382,0
23,6,645,46,0,0,0,0,0,1,1,0,1,700,0,2,702,0
24,7,168,130,5,3,1,0,1,2,6,3,3,329,0,3,332,0
25,17,437,118,5,1,1,0,2,2,2,4,8,597,0,16,613,0
26,8,644,29,3,0,2,0,3,1,0,0,2,692,0,3,695,0
27,25,236,138,3,1,0,3,2,4,1,11,9,433,0,26,459,0
28,7,118,25,3,1,0,1,3,1,0,3,5,167,0,28,195,0
29,21,459,33,3,1,0,3,6,2,1,7,7,543,0,13,556,0
30,11,386,114,11,2,3,0,4,4,4,9,13,561,0,21,582,0
31,17,172,171,5,2,1,3,2,6,3,7,5,394,0,27,421,0
32,21,280,145,7,1,2,1,2,5,2,10,13,489,0,19,508,0
33,2,134,157,5,4,2,4,1,3,5,4,8,329,0,17,346,0
34,16,258,257,8,1,0,1,2,7,5,7,10,572,0,21,593,0
