polling station,,,,,,,,,,,,,valid,rejected,nota,total,tendered
,BSP,BJP,INC,AAAP,SP,JD(U),GORA SHOEB MOHMADHANIF,S. N. CHAVADA (CHAVADA VAKIL),CHAVADA HARISHCHANDRASINH PRABHATSINH,Ind,MANSURI MUKHATYAR MOHAMMAD (PANTER M. LALA),VANKAR MANILAL BHANABHAI,,,,,
1,15,372,218,4,0,0,1,0,4,9,17,14,654,0,8,662,0
2,11,411,99,1,0,0,1,1,3,5,9,11,552,0,24,576,0
3,8,275,141,2,2,1,0,0,5,11,5,7,457,0,21,478,0
4,15,200,119,2,0,2,0,1,1,1,3,4,348,0,7,355,0
5,7,333,81,1,1,0,0,0,0,4,7,9,443,0,8,451,0
6,8,594,98,1,1,1,2,0,1,6,10,29,751,0,28,779,0
7,6,212,40,0,0,0,0,0,0,1,5,8,272,0,3,275,0
8,11,410,98,0,1,1,0,1,3,0,7,8,540,0,32,572,0
9,7,502,51,3,0,0,1,1,1,2,5,14,587,0,21,608,0
10,10,629,37,0,0,1,2,1,2,3,11,14,710,0,33,743,0
11,6,628,13,2,1,0,0,2,1,0,10,11,674,0,16,690,0
12,2,436,38,2,0,1,0,0,2,1,3,5,490,0,10,500,0
13,10,258,83,1,1,2,1,0,0,1,2,7,366,0,12,378,0
14,16,397,125,3,2,1,1,2,2,1,10,8,568,0,19,587,0
15,8,227,49,5,0,0,0,0,2,4,4,12,311,0,20,331,0
16,5,510,115,0,0,0,0,1,1,1,3,1,637,0,7,644,0
17,3,7,342,4,1,0,0,0,0,1,1,0,359,0,8,367,0
18,5,127,419,2,0,0,0,0,1,1,1,0,556,0,4,560,0
19,3,333,27,1,0,0,1,0,1,1,3,1,371,0,6,377,0
20,4,78,357,2,0,1,0,0,1,5,4,1,453,0,6,459,0
21,3,28,501,5,0,0,0,0,2,3,5,3,550,0,6,556,0
22,4,113,193,9,0,0,0,1,3,3,1,5,332,0,7,339,0
