Sr.No. of Polling station,Naranbhai Jemlabhai Rathva,Ramsinh Rathva,Prof. Arjunbhai Versingbhai Rathva Aam Aadmi Party,Vasava Prafulbhai Devajibhai Jantadal (United),Total Valid votes,No. of Rejected votes (Test Votes),Votes for NOTA' Option,Total,No. of tenderd votes
1,122,137,5,3,267,0,16,283,0
2,117,368,11,8,504,0,8,512,0
3,226,207,6,16,455,0,21,476,0
4,266,381,12,7,666,0,30,696,0
5,128,393,13,8,542,0,16,558,0
6,32,433,10,10,485,0,10,495,0
7,87,259,7,2,355,0,1,356,0
8,146,475,5,13,639,0,20,659,0
9,213,308,13,8,542,0,22,564,0
10,138,275,6,8,427,0,10,437,0
11,119,389,19,3,530,0,21,551,0
12,114,406,13,12,545,0,8,553,0
13,133,556,9,9,707,0,8,715,0
14,322,284,10,9,625,0,14,639,0
15,221,419,13,15,668,0,35,703,0
16,169,400,11,16,596,0,36,632,0
17,63,179,5,6,253,0,3,256,0
18,62,310,21,9,402,0,15,417,0
19,32,304,0,2,338,0,2,340,0
20,128,326,8,8,470,0,19,489,0
21,151,413,11,10,585,0,24,609,0
22,159,418,9,5,591,0,15,606,0
23,208,444,7,7,666,0,18,684,0
24,126,313,14,5,458,0,17,475,0
25,110,416,4,7,537,0,5,542,0
26,105,289,8,6,408,0,17,425,0
27,175,678,16,25,894,0,27,921,0
28,46,173,2,7,228,0,3,231,0
29,101,228,7,8,344,0,10,354,0
30,116,428,7,9,560,0,8,568,0
31,90,517,11,10,628,0,10,638,0
32,122,699,17,11,849,0,26,875,0
33,78,632,12,5,727,0,14,741,0
34,29,656,19,4,708,0,12,720,0
35,58,334,7,9,408,0,19,427,0
36,59,424,6,4,493,0,8,501,0
37,61,365,14,21,461,0,50,511,0
38,49,630,19,6,704,0,5,709,0
39,52,676,9,14,751,0,16,767,0
40,153,646,9,11,819,0,10,829,0
41,67,612,3,3,685,0,5,690,0
42,154,377,7,3,541,0,18,559,0
43,105,407,15,4,531,0,11,542,0
44,577,245,11,5,838,0,9,847,0
45,95,463,1,1,560,0,4,564,0
46,63,563,4,2,632,0,4,636,0
47,725,25,5,0,755,0,11,766,0
48,70,237,5,4,316,0,2,318,0
49,632,42,9,1,684,0,8,692,0
50,581,122,5,2,710,0,6,716,0
51,334,330,12,5,681,0,6,687,0
52,627,57,2,0,686,0,5,691,0
53,380,387,3,2,772,0,8,780,0
54,176,340,10,5,531,0,7,538,0
55,132,475,12,9,628,0,10,638,0
56,156,745,15,3,919,0,16,935,0
57,140,552,9,3,704,0,14,718,0
58,114,609,7,1,731,0,17,748,0
59,65,720,6,1,792,0,3,795,0
60,61,689,8,2,760,0,7,767,0
61,67,612,9,3,691,0,17,708,0
62,82,602,2,2,688,0,8,696,0
63,99,675,6,0,780,0,20,800,0
64,66,502,5,1,574,0,8,582,0
65,120,650,3,0,773,0,11,784,0
66,100,825,12,5,942,0,9,951,0
67,108,745,5,4,862,0,5,867,0
68,78,677,8,0,763,0,7,770,0
69,116,707,5,4,832,0,7,839,0
70,107,681,7,0,795,0,8,803,0
71,129,728,19,16,892,0,11,903,0
72,116,515,9,8,648,0,32,680,0
73,216,427,20,13,676,0,37,713,0
74,282,345,35,33,695,0,60,755,0
75,164,550,11,26,751,0,20,771,0
76,365,95,4,4,468,0,14,482,0
77,126,189,7,12,334,0,13,347,0
78,35,478,9,7,529,0,18,547,0
79,27,349,11,6,393,0,20,413,0
80,35,247,20,5,307,0,11,318,0
81,211,425,36,16,688,0,28,716,0
82,42,259,4,7,312,0,9,321,0
83,173,515,16,26,730,0,19,749,0
84,184,535,15,22,756,0,23,779,0
85,54,495,15,13,577,0,13,590,0
86,78,507,6,11,602,0,11,613,0
