polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid Votes,No. of  rejected  votes,NOTA,Total,No.of      tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C.  Muniya  Advocate,Meda  Jagdishbha i Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
1,11,94,218,9,3,6,1,4,3,3,352,Nil,16,368,0
2,16,99,323,10,2,5,1,0,12,3,471,Nil,9,480,0
3,30,178,274,11,7,13,7,2,9,19,550,Nil,53,603,0
4,8,57,45,2,1,3,1,0,0,7,124,Nil,12,136,0
5,12,72,106,12,6,75,2,3,7,4,299,Nil,18,317,0
6,6,114,315,10,1,30,1,3,4,3,487,Nil,23,510,0
7,12,30,90,9,4,8,1,2,2,4,162,Nil,13,175,0
8,28,134,114,14,5,6,4,7,4,17,333,Nil,48,381,0
9,22,175,89,6,1,6,2,4,24,16,345,Nil,44,389,0
10,22,239,163,11,3,5,2,2,2,7,456,Nil,20,476,0
11,12,275,142,7,2,11,1,2,7,10,469,Nil,7,476,0
12,20,151,137,7,0,5,1,1,4,8,334,Nil,22,356,0
13,35,334,264,25,5,21,5,4,9,8,710,Nil,28,738,0
14,38,435,101,8,5,3,3,2,5,4,604,Nil,13,617,0
,272,2387,2381,141,45,197,32,36,92,113,5696,0,326,6022,0
,272,2387,2381,141,45,197,32,36,92,113,5696,0,326,6022,0
15,6,205,228,7,1,2,3,1,3,9,465,Nil,17,482,0
16,15,147,193,11,3,2,3,1,3,4,382,Nil,20,402,0
17,14,190,197,13,1,1,7,1,8,16,448,Nil,37,485,0
18,10,37,158,15,2,0,2,4,4,0,232,Nil,6,238,0
19,11,146,162,8,6,3,12,0,9,14,371,Nil,45,416,0
20,31,184,205,8,1,8,4,5,10,20,476,Nil,49,525,0
