polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C. MUNIA  Advocate,Meda  Jagdishbhai  Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
1,35,426,98,3,1,2,1,0,0,6,572,0,8,580,0
2,36,336,179,2,2,1,5,0,2,3,566,0,21,587,0
3,11,425,74,5,0,1,0,3,7,11,537,0,8,545,0
4,27,447,194,7,2,3,4,6,7,10,707,0,30,737,0
5,12,338,181,9,1,5,2,8,8,13,577,0,49,626,0
6,19,455,70,4,2,0,3,2,6,9,570,0,20,590,0
7,1,223,5,0,0,0,0,0,0,0,229,0,0,229,0
8,16,380,86,6,2,0,0,3,3,9,505,0,10,515,0
9,28,540,142,14,4,4,1,5,4,5,747,0,11,758,0
10,29,316,124,5,2,1,6,4,4,10,501,0,20,521,0
11,47,575,253,13,7,6,9,0,15,21,946,0,32,978,0
12,17,784,88,5,3,6,1,0,1,0,905,0,10,915,0
13,2,793,43,1,0,0,0,2,0,1,842,0,7,849,0
14,5,950,40,4,0,0,2,0,2,2,1005,0,2,1007,0
,285,6988,1577,78,26,29,34,33,59,100,9209,0,228,9437,0
,285,6988,1577,78,26,29,34,33,59,100,9209,0,228,9437,0
15,14,362,133,6,5,3,4,6,9,12,554,0,18,572,0
16,12,400,109,5,1,3,4,4,7,13,558,0,27,585,0
17,19,320,139,5,2,0,2,2,2,2,493,0,30,523,0
18,52,249,96,7,3,0,3,1,3,5,419,0,7,426,0
19,1,421,23,1,0,0,1,0,1,0,448,0,0,448,0
20,14,324,71,5,3,4,6,3,10,8,448,0,25,473,0
21,11,532,29,0,1,2,1,0,0,1,577,0,4,581,0
22,0,449,4,1,0,0,0,0,0,0,454,0,0,454,0
23,43,434,266,12,3,4,14,4,9,25,814,0,68,882,0
24,2,94,528,11,3,1,3,2,2,1,647,0,3,650,0
25,9,308,255,7,7,4,7,7,9,9,622,0,15,637,0
26,22,212,150,10,2,11,7,7,3,3,427,0,11,438,0
27,16,187,86,4,3,1,7,2,4,9,319,0,17,336,0
28,11,291,117,7,2,1,1,2,1,2,435,0,18,453,0
,511,11571,3583,159,61,63,94,73,119,190,16424,0,471,16895,0
,511,11571,3583,159,61,63,94,73,119,190,16424,0,471,16895,0
29,23,471,189,6,6,4,12,7,4,13,735,0,29,764,0
30,15,215,109,6,2,2,5,0,0,4,358,0,9,367,0
31,5,450,43,1,0,1,1,1,0,3,505,0,6,511,0
32,6,896,38,2,0,0,0,1,3,1,947,0,4,951,0
33,11,766,81,1,0,4,1,1,2,2,869,0,4,873,0
34,21,640,154,5,1,5,5,6,3,11,851,0,22,873,0
35,2,478,3,0,0,1,1,0,1,0,486,0,2,488,0
36,9,661,65,1,1,2,0,2,0,5,746,0,4,750,0
37,6,781,59,2,0,3,0,0,1,2,854,0,3,857,0
38,10,743,44,8,0,1,1,5,3,3,818,0,18,836,0
39,10,814,31,1,1,3,0,3,4,6,873,0,32,905,0
40,9,400,25,1,0,1,0,0,0,0,436,0,5,441,0
41,3,896,3,2,0,0,0,0,0,0,904,0,0,904,0
42,3,587,7,3,0,0,1,0,0,2,603,0,2,605,0
,644,20369,4434,198,72,90,121,99,140,242,26409,0,611,27020,0
,644,20369,4434,198,72,90,121,99,140,242,26409,0,611,27020,0
43,34,464,36,8,7,0,3,1,1,3,557,0,8,565,0
44,6,663,27,6,1,2,0,3,0,1,709,0,4,713,0
45,6,278,140,14,4,2,1,1,3,7,456,0,12,468,0
46,1,480,25,1,0,0,0,0,0,0,507,0,0,507,0
47,5,275,125,6,0,0,1,0,2,3,417,0,8,425,0
48,12,229,275,13,3,13,5,4,12,16,582,0,32,614,0
49,22,318,147,11,4,5,6,7,5,14,539,0,44,583,0
50,10,217,96,9,2,3,1,2,2,7,349,0,3,352,0
51,11,352,166,8,2,2,1,2,6,6,556,0,18,574,0
52,36,646,101,6,2,1,4,1,2,3,802,0,12,814,0
53,21,327,104,5,2,3,2,1,2,0,467,0,4,471,0
54,25,678,138,6,6,1,6,2,10,12,884,0,25,909,0
55,9,531,26,2,0,3,2,1,2,8,584,0,11,595,0
56,15,406,33,6,1,1,1,1,5,5,474,0,13,487,0
,857,26233,5873,299,106,126,154,125,192,327,34292,0,805,35097,0
,857,26233,5873,299,106,126,154,125,192,327,34292,0,805,35097,0
57,16,427,85,2,2,3,2,5,2,11,555,0,17,572,0
58,23,342,240,8,2,4,2,1,7,13,642,0,21,663,0
59,14,535,32,5,1,2,0,1,3,7,600,0,6,606,0
60,10,374,41,2,1,2,1,1,0,5,437,0,3,440,0
61,10,477,53,9,1,0,3,4,5,14,576,0,28,604,0
62,30,597,67,5,2,1,4,0,2,6,714,0,10,724,0
63,10,484,89,2,0,2,3,0,2,0,592,0,7,599,0
64,3,643,11,0,1,1,1,0,0,0,660,0,1,661,0
65,3,976,52,1,0,1,0,0,0,4,1037,0,6,1043,0
66,5,700,53,1,3,1,0,0,2,14,779,0,7,786,0
67,11,354,22,2,2,1,2,0,4,3,401,0,5,406,0
68,8,557,105,2,3,3,1,0,0,4,683,0,8,691,0
69,5,193,79,6,4,5,2,0,2,3,299,0,9,308,0
70,14,374,122,7,1,0,3,0,1,2,524,0,6,530,0
,1019,33266,6924,351,129,152,178,137,222,413,42791,0,939,43730,0
,1019,33266,6924,351,129,152,178,137,222,413,42791,0,939,43730,0
71,18,274,305,12,4,4,5,3,3,13,641,0,15,656,0
72,17,271,250,8,2,2,4,3,3,8,568,0,21,589,0
73,2,372,47,0,0,1,3,0,1,2,428,0,2,430,0
74,9,399,81,5,0,1,5,1,2,3,506,0,4,510,0
75,19,344,142,7,2,1,0,3,5,10,533,0,8,541,0
76,6,326,90,2,2,2,4,2,1,3,438,0,8,446,0
77,20,454,166,15,4,5,5,0,2,2,673,0,9,682,0
78,23,670,132,6,5,2,5,3,1,3,850,0,26,876,0
79,18,373,187,11,1,2,3,4,10,10,619,0,9,628,0
80,18,587,121,10,4,2,0,0,6,5,753,0,21,774,0
81,11,497,87,5,2,2,1,0,3,4,612,0,13,625,0
82,5,346,57,4,1,0,0,0,0,2,415,0,2,417,0
83,32,399,90,8,2,2,2,2,6,9,552,0,12,564,0
84,7,482,29,0,1,1,0,0,1,0,521,0,2,523,0
,1224,39060,8708,444,159,179,215,158,266,487,50900,0,1091,51991,0
,1224,39060,8708,444,159,179,215,158,266,487,50900,0,1091,51991,0
85,5,423,40,2,2,1,2,1,2,6,484,0,5,489,0
86,2,901,12,3,0,0,0,0,0,1,919,0,2,921,0
87,13,557,31,1,0,2,0,0,0,2,606,0,5,611,0
88,11,444,63,3,3,1,2,1,2,3,533,0,1,534,0
89,12,905,24,1,0,2,3,1,0,1,949,0,3,952,0
90,6,230,118,4,1,0,2,3,3,4,371,0,10,381,0
91,11,487,143,4,2,2,1,5,2,8,665,0,8,673,0
92,24,618,41,2,1,1,5,1,2,3,698,0,29,727,0
93,25,443,178,7,5,2,2,2,1,3,668,0,24,692,0
94,16,610,136,3,3,2,5,3,0,7,785,0,23,808,0
95,32,732,68,6,2,4,4,0,3,1,852,0,7,859,0
96,14,560,94,7,8,1,6,2,13,17,722,0,48,770,0
97,24,592,126,4,1,1,2,5,8,9,772,0,24,796,0
98,19,543,128,5,4,8,3,3,4,7,724,0,26,750,0
,1438,47105,9910,496,191,206,252,185,306,559,60648,0,1306,61954,0
,1438,47105,9910,496,191,206,252,185,306,559,60648,0,1306,61954,0
99,15,539,189,5,2,2,3,1,3,4,763,0,22,785,0
100,18,514,54,9,6,4,7,11,6,20,649,0,30,679,0
101,25,557,123,9,3,2,1,1,4,11,736,0,29,765,0
102,8,296,83,1,1,0,4,4,3,3,403,0,9,412,0
103,5,190,29,4,1,2,1,1,1,2,236,0,0,236,0
104,6,638,178,1,1,3,0,1,1,1,830,0,10,840,0
105,15,567,213,13,4,9,5,2,3,10,841,0,17,858,0
106,12,364,143,8,3,0,5,5,7,10,557,0,20,577,0
107,5,155,68,6,4,1,1,0,5,6,251,0,12,263,0
108,10,223,64,3,1,2,2,1,4,2,312,0,14,326,0
109,23,385,168,4,2,7,3,1,3,3,599,0,16,615,0
110,9,260,147,6,6,0,5,0,3,2,438,0,8,446,0
111,23,420,117,11,4,2,4,5,6,8,600,0,25,625,0
112,16,233,103,6,2,3,1,2,2,1,369,0,4,373,0
,1628,52446,11589,582,231,243,294,220,357,642,68232,0,1522,69754,0
,1628,52446,11589,582,231,243,294,220,357,642,68232,0,1522,69754,0
113,16,248,125,4,2,3,7,1,2,6,414,0,11,425,0
114,0,573,1,0,0,0,0,0,0,0,574,0,0,574,0
115,15,411,188,7,0,1,3,4,7,4,640,0,14,654,0
116,19,152,333,18,4,2,2,0,3,5,538,0,11,549,0
117,6,344,63,1,0,0,2,0,0,4,420,0,5,425,0
118,6,365,95,4,1,1,4,5,2,3,486,0,14,500,0
119,9,119,143,3,1,0,2,1,2,3,283,0,2,285,0
120,17,394,110,4,0,2,2,1,8,18,556,0,19,575,0
121,13,312,105,0,2,1,3,2,2,9,449,0,24,473,0
122,22,589,112,4,3,3,4,4,1,4,746,0,16,762,0
123,26,416,280,13,1,5,1,2,2,4,750,0,13,763,0
124,10,265,185,5,2,2,1,3,3,7,483,0,7,490,0
125,9,593,79,3,2,2,0,1,2,3,694,0,16,710,0
126,20,540,105,6,2,2,4,0,3,7,689,0,11,700,0
,1816,57767,13513,654,251,267,329,244,394,719,75954,0,1685,77639,0
,1816,57767,13513,654,251,267,329,244,394,719,75954,0,1685,77639,0
127,17,282,94,4,3,2,2,0,5,11,420,0,42,462,0
128,19,326,223,7,1,4,3,3,2,9,597,0,15,612,0
129,17,331,71,4,0,0,3,2,5,5,438,0,13,451,0
130,3,331,118,3,2,0,5,3,4,6,475,0,5,480,0
131,22,464,149,7,0,3,4,45,4,14,712,0,14,726,0
132,6,394,77,9,3,0,1,4,1,4,499,0,10,509,0
133,34,292,236,8,5,0,4,5,8,7,599,0,20,619,0
134,13,294,182,2,2,0,8,3,9,6,519,0,15,534,0
135,25,374,320,13,7,2,7,2,4,10,764,0,38,802,0
136,20,483,80,5,5,4,2,1,6,12,618,0,12,630,0
137,8,340,55,3,0,1,1,3,4,6,421,0,5,426,0
138,8,504,100,5,1,0,1,1,3,9,632,0,16,648,0
139,25,318,195,8,1,3,1,5,2,6,564,0,21,585,0
140,8,697,103,4,1,0,1,2,3,0,819,0,8,827,0
,2041,63197,15516,736,282,286,372,323,454,824,84031,0,1919,85950,0
,2041,63197,15516,736,282,286,372,323,454,824,84031,0,1919,85950,0
141,14,266,270,8,3,3,6,1,5,11,587,0,16,603,0
142,29,471,154,14,4,4,4,5,6,13,704,0,22,726,0
143,12,478,79,4,2,3,3,6,2,10,599,0,17,616,0
144,39,512,213,6,1,2,3,5,4,21,806,0,56,862,0
145,11,299,241,9,1,5,2,0,5,5,578,0,24,602,0
146,16,422,220,9,4,7,7,3,9,12,709,0,38,747,0
147,8,451,160,0,0,1,2,1,2,2,627,0,11,638,0
148,6,382,116,0,0,5,1,2,1,0,513,0,5,518,0
149,9,358,187,1,1,3,1,2,0,6,568,0,6,574,0
150,27,270,212,9,2,3,3,2,5,5,538,0,10,548,0
151,17,453,104,7,4,2,7,1,6,16,617,0,29,646,0
152,13,284,55,5,1,5,1,5,6,4,379,0,19,398,0
153,10,538,32,4,2,0,3,0,1,2,592,0,16,608,0
154,14,320,116,7,4,2,7,0,7,3,480,0,10,490,0
,2266,68701,17675,819,311,331,422,356,513,934,92328,0,2198,94526,0
,2266,68701,17675,819,311,331,422,356,513,934,92328,0,2198,94526,0
155,13,590,135,5,3,14,5,4,10,6,785,0,36,821,0
156,38,598,114,4,3,0,4,2,7,15,785,0,52,837,0
157,18,389,117,7,5,4,3,3,6,6,558,0,27,585,0
158,11,359,42,0,4,4,3,2,2,5,432,0,5,437,0
159,17,466,82,4,0,4,4,0,5,6,588,0,19,607,0
160,20,380,149,5,4,2,6,3,8,15,592,0,35,627,0
161,7,574,80,3,1,3,3,3,13,6,693,0,15,708,0
162,29,514,93,8,2,7,5,10,3,16,687,0,68,755,0
163,30,509,97,3,3,0,3,3,2,6,656,0,18,674,0
164,22,490,91,7,1,0,6,4,11,6,638,0,24,662,0
165,22,197,144,12,3,6,2,2,10,12,410,0,35,445,0
166,15,297,56,5,2,8,7,3,5,1,399,0,12,411,0
167,11,387,91,4,1,0,0,1,3,2,500,0,9,509,0
168,5,346,98,3,4,1,3,3,3,5,471,0,14,485,0
,2524,74797,19064,889,347,384,476,399,601,1041,100522,0,2567,103089,0
,2524,74797,19064,889,347,384,476,399,601,1041,100522,0,2567,103089,0
169,9,241,41,5,2,1,0,0,0,4,303,0,8,311,0
170,8,376,99,3,4,9,4,4,7,8,522,0,18,540,0
171,17,267,294,6,6,1,5,3,12,16,627,0,63,690,0
172,27,332,187,12,4,3,4,4,10,22,605,0,46,651,0
