polling station,,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,NOTA,Total,No.of      tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C. Muniya  Advocate,Meda  Jagdishbhai  Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
1,7,107,268,13,4,3,3,0,1,3,409,N,10,419,0
2,4,105,157,10,2,3,1,1,11,7,301,N,18,319,0
3,14,76,387,10,2,17,3,3,6,5,523,N,32,555,0
4,16,286,155,10,3,2,8,2,9,10,501,N,24,525,0
5,20,351,227,26,4,2,2,3,4,6,645,N,15,660,0
6,14,211,395,22,5,7,12,2,11,7,686,N,30,716,0
7,28,483,184,5,4,1,3,7,7,16,738,N,37,775,0
8,20,535,164,7,4,1,2,2,4,10,749,N,20,769,0
9,24,269,131,8,6,4,7,3,17,19,488,N,55,543,0
10,16,158,217,12,4,2,3,3,8,8,431,N,33,464,0
11,30,467,264,13,4,3,6,3,9,7,806,N,45,851,0
12,3,77,296,16,6,4,1,6,4,7,420,N,25,445,0
13,17,143,146,9,1,2,5,0,4,9,336,N,19,355,0
14,22,163,520,20,3,2,5,2,21,14,772,N,28,800,0
15,8,141,242,4,0,2,0,2,2,3,404,N,10,414,0
16,14,198,96,12,2,2,3,4,2,5,338,N,15,353,0
17,9,243,44,6,1,0,7,3,10,9,332,N,23,355,0
18,24,247,119,2,4,3,3,6,11,11,430,N,30,460,0
19,11,62,181,14,1,0,3,3,5,4,284,N,3,287,0
20,12,202,249,8,2,2,1,1,4,8,489,N,14,503,0
21,15,295,365,23,4,1,5,2,6,8,724,N,31,755,0
22,15,168,357,7,0,7,3,0,4,5,566,N,34,600,0
23,13,73,334,13,2,1,2,3,2,5,448,N,21,469,0
24,20,168,267,11,3,3,6,2,3,11,494,N,27,521,0
25,5,51,155,7,1,3,1,0,1,0,224,N,2,226,0
26,14,155,291,5,2,1,4,4,15,6,497,N,15,512,0
27,15,85,246,13,5,8,4,1,2,2,381,N,12,393,0
28,6,129,362,11,3,3,3,4,7,5,533,N,15,548,0
,416,5648,6819,317,82,89,106,72,190,210,13949,0,643,14592,0
