polling station,No. of valid votes cast in favour of,,,,,,,,,Total of valid votes,No. of rejected votes,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusudan Mohanbhai,Jadav Ambalal Kanabhai,Tapan Dasgupta,Pathan Mahemudkhan Razakkhan,Pathan Sahebkhan Asifkhan,Sunil Digambar Kulkarni,NOTA,,,,
1,753,91,1,2,0,3,1,3,22,876,,876,0
2,524,63,3,1,1,5,2,2,23,624,,624,0
3,569,111,1,2,3,3,3,1,4,697,,697,0
4,416,175,8,1,3,3,0,1,13,620,,620,0
5,427,153,5,4,1,0,2,2,7,601,,601,0
6,529,188,6,1,1,1,2,4,5,737,,737,0
7,321,321,3,0,3,1,5,7,24,685,,685,0
8,340,151,5,2,2,4,3,5,11,523,,523,0
9,88,175,2,2,0,2,2,4,4,279,,279,0
10,60,112,4,1,2,0,0,1,4,184,,184,0
11,118,19,0,0,1,0,1,2,3,144,,144,0
12,282,90,1,1,1,0,1,1,7,384,,384,0
13,233,196,1,3,0,1,1,2,4,441,,441,0
14,284,70,1,0,1,1,1,3,4,365,,365,0
15,434,160,0,0,0,1,2,3,7,607,,607,0
16,242,438,4,1,3,2,4,5,12,711,,711,0
17,406,186,6,1,1,1,1,4,9,615,,615,0
18,314,253,10,3,2,1,2,0,11,596,,596,0
19,240,174,3,1,2,0,3,7,27,457,,457,0
20,308,150,8,0,1,1,1,5,10,484,,484,0
21,341,93,0,3,1,0,2,3,27,470,,470,0
22,422,84,7,4,3,4,2,1,12,539,,539,0
23,281,107,2,2,1,0,0,1,8,402,,402,0
24,304,81,6,0,2,0,5,6,13,417,,417,0
25,278,305,1,2,1,0,1,4,11,603,,603,0
26,292,297,7,4,0,0,1,5,12,618,,618,0
27,523,33,2,3,1,2,1,1,31,597,,597,0
28,450,179,8,1,2,0,0,2,8,650,,650,0
29,302,209,6,0,2,1,0,1,12,533,,533,0
30,196,186,5,0,2,0,3,5,15,412,,412,0
31,245,133,1,0,0,2,0,4,5,390,,390,0
32,305,207,8,0,1,0,0,7,11,539,,539,0
33,450,136,1,2,1,0,1,3,6,600,,600,0
34,250,90,1,2,0,1,0,0,8,352,,352,0
35,386,53,1,1,1,1,1,2,16,462,,462,0
36,263,95,1,0,1,0,0,3,9,372,,372,0
37,320,62,0,0,2,1,1,2,5,393,,393,0
38,335,205,4,5,1,2,4,4,27,587,,587,0
39,134,97,4,2,0,0,1,2,4,244,,244,0
40,496,147,3,2,0,1,5,4,23,681,,681,0
41,368,128,7,1,4,0,0,5,12,525,,525,0
42,306,133,2,0,2,0,3,2,15,463,,463,0
43,555,99,3,1,1,2,2,5,29,697,,697,0
44,226,51,2,1,1,1,1,2,13,298,,298,0
45,291,68,2,1,3,0,0,6,7,378,,378,0
46,440,161,1,1,3,1,3,4,21,635,,635,0
47,252,64,2,1,0,0,0,1,2,322,,322,0
48,260,44,1,0,1,1,2,4,38,351,,351,0
49,234,44,1,1,1,0,1,2,12,296,,296,0
50,221,228,5,9,2,0,2,3,1,471,,471,0
51,246,76,3,5,4,0,2,1,2,339,,339,0
52,159,198,3,0,0,0,0,0,3,363,,363,0
53,226,185,8,2,1,0,7,4,19,452,,452,0
54,294,72,3,3,1,0,1,3,10,387,,387,0
55,291,60,1,1,0,0,2,5,0,360,,360,0
56,423,55,2,0,3,2,6,2,12,505,,505,0
57,145,142,1,1,2,1,0,1,5,298,,298,0
58,356,69,3,0,1,2,5,9,22,467,,467,0
59,91,318,3,1,0,1,1,1,1,417,,417,0
60,151,253,3,2,2,3,2,1,1,418,,418,0
61,399,94,2,1,3,1,2,3,10,515,,515,0
62,216,73,5,2,0,1,4,2,11,314,,314,0
63,354,190,2,0,2,0,2,4,17,571,,571,0
64,228,183,8,0,3,1,1,4,13,441,,441,0
65,406,323,7,1,2,4,8,5,25,781,,781,0
66,467,110,6,0,2,2,0,1,26,614,,614,0
67,325,201,2,0,3,1,1,3,19,555,,555,0
68,588,141,9,1,2,1,2,2,13,759,,759,0
69,452,41,1,0,0,1,4,4,39,542,,542,0
70,432,140,7,0,1,1,0,2,9,592,,592,0
71,395,29,2,0,0,0,0,1,8,435,,435,0
72,200,108,5,1,1,0,0,4,8,327,,327,0
73,431,107,8,0,4,2,0,2,12,566,,566,0
74,550,107,3,3,1,0,1,6,28,699,,699,0
75,471,73,3,0,2,2,3,2,15,571,,571,0
76,402,172,4,0,1,1,1,1,9,591,,591,0
77,350,104,4,2,3,1,1,0,14,479,,479,0
78,236,91,0,0,0,0,6,4,18,355,,355,0
79,490,94,4,0,2,1,0,4,21,616,,616,0
80,306,263,5,3,2,0,2,7,32,620,,620,0
81,356,169,4,0,4,0,2,1,19,555,,555,0
82,250,89,4,0,2,1,0,1,16,363,,363,0
83,187,68,2,2,0,1,0,0,12,272,,272,0
84,203,69,4,1,0,1,0,0,6,284,,284,0
85,424,39,0,0,0,0,0,0,7,470,,470,0
86,461,107,1,0,2,0,4,3,16,594,,594,0
87,372,200,4,2,0,0,2,4,12,596,,596,0
88,330,91,1,1,1,1,2,12,24,463,,463,0
89,392,288,5,1,5,3,1,3,8,706,,706,0
90,204,300,9,0,1,1,3,4,15,537,,537,0
91,307,283,15,1,2,1,2,6,6,623,,623,0
92,331,224,8,2,2,1,4,4,17,593,,593,0
93,529,186,6,0,3,1,3,2,12,742,,742,0
94,428,215,5,0,3,5,3,4,34,697,,697,0
95,144,295,9,3,0,1,3,12,14,481,,481,0
96,381,132,3,0,2,0,1,4,3,526,,526,0
97,449,216,7,1,2,1,4,7,13,700,,700,0
98,487,62,8,0,2,1,0,3,19,582,,582,0
99,217,23,0,0,0,0,0,0,3,243,,243,0
100,365,140,5,0,1,1,3,2,13,530,,530,0
101,415,69,4,2,1,4,1,2,27,525,,525,0
102,474,127,10,1,0,2,3,6,18,641,,641,0
103,412,66,3,1,0,3,0,4,13,502,,502,0
104,306,74,4,0,0,0,1,0,5,390,,390,0
105,419,96,8,0,1,1,1,3,15,544,,544,0
106,285,151,1,0,0,0,1,1,4,443,,443,0
107,522,74,2,1,2,0,2,0,9,612,,612,0
108,306,162,3,0,3,0,3,1,6,484,,484,0
109,615,194,3,1,1,0,4,5,12,835,,835,0
110,311,128,1,1,0,1,0,1,3,446,,446,0
111,452,105,1,0,2,0,1,1,13,575,,575,0
112,419,49,1,0,1,0,0,4,8,482,,482,0
113,641,231,2,1,5,1,3,7,34,925,,925,0
114,418,17,2,0,0,0,0,0,5,442,,442,0
115,217,251,1,0,0,0,2,2,7,480,,480,0
116,469,66,0,2,0,1,1,3,10,552,,552,0
117,392,39,0,0,1,1,1,0,5,439,,439,0
118,478,334,5,0,0,0,1,2,8,828,,828,0
119,320,398,4,0,1,1,2,2,14,742,,742,0
120,451,340,4,0,2,1,0,3,8,809,,809,0
121,587,152,2,1,1,2,0,4,15,764,,764,0
122,773,146,4,0,1,0,0,4,3,931,,931,0
123,519,134,1,1,1,2,2,2,12,674,,674,0
124,691,65,10,2,2,0,4,1,13,788,,788,0
125,336,75,4,1,0,0,1,3,17,437,,437,0
126,442,102,0,2,0,0,2,3,16,567,,567,0
127,310,332,3,1,2,0,4,6,3,661,,661,0
128,98,211,3,0,1,1,1,2,2,319,,319,0
129,448,179,10,3,1,1,1,8,18,669,,669,0
130,240,101,0,0,0,0,0,0,4,345,,345,0
131,244,283,5,1,2,1,3,1,3,543,,543,0
132,707,77,1,1,1,0,2,0,22,811,,811,0
133,516,239,7,1,3,2,6,6,20,800,,800,0
134,215,195,0,0,2,0,2,8,6,428,,428,0
135,517,96,0,6,0,1,10,3,16,649,,649,0
136,325,35,1,0,1,1,1,1,5,370,,370,0
137,566,83,6,2,2,1,3,3,16,682,,682,0
138,451,336,13,1,2,4,2,9,22,840,,840,0
139,121,629,7,5,6,5,4,5,11,793,,793,0
140,503,69,0,2,3,0,2,4,9,592,,592,0
141,351,8,0,1,0,0,1,0,5,366,,366,0
142,263,134,3,1,1,3,0,1,9,415,,415,0
143,566,108,0,0,1,0,1,0,8,684,,684,0
144,566,201,3,1,2,3,2,10,20,808,,808,0
145,194,580,6,2,1,2,1,5,4,795,,795,0
146,141,526,2,0,1,0,1,3,2,676,,676,0
147,184,268,7,1,1,0,3,4,6,474,,474,0
148,130,201,0,1,1,0,0,10,4,347,,347,0
149,425,102,4,0,0,0,2,3,9,545,,545,0
150,431,39,0,0,0,0,1,3,11,485,,485,0
151,487,70,2,2,3,2,3,6,25,600,,600,0
152,195,444,6,1,1,2,1,4,7,661,,661,0
153,428,286,5,2,3,2,1,6,19,752,,752,0
154,531,64,4,0,1,1,0,3,14,618,,618,0
155,425,80,0,0,0,0,0,1,12,518,,518,0
156,654,87,2,1,1,1,3,6,18,773,,773,0
157,396,86,4,0,1,2,0,1,7,497,,497,0
