Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusudan Mohanbhai,Jadav Ambalal Kanabhai,Tapan Dasgupta,Pathan Mahemudkhan Razakkhan,Pathan Sahebkhan Asifkhan,Sunil Digambar Kulkarni,,,,,
1,715,34,0,0,0,0,1,0,750,0,3,753,0
2,653,126,4,1,1,0,1,6,792,0,9,801,0
3,570,201,13,4,1,2,2,3,796,0,18,814,0
4,490,307,4,0,2,0,3,2,808,0,8,816,0
5,441,269,8,0,0,0,2,5,725,0,22,747,0
6,561,156,3,0,2,1,2,2,727,0,7,734,0
7,355,161,1,0,1,1,2,3,524,0,9,533,0
8,414,213,6,1,1,1,1,3,640,0,21,661,0
9,352,199,2,1,1,0,1,1,557,0,15,572,0
10,689,58,3,3,2,0,2,7,764,0,50,814,0
11,491,216,18,2,3,0,3,2,735,0,10,745,0
12,485,177,1,0,1,0,4,2,670,0,11,681,0
13,324,181,2,1,2,0,3,1,514,0,10,524,0
14,405,334,6,1,2,0,0,7,755,0,5,760,0
15,373,261,4,2,0,1,1,2,644,0,0,644,0
16,279,165,2,2,0,0,1,2,451,0,7,458,0
17,469,117,2,0,1,0,1,1,591,0,7,598,0
18,533,306,1,0,4,1,6,8,859,0,8,867,0
19,421,323,7,1,2,1,1,3,759,0,19,778,0
20,315,286,2,2,1,0,1,9,616,0,6,622,0
21,530,124,0,2,1,1,0,3,661,0,12,673,0
22,523,157,1,1,0,1,2,5,690,0,1,691,0
23,208,308,7,0,1,0,1,5,530,0,12,542,0
24,511,50,4,0,1,0,3,2,571,0,5,576,0
25,619,115,4,0,4,6,2,9,759,0,41,800,0
26,469,177,2,1,0,3,0,11,663,0,8,671,0
27,491,308,9,2,3,0,5,8,826,0,26,852,0
28,484,393,9,2,3,0,6,5,902,0,9,911,0
29,411,320,4,2,0,1,0,3,741,0,6,747,0
30,705,162,2,1,1,0,2,7,880,0,20,900,0
31,505,100,2,1,0,1,1,3,613,0,8,621,0
32,331,109,0,1,2,1,1,1,446,0,5,451,0
33,416,122,3,1,1,0,2,10,555,0,8,563,0
34,181,93,3,1,2,1,2,0,283,0,4,287,0
35,586,155,4,0,0,0,0,13,758,0,15,773,0
36,432,248,4,3,3,0,1,8,699,0,16,715,0
37,483,240,14,2,3,2,5,8,757,0,18,775,0
38,607,185,11,4,4,1,8,1,821,0,22,843,0
39,536,323,2,0,1,0,2,6,870,0,11,881,0
40,522,372,15,4,5,3,2,6,929,0,12,941,0
41,686,232,4,1,0,2,2,4,931,0,12,943,0
42,769,200,8,2,1,2,2,7,991,0,15,1006,0
43,536,386,2,1,3,2,6,3,939,0,22,961,0
44,411,166,8,2,2,2,5,5,601,0,11,612,0
45,310,380,5,2,2,0,1,16,716,0,11,727,0
46,646,206,3,2,1,0,6,10,874,0,31,905,0
47,651,255,8,3,2,3,6,4,932,0,44,976,0
48,526,336,14,3,5,4,3,6,897,0,22,919,0
49,678,149,11,0,1,1,0,5,845,0,18,863,0
50,706,181,8,2,2,4,4,6,913,0,23,936,0
51,621,160,8,0,1,1,3,4,798,0,34,832,0
52,608,278,3,1,2,2,3,8,905,0,33,938,0
53,660,195,6,3,5,6,5,4,884,0,35,919,0
54,487,154,5,0,4,1,0,1,652,0,4,656,0
55,269,170,4,3,1,1,2,3,453,0,7,460,0
56,432,86,2,0,2,1,1,1,525,0,16,541,0
57,356,130,4,0,1,2,3,3,499,0,19,518,0
58,544,133,5,2,2,0,0,2,688,0,10,698,0
59,391,237,6,1,3,1,3,3,645,0,12,657,0
60,517,66,2,0,0,0,1,1,587,0,3,590,0
61,490,206,6,3,1,2,2,5,715,0,14,729,0
62,145,74,1,0,0,1,0,3,224,0,7,231,0
63,284,30,0,1,0,0,0,4,319,0,6,325,0
64,384,76,1,0,0,0,1,4,466,0,1,467,0
65,593,103,2,1,2,0,1,3,705,0,11,716,0
66,377,182,11,4,2,5,5,7,593,0,18,611,0
67,314,130,3,0,0,1,1,0,449,0,16,465,0
