Serial No. of Polling Station,No. of valid votes cast in favour of,,,,Total of valid votes,No. of rejected votes,NOTA 5,Total,No. of tendered votes
,Naranbhai Jemalabhai Rathva 1,Ramsinh Rathwa 2,Prof. Arjunbhai Versingbhai Rathva 3,Vasava Prafulbhai Devjibhai 4,,,,,
1,47,281,17,5,350,0,20,370,0
2,489,175,17,13,694,0,74,768,0
3,90,224,13,6,333,0,6,339,0
4,96,117,8,4,225,0,10,235,0
5,101,327,31,32,491,0,62,553,0
6,219,146,11,5,381,0,9,390,0
7,161,257,9,4,431,0,10,441,0
8,93,387,16,4,500,0,12,512,0
9,63,125,9,2,199,0,1,200,0
10,18,139,5,1,163,0,7,170,0
11,197,57,1,0,255,0,9,264,0
12,117,133,6,2,258,0,6,264,0
13,164,284,27,22,497,0,60,557,0
14,559,118,8,1,686,0,10,696,0
15,366,226,31,9,632,0,10,642,0
16,282,435,26,10,753,0,37,790,0
17,321,297,13,12,643,0,15,658,0
18,316,236,16,12,580,0,28,608,0
19,167,304,32,7,510,0,22,532,0
20,145,218,24,11,398,0,34,432,0
21,141,333,16,9,499,0,14,513,0
22,91,308,13,5,417,0,15,432,0
23,23,504,0,0,527,0,0,527,0
24,206,491,26,25,748,0,67,815,0
25,260,220,7,5,492,0,15,507,0
26,265,189,8,7,469,0,15,484,0
27,234,244,6,11,495,0,14,509,0
28,125,111,6,3,245,0,9,254,0
29,260,192,8,10,470,0,45,515,0
30,182,308,16,8,514,0,23,537,0
31,157,396,19,12,584,0,26,610,0
32,136,360,14,9,519,0,12,531,0
33,210,91,34,17,352,0,31,383,0
34,251,95,10,14,370,0,45,415,0
35,152,508,42,10,712,0,19,731,0
36,135,157,12,18,322,0,39,361,0
37,218,237,18,12,485,0,42,527,0
38,362,201,8,5,576,0,16,592,0
39,247,374,20,13,654,0,19,673,0
40,198,287,31,14,530,0,25,555,0
41,255,257,13,4,529,0,25,554,0
42,406,140,14,14,574,0,30,604,0
43,78,436,20,6,540,0,15,555,0
44,125,147,24,23,319,0,54,373,0
45,547,272,44,18,881,0,25,906,0
46,228,241,46,28,543,0,92,635,0
47,156,75,39,14,284,0,20,304,0
48,77,132,23,3,235,0,14,249,0
49,188,85,6,1,280,0,8,288,0
50,304,194,15,4,517,0,15,532,0
51,136,141,15,8,300,0,16,316,0
52,105,91,3,2,201,0,7,208,0
53,236,40,65,10,351,0,19,370,0
54,288,166,14,10,478,0,29,507,0
55,146,174,33,14,367,0,43,410,0
56,142,126,7,6,281,0,19,300,0
57,46,204,11,3,264,0,11,275,0
58,332,182,31,24,569,0,64,633,0
59,88,158,18,7,271,0,9,280,0
60,134,312,18,12,476,0,32,508,0
61,211,215,11,9,446,0,15,461,0
62,386,163,6,1,556,0,4,560,0
63,96,143,12,1,252,0,3,255,0
64,156,239,13,4,412,0,10,422,0
65,306,257,7,8,578,0,23,601,0
66,276,294,14,5,589,0,26,615,0
67,279,163,8,5,455,0,12,467,0
68,271,293,20,5,589,0,13,602,0
