polling station,,,,,valid,rejected,nota,tendered,total
,Naranbhai  Jemalabhai  Rathva,Ramsinh  Rathva,Prof.Arjunbhai  Versingbhai  Rathva,Vasava  Prafulbhai  Devjibhai,,,,,
1,310,388,20,10,728,,38,,766
2,325,482,18,7,832,,18,,850
3,188,307,24,8,527,,11,,538
4,268,205,15,0,488,,8,,496
5,318,389,21,6,734,,13,,747
6,182,246,7,4,439,,5,,444
7,192,272,3,5,472,,7,,479
8,260,427,6,7,700,,10,,710
9,202,365,9,7,583,,7,,590
10,308,320,9,9,646,,8,,654
11,95,212,10,1,318,,5,,323
12,180,156,2,2,340,,3,,343
13,282,64,2,0,348,,1,,349
14,143,145,2,4,294,,9,,303
15,333,373,12,9,727,,29,,756
16,261,388,23,4,676,,8,,684
17,436,321,15,17,789,,37,,826
18,297,234,5,8,544,,18,,562
19,485,185,3,7,680,,29,,709
20,408,182,23,11,624,,31,,655
21,124,325,203,11,663,,17,,680
22,173,156,10,2,341,,16,,357
23,133,196,20,4,353,,8,,361
24,383,312,16,9,720,,38,,758
25,264,190,8,14,476,,32,,508
26,338,197,14,10,559,,26,,585
27,263,48,8,1,320,,1,,321
28,278,368,13,5,664,,12,,676
29,143,266,7,7,423,,28,,451
30,206,244,14,8,472,,26,,498
31,177,273,13,8,471,,21,,492
32,442,147,6,5,600,,14,,614
33,258,245,8,4,515,,7,,522
34,391,349,14,8,762,,18,,780
35,506,193,5,3,707,,8,,715
36,451,410,12,3,876,,14,,890
37,221,334,6,2,563,,14,,577
38,366,145,1,7,519,,20,,539
39,99,202,5,0,306,,7,,313
40,231,246,11,9,497,,23,,520
41,138,376,6,3,523,,14,,537
42,331,271,9,4,615,,6,,621
43,309,154,10,6,479,,13,,492
44,390,86,9,2,487,,7,,494
45,144,161,6,2,313,,13,,326
46,291,262,14,9,576,,28,,604
47,223,149,13,2,387,,10,,397
48,340,234,8,3,585,,16,,601
49,176,63,5,4,248,,3,,251
50,425,167,3,2,597,,5,,602
51,254,201,5,7,467,,23,,490
52,271,75,9,5,360,,5,,365
53,331,254,15,8,608,,48,,656
54,195,191,10,9,405,,22,,427
55,390,244,16,3,653,,11,,664
56,335,254,12,5,606,,31,,637
57,377,294,10,5,686,,10,,696
58,130,286,11,2,429,,5,,434
59,444,195,7,4,650,,16,,666
60,190,376,11,2,579,,6,,585
61,149,215,10,6,380,,5,,385
62,95,190,4,2,291,,10,,301
63,236,144,2,2,384,,3,,387
64,232,182,19,5,438,,20,,458
65,205,138,9,6,358,,27,,385
66,69,149,8,6,232,,8,,240
67,207,371,18,13,609,,17,,626
68,284,140,9,5,438,,20,,458
69,222,314,14,5,555,,18,,573
70,152,312,12,11,487,,20,,507
71,73,237,7,6,323,,19,,342
72,178,132,6,6,322,,10,,332
73,344,312,13,5,674,,8,,682
74,179,184,10,6,379,,29,,408
75,17,273,8,1,299,,2,,301
76,139,304,23,11,477,,27,,504
77,150,271,15,10,446,,20,,466
78,271,342,14,6,633,,16,,649
79,215,283,6,3,507,,7,,514
80,66,276,12,9,363,,6,,369
81,194,589,35,12,830,,21,,851
82,180,119,5,3,307,,15,,322
83,328,243,12,7,590,,33,,623
84,266,354,11,7,638,,32,,670
85,257,295,7,4,563,,24,,587
86,152,147,32,8,339,,7,,346
87,287,344,13,7,651,,25,,676
88,260,96,10,4,370,,6,,376
89,116,414,9,14,553,,21,,574
90,236,290,13,11,550,,18,,568
91,149,170,8,8,335,,27,,362
92,162,193,12,16,383,,15,,398
93,153,248,13,16,430,,23,,453
94,79,263,14,3,359,,3,,362
95,203,389,14,14,620,,25,,645
96,187,307,11,7,512,,9,,521
97,295,294,10,8,607,,12,,619
98,72,200,7,12,291,,14,,305
99,320,191,25,12,548,,23,,571
100,149,187,14,3,353,,7,,360
101,163,261,6,5,435,,6,,441
102,292,310,15,6,623,,44,,667
103,152,494,22,7,675,,35,,710
104,263,350,13,13,639,,16,,655
105,196,417,14,9,636,,29,,665
106,132,211,15,9,367,,28,,395
107,89,442,19,12,562,,20,,582
108,95,142,5,5,247,,6,,253
109,266,259,16,5,546,,11,,557
110,147,264,3,4,418,,13,,431
111,299,225,8,4,536,,10,,546
112,180,343,24,11,558,,39,,597
113,79,166,6,1,252,,9,,261
114,193,437,13,5,648,,20,,668
115,192,406,13,13,624,,32,,656
116,215,378,13,7,613,,17,,630
117,125,607,11,5,748,,15,,763
118,202,183,5,3,393,,5,,398
119,184,294,10,2,490,,6,,496
120,286,278,11,5,580,,8,,588
121,321,375,25,6,727,,18,,745
122,251,107,8,2,368,,14,,382
123,154,357,10,3,524,,15,,539
124,100,332,20,7,459,,16,,475
125,133,343,17,2,495,,14,,509
126,173,247,10,4,434,,10,,444
127,95,217,2,4,318,,3,,321
128,173,390,12,4,579,,13,,592
129,87,178,7,7,279,,8,,287
130,215,627,11,15,868,,16,,884
131,272,464,29,22,787,,55,,842
132,69,266,11,6,352,,10,,362
133,276,186,18,8,488,,17,,505
134,210,324,30,10,574,,21,,595
135,83,269,24,12,388,,28,,416
136,9,277,7,0,293,,7,,300
137,87,277,9,1,374,,5,,379
138,262,149,3,2,416,,5,,421
139,229,231,16,6,482,,17,,499
140,202,439,5,9,655,,11,,666
141,244,308,10,2,564,,13,,577
142,173,276,14,13,476,,12,,488
143,333,160,9,12,514,,31,,545
144,326,97,10,7,440,,9,,449
145,267,216,16,12,511,,25,,536
146,183,148,27,6,364,,12,,376
147,214,152,9,1,376,,8,,384
148,271,383,37,17,708,,36,,744
149,247,187,48,7,489,,20,,509
150,273,334,15,8,630,,18,,648
151,40,238,10,2,290,,2,,292
152,146,213,15,2,376,,12,,388
153,161,222,10,6,399,,7,,406
154,276,308,21,11,616,,24,,640
155,334,274,18,8,634,,23,,657
156,93,196,1,3,293,,2,,295
157,178,222,8,6,414,,19,,433
158,226,189,9,8,432,,20,,452
159,502,134,8,13,657,,27,,684
160,340,285,44,7,676,,35,,711
161,310,258,13,13,594,,18,,612
162,141,237,20,7,405,,18,,423
163,270,192,22,11,495,,23,,518
164,376,281,26,19,702,,27,,729
165,404,220,18,21,663,,85,,748
166,178,81,9,6,274,,8,,282
167,167,230,18,7,422,,17,,439
168,363,124,11,6,504,,25,,529
169,405,278,10,16,709,,33,,742
170,313,251,16,10,590,,19,,609
171,75,148,11,0,234,,7,,241
172,433,131,38,17,619,,20,,639
173,169,335,35,7,546,,7,,553
174,217,131,37,2,387,,14,,401
175,87,373,22,3,485,,17,,502
176,163,206,18,2,389,,7,,396
177,44,151,1,1,197,,4,,201
178,121,214,14,6,355,,12,,367
179,181,350,12,9,552,,19,,571
180,215,417,112,17,761,,45,,806
181,146,322,18,6,492,,11,,503
182,102,462,12,4,580,,3,,583
183,60,233,9,2,304,,4,,308
184,120,442,24,8,594,,8,,602
185,35,171,3,3,212,,9,,221
186,233,254,21,3,511,,17,,528
187,102,312,31,3,448,,12,,460
188,358,56,59,4,477,,11,,488
189,188,212,11,8,419,,6,,425
190,110,137,13,0,260,,9,,269
191,394,340,20,9,763,,14,,777
192,431,165,10,10,616,,28,,644
193,232,338,31,13,614,,29,,643
194,19,734,10,3,766,,1,,767
195,177,320,41,16,554,,42,,596
196,58,359,23,12,452,,42,,494
197,194,110,3,3,310,,5,,315
198,328,65,7,3,403,,18,,421
199,332,55,4,5,396,,22,,418
200,385,102,12,4,503,,21,,524
201,161,149,3,0,313,,4,,317
202,622,50,6,0,678,,4,,682
203,103,101,2,0,206,,7,,213
204,264,163,12,7,446,,15,,461
205,255,132,3,4,394,,8,,402
206,251,346,60,29,686,,55,,741
207,176,157,14,3,350,,5,,355
208,126,483,27,8,644,,21,,665
209,63,268,19,3,353,,12,,365
210,128,143,4,8,283,,12,,295
211,161,210,7,2,380,,6,,386
212,199,187,5,11,402,,8,,410
213,213,118,5,6,342,,17,,359
214,263,217,6,2,488,,8,,496
215,145,162,5,5,317,,11,,328
216,79,191,10,6,286,,4,,290
217,90,207,11,7,315,,14,,329
218,145,514,42,17,718,,45,,763
219,286,296,7,7,596,,33,,629
220,319,332,9,9,669,,28,,697
221,150,258,6,4,418,,15,,433
222,297,186,16,7,506,,20,,526
223,367,111,10,7,495,,37,,532
224,203,141,5,1,350,,14,,364
225,223,426,3,1,653,,25,,678
226,258,321,9,9,597,,43,,640
227,338,191,26,2,557,,18,,575
228,316,333,16,6,671,,18,,689
229,224,364,17,3,608,,26,,634
230,199,241,17,18,475,,27,,502
231,420,290,10,21,741,,7,,748
232,405,236,32,12,685,,35,,720
233,587,61,13,3,664,,2,,666
234,103,485,20,6,614,,9,,623
235,200,174,11,9,394,,17,,411
236,234,120,9,8,371,,16,,387
237,109,160,14,5,288,,14,,302
238,170,265,12,7,454,,15,,469
239,381,129,3,2,515,,15,,530
240,351,329,42,29,751,,73,,824
241,365,44,18,5,432,,15,,447
242,131,87,8,4,230,,18,,248
243,391,143,11,5,550,,31,,581
244,385,148,12,7,552,,38,,590
245,307,333,11,10,661,,14,,675
246,259,132,9,6,406,,15,,421
247,287,255,18,15,575,,44,,619
248,237,304,8,10,559,,17,,576
249,377,252,10,9,648,,20,,668
250,391,72,5,1,469,,12,,481
251,324,292,21,11,648,,33,,681
252,125,54,2,2,183,,0,,183
253,92,204,3,4,303,,11,,314
254,120,22,3,1,146,,4,,150
255,351,271,23,13,658,,34,,692
256,231,257,20,17,525,,31,,556
257,466,183,17,16,682,,50,,732
258,283,202,18,29,532,,69,,601
259,139,312,30,26,507,,72,,579
260,182,142,7,10,341,,25,,366
261,73,220,12,0,305,,10,,315
262,5,140,2,1,148,,2,,150
263,19,161,4,4,188,,10,,198
264,69,338,14,5,426,,10,,436
265,409,121,19,10,559,,41,,600
266,392,393,33,22,840,,54,,894
267,290,282,24,12,608,,56,,664
268,118,187,8,11,324,,7,,331
269,207,66,12,1,286,,16,,302
270,66,147,7,1,221,,11,,232
271,203,185,11,15,414,,26,,440
272,161,282,21,8,472,,25,,497
273,71,184,26,4,285,,35,,320
274,332,342,29,11,714,,27,,741
275,207,275,31,22,535,,38,,573
276,209,494,45,34,782,,39,,821
277,307,160,19,16,502,,30,,532
278,171,371,14,6,562,,23,,585
279,240,200,14,12,466,,25,,491
280,311,216,8,6,541,,8,,549
281,189,348,20,12,569,,10,,579
282,236,252,21,19,528,,42,,570
283,163,254,19,5,441,,24,,465
284,262,223,21,7,513,,33,,546
285,316,229,14,13,572,,30,,602
286,241,54,1,1,297,,2,,299
287,474,7,1,0,482,,0,,482
288,544,254,24,25,847,,68,,915
289,179,334,19,12,544,,36,,580
290,299,278,32,20,629,,34,,663
291,161,488,44,16,709,,63,,772
292,224,371,30,16,641,,72,,713
293,157,243,46,23,469,,89,,558
