polling station,No. of valid votes cast in favour of,,,,Total of valid votes,No. of rejected votes (Test Votes),Votes for 'NOTA' option,No. of tendered votes,Total
,Naranbhai Jemalabhai Rathva,Ramsinh Rathwa,Prof. Arjunbhai Versingbhai Rathva,Vasava Prafulbhai Devjibhai,,,,,
1,136,452,9,8,605,0,8,0,613
2,143,252,5,1,401,0,6,0,407
3,70,347,5,4,426,0,7,0,433
4,150,452,7,10,619,0,22,0,641
5,224,347,6,7,584,0,16,0,600
6,225,287,6,4,522,0,12,0,534
7,206,498,13,1,718,0,8,0,726
8,153,198,6,3,360,0,3,0,363
9,354,311,3,5,673,0,12,0,685
10,199,492,3,4,698,0,3,0,701
11,84,197,2,6,289,0,7,0,296
12,105,1026,13,3,1147,0,8,0,1155
13,175,701,6,2,884,0,11,0,895
14,249,628,7,6,890,0,8,0,898
15,355,543,12,8,918,0,7,0,925
16,296,792,15,4,1107,0,28,0,1135
17,263,431,2,1,697,0,4,0,701
18,348,349,3,4,704,0,11,0,715
19,343,535,5,3,886,0,8,0,894
20,226,320,1,1,548,0,9,0,557
21,93,269,1,2,365,0,1,0,366
22,205,414,4,4,627,0,14,0,641
23,245,306,1,2,554,0,2,0,556
24,110,330,2,0,442,0,0,0,442
25,427,409,17,2,855,0,5,0,860
26,112,583,1,1,697,0,2,0,699
27,161,587,0,1,749,0,8,0,757
28,311,460,13,7,791,0,11,0,802
29,231,715,7,6,959,0,14,0,973
30,407,533,10,7,957,0,20,0,977
31,80,585,9,4,678,0,10,0,688
32,99,426,8,2,535,0,4,0,539
33,87,600,19,1,707,0,5,0,712
34,154,585,12,1,752,0,5,0,757
35,145,502,11,5,663,0,18,0,681
36,120,349,4,3,476,0,5,0,481
37,188,345,4,2,539,0,9,0,548
38,142,744,4,3,893,0,11,0,904
39,198,302,8,2,510,0,9,0,519
40,300,295,11,6,612,0,6,0,618
41,286,301,14,4,605,0,15,0,620
42,213,180,1,3,397,0,3,0,400
43,66,465,4,2,537,0,7,0,544
44,89,214,5,0,308,0,5,0,313
45,89,467,11,4,571,0,7,0,578
46,192,519,6,2,719,0,15,0,734
47,339,386,4,5,734,0,12,0,746
48,294,485,3,4,786,0,20,0,806
49,178,500,5,0,683,0,12,0,695
50,136,281,2,2,421,0,7,0,428
51,209,616,9,4,838,0,7,0,845
52,229,376,7,4,616,0,6,0,622
53,83,341,5,3,432,0,3,0,435
54,81,298,12,3,394,0,6,0,400
55,39,273,2,1,315,0,2,0,317
56,231,489,13,15,748,0,25,0,773
57,154,290,3,0,447,0,5,0,452
58,204,283,5,4,496,0,8,0,504
59,100,512,1,0,613,0,10,0,623
60,340,434,7,0,781,0,5,0,786
61,183,311,4,3,501,0,8,0,509
62,282,403,7,2,694,0,6,0,700
63,286,436,11,5,738,0,14,0,752
64,281,356,10,6,653,0,17,0,670
65,124,519,10,9,662,0,12,0,674
66,140,479,4,1,624,0,16,0,640
67,203,169,5,1,378,0,3,0,381
68,8,211,2,2,223,0,2,0,225
69,47,195,3,2,247,0,5,0,252
70,166,519,9,5,699,0,4,0,703
71,113,102,2,1,218,0,4,0,222
72,95,492,4,2,593,0,6,0,599
73,144,170,2,5,321,0,11,0,332
74,172,175,6,3,356,0,3,0,359
75,185,395,7,4,591,0,4,0,595
76,124,163,6,0,293,0,7,0,300
77,143,224,2,0,369,0,2,0,371
78,296,366,5,5,672,0,4,0,676
79,127,218,2,1,348,0,5,0,353
80,179,107,2,2,290,0,9,0,299
81,201,561,10,5,777,0,5,0,782
82,399,245,9,5,658,0,17,0,675
83,38,152,3,2,195,0,3,0,198
84,197,345,6,3,551,0,14,0,565
85,365,306,8,0,679,0,6,0,685
86,61,150,0,1,212,0,1,0,213
87,211,216,38,4,469,0,12,0,481
88,84,229,5,2,320,0,0,0,320
89,225,255,13,4,497,0,7,0,504
90,172,440,8,2,622,0,19,0,641
91,53,242,6,8,309,0,7,0,316
92,223,295,3,2,523,0,4,0,527
93,73,70,5,1,149,0,0,0,149
94,346,415,17,8,786,0,19,0,805
95,425,150,1,2,578,0,5,0,583
96,205,100,2,2,309,0,1,0,310
97,399,134,1,1,535,0,1,0,536
98,260,421,6,5,692,0,5,0,697
99,147,421,10,5,583,0,5,0,588
100,208,207,8,2,425,0,3,0,428
101,26,272,3,5,306,0,3,0,309
102,96,183,5,3,287,0,2,0,289
103,385,474,18,3,880,0,10,0,890
104,267,266,8,4,545,0,5,0,550
105,120,89,1,0,210,0,3,0,213
106,167,176,91,8,442,0,16,0,458
107,382,269,10,3,664,0,4,0,668
108,200,251,2,4,457,0,8,0,465
109,222,109,1,1,333,0,3,0,336
110,258,311,2,0,571,0,5,0,576
111,197,52,2,3,254,0,1,0,255
112,130,23,1,1,155,0,2,0,157
113,52,162,1,0,215,0,5,0,220
114,397,275,10,3,685,0,10,0,695
115,211,322,8,4,545,0,16,0,561
116,192,236,8,4,440,0,1,0,441
117,140,282,4,1,427,0,1,0,428
118,367,329,5,8,709,0,11,0,720
