Serial No. of Polling Station,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,NARENDRA MODI,MISTRI MADHUSUD AN DEVRAM,ROHIT MADHUSUD AN MOHANBHAI,JADAV AMBALAL KANABHAI,TAPAN DASGUPTA,PATHAN MAHEMUDK HAN RAZAKKHAN,PATHAN SAHEBKHAN ASIFKHAN,SUNIL DIGAMBAR KULKARNI,,,,,
1,751,53,1,0,1,0,0,12,818,0,11,829,0
2,815,97,2,3,1,0,10,23,951,0,14,965,0
3,450,308,13,4,4,3,4,11,797,0,36,833,0
4,759,300,7,5,1,1,3,8,1084,0,22,1106,0
5,837,228,7,4,5,0,3,4,1088,0,26,1114,0
6,398,103,0,0,0,1,1,11,514,0,6,520,0
7,559,47,0,0,0,0,0,4,610,0,10,620,0
8,618,70,0,0,1,1,0,4,694,0,7,701,0
9,915,47,1,0,3,0,0,5,971,0,13,984,0
10,740,49,0,0,0,1,0,4,794,0,14,808,0
11,735,158,2,3,0,1,0,11,910,0,13,923,0
12,911,73,0,0,0,0,1,9,994,0,11,1005,0
13,843,58,1,0,2,1,0,11,916,0,9,925,0
14,885,75,2,1,0,0,2,10,975,0,11,986,0
15,592,396,11,1,2,1,0,4,1007,0,15,1022,0
16,789,194,4,0,0,0,1,6,994,0,11,1005,0
17,936,46,0,0,0,0,1,3,986,0,17,1003,0
18,865,50,3,1,0,0,0,7,926,0,9,935,0
19,842,70,1,1,1,0,1,11,927,0,7,934,0
20,889,48,2,1,1,0,0,13,954,0,10,964,0
21,519,213,11,1,0,3,1,5,753,0,3,756,0
22,312,117,10,0,2,1,0,1,443,0,3,446,0
23,1025,69,1,1,0,0,0,9,1105,0,11,1116,0
24,940,131,2,1,0,0,0,15,1089,0,11,1100,0
25,590,252,5,2,2,2,4,1,858,0,12,870,0
26,967,92,1,0,0,0,0,10,1070,0,9,1079,0
27,787,77,1,0,0,1,0,10,876,0,10,886,0
28,813,60,0,0,0,0,0,10,883,0,20,903,0
29,688,48,0,0,1,0,2,5,744,0,10,754,0
30,854,53,1,1,0,0,0,14,923,0,9,932,0
31,850,92,2,0,2,1,1,6,954,0,12,966,0
32,718,128,8,0,4,4,2,4,868,0,17,885,0
33,570,97,3,1,1,0,1,4,677,0,9,686,0
34,707,149,3,0,0,0,0,11,870,0,12,882,0
35,890,121,5,1,0,0,0,10,1027,0,17,1044,0
36,776,205,1,0,2,2,0,16,1002,0,12,1014,0
37,853,107,5,0,1,2,0,14,982,0,13,995,0
38,1038,90,9,2,0,0,0,10,1149,0,14,1163,0
39,750,71,0,0,0,0,3,7,831,0,7,838,0
40,978,71,1,1,0,0,0,9,1060,0,9,1069,0
41,940,52,0,0,1,0,1,14,1008,0,11,1019,0
42,916,37,0,1,0,0,0,6,960,0,12,972,0
43,534,44,1,1,0,0,0,10,590,0,4,594,0
44,527,17,0,0,0,0,0,8,552,0,6,558,0
45,836,117,5,2,4,0,3,7,974,0,9,983,0
46,704,102,2,2,4,2,0,7,823,0,25,848,0
47,682,30,1,0,0,0,1,6,720,0,3,723,0
48,583,58,1,0,0,0,0,13,655,0,6,661,0
49,448,41,3,0,2,0,0,2,496,0,7,503,0
50,945,75,5,0,0,1,1,5,1032,0,13,1045,0
51,330,119,10,2,0,2,5,5,473,0,10,483,0
52,547,180,3,0,0,0,2,6,738,0,5,743,0
53,774,153,2,0,0,0,1,3,933,0,10,943,0
54,525,139,3,1,1,1,0,4,674,0,11,685,1
55,945,144,4,1,2,1,5,9,1111,0,22,1133,0
