polling station,No. of Valid votes cast in favour of,,,,,,,,,Total of valid  votes,No. of  rejected  votes,Total ,No. of  tendered  votes
,Narendra Modi,Mistri  Madhusudan  Devram,Rohit  Madhusudan  Mohanbhai,Jadav  Ambalal  Kanabhai,Tapan  Dasgupta,Pathan  Mahemudkhan  Razakkhan,Pathan  Sahebkhan  Asifkhan,Sunil  Digambar  Kulkarni,None Of  The Above,,,,
1,724,202,1,0,1,0,1,4,6,939,0,939,0
2,315,428,13,0,1,0,2,13,5,777,0,777,0
3,527,286,5,1,1,2,1,1,7,831,0,831,0
4,606,214,9,0,1,0,2,5,5,842,0,842,0
5,586,421,7,3,0,0,3,5,9,1034,0,1034,0
6,665,249,16,0,4,2,0,11,9,956,0,956,0
7,489,280,13,1,1,5,6,7,16,818,0,818,0
8,619,140,4,0,1,1,0,6,3,774,0,774,0
9,700,157,2,1,0,0,0,0,5,865,0,865,0
10,223,96,4,0,1,0,1,10,9,344,0,344,0
11,377,173,14,1,1,1,1,5,6,579,0,579,0
12,773,127,3,1,1,0,2,10,13,930,0,930,0
13,662,174,8,0,2,1,1,6,15,869,0,869,0
14,585,142,2,1,3,1,1,5,17,757,0,757,0
,7851,3089,101,9,18,13,21,88,125,11315,0,11315,0
,7851,3089,101,9,18,13,21,88,125,11315,0,11315,0
15,542,138,4,2,0,2,2,2,6,698,0,698,0
16,576,151,3,1,4,0,0,5,5,745,0,745,0
17,783,107,3,1,0,0,1,16,8,919,0,919,0
18,615,210,1,0,2,0,3,13,11,855,0,855,0
19,666,165,17,1,1,1,0,8,7,866,0,866,0
20,69,755,8,1,3,3,2,13,5,859,0,859,0
21,33,611,2,0,0,0,4,8,11,669,0,669,0
22,61,714,3,0,0,0,0,8,4,790,0,790,0
23,501,148,6,0,1,0,0,9,11,676,0,676,0
24,374,120,10,0,2,0,0,3,7,516,0,516,0
25,663,151,3,0,2,0,1,9,10,839,0,839,0
26,598,126,7,0,0,0,0,4,8,743,0,743,0
27,541,53,1,0,1,1,0,6,6,609,0,609,0
28,795,82,1,1,0,0,0,16,10,905,0,905,0
,6817,3531,69,7,16,7,13,120,109,10689,0,10689,0
,14668,6620,170,16,34,20,34,208,234,22004,0,22004,0
29,808,77,1,4,1,0,1,10,8,910,0,910,0
30,620,132,3,1,1,0,0,10,5,772,0,772,0
31,545,122,1,0,0,0,0,11,11,690,0,690,0
32,663,156,3,0,1,0,2,8,13,846,0,846,0
33,768,142,3,0,0,0,0,16,5,934,0,934,0
34,680,116,4,0,0,0,0,11,12,823,0,823,0
35,496,181,3,1,1,0,0,10,5,697,0,697,0
36,732,79,1,1,0,0,0,3,13,829,0,829,0
37,655,147,8,0,0,0,1,11,5,827,0,827,0
38,578,254,38,2,1,0,1,21,19,914,0,914,0
39,452,290,12,1,2,2,7,5,16,787,0,787,0
40,211,465,4,1,1,1,3,3,9,698,0,698,0
41,194,385,5,1,0,1,0,4,4,594,0,594,0
42,382,380,6,4,4,1,5,14,14,810,0,810,0
,7784,2926,92,16,12,5,20,137,139,11131,0,11131,0
,22452,9546,262,32,46,25,54,345,373,33135,0,33135,0
43,407,482,6,2,1,0,2,13,8,921,0,921,0
44,140,627,10,1,1,0,2,8,3,792,0,792,0
45,368,158,1,0,0,0,1,16,4,548,0,548,0
46,654,260,1,2,1,0,1,21,15,955,0,955,0
