polling station,No. of valid votes cast in favour of,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusu dan Mohanb hai,Jadav Ambalal Kanabhai,Tapan Dasgup ta,Pathan Mahemudk han Razakkhan,Pathan Sahebkhan Aasifkhan,Sunil Digambar Kulkarni,,,,,
1,764,158,8,0,1,1,6,5,958,0,15,958,0
2,740,123,6,3,9,0,3,11,919,0,24,919,0
3,309,140,15,2,1,0,1,5,492,0,19,492,0
4,385,303,41,3,11,2,1,3,760,0,11,760,0
5,338,194,9,1,3,1,1,3,563,0,13,563,0
6,701,194,6,0,3,0,0,14,930,0,12,930,0
7,705,142,2,2,2,0,0,17,879,0,9,879,0
8,540,248,6,7,8,0,1,13,830,0,7,830,0
9,617,60,13,0,1,0,0,6,704,0,7,704,0
10,427,44,0,0,0,1,0,3,481,0,6,481,0
11,498,113,2,2,0,0,2,4,626,0,5,626,0
12,565,67,5,0,2,1,0,2,650,0,8,650,0
13,804,140,1,0,7,2,1,21,990,0,14,990,0
14,298,46,0,0,5,0,1,4,362,0,8,362,0
15,562,64,3,0,5,0,0,3,645,0,8,645,0
16,349,67,3,1,2,1,0,7,439,0,9,439,0
17,701,120,1,0,2,0,0,4,837,0,9,837,0
18,620,118,1,0,2,0,0,6,759,0,12,759,0
19,294,42,0,0,3,0,0,5,349,0,5,349,0
20,793,165,4,0,1,0,2,5,984,0,14,984,0
21,732,160,4,0,1,0,1,6,911,0,7,911,0
22,720,149,3,2,3,0,0,19,905,0,9,905,0
23,841,108,4,0,2,0,0,6,974,0,13,974,0
24,386,42,6,1,2,0,1,6,451,0,7,451,0
25,803,122,1,0,1,0,1,8,949,0,13,949,0
26,709,58,2,1,0,0,0,17,808,0,21,808,0
27,221,8,0,0,0,0,0,4,236,0,3,236,0
28,847,65,1,1,1,0,0,10,939,0,14,939,0
29,753,70,1,0,0,0,0,16,852,0,12,852,0
30,753,60,0,0,4,0,0,19,849,0,13,849,0
31,867,130,4,0,2,0,2,9,1023,0,9,1023,0
32,751,51,0,0,1,1,1,11,826,0,10,826,0
33,692,35,0,0,2,0,0,8,754,0,17,754,0
34,356,46,2,1,0,0,1,0,410,0,4,410,0
35,867,75,2,0,2,1,1,13,970,0,9,970,0
36,571,261,4,3,4,0,1,11,860,0,5,860,0
37,734,195,2,3,3,2,1,5,960,0,15,960,0
38,466,192,1,0,4,1,3,12,695,0,16,695,0
39,594,180,6,1,5,2,4,12,816,0,12,816,0
40,311,31,1,0,0,1,1,5,355,0,5,355,0
41,610,91,4,0,0,2,3,3,725,0,12,725,0
42,603,296,5,0,5,1,3,5,935,0,17,935,0
43,667,63,3,2,3,0,0,6,759,0,15,759,0
44,507,472,3,1,9,0,3,10,1025,0,20,1025,0
45,844,67,5,3,3,2,0,6,950,0,20,950,0
46,503,81,7,1,2,1,2,8,609,0,4,609,0
47,202,41,5,0,0,0,3,6,260,0,3,260,0
48,513,325,2,0,10,0,1,9,874,0,14,874,0
49,468,112,0,0,17,1,0,3,610,0,9,610,0
50,500,67,4,2,2,0,0,1,582,0,6,582,0
51,626,117,0,0,0,0,0,9,767,0,15,767,0
52,555,120,2,2,4,0,4,5,697,0,5,697,0
53,514,94,1,0,0,0,1,4,622,0,8,622,0
54,516,100,1,0,1,0,0,4,631,0,9,631,0
