polling station,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusudan Mohanbhai,Jadav Ambalal Kanabhai,Tapan Dasgupta,Pathan Mahemudk han Razakkhan,Pathan Sahebkhan Asifkhan,Sunil Digamba r Kulkarn i,,,,,
1,599,144,5,1,0,1,1,2,753,0,26,779,0
2,685,95,1,1,2,0,1,1,786,0,12,798,0
3,586,56,1,0,3,0,0,4,650,0,7,657,0
4,697,142,1,2,0,2,2,2,848,0,14,862,0
5,618,193,4,1,1,1,3,6,827,0,11,838,0
6,451,238,3,1,2,1,3,8,707,0,14,721,0
7,444,343,12,1,5,0,4,5,814,0,14,828,0
8,469,353,7,3,1,2,3,2,840,0,10,850,0
9,658,139,2,0,1,0,0,6,806,0,13,819,0
10,603,158,5,1,2,1,5,4,779,0,23,802,0
11,626,223,0,1,0,1,0,3,854,0,10,864,0
12,645,156,1,1,0,0,0,12,815,0,18,833,0
13,838,112,1,0,0,2,1,3,957,0,16,973,0
14,704,128,3,0,5,0,4,10,854,0,9,863,0
15,332,379,13,2,4,5,7,11,753,0,25,778,0
16,638,205,5,0,2,0,0,6,856,0,12,868,0
17,707,61,4,1,1,1,0,11,786,0,9,795,0
18,438,84,2,1,0,0,0,6,531,0,5,536,0
19,674,89,4,0,3,2,1,11,784,0,14,798,0
20,731,73,6,5,2,3,2,8,830,0,20,850,0
21,638,84,3,0,0,0,0,7,732,0,10,742,0
22,350,166,3,0,0,0,0,9,528,0,18,546,0
23,626,73,5,0,0,0,0,9,713,0,9,722,0
24,482,64,1,0,0,0,1,14,562,0,5,567,0
25,341,117,1,0,0,0,1,8,468,0,5,473,0
26,444,123,1,0,1,0,1,25,595,0,12,607,0
27,534,101,4,0,0,0,0,16,655,0,5,660,0
28,659,83,6,1,1,0,1,10,761,0,5,766,0
29,516,108,2,1,2,0,0,12,641,0,8,649,0
30,734,111,3,0,0,2,3,11,864,0,12,876,0
31,647,93,0,0,2,1,1,15,759,0,6,765,0
32,884,85,0,1,1,0,3,16,990,0,12,1002,0
33,629,280,5,1,4,0,1,9,929,0,11,940,0
34,470,364,6,2,5,2,1,9,859,0,23,882,0
35,631,243,7,3,3,1,3,5,896,0,19,915,0
36,430,105,3,0,0,0,0,7,545,0,14,559,0
37,420,317,3,1,1,0,4,6,752,0,2,754,0
38,665,73,1,0,1,0,2,18,760,0,9,769,0
39,869,52,1,0,0,0,0,8,930,0,11,941,0
40,542,194,3,1,1,1,1,4,747,0,13,760,0
41,666,76,0,0,0,0,0,7,749,0,9,758,0
42,654,85,2,1,3,0,0,12,757,0,12,769,0
43,775,31,1,0,0,0,0,2,809,0,11,820,0
44,739,38,0,0,0,0,1,8,786,0,9,795,0
45,820,73,1,1,1,2,0,6,904,0,21,925,1
46,473,321,5,3,3,2,2,9,818,0,11,829,0
47,783,37,1,0,2,0,0,4,827,0,8,835,0
48,851,79,2,0,0,0,0,9,941,0,10,951,0
49,625,74,1,1,0,1,0,3,705,0,4,709,0
50,822,81,3,0,0,0,0,1,907,0,10,917,0
51,778,110,2,0,2,1,0,5,898,0,8,906,0
52,862,64,2,0,2,1,0,20,951,0,18,969,0
53,712,68,0,0,1,0,0,2,783,0,10,793,0
54,753,54,0,0,1,0,0,7,815,0,11,826,2
55,765,49,0,1,0,1,0,3,819,0,10,829,0
56,520,37,0,0,1,0,0,8,566,0,10,576,0
57,614,71,0,0,0,0,0,12,697,0,10,707,0
58,724,48,0,1,3,0,1,3,780,0,14,794,0
59,778,53,1,0,0,0,1,7,840,0,7,847,0
60,636,33,1,1,0,1,0,1,673,0,8,681,0
61,547,46,0,0,1,0,0,4,598,0,4,602,0
62,708,123,3,1,0,1,1,10,847,0,17,864,0
63,709,31,1,1,0,0,0,9,751,0,10,761,0
64,518,36,0,1,0,0,0,2,557,0,9,566,0
65,329,104,0,1,1,1,0,6,442,0,7,449,0
66,619,128,1,0,1,0,0,4,753,0,8,761,0
67,757,41,5,0,2,0,0,5,810,0,12,822,0
68,413,247,6,1,1,1,2,3,674,0,11,685,0
69,734,69,1,0,1,1,0,3,809,0,15,824,0
70,828,63,1,0,2,1,2,5,902,0,13,915,0
71,607,75,8,0,2,0,0,4,696,0,13,709,0
72,638,222,3,2,2,1,0,9,877,0,12,889,0
73,590,181,3,0,4,0,0,4,782,0,5,787,0
74,582,332,4,0,1,1,1,6,927,0,16,943,0
75,87,737,4,0,1,1,2,5,837,0,13,850,0
76,28,709,2,0,2,0,2,2,745,0,3,748,0
77,335,385,2,0,3,0,1,0,726,0,6,732,0
78,431,77,0,0,0,0,0,2,510,0,3,513,0
79,712,73,2,0,2,0,0,13,802,0,9,811,0
80,545,218,1,0,0,0,2,3,769,0,8,777,0
81,461,129,5,2,4,0,2,9,612,0,14,626,0
82,500,109,1,1,0,1,0,1,613,0,5,618,0
83,761,61,1,0,0,0,0,7,830,0,9,839,0
84,792,87,0,0,0,1,0,14,894,0,8,902,0
