polling station,,,,,,,,,valid,rejected,NOTA,total,tendered
,Narendra  Modi,Mistri  Madhusudan  Devram,Rohit  Madhusudan  Mohanbhai,Jadav  Ambalal  Kanabhai,Tapan  Dasgupta,Pathan  Mahemudkhan  Rajakkhan,Pathan  Sahebkhan  Asifkhan,Sunil  Digambar  Kulkarni,,,,,
1,725,77,3,0,0,1,0,10,816,0,13,829,0
2,641,66,0,0,3,0,1,7,718,0,16,734,0
3,818,109,0,0,1,1,1,3,933,0,15,948,0
4,767,50,2,1,1,0,0,10,831,0,14,845,0
5,632,40,0,1,0,0,0,8,681,0,9,690,0
6,776,93,3,2,0,0,0,4,878,0,12,890,0
7,949,71,2,1,8,0,0,9,1040,0,8,1048,0
8,894,80,0,0,3,0,0,7,984,0,14,998,0
9,447,474,6,3,2,1,3,5,941,0,4,945,0
10,557,350,9,4,0,3,0,8,931,0,12,943,0
11,576,443,16,0,0,1,2,2,1040,0,11,1051,0
12,941,67,0,0,0,0,0,4,1012,0,10,1022,0
13,599,76,0,0,0,1,0,5,681,0,7,688,0
14,375,47,1,0,0,0,0,4,427,0,4,431,0
15,640,45,1,0,1,0,0,2,689,0,9,698,0
16,565,53,1,0,1,0,1,3,624,0,6,630,0
17,429,47,0,0,0,0,0,2,478,0,2,480,0
18,672,73,0,0,2,0,0,3,750,0,9,759,0
19,909,64,0,2,1,0,0,18,994,0,9,1003,0
20,959,122,0,1,1,1,0,5,1089,0,9,1098,0
21,872,65,0,0,0,0,1,8,946,0,12,958,0
22,727,48,0,0,0,0,0,9,784,0,7,791,0
23,538,65,3,1,1,1,0,2,611,0,12,623,0
24,909,53,0,0,1,0,2,9,974,0,7,981,0
25,644,36,1,1,1,0,0,5,688,0,4,692,0
26,792,65,1,0,3,0,1,11,873,0,14,887,0
27,849,67,1,0,1,0,0,6,924,0,7,931,0
28,631,34,1,0,1,0,0,3,670,0,7,677,0
29,606,56,1,0,0,1,0,7,671,0,11,682,0
30,527,37,0,1,0,1,0,0,566,0,6,572,0
31,825,33,1,1,0,0,0,5,865,0,13,878,0
