No. of Polling Station,,,,,,,,,
,NARANBHAI JEMALABHAI RATHAVA,RAMSINH RATHAVA,PRO. ARJUNBHAI VERSINGBHA I RATHAVA,VASAVA PRAFULBHAI DEVJIBHAI,Total of Valid Votes,No.of Rejecte d Votes,NOTA,Total,tender ed votes
1,166,720,10,6,902,0,7,909,0
2,267,545,13,15,840,0,24,864,0
3,326,445,8,2,781,0,14,795,0
4,211,302,4,2,519,0,4,523,0
5,159,336,15,10,520,0,16,536,0
6,217,343,4,7,571,0,8,579,0
7,342,458,6,5,811,0,27,838,0
8,440,411,10,5,866,0,12,878,0
9,166,545,3,0,714,0,13,727,0
10,94,705,6,3,808,0,8,816,0
11,187,755,9,6,957,0,8,965,0
12,349,327,9,5,690,0,9,699,0
13,173,440,1,3,617,0,9,626,0
14,181,569,7,1,758,0,7,765,0
15,251,521,9,3,784,0,14,798,0
16,95,523,3,0,621,0,1,622,0
17,125,455,3,3,586,0,6,592,0
18,208,399,7,7,621,0,10,631,0
19,141,537,4,5,687,0,6,693,0
20,150,538,5,3,696,0,15,711,0
21,317,327,3,2,649,0,8,657,0
22,152,405,3,2,562,0,4,566,0
23,129,418,0,0,547,0,6,553,0
24,360,399,12,4,775,0,4,779,0
25,348,364,10,0,722,0,9,731,0
26,176,486,5,2,669,0,9,678,0
27,196,411,5,9,621,0,16,637,0
28,203,367,5,6,581,0,6,587,0
29,369,298,9,8,684,0,18,702,0
30,330,217,7,5,559,0,9,568,0
31,313,378,13,4,708,0,6,714,0
32,238,312,7,1,558,0,8,566,0
33,230,371,6,3,610,0,9,619,0
34,136,246,8,0,390,0,5,395,0
35,93,511,6,2,612,0,9,621,0
36,213,402,11,2,628,0,7,635,0
37,371,346,15,4,736,0,6,742,0
38,323,341,6,2,672,0,9,681,0
39,153,424,7,2,586,0,7,593,0
40,252,388,12,5,657,0,7,664,0
41,178,440,2,1,621,0,6,627,0
42,205,463,13,4,685,0,11,696,0
43,368,400,11,1,780,0,4,784,0
44,244,458,9,2,713,0,8,721,0
45,69,157,1,2,229,0,2,231,0
46,102,462,7,4,575,0,2,577,0
47,299,299,5,1,604,0,11,615,0
48,315,221,6,1,543,0,10,553,0
49,285,292,5,6,588,0,4,592,0
50,156,262,8,1,427,0,4,431,0
51,160,338,9,2,509,0,7,516,0
52,135,377,2,4,518,0,4,522,0
53,224,331,7,6,568,0,18,586,0
54,251,348,8,5,612,0,24,636,0
55,289,482,11,5,787,0,8,795,0
56,444,362,8,6,820,0,11,831,0
57,233,345,5,3,586,0,3,589,0
58,179,288,0,2,469,0,2,471,0
59,381,345,11,4,741,0,10,751,0
60,364,330,5,3,702,0,11,713,0
61,126,251,2,0,379,0,3,382,0
62,161,355,1,5,522,0,3,525,0
63,115,618,13,8,754,0,11,765,0
64,234,498,8,8,748,0,22,770,0
65,259,182,5,0,446,0,5,451,0
66,335,243,3,2,583,0,5,588,0
67,231,392,8,0,631,0,12,643,0
68,135,477,8,3,623,0,11,634,0
69,336,438,12,5,791,0,14,805,0
70,335,441,8,10,794,0,16,810,0
71,128,660,13,7,808,0,15,823,0
72,291,516,2,1,810,0,7,817,0
