polling station,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Al - ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,valid,rejected,nota,total,tendered
1,204,392,4,0,1,1,3,1,1,2,1,1,1,2,614,0,10,624,0
2,228,347,1,0,0,0,1,2,1,0,0,0,2,4,586,0,17,603,0
3,177,312,0,1,1,0,1,0,0,0,0,1,0,1,494,0,3,497,0
4,273,585,15,2,0,1,2,2,1,5,0,0,5,3,894,0,11,905,0
5,296,300,1,0,3,0,0,0,0,0,0,2,1,4,607,0,13,620,0
6,102,407,3,1,1,0,0,0,0,2,0,0,0,2,518,0,1,519,0
7,276,283,2,2,1,0,0,0,0,0,0,0,1,1,566,0,9,575,0
8,272,306,16,4,1,0,1,1,1,2,3,4,6,22,639,0,29,668,0
9,147,647,6,0,2,0,0,1,0,1,1,2,1,3,811,0,4,815,0
10,92,539,1,1,4,0,0,1,0,1,0,0,1,3,643,0,3,646,0
11,96,204,3,0,0,0,0,0,0,0,0,0,0,1,304,0,2,306,0
12,178,749,2,2,0,1,0,0,0,1,2,0,2,3,940,0,15,955,0
13,176,163,0,0,1,0,0,2,0,0,1,0,2,3,348,0,7,355,0
14,141,372,5,2,0,0,1,0,0,0,0,1,0,3,525,0,7,532,0
15,175,218,4,1,0,0,0,0,0,0,0,1,1,3,403,0,15,418,0
16,293,248,0,0,0,0,0,0,0,1,0,0,2,4,548,0,5,553,0
17,225,472,9,3,2,1,0,0,1,0,2,3,2,8,728,0,14,742,0
18,304,331,4,1,0,2,0,1,0,2,0,2,2,2,651,0,14,665,0
19,238,368,7,0,2,0,0,2,1,0,1,1,3,7,630,0,12,642,0
20,85,221,3,0,0,0,2,0,0,0,1,0,1,2,315,0,9,324,0
21,50,439,5,0,0,0,0,1,1,0,0,2,1,1,500,0,3,503,0
22,135,314,4,0,0,4,1,3,3,2,2,3,2,7,480,0,17,497,0
23,339,228,8,0,0,1,0,0,0,1,1,0,0,7,585,0,18,603,0
