polling station, No. Of Valid votes cast in favor of ,,,,,Total of  Valid  votes ,No. Of  rejected  votes,Total,No. Of  tendered  votes
,Naranbhai Jemalabhai  Rathva,  Ramsinh Rathwa,Prof. Arjunbhai  Versingbhai Rathva,Vasava Prafulbhai  Devjibhai,None Of  The Above  (NOTA),,,,
1,217,533,13,3,12,778,,778,
2,175,273,5,3,6,462,,462,
3,83,180,3,1,6,273,,273,
4,113,181,14,2,6,316,,316,
5,322,287,14,11,22,656,,656,
6,9,137,3,0,0,149,,149,
7,205,327,6,6,6,550,,550,
8,239,226,4,3,11,483,,483,
9,231,271,32,7,13,554,,554,
10,127,136,8,4,7,282,,282,
11,114,308,6,8,3,439,,439,
12,166,307,10,4,3,490,,490,
13,38,366,8,3,5,420,,420,
14,87,202,5,2,6,302,,302,
15,94,432,6,4,3,539,,539,
16,87,424,9,1,4,525,,525,
17,130,411,8,3,4,556,,556,
18,169,99,1,2,0,271,,271,
19,93,265,7,3,5,373,,373,
20,359,91,9,3,21,483,,483,
21,199,348,13,8,14,582,,582,
22,191,330,9,6,6,542,,542,
23,87,211,8,7,7,320,,320,
24,132,369,7,3,6,517,,517,
25,170,245,10,7,12,444,,444,
26,319,147,7,6,12,491,,491,
27,189,326,7,11,26,559,,559,
28,147,217,7,4,7,382,,382,
29,244,149,6,3,5,407,,407,
30,278,373,13,5,11,680,,680,
31,219,261,7,3,16,506,,506,
32,251,299,7,5,20,582,,582,
33,155,193,5,4,3,360,,360,
34,180,107,5,1,6,299,,299,
35,279,46,1,1,6,333,,333,
36,100,239,4,6,2,351,,351,
37,284,265,9,2,15,575,,575,
38,169,154,6,5,6,340,,340,
39,41,202,5,1,6,255,,255,
40,194,574,13,14,15,810,,810,
41,92,369,4,4,6,475,,475,
42,107,287,10,7,4,415,,415,
43,223,499,28,8,9,767,,767,
44,241,286,10,4,6,547,,547,
45,546,301,13,6,6,872,,872,
46,201,301,7,4,6,519,,519,
47,133,271,2,1,7,414,,414,
48,302,347,14,11,21,695,,695,
49,230,268,5,3,8,514,,514,
50,114,288,4,4,8,418,,418,
51,237,65,5,1,5,313,,313,
52,61,272,6,3,10,352,,352,
53,393,437,12,12,17,871,,871,
54,187,318,13,6,5,529,,529,
55,157,176,4,41,5,383,,383,
56,130,468,11,5,4,618,,618,
57,83,320,9,4,6,422,,422,
58,286,359,15,8,16,684,0,684,
59,163,224,14,5,8,414,0,414,
60,60,83,3,0,2,148,0,148,
61,138,474,10,10,15,647,0,647,
62,239,198,5,6,8,456,0,456,
63,369,407,10,11,14,811,0,811,
64,117,526,12,7,7,669,0,669,
65,284,520,11,9,13,837,0,837,
66,56,273,9,15,7,360,0,360,
67,18,341,10,4,6,379,0,379,
68,229,260,7,2,2,500,0,500,
69,125,174,3,3,2,307,0,307,
