polling station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,,Total,Tendered Votes
,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Ali ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,,,None Of the Above,,
1,161,469,12,4,2,1,1,1,0,0,1,2,5,7,666,0,7,673,0
2,74,204,10,4,2,2,1,6,1,0,0,2,5,2,313,0,3,316,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,54,1,2,0,0,1,0,0,0,0,2,0,1,68,0,0,68,0
5,8,88,5,54,2,0,1,1,1,0,0,1,0,1,162,0,1,163,0
6,139,377,23,4,3,4,3,8,3,3,3,6,10,13,599,0,34,633,0
7,330,224,14,18,1,2,1,2,1,2,3,3,6,3,610,0,10,620,0
8,84,301,14,3,2,1,2,3,3,0,3,2,6,5,429,0,21,450,0
9,304,375,10,9,2,1,4,5,4,12,5,1,12,12,756,0,31,787,0
10,191,288,16,12,2,1,1,0,1,0,0,2,0,4,518,0,5,523,0
11,290,369,14,20,4,2,0,3,2,0,4,1,3,2,714,0,2,716,0
12,92,105,12,1,3,1,0,0,0,0,0,0,0,1,215,0,2,217,0
13,200,346,5,58,5,4,3,4,5,4,2,4,3,6,649,0,14,663,0
14,77,26,2,3,1,0,0,1,0,2,1,0,0,2,115,0,11,126,0
15,109,202,4,9,1,0,0,2,2,2,1,1,1,9,343,0,8,351,0
16,243,171,8,12,1,2,2,3,4,5,1,3,3,12,470,0,21,491,0
17,197,154,8,11,2,1,4,1,0,4,0,3,0,4,389,0,15,404,0
18,69,125,1,4,0,1,1,1,1,0,1,4,2,7,217,0,5,222,0
19,165,168,11,8,0,1,0,3,4,3,2,1,4,5,375,0,7,382,0
20,66,40,0,0,0,0,0,0,0,2,0,0,0,1,109,0,1,110,0
21,171,336,7,5,1,1,2,4,6,6,5,5,13,21,583,0,53,636,0
22,338,287,11,15,2,2,2,2,2,10,3,0,8,12,694,0,20,714,0
23,205,347,11,5,1,2,1,3,4,6,8,2,5,4,604,0,32,636,0
24,35,332,5,4,2,0,0,2,3,4,1,3,2,4,397,0,8,405,0
25,283,630,21,0,2,2,2,7,8,3,4,3,8,13,986,0,41,1027,0
26,130,481,17,46,1,0,1,1,9,3,6,5,9,10,719,0,36,755,0
27,88,311,6,1,0,0,1,1,3,1,3,2,4,7,428,0,9,437,0
28,150,348,5,15,3,0,1,2,3,2,3,3,1,1,537,0,12,549,0
29,158,408,9,6,2,3,2,4,8,5,2,2,4,4,617,0,13,630,0
30,206,353,6,17,3,1,1,0,7,4,3,6,7,6,620,0,31,651,0
31,179,321,8,11,3,1,0,2,6,3,3,1,6,5,549,0,18,567,0
32,159,236,2,11,3,1,1,0,1,2,4,0,1,4,425,0,10,435,0
33,118,71,3,1,0,0,0,1,0,1,1,1,0,2,199,0,7,206,0
34,407,518,15,2,2,1,3,9,5,12,7,11,6,11,1009,0,25,1034,0
35,283,326,7,8,2,0,2,5,3,2,3,7,4,3,655,0,33,688,0
36,315,329,6,10,4,0,1,2,2,7,8,3,11,16,714,0,38,752,0
37,342,372,5,5,5,2,2,5,3,5,3,5,4,8,766,0,10,776,0
38,233,173,9,6,1,1,0,0,3,2,3,2,1,2,436,0,9,445,0
39,150,190,2,0,0,0,0,0,0,1,0,0,1,0,344,0,2,346,0
40,111,269,8,4,2,0,1,1,1,0,1,1,0,0,399,0,5,404,0
41,141,288,9,6,1,0,0,0,2,2,3,2,5,2,461,0,11,472,0
42,130,290,5,4,0,0,1,1,3,2,2,4,4,3,449,0,9,458,0
43,138,267,8,16,2,1,0,3,9,3,0,1,0,2,450,0,3,453,0
44,65,205,6,48,4,1,0,3,3,2,1,2,3,1,344,0,5,349,0
45,110,173,3,96,3,5,0,1,5,4,8,3,10,12,433,0,24,457,0
46,70,188,8,16,4,2,2,2,3,3,3,3,7,1,312,0,16,328,0
47,98,82,2,6,0,2,0,0,1,1,2,2,4,2,202,0,10,212,0
48,166,221,10,3,0,1,1,3,3,2,3,5,3,4,425,0,7,432,0
49,177,283,7,19,4,2,4,6,7,8,4,7,11,14,553,0,28,581,0
50,19,167,11,0,0,0,0,1,3,2,0,1,2,5,211,0,5,216,0
51,124,68,2,3,0,0,0,0,1,0,0,2,0,3,203,0,10,213,0
52,133,124,9,8,1,0,0,2,1,2,2,3,1,5,291,0,10,301,0
53,209,168,1,0,0,0,2,1,0,0,0,0,2,3,386,0,10,396,0
54,459,192,13,5,4,3,2,1,0,1,2,2,2,7,693,0,48,741,0
55,319,118,13,3,1,2,1,1,0,1,5,1,2,1,468,0,17,485,0
56,432,417,16,12,3,0,2,6,9,14,8,9,15,12,955,0,48,1003,0
57,67,124,2,2,0,0,0,3,0,0,0,1,0,1,200,0,2,202,0
58,455,308,26,37,2,3,1,10,5,10,7,6,12,6,888,0,34,922,0
59,181,390,9,7,0,0,0,3,1,1,0,2,3,4,601,0,8,609,0
60,18,258,7,5,2,0,1,2,0,1,1,2,1,1,299,0,5,304,0
61,168,551,11,22,6,2,2,3,7,5,9,6,14,10,816,0,21,837,0
62,270,329,7,31,2,1,4,0,4,4,0,2,6,8,668,0,18,686,0
63,240,325,11,14,6,2,2,2,1,4,5,3,10,7,632,0,11,643,0
64,283,483,3,16,0,1,2,1,1,1,2,2,3,5,803,0,8,811,0
65,158,435,6,3,1,3,2,1,1,4,1,2,2,3,622,0,12,634,0
66,223,321,6,3,3,0,0,0,4,4,5,0,2,3,574,0,10,584,0
67,128,310,2,11,5,0,1,1,4,2,4,4,4,3,479,0,14,493,0
68,246,301,3,10,2,0,1,1,0,0,0,1,3,4,572,0,10,582,0
69,526,338,4,12,4,0,4,2,3,3,8,6,7,7,924,0,33,957,0
70,135,389,7,11,3,0,3,4,7,2,1,6,4,6,578,0,27,605,0
71,322,326,9,29,5,1,2,3,7,3,1,3,7,14,732,0,24,756,0
72,197,234,9,103,2,0,2,2,3,13,5,7,10,10,597,0,32,629,0
73,197,150,4,22,0,1,1,0,0,1,1,1,1,3,382,0,4,386,0
74,89,477,9,10,0,0,0,4,5,4,2,8,2,4,614,0,24,638,0
75,48,390,8,5,0,0,2,2,5,3,1,4,3,10,481,0,17,498,0
76,105,245,6,0,0,0,0,0,1,0,2,0,0,4,363,0,2,365,0
77,236,435,10,31,5,4,0,5,4,3,6,5,5,9,758,0,16,774,0
78,313,324,2,10,0,1,6,4,5,4,1,5,8,11,694,0,35,729,0
79,235,348,5,38,3,2,3,1,3,2,4,7,6,12,669,0,39,708,0
