Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,Tendered Votes
,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Ali - ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,18,19
1,294,347,8,0,0,0,0,2,1,5,2,2,5,11,677,0,19,696,0
2,545,16,0,2,1,1,0,1,0,0,1,1,0,6,574,0,22,596,0
3,391,79,0,0,4,0,1,0,0,0,0,1,1,2,479,0,10,489,0
4,387,76,0,0,0,0,0,0,0,2,2,1,2,9,479,0,18,497,0
5,8,176,0,1,0,0,2,0,2,1,2,1,4,2,199,0,7,206,0
6,40,316,4,2,0,0,0,0,0,0,0,1,2,4,369,0,1,370,0
7,193,485,6,2,0,1,2,3,1,0,2,1,7,13,716,0,27,743,0
8,501,97,1,2,0,0,1,0,0,1,3,0,0,1,607,0,5,612,0
9,480,78,1,3,3,0,0,0,1,1,1,0,2,3,573,0,14,587,0
10,479,143,3,2,1,1,3,5,0,0,0,3,0,8,648,0,18,666,0
11,358,44,1,0,0,0,0,0,0,1,0,0,0,3,407,0,6,413,0
12,331,8,0,1,0,0,0,0,1,0,1,0,1,4,347,0,6,353,0
13,457,136,0,0,1,0,0,1,1,2,0,0,1,7,606,0,20,626,0
14,246,334,9,3,4,1,0,0,0,3,2,2,1,8,613,0,13,626,0
15,12,1069,0,1,0,0,0,0,0,0,0,0,0,0,1082,0,8,1090,0
16,51,601,3,0,3,1,1,1,1,0,0,2,3,17,684,0,15,699,0
17,162,282,6,2,0,1,1,1,1,0,4,2,2,3,467,0,12,479,0
18,121,93,1,0,0,0,1,0,0,0,0,0,0,3,219,0,10,229,0
19,635,14,2,0,0,0,0,0,1,0,0,0,1,0,653,0,3,656,0
20,321,29,1,0,1,0,0,0,0,0,0,0,0,0,352,0,1,353,0
21,325,34,0,1,0,0,0,0,1,0,0,3,0,0,364,0,8,372,0
22,594,18,2,1,2,0,0,0,3,0,0,1,0,0,621,0,13,634,0
23,185,446,4,0,0,0,1,0,0,2,1,0,1,13,653,0,14,667,0
24,130,356,1,0,0,2,1,0,1,0,1,0,2,4,498,0,15,513,0
25,257,518,3,0,0,0,0,0,2,3,1,1,2,7,794,0,22,816,0
26,88,718,11,0,0,0,1,0,2,2,1,3,1,6,833,0,12,845,0
27,409,314,6,0,2,1,3,1,1,0,2,0,1,1,741,0,18,759,0
28,174,592,7,2,1,2,0,5,1,2,2,1,1,4,794,0,11,805,0
29,349,462,8,1,0,1,1,3,0,4,2,2,1,16,850,0,41,891,0
30,220,431,10,1,0,1,3,0,2,2,4,2,4,12,692,0,22,714,0
31,357,421,8,3,1,0,3,2,2,1,2,0,5,17,822,0,35,857,0
32,58,718,11,5,1,0,1,1,2,1,4,3,2,2,809,0,23,832,0
33,300,451,7,2,0,0,3,2,4,1,5,2,0,4,781,0,10,791,0
34,147,642,12,1,6,1,1,2,6,3,5,2,15,10,853,0,28,881,0
35,135,482,3,1,2,0,2,3,1,2,3,1,1,6,642,0,20,662,0
36,113,547,5,0,3,0,1,1,0,1,1,3,1,8,684,0,22,706,0
37,64,618,9,1,0,0,0,1,0,2,0,3,0,0,698,0,8,706,0
38,34,614,17,1,2,1,1,1,2,0,3,0,3,19,698,0,24,722,0
39,136,423,6,1,4,0,0,1,3,4,1,4,5,9,597,0,11,608,0
40,54,644,9,1,2,0,1,5,3,6,0,3,4,12,744,0,28,772,0
41,51,557,8,1,1,1,0,0,4,3,0,2,5,7,640,0,8,648,0
42,81,371,2,2,0,0,1,1,2,0,0,2,1,3,466,0,12,478,0
43,305,297,3,1,1,0,0,1,0,1,0,0,1,6,616,0,16,632,0
44,165,217,6,0,2,1,0,0,1,0,0,0,0,0,392,0,4,396,0
45,120,222,5,2,3,1,0,0,0,1,0,1,2,2,359,0,7,366,0
46,63,297,3,0,0,1,0,1,0,0,1,1,1,5,373,0,5,378,0
47,72,263,1,0,0,1,0,1,0,0,1,0,1,3,343,0,9,352,0
48,89,306,3,1,2,0,0,0,2,3,1,2,6,8,423,0,13,436,0
49,307,110,5,0,1,0,0,0,0,0,0,1,0,1,425,0,15,440,0
50,384,108,3,0,2,0,0,0,1,0,0,0,0,0,498,0,11,509,0
51,7,92,1,0,0,0,0,0,0,0,0,0,0,0,100,0,1,101,0
52,138,412,8,1,5,1,1,1,2,0,2,5,2,8,586,0,17,603,0
53,78,258,0,0,3,1,0,2,0,1,2,0,6,19,370,0,15,385,0
54,218,584,3,0,1,0,3,1,0,0,1,5,3,7,826,0,15,841,0
55,78,194,1,0,0,0,1,1,1,0,0,1,1,0,278,0,5,283,0
56,88,326,10,1,1,1,1,0,0,1,1,0,3,10,443,0,18,461,0
57,160,356,2,1,6,1,0,1,1,1,1,4,5,4,543,0,22,565,0
58,177,215,1,0,2,1,0,1,0,1,0,1,4,2,405,0,11,416,0
59,78,248,2,0,0,0,0,0,0,1,0,0,0,1,330,0,3,333,0
60,104,358,8,1,0,0,2,2,2,4,2,0,4,3,490,0,9,499,0
61,74,148,6,1,1,0,0,0,0,0,0,0,2,2,234,0,2,236,0
62,73,327,1,0,0,0,0,0,0,0,1,1,1,8,412,0,2,414,0
63,38,303,0,1,0,0,0,2,0,0,0,1,2,3,350,0,3,353,0
64,166,407,4,3,0,0,0,0,0,1,1,0,2,9,593,0,19,612,0
65,122,274,1,0,0,0,0,0,0,0,0,0,3,1,401,0,2,403,0
66,149,96,3,2,0,1,1,0,0,1,1,2,1,4,261,0,12,273,0
67,283,154,3,3,1,0,1,0,0,0,0,2,0,7,454,0,17,471,0
68,82,181,1,0,1,0,0,0,1,0,0,1,1,2,270,0,6,276,0
69,165,404,1,0,0,0,0,0,0,0,1,1,1,3,576,0,17,593,0
70,455,240,5,1,0,0,0,0,0,1,0,1,0,1,704,0,5,709,0
71,65,229,2,1,0,0,0,0,0,0,0,2,1,3,303,0,6,309,0
72,315,246,2,1,1,0,0,2,1,0,2,0,3,5,578,0,9,587,0
73,404,155,2,0,1,0,0,0,0,0,0,1,0,2,565,0,6,571,0
74,337,222,4,3,1,0,1,1,2,2,0,1,4,7,585,0,21,606,0
75,172,406,4,2,1,0,0,2,2,1,2,0,2,6,600,0,16,616,0
76,168,286,5,1,1,1,0,0,1,0,1,4,2,11,481,0,16,497,0
77,291,324,2,1,3,1,0,0,0,0,0,0,0,9,631,0,12,643,0
78,226,358,4,1,3,0,1,0,3,1,3,2,6,14,622,0,30,652,0
79,149,443,4,1,1,0,0,0,2,0,0,1,1,5,607,0,4,611,0
80,57,748,2,0,1,1,2,0,2,2,1,0,7,5,828,0,13,841,0
81,153,640,7,0,3,0,0,1,0,0,2,1,4,10,821,0,19,840,0
82,139,409,13,3,3,1,0,0,1,3,2,2,4,8,588,0,11,599,0
