Serial No. of Polling Station,,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,Tendered Votes
,,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Ali - ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,,,,,
1,1,297,547,6,3,0,1,1,3,2,1,0,2,4,10,877,0,27,904,0
2,2,191,551,10,0,0,0,1,0,0,0,0,0,4,7,764,0,7,771,0
3,3,317,529,4,0,1,0,2,0,3,2,2,3,5,20,888,0,25,913,0
4,4,36,409,2,0,0,1,0,0,0,1,0,0,1,9,459,0,8,467,0
5,5,545,165,1,0,2,0,0,1,0,1,1,0,1,7,724,0,30,754,0
6,6,627,130,3,1,2,0,0,2,0,1,3,2,1,4,776,0,24,800,0
7,7,292,349,6,1,3,1,0,0,0,1,1,0,1,13,668,0,20,688,0
8,8,97,181,3,0,0,0,1,1,1,1,0,0,2,3,290,0,5,295,0
9,9,406,270,3,1,0,0,1,1,0,0,0,0,0,3,685,0,10,695,0
10,10,177,424,0,0,1,0,2,0,0,1,2,4,1,3,615,0,8,623,0
11,11,55,313,4,1,0,0,0,0,0,0,1,2,1,1,378,0,7,385,0
12,12,88,277,7,0,0,1,0,1,0,0,1,1,0,6,382,0,11,393,0
13,13,94,356,3,0,0,0,2,1,0,1,0,0,2,2,461,0,4,465,0
14,14,283,382,2,1,1,0,2,1,4,0,0,1,1,3,681,0,11,692,0
15,15,103,355,2,2,3,0,0,0,0,1,1,0,2,5,474,0,8,482,0
16,16,176,310,4,1,2,1,0,1,2,0,1,1,3,1,503,0,15,518,0
17,17,123,436,3,0,3,0,0,0,0,2,1,1,1,5,575,0,12,587,0
18,18,588,14,0,0,4,0,2,0,1,0,0,1,0,2,612,0,15,627,0
19,19,389,14,0,1,1,0,1,1,2,0,0,0,1,0,410,0,15,425,0
20,20,718,111,2,1,1,0,1,0,1,0,1,0,0,1,837,0,8,845,0
21,21,286,607,3,2,6,0,1,0,2,2,2,4,2,9,926,0,10,936,0
22,22,317,514,4,0,4,0,1,1,2,0,2,0,1,7,853,0,28,881,0
23,23,246,305,5,3,2,0,2,0,1,1,1,0,1,12,579,0,20,599,0
24,24,144,38,0,0,0,0,1,0,0,0,0,0,0,0,183,0,0,183,0
25,25,333,413,9,3,0,1,5,0,2,3,4,2,10,5,790,0,12,802,0
26,26,332,230,5,1,1,0,0,0,0,0,1,0,1,4,575,0,12,587,0
27,27,251,57,1,0,2,0,0,0,0,1,0,0,0,1,313,0,5,318,0
28,28,57,286,2,10,10,1,0,0,0,1,2,2,1,5,377,0,3,380,0
29,29,74,234,1,0,1,1,0,0,0,0,0,1,0,4,316,0,6,322,0
30,30,92,328,4,4,0,0,0,1,1,0,1,0,1,5,437,0,14,451,0
31,31,126,365,5,0,0,0,0,0,0,0,0,2,0,8,506,0,14,520,0
32,32,105,277,1,0,0,0,0,0,0,0,1,2,0,4,390,0,5,395,0
33,33,33,523,3,1,2,0,0,0,0,1,0,0,4,3,570,0,5,575,0
34,34,80,380,8,9,2,3,2,0,1,2,1,1,2,11,502,0,7,509,0
35,35,38,252,1,0,2,0,0,0,0,0,0,0,0,4,297,0,6,303,0
36,36,121,340,2,1,1,1,0,0,0,1,1,1,3,11,483,0,24,507,0
37,37,269,220,2,0,0,0,0,1,1,1,0,7,0,5,506,0,19,525,0
38,38,125,271,1,0,3,0,0,2,3,0,1,0,2,7,415,0,16,431,0
39,39,46,220,0,1,0,0,0,0,0,1,0,0,0,1,269,0,3,272,0
40,40,178,223,2,1,0,0,0,0,1,0,0,0,4,2,411,0,6,417,0
41,41,107,316,1,0,1,0,1,1,0,1,1,0,1,4,434,0,5,439,0
42,42,692,94,0,1,5,0,1,0,1,2,3,2,2,4,807,0,12,819,0
43,43,84,506,8,6,1,0,0,1,1,0,2,0,3,0,612,0,8,620,0
44,44,374,141,3,4,1,1,1,0,0,0,0,1,0,0,526,0,10,536,0
45,45,486,99,2,2,2,0,0,1,0,1,1,0,1,2,597,0,7,604,0
46,46,194,148,2,0,2,0,0,0,1,0,1,0,2,2,352,0,6,358,0
47,47,256,435,7,0,0,0,1,2,2,3,2,3,7,14,732,0,37,769,0
48,48,569,6,0,0,3,0,1,0,1,0,0,0,1,2,583,0,11,594,0
49,49,830,30,3,0,0,0,0,0,0,3,0,0,1,1,868,0,3,871,0
50,50,207,368,0,1,1,0,0,1,1,1,1,1,0,14,596,0,15,611,0
51,51,328,103,4,83,4,0,0,0,0,3,2,2,5,4,538,0,9,547,0
52,52,230,285,3,4,1,0,0,2,1,0,0,1,0,3,530,0,13,543,0
53,53,226,378,6,0,0,0,0,0,0,0,0,1,2,4,617,0,12,629,0
54,54,200,170,0,0,2,0,0,0,0,0,1,2,3,6,384,0,13,397,0
55,55,181,304,1,0,1,0,0,1,0,0,0,0,0,12,500,0,17,517,0
56,56,635,151,0,0,5,2,0,0,1,1,0,1,1,3,800,0,10,810,0
57,57,427,124,1,1,0,0,0,0,0,1,3,2,1,1,561,0,19,580,0
58,58,141,688,12,2,1,3,2,2,2,4,0,5,6,10,878,0,17,895,0
59,59,46,420,2,0,0,0,4,0,1,1,1,2,1,9,487,0,10,497,0
60,60,276,236,3,1,0,0,2,1,1,0,1,0,0,5,526,0,12,538,0
61,61,129,210,2,0,0,0,0,1,0,0,0,1,3,10,356,0,8,364,0
62,62,117,741,3,0,2,0,0,0,1,1,1,1,12,6,885,0,6,891,0
63,63,86,313,1,2,0,0,1,0,1,0,0,6,1,2,413,0,4,417,0
64,64,95,218,1,1,3,0,0,0,0,0,0,1,1,4,324,0,5,329,0
65,65,82,335,1,0,0,0,1,1,0,0,3,4,2,3,432,0,10,442,0
66,66,293,33,0,0,1,0,0,1,0,0,0,0,1,1,330,0,13,343,0
67,67,196,509,9,2,5,1,2,0,0,0,3,2,11,12,752,0,24,776,0
68,68,192,647,10,3,4,2,9,5,1,1,2,3,4,16,899,0,29,928,0
69,69,94,523,2,0,3,1,0,1,0,3,0,1,3,8,639,0,15,654,0
70,70,47,507,1,1,7,1,0,0,0,1,0,2,1,7,575,0,3,578,0
71,71,166,537,8,0,3,4,0,3,3,2,5,8,9,10,758,0,17,775,0
72,72,113,500,5,1,10,1,0,2,0,4,3,1,2,4,646,0,7,653,0
73,73,51,628,4,0,0,1,0,2,0,4,2,1,3,2,698,0,9,707,0
