polling station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,Tendered Votes
,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Ali - ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,,,,,
1,220,389,5,4,1,1,0,0,0,1,3,0,1,2,627,0,6,633,0
2,178,357,4,26,8,1,1,0,1,2,0,3,3,11,595,0,7,602,0
3,320,260,2,0,2,0,0,1,0,0,1,1,1,6,594,0,11,605,0
4,89,557,0,1,2,0,0,0,1,0,0,0,0,0,650,0,6,656,0
5,124,793,3,1,7,0,0,0,0,0,0,0,0,0,928,0,8,936,0
6,70,817,4,0,10,0,3,0,0,0,0,0,0,0,904,0,9,913,0
7,544,59,7,0,7,1,2,1,0,0,0,1,1,1,624,0,8,632,0
8,716,17,1,1,8,1,0,1,0,0,0,1,1,0,747,0,6,753,0
9,276,265,5,3,6,0,2,3,0,1,2,6,11,19,599,0,62,661,0
10,840,10,1,0,3,0,0,0,0,0,0,0,1,2,857,0,5,862,0
11,678,179,3,2,5,1,0,2,3,4,2,2,4,4,889,0,16,905,0
12,748,16,0,0,1,1,0,0,0,0,0,0,0,1,767,0,5,772,0
13,416,146,1,0,0,1,0,0,1,1,2,0,1,4,573,0,11,584,0
14,167,211,3,0,3,0,0,0,1,0,3,3,3,4,398,0,9,407,0
15,59,579,3,2,3,0,5,0,1,0,0,0,0,0,652,0,3,655,0
16,49,323,4,0,5,0,0,0,1,0,0,0,0,1,383,0,6,389,0
17,123,717,1,1,7,0,0,0,0,0,0,0,1,1,851,0,10,861,0
18,123,469,1,4,8,0,5,0,0,0,0,0,0,0,610,0,10,620,0
19,78,518,0,1,2,0,0,0,0,0,0,1,1,0,601,0,7,608,0
20,180,558,0,1,7,0,0,2,1,0,0,1,0,4,754,0,13,767,0
21,82,442,1,2,3,0,0,0,0,0,0,0,0,0,530,0,4,534,0
22,29,291,3,1,0,0,0,0,0,0,0,0,0,0,324,0,4,328,0
23,163,610,2,0,7,0,0,0,0,0,0,0,0,0,782,0,6,788,0
24,563,274,4,3,2,0,0,0,1,0,1,1,1,3,853,0,7,860,0
25,420,445,1,1,2,0,0,1,1,1,2,2,6,5,887,0,28,915,0
26,593,342,6,10,0,2,1,0,2,1,0,3,5,4,969,0,33,1002,0
27,376,574,3,4,5,1,3,2,0,3,1,3,3,2,980,0,9,989,0
28,56,276,1,1,6,0,0,0,0,0,0,0,0,1,341,0,1,342,0
29,109,625,1,0,4,0,2,0,2,0,0,0,1,0,744,0,5,749,0
30,124,452,0,3,3,0,5,1,1,0,0,1,2,2,594,0,8,602,0
31,62,367,0,2,7,0,1,0,0,2,0,0,1,2,444,0,0,444,0
32,157,698,1,4,6,0,0,0,0,0,0,1,0,0,867,0,10,877,0
33,148,704,1,0,8,1,0,0,1,0,0,0,0,1,864,0,11,875,0
34,121,500,1,0,7,0,0,0,0,0,0,0,0,0,629,0,8,637,0
35,177,565,2,1,2,0,1,1,0,0,0,0,1,0,750,0,10,760,0
36,77,552,1,1,9,0,0,1,0,0,1,0,0,0,642,0,4,646,0
37,53,536,1,0,4,0,0,0,0,0,0,0,0,0,594,0,1,595,0
38,151,657,3,1,4,0,0,1,0,0,0,0,0,1,818,0,14,832,0
39,119,480,0,0,0,0,0,4,1,0,0,0,0,0,604,0,8,612,0
40,46,363,2,1,3,0,0,0,0,0,0,4,0,0,419,0,2,421,0
41,82,485,1,0,1,0,0,0,0,0,0,0,0,0,569,0,11,580,0
42,91,515,2,0,7,0,1,0,0,0,0,0,0,1,617,0,5,622,0
43,128,742,1,3,11,0,0,0,0,0,0,0,1,1,887,0,8,895,0
44,52,325,5,1,1,0,0,0,1,0,0,1,3,2,391,0,9,400,0
45,106,594,1,3,6,0,0,0,0,0,0,0,1,0,711,0,7,718,0
46,137,804,1,1,8,0,0,0,1,1,0,3,1,0,957,0,12,969,0
47,108,532,1,0,2,1,0,0,0,0,0,0,0,0,644,0,5,649,0
48,231,389,1,10,2,1,2,0,1,2,1,3,1,9,653,0,15,668,0
49,219,363,11,0,0,0,0,0,2,1,0,2,1,4,603,0,9,612,0
50,351,116,4,1,1,1,0,0,0,1,0,0,0,0,475,0,0,475,0
51,926,11,2,0,4,0,0,0,0,0,0,0,0,0,943,0,4,947,0
52,759,192,4,5,7,0,0,1,1,0,1,1,1,6,978,0,11,989,0
53,815,60,2,0,0,0,10,0,4,0,0,1,0,0,892,0,9,901,0
54,698,213,10,4,4,0,0,0,1,1,0,3,4,7,945,0,17,962,0
55,906,15,0,1,3,0,2,0,0,0,0,0,0,0,927,0,9,936,0
56,860,12,1,0,3,1,0,0,0,1,0,0,0,1,879,0,3,882,0
57,704,133,0,0,0,0,1,0,0,0,1,0,2,7,848,0,24,872,0
58,754,15,3,0,3,0,1,0,0,0,1,2,1,0,780,0,11,791,0
59,679,75,1,4,2,2,1,0,0,3,1,0,6,4,778,0,12,790,0
60,649,113,1,1,3,2,0,0,0,1,1,0,2,4,777,0,19,796,0
61,577,116,4,2,2,0,0,0,0,0,0,0,0,2,703,0,8,711,0
62,847,14,0,0,10,0,0,0,0,0,0,0,0,0,871,0,4,875,0
63,683,180,6,3,2,1,8,0,0,1,4,4,5,14,911,0,34,945,0
64,835,61,0,1,8,0,0,0,1,0,0,0,1,0,907,0,7,914,0
65,873,22,0,0,8,0,1,0,0,0,0,0,0,0,904,0,10,914,0
66,832,19,0,1,11,0,1,0,0,0,0,0,0,6,870,0,6,876,0
67,682,7,1,0,1,0,0,0,0,0,2,0,0,0,693,0,7,700,0
68,91,816,2,0,7,0,0,1,0,0,0,0,0,2,919,0,8,927,0
69,295,587,2,0,8,0,0,0,0,0,0,0,0,0,892,0,12,904,0
70,225,700,2,2,7,0,1,0,2,0,0,1,2,6,948,0,19,967,0
71,114,635,4,8,10,0,0,0,1,1,0,1,2,1,777,0,22,799,0
72,64,592,3,0,9,0,0,0,0,0,0,1,1,0,670,0,1,671,0
73,66,916,5,3,2,0,0,0,0,1,0,0,0,0,993,0,10,1003,0
74,79,808,0,2,2,0,0,0,1,0,0,0,1,0,893,0,3,896,0
75,157,671,8,2,8,1,0,0,0,0,0,0,0,2,849,0,7,856,0
76,200,378,7,6,4,0,1,2,2,1,1,4,5,3,614,0,28,642,0
77,117,852,1,1,1,1,11,1,2,0,0,0,0,3,990,0,7,997,0
78,99,590,4,1,3,0,0,0,0,0,0,0,0,1,698,0,7,705,0
79,140,760,1,0,5,3,0,0,0,0,0,0,1,1,911,0,13,924,0
80,107,642,1,1,2,0,0,0,0,0,1,0,0,1,755,0,12,767,0
81,103,810,2,2,6,0,0,0,0,0,1,0,0,2,926,0,8,934,0
82,202,679,5,6,8,0,0,2,0,0,0,2,3,14,921,0,15,936,0
83,183,649,2,2,4,0,0,0,0,0,0,0,0,0,840,0,14,854,0
84,123,704,3,2,5,0,0,0,0,0,1,0,0,2,840,0,12,852,0
85,96,752,2,0,4,0,0,0,0,0,1,0,1,0,856,0,3,859,0
86,122,700,0,0,4,0,0,2,0,0,1,0,1,1,831,0,16,847,0
87,107,633,0,1,2,0,0,1,0,1,0,0,2,0,747,0,4,751,0
88,131,743,4,2,4,0,0,0,0,1,0,2,0,1,888,0,3,891,0
89,559,302,5,0,3,0,1,0,1,0,0,1,3,14,889,0,30,919,0
90,492,356,4,3,6,0,0,1,0,0,0,0,3,15,880,0,24,904,0
91,115,446,3,4,3,0,0,0,1,1,1,1,0,2,577,0,5,582,0
92,123,872,3,0,19,0,0,0,0,0,0,0,0,0,1017,0,14,1031,0
93,95,594,0,2,3,0,0,0,0,0,1,1,0,0,696,0,11,707,0
94,112,541,4,5,2,0,0,1,0,2,3,2,6,16,694,0,23,717,0
95,53,371,1,1,3,0,0,0,0,0,0,0,0,1,430,0,5,435,0
96,88,554,10,3,5,0,0,0,0,0,0,0,0,0,660,0,8,668,0
97,251,562,5,4,1,0,0,2,1,0,0,1,0,9,836,0,15,851,0
98,157,484,0,3,2,0,0,0,0,0,0,1,1,1,649,0,8,657,0
99,167,591,3,0,4,1,0,1,0,1,0,0,1,0,769,0,13,782,0
100,192,721,2,2,1,0,1,0,0,1,0,0,3,0,923,0,12,935,0
101,100,746,1,2,2,0,0,0,0,1,0,0,0,0,852,0,9,861,0
102,115,584,0,3,5,0,0,0,0,1,0,0,0,0,708,0,9,717,0
103,346,379,2,2,3,0,4,0,0,1,0,1,1,2,741,0,12,753,0
104,241,575,7,4,1,0,0,0,0,0,2,1,2,2,835,0,26,861,0
105,260,51,0,0,3,0,0,1,0,0,0,0,0,1,316,0,5,321,0
106,204,462,3,0,5,0,1,0,1,0,0,1,0,2,679,0,7,686,0
107,686,15,0,0,0,0,0,0,0,1,0,1,0,1,704,0,15,719,0
108,114,453,1,8,0,0,0,0,0,0,1,1,1,2,581,0,7,588,0
109,175,580,2,27,0,0,2,0,0,0,2,1,4,11,804,0,19,823,0
110,229,634,6,56,3,1,0,0,0,0,1,3,2,4,939,0,15,954,0
111,566,224,2,7,3,0,0,0,1,0,2,1,1,5,812,0,36,848,0
112,135,816,2,20,1,0,0,0,1,1,0,0,1,7,984,0,12,996,0
113,459,347,7,17,5,1,0,0,2,1,2,3,5,8,857,0,26,883,0
114,421,377,27,62,9,0,0,0,1,2,0,1,0,2,902,0,9,911,0
115,677,61,0,1,1,0,0,0,0,0,0,0,0,0,740,0,1,741,0
116,656,75,0,0,4,0,1,0,0,1,0,2,0,1,740,0,5,745,0
117,772,30,1,1,0,0,1,0,0,1,0,0,0,1,807,0,6,813,0
118,205,674,3,4,0,0,0,0,0,0,1,0,0,4,891,0,8,899,0
119,17,586,3,6,0,0,0,2,1,1,2,2,9,17,646,0,27,673,0
120,12,680,3,0,1,1,0,0,0,2,1,2,1,17,720,0,12,732,0
121,236,522,6,10,0,0,1,0,1,0,2,1,0,3,782,0,15,797,0
122,214,507,1,1,2,1,0,0,0,1,2,2,0,4,735,0,8,743,0
123,94,601,8,16,2,0,1,2,1,1,3,2,1,9,741,0,22,763,0
124,41,916,26,2,0,0,1,1,2,1,3,0,1,16,1010,0,32,1042,0
125,590,30,0,0,1,1,0,0,0,0,1,0,0,1,624,0,12,636,0
126,549,10,0,0,0,0,0,0,0,0,0,0,0,0,559,0,4,563,0
127,508,262,0,0,4,2,1,1,0,0,1,0,2,0,781,0,3,784,0
128,688,63,0,0,2,0,1,0,1,0,0,0,1,0,756,0,4,760,0
129,525,10,1,0,2,0,0,0,0,0,0,1,1,0,540,0,7,547,0
130,311,152,3,0,2,0,0,0,0,0,1,1,0,2,472,0,11,483,0
131,561,47,2,0,4,0,0,0,0,0,2,0,0,1,617,0,18,635,0
132,491,67,1,1,6,0,0,0,0,0,0,0,1,1,568,0,5,573,0
133,441,58,2,1,2,0,0,0,0,2,0,1,0,1,508,0,3,511,0
134,311,674,4,0,8,0,0,0,0,0,0,1,1,1,1000,0,15,1015,0
135,320,489,2,22,1,0,1,1,2,2,1,2,2,0,845,0,7,852,0
136,595,182,3,2,2,0,1,1,0,1,0,0,2,1,790,0,12,802,0
137,731,100,2,1,1,0,1,0,0,0,0,1,1,1,839,0,7,846,0
138,327,388,3,1,0,1,1,0,0,0,1,0,2,2,726,0,15,741,0
139,268,453,2,0,0,0,0,1,0,0,0,0,0,0,724,0,5,729,0
140,281,557,0,0,2,1,1,0,0,0,0,0,0,1,843,0,7,850,0
141,173,662,1,0,1,1,0,1,0,0,0,1,0,0,840,0,18,858,0
142,293,557,6,0,2,0,0,0,1,1,2,1,1,6,870,0,14,884,0
143,153,654,1,0,7,1,2,1,0,0,0,0,0,1,820,0,1,821,0
144,85,717,1,1,1,0,0,1,0,1,0,2,3,1,813,0,17,830,0
145,413,452,1,1,2,0,1,0,1,0,1,0,2,1,875,0,7,882,0
146,235,685,2,3,6,0,0,0,2,0,0,2,3,2,940,0,4,944,0
147,247,506,0,2,1,0,0,1,0,0,0,1,1,2,761,0,6,767,0
148,564,350,4,1,1,0,1,0,0,0,1,0,1,4,927,0,8,935,0
149,84,695,5,2,0,0,1,1,0,1,0,0,2,0,791,0,5,796,0
150,81,792,3,3,5,0,2,0,3,4,2,2,1,3,901,0,6,907,0
151,204,627,1,2,3,0,0,1,1,1,1,0,2,9,852,0,14,866,0
152,221,640,10,6,2,1,2,0,0,1,0,1,1,3,888,0,5,893,0
153,106,675,1,7,1,0,1,0,0,3,0,2,3,3,802,0,2,804,0
154,180,663,5,3,8,3,0,1,1,2,1,0,0,5,872,0,10,882,0
155,315,500,5,2,4,2,0,0,0,1,1,1,0,11,842,0,17,859,0
156,368,337,1,2,3,0,0,0,0,1,0,1,0,0,713,0,4,717,0
157,210,625,5,2,5,2,0,0,1,0,0,1,2,5,858,0,10,868,0
158,75,542,2,0,6,0,0,0,0,0,0,0,0,0,625,0,2,627,0
159,163,683,2,3,7,0,0,0,0,2,0,1,1,3,865,0,15,880,0
160,209,403,0,3,0,0,0,0,0,0,1,0,1,0,617,0,5,622,0
161,121,277,0,0,2,0,0,0,0,0,0,0,0,0,400,0,2,402,0
162,68,387,0,0,0,0,0,1,0,0,0,0,0,0,456,0,7,463,0
163,153,409,1,1,0,0,1,0,0,1,0,0,0,6,572,0,6,578,0
164,112,322,0,0,0,0,0,0,1,0,1,0,0,3,439,0,6,445,0
165,245,554,8,9,0,0,0,1,1,0,0,1,1,12,832,0,66,898,0
166,468,110,3,2,0,1,0,0,1,0,0,0,1,1,587,0,4,591,0
167,269,557,1,0,4,0,0,0,1,0,0,0,1,1,834,0,5,839,0
168,568,233,1,2,1,0,0,1,0,0,0,0,0,3,809,0,8,817,0
169,285,163,3,9,2,1,0,1,1,0,0,2,0,3,470,0,26,496,0
170,349,121,0,1,0,0,0,3,1,1,2,0,4,5,487,0,34,521,0
171,201,410,3,0,1,0,0,0,0,0,0,1,1,6,623,0,6,629,0
172,369,97,1,3,0,2,0,0,0,1,0,2,3,2,480,0,21,501,0
173,306,275,6,3,1,0,0,0,1,0,2,4,4,5,607,0,23,630,0
174,155,246,2,1,0,1,0,1,3,0,0,0,1,1,411,0,6,417,0
175,329,407,0,2,2,0,0,1,0,0,1,0,0,1,743,0,5,748,0
176,109,404,0,0,2,0,0,0,0,0,0,0,0,0,515,0,1,516,0
177,156,266,1,1,2,0,0,0,0,0,0,0,1,0,427,0,3,430,0
178,151,505,0,0,5,0,0,0,0,0,0,0,0,0,661,0,4,665,0
179,88,455,1,0,0,0,0,0,0,0,0,0,0,0,544,0,2,546,0
180,119,328,0,3,2,0,0,0,0,0,0,0,1,1,454,0,6,460,0
181,156,441,1,2,6,0,2,0,0,0,0,0,0,0,608,0,7,615,0
182,78,407,1,0,1,0,0,1,0,0,0,0,0,0,488,0,3,491,0
183,85,367,1,0,1,0,0,0,1,0,0,0,0,0,455,0,3,458,0
184,145,366,0,1,2,0,0,0,0,0,0,0,0,0,514,0,10,524,0
185,91,393,0,0,6,0,0,0,0,0,0,0,1,1,492,0,3,495,0
186,77,268,0,0,4,0,0,1,0,0,0,0,0,0,350,0,6,356,0
187,79,423,0,0,2,0,0,0,0,0,0,0,0,0,504,0,2,506,0
188,143,489,1,0,3,0,0,0,0,0,0,0,0,0,636,0,5,641,0
189,115,563,1,0,14,0,0,0,0,0,0,0,0,0,693,0,7,700,0
190,94,482,0,0,10,0,0,3,0,0,0,0,0,0,589,0,13,602,0
191,135,554,2,2,2,1,0,1,4,4,3,8,4,18,738,0,31,769,0
192,179,649,9,5,2,0,3,1,0,3,2,1,41,16,911,0,26,937,0
193,128,701,3,0,2,1,0,1,2,0,0,0,12,2,852,0,13,865,0
194,82,757,1,0,6,1,0,0,1,0,0,0,4,1,853,0,4,857,0
195,143,682,9,2,0,1,0,1,4,2,3,4,15,5,871,0,21,892,0
196,45,381,0,0,1,0,1,0,0,0,0,0,5,0,433,0,3,436,0
197,12,540,0,1,3,0,0,0,0,0,0,0,2,1,559,0,4,563,0
198,70,640,5,0,3,0,1,0,1,1,0,0,6,3,730,0,9,739,0
199,105,775,3,0,3,0,2,1,0,1,0,0,4,2,896,0,9,905,0
200,160,418,3,4,1,2,0,1,1,0,1,4,2,7,604,0,21,625,0
201,112,512,3,4,0,0,0,1,0,0,1,1,0,9,643,0,19,662,0
202,213,423,10,2,1,1,2,1,5,4,2,2,7,17,690,0,29,719,0
203,106,439,5,2,1,0,0,0,4,0,0,1,1,9,568,0,12,580,0
204,311,427,5,5,1,2,0,1,0,0,2,1,2,9,766,0,22,788,0
205,206,406,4,5,2,0,0,0,0,3,0,0,2,7,635,0,28,663,0
206,206,573,2,0,6,0,0,0,1,5,0,1,2,6,802,0,21,823,0
207,241,435,2,1,3,0,0,1,0,0,3,0,2,5,693,0,9,702,0
208,111,332,10,23,4,0,1,1,2,1,0,0,0,3,488,0,7,495,0
209,195,409,6,3,1,0,0,1,3,1,2,2,6,15,644,0,32,676,0
210,130,401,3,6,0,0,0,0,0,1,0,0,2,11,554,0,11,565,0
211,97,326,2,3,1,1,0,1,1,0,0,1,3,6,442,0,12,454,0
212,63,389,3,21,2,0,1,1,1,2,3,2,1,5,494,0,5,499,0
213,426,155,5,4,1,1,0,0,1,1,3,1,5,12,615,0,22,637,0
214,506,244,2,0,8,1,0,0,2,0,1,2,0,14,780,0,24,804,0
215,381,279,2,1,7,0,0,2,3,2,1,2,5,8,693,0,22,715,0
216,127,537,2,8,0,0,0,0,0,1,2,1,3,5,686,0,14,700,0
217,257,375,2,5,4,0,0,0,0,1,0,1,2,2,649,0,6,655,0
218,194,400,10,2,5,0,0,0,4,1,1,0,2,4,623,0,1,624,0
219,154,483,6,0,0,0,1,0,1,0,2,0,1,3,651,0,2,653,0
220,89,596,0,1,2,1,3,5,1,1,0,0,2,2,703,0,9,712,0
221,65,634,15,4,2,0,1,0,1,1,1,1,3,7,735,0,8,743,0
222,161,593,10,2,4,0,1,0,2,0,0,2,0,1,776,0,12,788,0
223,477,285,1,4,4,0,1,0,1,2,1,0,3,10,789,0,25,814,0
224,357,251,4,4,5,0,0,1,0,0,1,1,5,6,635,0,22,657,0
225,233,351,9,16,3,1,0,1,1,1,0,4,7,7,634,0,29,663,0
226,141,162,5,6,1,0,1,0,1,1,1,2,2,4,327,0,6,333,0
227,164,487,5,3,2,2,2,0,2,3,0,2,4,4,680,0,10,690,0
228,213,96,1,2,1,0,0,1,1,1,0,1,0,1,318,0,6,324,0
229,282,521,3,23,4,0,2,0,2,2,3,3,3,8,856,0,17,873,0
230,314,299,7,22,1,5,1,1,3,2,2,3,15,20,695,0,34,729,0
,61559,98971,650,747,768,71,130,92,133,128,129,184,385,763,164710,0,2624,167334,0
