Serial No. of Polling Station,,,,,,,,,,,,,,,valid,No. Of rejected Votes,NOTA,Total,Tendered Votes
,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Ali - ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,,,,,
1,255,232,1,4,3,0,0,0,0,3,0,1,3,1,503,0,5,508,0
2,231,376,2,1,7,0,1,1,2,0,2,0,6,8,637,0,37,674,0
3,200,375,6,4,4,0,0,4,3,3,7,3,6,16,631,0,39,670,0
4,262,336,2,0,2,0,1,0,0,1,2,1,5,7,619,0,33,652,0
5,135,418,1,1,2,0,0,0,0,1,0,0,2,5,565,0,14,579,0
6,70,431,1,1,3,0,0,0,0,0,0,0,0,1,507,0,2,509,0
7,35,637,5,4,1,0,1,0,2,1,0,4,9,13,712,0,20,732,0
8,668,25,0,0,1,0,0,0,0,0,0,0,0,0,694,0,7,701,0
9,596,15,0,1,1,0,0,0,0,0,0,0,0,1,614,0,6,620,0
10,826,37,0,2,1,0,0,0,1,0,2,3,3,8,883,0,19,902,0
11,44,212,1,32,0,0,0,0,1,0,0,3,1,0,294,0,2,296,0
12,90,168,2,218,12,1,1,0,3,2,2,9,8,6,522,0,19,541,0
13,143,335,3,2,2,1,0,0,3,3,0,1,3,7,503,0,11,514,0
14,125,273,7,1,2,0,0,0,0,0,0,2,4,8,422,0,16,438,0
15,181,394,8,11,2,0,0,0,2,1,1,2,0,3,605,0,10,615,0
16,119,261,2,9,1,1,0,0,1,3,1,1,4,9,412,0,16,428,0
17,99,148,1,0,0,0,0,0,0,0,0,0,0,1,249,0,5,254,0
18,226,226,1,2,2,0,0,1,0,0,0,2,0,3,463,0,8,471,0
19,168,305,3,5,6,0,1,0,1,0,1,5,8,17,520,0,11,531,0
20,124,390,4,5,1,1,2,0,0,0,0,0,4,7,538,0,14,552,0
21,146,158,2,16,0,0,0,0,1,0,1,3,3,2,332,0,5,337,0
22,180,299,1,0,0,2,0,0,0,0,1,2,1,3,489,0,18,507,0
23,103,202,3,0,1,0,0,0,0,0,0,0,0,4,313,0,14,327,0
24,147,304,2,4,71,1,1,0,0,2,2,4,2,10,550,0,30,580,0
25,162,462,3,8,6,0,0,1,0,3,0,0,2,14,661,0,14,675,0
26,53,319,0,2,2,1,0,0,0,0,0,0,0,1,378,0,1,379,0
27,259,467,5,1,8,0,1,0,1,1,2,1,11,4,761,0,23,784,0
28,149,217,3,3,7,0,1,0,2,1,2,0,1,4,390,0,5,395,0
29,19,306,3,1,1,0,0,1,0,1,1,0,0,2,335,0,7,342,0
30,98,368,2,4,1,0,0,0,0,0,1,0,4,7,485,0,3,488,0
31,68,327,0,0,5,1,0,0,0,1,0,1,1,1,405,0,3,408,0
32,114,261,6,2,1,1,0,0,1,0,0,2,1,4,393,0,12,405,0
33,142,370,1,2,0,0,1,1,0,0,1,1,1,5,525,0,3,528,0
34,169,268,0,1,3,0,0,0,1,2,0,0,0,5,449,0,21,470,0
35,157,244,2,1,1,0,0,0,0,1,0,1,0,4,411,0,15,426,0
36,163,106,2,1,13,1,0,0,0,1,0,2,1,1,291,0,14,305,0
37,63,269,0,1,6,1,0,1,1,0,0,0,0,3,345,0,6,351,0
38,163,449,2,1,7,0,0,0,2,2,1,0,5,12,644,0,16,660,0
39,222,369,4,1,2,0,1,1,0,1,2,2,1,9,615,0,22,637,0
40,82,365,7,27,2,0,2,2,0,0,2,1,0,10,500,0,17,517,0
41,160,363,2,3,1,0,0,3,2,3,4,6,3,11,561,0,23,584,0
42,79,312,5,3,0,1,1,2,0,2,1,2,3,2,413,0,5,418,0
43,102,211,2,0,0,0,2,0,1,0,1,2,3,5,329,0,4,333,0
44,124,138,8,1,0,0,1,0,2,0,1,1,5,6,287,0,11,298,0
45,104,346,3,0,0,0,0,0,0,2,0,0,0,9,464,0,11,475,0
46,128,440,7,0,1,0,1,1,1,4,0,3,1,3,590,0,28,618,0
47,199,151,1,0,0,0,0,0,0,0,2,0,3,0,356,0,10,366,0
48,49,303,2,0,1,0,0,0,1,0,0,0,0,2,358,0,2,360,0
49,220,402,4,0,4,2,1,0,5,4,1,0,9,18,670,0,45,715,0
50,112,256,1,0,4,0,2,1,2,0,0,0,0,5,383,0,7,390,0
51,264,334,4,2,3,0,2,1,1,1,2,2,3,4,623,0,25,648,0
52,138,408,1,2,6,0,1,1,1,0,2,3,1,9,573,0,12,585,0
53,52,441,2,1,2,0,1,0,0,1,0,2,1,3,506,0,3,509,0
54,186,297,6,3,1,1,0,1,0,2,2,3,2,2,506,0,21,527,0
55,87,441,6,0,2,0,0,1,1,0,0,2,2,10,552,0,10,562,0
56,205,153,0,0,1,0,0,0,3,0,0,0,0,6,368,0,14,382,0
57,278,421,5,2,3,0,0,0,1,1,1,0,1,3,716,0,8,724,0
58,201,421,5,1,5,0,0,0,0,0,0,1,3,8,645,0,19,664,0
59,40,411,3,0,7,0,2,0,1,0,1,1,0,0,466,0,2,468,0
60,202,64,1,0,0,0,0,1,0,0,0,0,0,0,268,0,4,272,0
61,320,267,3,2,5,1,0,0,0,0,1,0,0,3,602,0,5,607,0
62,173,438,2,20,2,0,0,0,0,0,2,0,1,2,640,0,7,647,0
63,222,287,1,4,2,0,0,0,1,1,2,1,3,3,527,0,10,537,0
64,72,741,5,26,0,0,0,0,0,0,1,0,2,3,850,0,6,856,0
65,44,366,4,201,4,3,2,0,8,6,4,9,18,15,684,0,16,700,0
66,70,595,7,8,1,0,0,1,0,1,0,2,5,9,699,0,10,709,0
67,118,402,5,3,1,1,0,3,3,1,1,2,6,11,557,0,10,567,0
68,110,526,7,10,0,0,2,2,0,3,1,2,2,7,672,0,6,678,0
69,93,625,13,77,5,0,1,0,3,1,3,3,0,7,831,0,23,854,0
70,123,589,7,28,0,1,2,1,1,2,1,0,3,7,765,0,19,784,0
71,125,413,5,5,6,0,0,0,2,2,5,8,8,20,599,0,19,618,0
72,123,638,2,1,2,0,0,0,0,1,2,0,0,3,772,0,5,777,0
73,27,109,1,4,0,0,0,0,1,0,1,3,1,7,154,0,3,157,0
74,129,545,11,4,3,2,2,1,1,1,0,0,1,2,702,0,7,709,0
75,104,727,14,13,6,2,0,1,2,0,1,0,2,12,884,0,16,900,0
76,208,263,8,6,2,1,2,1,3,1,2,0,2,9,508,0,14,522,0
77,53,202,2,0,10,0,1,1,0,0,0,0,2,11,282,0,8,290,0
78,212,586,10,16,1,2,0,2,3,1,2,2,3,10,850,0,16,866,0
79,353,468,4,3,0,0,0,1,2,1,4,3,4,13,856,0,31,887,0
80,194,426,6,1,3,1,1,2,0,3,0,2,2,5,646,0,11,657,0
81,409,367,1,1,0,0,0,0,1,0,1,0,1,4,785,0,13,798,0
82,143,613,2,2,1,0,0,0,0,0,2,2,1,5,771,0,13,784,0
83,168,297,9,33,1,0,3,1,2,2,3,7,2,14,542,0,42,584,0
84,28,217,4,37,2,0,1,0,0,0,1,0,1,7,298,0,8,306,0
85,118,646,5,0,0,0,0,1,1,0,0,1,3,9,784,0,17,801,0
86,194,629,8,7,0,0,0,0,0,1,1,3,8,18,869,0,30,899,0
87,88,604,7,3,1,2,0,0,1,0,1,0,4,7,718,0,10,728,0
88,68,620,0,20,1,0,1,1,2,1,0,1,2,1,718,0,9,727,0
89,83,523,6,17,4,1,1,0,4,0,0,2,0,4,645,0,28,673,0
90,142,493,11,11,3,2,1,0,1,3,0,1,3,4,675,0,23,698,0
91,46,546,1,1,2,0,0,0,1,0,0,1,2,0,600,0,5,605,0
92,68,597,3,33,3,2,1,0,2,1,0,3,0,5,718,0,13,731,0
93,90,263,2,50,3,0,0,0,2,0,4,4,1,9,428,0,10,438,0
94,115,208,5,3,1,1,0,2,0,0,1,0,0,7,343,0,8,351,0
95,112,582,11,51,3,4,3,2,4,2,6,2,11,15,808,0,29,837,0
96,178,687,12,17,6,1,0,2,4,2,3,0,2,16,930,0,24,954,0
97,128,620,6,5,2,0,0,0,3,1,1,3,6,15,790,0,7,797,0
98,42,481,2,0,2,0,0,0,0,0,0,0,0,0,527,0,4,531,0
99,53,660,4,3,8,0,0,0,0,0,0,0,0,0,728,0,7,735,0
100,119,608,5,3,5,0,2,0,0,0,0,1,0,1,744,0,9,753,0
101,85,323,3,0,12,0,0,0,0,0,0,0,0,0,423,0,4,427,0
102,140,467,8,1,4,0,2,0,0,0,1,0,1,1,625,0,4,629,0
103,35,263,2,4,4,0,0,1,1,0,1,2,2,1,316,0,2,318,0
104,110,491,15,1,2,0,1,2,3,0,1,2,2,2,632,0,6,638,0
105,148,441,10,3,4,1,0,0,0,2,0,0,2,1,612,0,3,615,0
106,83,542,8,1,2,1,1,0,0,0,2,1,1,3,645,0,6,651,0
107,75,418,3,4,0,0,0,1,0,1,0,0,1,0,503,0,6,509,0
108,280,460,13,8,4,0,0,0,1,0,0,0,4,2,772,0,7,779,0
109,63,753,4,4,3,0,0,0,0,0,0,1,1,2,831,0,4,835,0
110,75,524,3,2,10,0,0,0,0,0,1,1,1,0,617,0,15,632,0
111,66,675,7,4,11,0,0,0,1,0,0,2,3,5,774,0,12,786,0
112,76,721,8,2,0,0,1,2,0,0,0,0,0,0,810,0,7,817,0
113,248,677,5,2,10,0,0,0,0,1,0,2,1,3,949,0,7,956,0
114,91,941,1,1,3,0,0,0,0,0,0,0,0,0,1037,0,9,1046,0
115,84,1030,0,0,1,0,0,1,1,0,0,0,0,1,1118,0,10,1128,0
116,98,993,0,1,4,0,0,1,0,0,0,0,0,0,1097,0,14,1111,0
117,519,562,1,2,4,0,0,0,0,0,2,1,2,2,1095,0,11,1106,0
118,315,591,4,1,1,0,0,0,1,1,0,1,2,1,918,0,6,924,0
119,130,798,3,9,2,0,1,1,0,0,0,0,1,2,947,0,14,961,0
120,154,783,4,4,10,0,0,0,0,0,0,0,0,0,955,0,3,958,0
121,111,855,7,0,1,0,0,0,0,0,0,0,0,2,976,0,18,994,0
122,119,867,10,1,5,3,1,0,0,0,0,0,0,1,1007,0,6,1013,0
123,86,770,3,0,4,0,0,0,0,0,0,0,1,1,865,0,4,869,0
124,697,271,4,0,5,1,0,0,0,0,1,0,1,1,981,0,6,987,0
125,388,58,1,0,2,0,0,1,1,0,1,0,0,0,452,0,4,456,0
126,95,401,1,1,3,0,0,0,0,0,0,0,0,0,501,0,2,503,0
127,146,187,7,5,2,0,0,1,1,0,1,0,0,1,351,0,1,352,0
128,39,373,11,5,4,0,1,0,0,0,0,0,1,2,436,0,2,438,0
129,221,538,7,0,1,0,1,0,0,1,1,0,1,2,773,0,6,779,0
130,259,692,9,1,4,0,0,2,2,1,0,0,1,5,976,0,13,989,0
131,246,493,7,1,6,0,2,1,0,2,0,1,2,10,771,0,22,793,0
132,293,544,0,0,4,1,1,0,1,0,0,1,0,2,847,0,2,849,0
133,781,261,0,0,5,1,1,0,0,0,0,1,0,0,1050,0,5,1055,0
134,891,68,1,0,2,0,0,0,1,0,0,0,1,1,965,0,8,973,0
135,145,744,1,0,2,0,0,0,2,0,0,0,0,2,896,0,11,907,0
136,124,723,3,0,0,0,0,0,0,1,0,0,3,5,859,0,11,870,0
137,89,873,6,0,3,1,2,2,0,0,1,0,0,2,979,0,4,983,0
138,180,707,1,1,5,0,2,0,4,1,1,1,0,2,905,0,19,924,0
139,203,752,7,34,1,0,1,0,1,3,1,2,3,12,1020,0,25,1045,0
140,321,491,3,0,19,0,0,0,0,0,0,0,0,3,837,0,3,840,0
141,602,283,4,1,6,0,1,0,0,0,0,0,0,6,903,0,11,914,0
142,609,34,0,0,1,0,0,0,0,0,0,0,0,0,644,0,4,648,0
143,444,15,0,0,0,0,0,0,0,0,0,0,0,0,459,0,3,462,0
144,272,149,7,1,2,0,1,0,1,0,0,1,0,11,445,0,25,470,0
145,570,31,0,0,5,1,0,0,0,0,0,0,0,0,607,0,5,612,0
146,137,792,3,2,4,1,0,0,1,1,0,1,0,4,946,0,10,956,0
147,357,580,2,0,3,0,0,0,0,0,0,0,2,2,946,0,15,961,0
148,367,426,5,5,4,1,0,3,1,1,3,6,6,16,844,0,24,868,0
149,147,717,1,3,5,0,0,0,1,1,0,0,0,1,876,0,5,881,0
150,316,487,2,2,4,0,0,2,0,0,2,0,0,2,817,0,4,821,0
151,274,590,3,1,6,0,0,0,1,0,0,0,3,8,886,0,13,899,0
152,354,610,1,18,10,0,1,0,1,0,0,0,0,0,995,0,5,1000,0
153,318,179,0,1,3,0,0,0,1,0,0,0,0,3,505,0,16,521,0
154,991,70,2,2,3,1,2,0,0,1,1,1,0,2,1076,0,16,1092,0
155,937,84,5,2,5,0,0,1,0,0,1,0,3,5,1043,0,15,1058,0
156,965,46,1,0,1,0,0,1,0,1,0,1,2,2,1020,0,10,1030,0
157,212,316,4,7,2,1,4,1,3,0,1,4,3,6,564,0,27,591,0
158,294,596,2,3,0,1,0,1,0,0,3,0,0,8,908,0,33,941,0
159,106,621,5,31,1,1,4,1,2,6,3,6,2,20,809,0,30,839,0
160,276,446,2,98,1,0,0,0,0,2,1,3,4,8,841,0,25,866,0
161,249,217,5,3,33,0,0,0,2,1,0,0,0,5,515,0,8,523,0
162,184,165,1,6,5,0,0,1,0,0,0,0,4,5,371,0,8,379,0
163,225,100,3,2,11,0,0,0,0,0,0,1,4,4,350,0,8,358,0
164,79,567,5,4,0,2,0,0,0,2,0,5,4,14,682,0,4,686,0
165,205,478,2,4,7,3,2,1,0,1,0,3,8,3,717,0,17,734,0
166,566,115,2,0,4,0,0,0,0,0,2,3,2,1,695,0,12,707,0
167,168,270,4,1,6,2,0,2,2,1,3,3,3,5,470,0,9,479,0
168,183,240,5,8,0,0,0,1,3,2,2,2,8,9,463,0,55,518,0
169,204,574,4,7,5,0,1,1,0,1,0,0,0,8,805,0,5,810,0
170,458,183,8,3,1,0,0,0,1,0,2,0,0,0,656,0,2,658,0
171,215,92,1,4,1,0,0,0,1,0,0,1,0,1,316,0,2,318,0
172,50,867,5,1,3,0,1,0,0,0,1,0,0,1,929,0,3,932,0
173,39,806,1,2,8,0,0,0,0,0,0,0,1,0,857,0,7,864,0
174,91,638,2,1,7,0,0,0,0,0,1,1,1,0,742,0,3,745,0
175,72,825,2,1,8,0,1,1,0,1,0,0,0,1,912,0,4,916,0
176,35,656,6,0,8,0,0,0,0,0,0,0,0,1,706,0,1,707,0
177,34,414,0,0,4,0,0,0,1,1,0,0,0,1,455,0,6,461,0
178,53,304,1,1,0,0,0,0,0,0,0,0,0,0,359,0,4,363,0
179,30,317,3,0,1,0,0,0,1,0,0,0,0,5,357,0,1,358,0
180,53,656,1,0,8,0,0,0,0,0,0,0,0,1,719,0,1,720,0
181,58,607,4,2,5,0,0,0,0,0,0,0,0,0,676,0,6,682,0
182,54,686,5,2,7,0,1,0,0,0,0,0,0,1,756,0,9,765,0
183,24,448,0,0,3,0,0,0,0,0,0,0,0,0,475,0,2,477,0
184,30,413,1,1,7,0,0,1,0,0,0,0,0,0,453,0,1,454,0
185,54,796,1,0,0,0,0,1,0,1,0,0,0,0,853,0,7,860,0
186,36,534,1,0,1,0,0,1,0,0,0,0,0,1,574,0,5,579,0
187,67,569,2,0,3,0,0,1,0,0,0,0,0,1,643,0,3,646,0
188,36,454,1,0,1,0,0,0,0,0,0,1,0,0,493,0,2,495,0
189,33,551,0,0,2,0,0,0,0,0,0,0,0,0,586,0,6,592,0
190,36,715,0,0,5,0,0,0,0,0,0,0,0,0,756,0,4,760,0
191,42,865,2,1,5,0,0,1,0,0,0,0,0,0,916,0,10,926,0
192,64,770,1,0,1,0,0,0,0,1,0,0,3,0,840,0,3,843,0
193,473,334,1,3,6,0,0,1,2,1,1,2,4,6,834,0,45,879,0
194,440,250,2,0,1,0,0,0,0,0,0,1,4,2,700,0,8,708,0
195,189,583,1,1,0,0,1,2,0,0,0,0,0,2,779,0,9,788,0
196,45,549,1,2,6,0,0,0,0,2,0,0,0,1,606,0,6,612,0
197,53,861,4,0,8,0,0,0,0,0,1,0,0,0,927,0,1,928,0
198,22,456,7,2,0,1,0,1,4,4,2,3,6,8,516,0,12,528,0
199,132,574,3,1,4,2,0,0,1,2,1,3,4,6,733,0,22,755,0
200,597,152,3,7,1,1,1,0,0,0,0,5,1,2,770,0,22,792,0
201,302,279,5,1,4,0,0,2,0,1,0,0,0,9,603,0,26,629,0
202,96,488,3,21,3,0,0,0,0,3,0,3,2,5,624,0,12,636,0
203,400,160,0,1,0,0,2,0,4,0,1,0,3,2,573,0,11,584,0
204,324,342,10,5,1,1,1,0,0,0,1,1,2,10,698,0,12,710,0
205,62,543,0,5,0,0,0,0,0,0,0,0,1,0,611,0,1,612,0
206,638,99,3,0,1,0,0,1,1,2,0,0,0,4,749,0,10,759,0
207,390,301,3,15,1,0,1,1,0,0,1,5,10,13,741,0,87,828,0
208,362,229,3,2,1,0,0,0,0,0,0,2,1,6,606,0,8,614,0
209,211,166,3,2,1,0,0,1,2,2,1,0,1,9,399,0,43,442,0
210,614,32,0,0,4,2,0,0,0,0,0,0,0,0,652,0,10,662,0
211,354,65,3,6,4,1,0,0,0,1,0,1,1,0,436,0,4,440,0
212,149,481,11,60,9,2,0,4,1,1,2,11,10,16,757,0,46,803,0
213,434,336,4,0,4,1,1,0,1,1,0,0,4,7,793,0,13,806,0
214,171,265,1,0,1,0,0,1,0,1,0,1,3,7,451,0,17,468,0
215,124,560,23,2,9,0,3,0,0,0,1,1,0,4,727,0,9,736,0
216,44,220,4,1,1,0,0,2,0,0,0,0,1,2,275,0,5,280,0
217,131,475,2,2,4,0,0,0,0,2,0,1,1,8,626,0,5,631,0
218,63,253,16,9,9,3,4,3,3,4,3,3,3,11,387,0,7,394,0
219,141,184,2,2,2,0,0,0,0,0,0,0,0,3,334,0,9,343,0
220,452,27,1,0,4,0,0,0,0,1,0,0,0,1,486,0,1,487,0
221,248,113,3,1,0,0,0,0,1,0,1,1,0,4,372,0,14,386,0
222,123,393,5,1,7,0,0,0,0,0,0,1,1,1,532,0,6,538,0
