polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai.,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
1,4,114,7,519,12,0,2,1,2,2,663,0,8,671,0
2,1,50,3,374,4,0,1,1,0,0,434,0,0,434,0
3,4,150,4,395,4,1,2,4,4,2,570,0,6,576,0
4,6,202,4,575,4,0,1,4,4,2,802,0,7,809,0
5,4,81,2,190,2,0,4,0,1,1,285,0,4,289,0
6,3,128,3,483,4,4,3,3,2,1,634,0,2,636,0
7,3,144,10,136,5,1,0,0,3,9,311,0,9,320,0
8,5,99,3,407,4,1,1,1,2,2,525,0,3,528,0
9,1,154,4,242,6,0,3,2,1,1,414,0,4,418,0
10,6,252,3,520,2,1,0,0,2,4,790,0,2,792,0
11,13,340,12,159,2,3,5,5,5,9,553,0,25,578,0
12,1,198,4,304,1,0,6,2,3,2,521,0,7,528,0
13,6,158,4,398,1,2,0,6,2,13,590,0,13,603,0
14,3,186,6,529,4,1,0,1,2,6,738,0,5,743,0
15,11,284,10,132,3,1,1,6,7,9,464,0,20,484,0
16,9,311,11,313,3,0,3,13,9,16,688,0,22,710,0
17,2,193,2,588,7,0,1,1,1,2,797,0,3,800,0
18,13,351,12,305,2,0,2,1,4,6,696,0,10,706,0
19,3,317,11,327,6,2,2,1,2,1,672,0,12,684,0
20,1,240,2,397,5,0,2,4,2,2,655,0,5,660,0
21,7,280,12,297,9,1,0,7,1,7,621,0,19,640,0
22,1,143,2,486,13,1,4,3,2,5,660,0,12,672,0
23,5,160,4,466,2,2,1,0,2,5,647,0,21,668,0
24,3,458,4,100,4,0,3,0,7,19,598,0,5,603,0
25,1,72,4,545,3,0,0,0,0,0,625,0,2,627,0
26,2,63,2,402,3,0,1,3,0,1,477,0,1,478,0
27,1,72,4,593,9,1,0,1,0,0,681,0,7,688,0
28,1,55,4,797,11,0,1,1,0,0,870,0,4,874,0
29,1,30,1,318,3,1,0,2,0,0,356,0,2,358,0
30,4,88,5,415,6,1,3,2,6,3,533,0,10,543,0
31,2,182,4,377,2,0,1,0,0,3,571,0,8,579,0
32,5,109,1,331,4,0,2,1,1,3,457,0,1,458,0
33,9,292,8,341,3,3,6,1,2,10,675,0,6,681,0
34,2,50,4,532,2,0,0,1,1,3,595,0,3,598,0
35,5,241,3,111,0,0,0,1,0,1,362,0,3,365,0
36,3,529,7,148,5,0,0,0,0,2,694,0,4,698,0
37,2,103,3,637,7,3,2,3,2,6,768,0,9,777,0
38,5,90,1,565,3,0,1,3,2,3,673,0,11,684,0
39,2,379,7,30,1,1,0,0,0,0,420,0,1,421,0
40,2,323,6,475,3,0,2,5,3,1,820,0,6,826,0
41,10,226,10,296,6,0,5,14,5,3,575,0,17,592,0
42,0,71,2,324,3,0,0,0,0,0,400,0,0,400,0
43,4,555,5,27,5,0,0,0,2,0,598,0,3,601,0
44,2,590,3,103,2,0,2,2,2,4,710,0,9,719,0
45,4,388,3,87,0,1,1,0,2,2,488,0,3,491,0
46,0,655,1,103,1,0,2,0,0,0,762,0,2,764,0
47,5,568,5,155,2,0,1,0,3,3,742,0,7,749,0
48,3,140,6,521,7,1,0,1,2,6,687,0,9,696,0
49,5,191,6,187,4,0,0,2,1,3,399,0,10,409,0
50,4,121,2,580,3,0,0,2,0,0,712,0,5,717,0
51,7,346,5,73,0,0,0,2,0,4,437,0,3,440,0
52,2,178,3,247,2,1,0,0,0,2,435,0,1,436,0
53,2,302,5,83,3,0,1,3,3,6,408,0,12,420,0
54,9,450,9,178,4,0,1,2,10,20,683,0,15,698,0
55,4,331,5,243,2,1,0,1,0,2,589,0,3,592,0
56,0,551,1,130,4,0,1,0,2,7,696,0,4,700,0
57,1,345,3,184,3,0,6,1,1,1,545,0,0,545,0
58,4,524,1,77,2,0,0,2,0,4,614,0,4,618,0
59,15,179,5,482,7,3,3,5,2,9,710,0,12,722,0
60,2,136,2,451,1,0,2,1,1,1,597,0,7,604,0
61,10,344,13,419,8,1,0,4,2,5,806,0,5,811,0
62,1,55,4,403,7,1,1,7,1,6,486,0,6,492,0
63,0,47,4,657,1,0,0,0,1,0,710,0,8,718,0
64,0,19,1,589,6,0,1,0,0,0,616,0,3,619,0
65,0,93,1,610,5,1,2,0,0,0,712,0,4,716,0
66,6,49,2,475,6,0,1,1,0,1,541,0,4,545,0
67,7,75,3,389,8,4,4,6,4,8,508,0,24,532,0
68,1,69,2,513,2,0,0,0,1,0,588,0,4,592,0
69,3,103,8,493,3,1,1,2,2,2,618,0,8,626,0
70,2,73,3,358,3,0,0,1,0,1,441,0,4,445,0
71,9,192,17,432,6,3,1,5,3,8,676,0,13,689,0
72,0,36,2,538,6,0,0,0,0,0,582,0,0,582,0
73,3,144,9,324,8,1,1,4,3,4,501,0,7,508,0
74,5,266,7,337,6,4,0,1,3,3,632,0,4,636,0
75,8,297,10,275,14,2,2,2,4,13,627,0,10,637,0
76,10,270,2,358,2,1,2,6,1,7,659,0,24,683,0
77,8,322,4,354,0,0,3,3,1,18,713,0,18,731,0
78,3,158,5,100,3,0,1,2,1,3,276,0,8,284,0
79,3,241,2,335,3,1,0,0,3,7,595,0,2,597,0
80,8,370,9,82,1,1,1,3,5,27,507,0,32,539,0
81,8,325,5,365,1,1,5,3,1,6,720,0,5,725,0
82,11,389,16,318,3,0,0,4,1,7,749,0,11,760,0
83,6,155,7,105,1,0,6,0,2,3,285,0,1,286,0
84,5,300,10,335,3,0,3,0,4,6,666,0,13,679,0
85,0,111,1,497,3,0,0,1,1,0,614,0,4,618,0
86,9,286,7,152,4,1,4,4,5,14,486,0,19,505,0
87,2,311,7,320,7,2,4,6,4,3,666,0,6,672,0
88,9,285,5,242,5,2,5,5,4,1,563,0,11,574,0
89,0,47,2,349,0,0,0,1,1,1,401,0,3,404,0
90,2,57,0,344,1,0,0,1,0,0,405,0,1,406,0
91,8,339,8,104,4,2,5,1,2,9,482,0,16,498,0
92,1,62,1,293,5,0,0,2,2,1,367,0,2,369,0
93,10,398,5,203,4,3,1,3,1,9,637,0,22,659,0
94,1,104,3,214,2,0,0,3,1,2,330,0,4,334,0
95,3,247,6,305,2,0,0,1,4,9,577,0,8,585,0
96,3,240,5,269,5,0,1,5,0,13,541,0,8,549,0
97,7,183,10,530,8,2,2,3,3,12,760,0,22,782,0
98,3,180,1,247,0,1,1,1,1,2,437,0,2,439,0
99,4,198,8,338,3,0,2,4,1,7,565,0,12,577,0
100,6,134,1,138,1,0,0,0,0,2,282,0,5,287,0
101,9,300,5,416,6,0,2,1,2,7,748,0,12,760,0
102,0,171,6,504,0,0,0,0,2,2,685,0,4,689,0
103,5,312,6,470,3,0,1,1,0,8,806,0,9,815,0
104,2,99,1,91,8,0,0,1,0,1,203,0,0,203,0
105,0,29,0,39,3,0,0,0,0,0,71,0,0,71,0
106,6,214,2,239,3,1,5,0,1,1,472,0,6,478,0
107,5,106,4,539,8,0,0,0,0,3,665,0,13,678,0
108,5,189,2,553,7,1,1,1,2,4,765,0,7,772,0
109,1,28,2,219,5,0,1,0,2,2,260,0,2,262,0
110,2,78,5,476,9,0,2,0,0,2,574,0,6,580,0
111,2,50,11,422,6,1,0,3,2,3,500,0,8,508,0
112,0,322,5,106,8,0,0,1,1,2,445,0,10,455,0
113,2,373,4,30,1,0,1,0,3,4,418,0,7,425,0
114,0,191,3,191,9,2,0,0,1,1,398,0,3,401,0
115,2,90,7,765,16,2,0,1,1,1,885,0,7,892,0
116,2,86,1,731,14,0,1,0,1,0,836,0,3,839,0
117,2,54,3,957,11,2,0,1,0,0,1030,0,10,1040,0
118,0,48,5,774,8,1,0,1,0,1,838,0,8,846,0
119,0,52,2,698,8,1,0,1,0,1,763,0,6,769,0
120,0,52,4,859,8,1,0,1,1,1,927,0,6,933,0
121,0,61,4,906,22,0,1,0,1,0,995,0,3,998,0
122,2,42,4,866,10,1,1,0,0,0,926,0,2,928,0
123,2,73,3,743,14,2,0,0,0,0,837,0,8,845,0
124,2,64,2,766,11,0,0,0,0,0,845,0,5,850,0
125,0,38,1,770,18,0,0,1,0,0,828,0,5,833,0
126,1,56,2,463,1,0,1,0,0,0,524,0,2,526,0
126,0,16,0,383,7,0,1,0,0,0,407,0,1,408,0
127,0,50,5,741,15,0,0,0,1,0,812,0,4,816,0
128,0,35,0,653,13,1,0,0,0,0,702,0,5,707,0
129,1,154,5,312,4,2,3,2,1,1,485,0,8,493,0
129,1,111,4,784,2,1,1,0,1,3,908,0,4,912,0
130,4,22,1,739,10,2,0,1,0,0,779,0,3,782,0
130,1,10,2,462,6,1,0,1,1,0,484,0,0,484,0
131,1,45,1,704,6,2,0,0,2,1,762,0,3,765,0
132,3,121,1,581,8,1,4,3,0,4,726,0,5,731,0
133,4,297,9,513,11,1,3,5,1,10,854,0,7,861,0
134,5,198,4,390,3,1,0,1,3,0,605,0,7,612,0
135,8,251,11,144,2,0,3,4,9,12,444,0,14,458,0
136,3,54,3,258,3,0,0,3,1,0,325,0,9,334,0
137,5,144,3,414,5,1,3,4,0,6,585,0,10,595,0
138,4,256,7,250,0,0,2,4,2,3,528,0,1,529,0
139,3,239,6,371,2,1,4,2,2,2,632,0,16,648,0
140,12,276,5,477,3,1,0,4,5,2,785,0,7,792,0
141,1,159,4,603,9,0,0,3,1,5,785,0,11,796,0
142,1,270,9,424,6,2,8,12,1,4,737,0,20,757,0
143,2,220,8,505,3,1,1,3,1,6,750,0,5,755,0
144,5,309,8,484,7,2,2,2,4,7,830,0,8,838,0
145,5,140,6,416,13,1,1,7,2,2,593,0,9,602,0
146,6,76,4,318,3,0,1,2,1,0,411,0,6,417,0
147,8,484,6,284,3,0,0,0,4,7,796,0,7,803,0
148,2,431,5,299,3,0,1,1,0,5,747,0,3,750,0
149,4,253,7,515,15,1,2,8,1,20,826,0,20,846,0
150,2,233,4,140,2,0,0,1,2,9,393,0,4,397,0
151,3,99,3,80,1,0,0,1,1,1,189,0,2,191,0
152,2,294,6,332,3,1,0,2,4,10,654,0,12,666,0
153,5,257,6,174,1,0,1,2,0,10,456,0,12,468,0
154,6,428,10,303,4,1,6,6,3,5,772,0,9,781,0
