No Polling St.,No. of valid votes cast in favour of,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,OMPRAK ASH SHRIVAS 2,DARSHA NA VIKRAM 3,DESAI NAISHAD HBHAI 4,KIRITBHA I HARJIBH 5,MOHANB HAI B. PATEL 6,VASAVA KISHORB HAI 7,MAVJIBH AI LAXMAN 8,MUKESH BHAI LAVJIBH 9,,,,,
,,,,,,,,,,,,,
1,3,180,393,3,39,2,1,2,623,0,3,626,0
2,0,177,47,0,1,1,1,1,228,0,5,233,0
3,1,153,563,2,44,1,3,1,768,0,12,780,0
4,5,461,70,0,3,1,0,0,540,0,4,544,0
5,1,392,42,2,5,0,1,0,443,0,6,449,0
6,1,349,176,1,7,0,0,0,534,0,10,544,0
7,4,207,599,3,14,0,1,0,828,0,7,835,0
8,5,266,219,3,11,0,2,0,506,0,8,514,0
9,4,292,408,1,21,2,1,6,735,0,10,745,0
10,4,415,270,1,19,1,3,5,718,0,3,721,0
11,1,230,267,2,23,1,1,0,525,0,6,531,0
12,1,141,210,1,5,0,1,0,359,0,2,361,0
13,3,95,394,3,10,1,0,1,507,0,11,518,0
14,0,144,570,3,18,0,0,0,735,0,7,742,0
15,1,83,366,1,13,0,0,0,464,0,12,476,0
16,0,143,351,1,13,1,0,0,509,0,4,513,0
17,1,101,327,3,24,1,0,2,459,0,11,470,0
18,3,221,355,7,13,0,2,0,601,0,5,606,0
19,1,192,496,3,15,1,2,2,712,0,8,720,0
20,0,72,495,7,68,0,0,0,642,0,6,648,0
21,3,47,475,3,12,0,0,0,540,0,10,550,0
22,2,18,535,3,27,0,0,0,585,0,9,594,0
23,0,38,652,2,28,1,2,0,723,0,4,727,0
24,5,199,262,4,14,0,1,0,485,0,11,496,0
25,1,384,130,1,11,0,2,0,529,0,1,530,0
26,0,125,404,1,20,0,1,0,551,0,3,554,0
27,0,108,582,4,23,1,1,0,719,0,4,723,0
28,1,630,44,1,2,1,1,1,681,0,10,691,0
29,0,526,47,2,10,0,1,0,586,0,7,593,0
30,2,291,29,2,2,0,0,1,327,0,3,330,0
31,6,962,38,0,13,0,0,0,1019,0,11,1030,0
32,2,253,407,1,19,0,0,0,682,0,5,687,0
33,2,197,429,5,11,1,0,1,646,0,2,648,0
34,4,48,542,3,15,0,2,0,614,0,1,615,0
35,1,76,539,1,17,0,2,0,636,0,6,642,0
36,2,588,295,2,14,0,0,0,901,0,10,911,0
37,1,186,312,2,14,1,1,1,518,0,3,521,0
38,1,440,52,0,11,0,0,0,504,0,8,512,0
39,1,656,83,0,9,1,0,0,750,0,13,763,0
40,1,328,324,2,10,0,0,0,665,0,9,674,0
41,1,508,25,1,5,0,0,1,541,0,7,548,0
42,4,768,34,0,6,0,2,1,815,0,16,831,0
43,3,692,34,0,8,0,1,0,738,0,8,746,0
44,1,725,33,1,15,2,0,0,777,0,14,791,0
45,3,716,63,0,7,0,0,0,789,0,13,802,0
46,3,428,281,2,35,0,1,0,750,0,15,765,0
47,2,276,266,4,9,0,1,0,558,0,11,569,0
48,3,139,278,1,16,0,1,0,438,0,7,445,0
49,1,69,659,2,20,0,0,1,752,0,3,755,0
50,3,208,211,0,13,1,1,0,437,0,8,445,0
51,1,21,541,3,7,0,0,0,573,0,3,576,0
52,2,593,80,2,8,0,1,1,687,0,17,704,0
53,1,262,414,5,15,0,1,1,699,0,4,703,0
54,1,410,53,0,4,1,0,0,469,0,7,476,0
55,1,661,30,2,8,2,1,1,706,0,17,723,0
56,2,644,37,1,10,0,3,0,697,0,10,707,0
57,1,662,44,1,5,0,0,0,713,0,13,726,0
58,0,523,34,1,5,0,0,0,563,0,14,577,0
59,1,484,27,0,12,0,0,2,526,0,8,534,0
60,3,471,238,1,8,1,3,1,726,0,16,742,0
61,1,385,293,1,9,0,1,1,691,0,9,700,0
62,0,71,265,1,4,0,1,0,342,0,0,342,0
63,3,10,291,1,6,0,2,0,313,0,1,314,0
64,3,57,479,5,14,2,0,2,562,0,2,564,0
65,3,49,578,3,29,3,2,1,668,0,0,668,0
66,2,353,240,2,22,0,0,0,619,0,13,632,0
67,3,236,308,2,12,1,2,0,564,0,5,569,0
68,2,509,51,0,2,0,0,0,564,0,5,569,0
69,2,730,77,1,10,0,0,1,821,0,10,831,0
70,2,402,104,0,5,1,0,0,514,0,20,534,0
71,4,288,194,1,7,0,0,1,495,0,3,498,0
72,3,256,220,3,7,0,1,1,491,0,5,496,0
73,6,802,67,1,13,1,1,0,891,0,2,893,0
74,1,131,296,5,25,2,3,1,464,0,4,468,0
75,1,697,36,0,12,1,0,0,747,0,10,757,0
76,3,720,44,0,10,0,0,0,777,0,14,791,0
77,2,858,43,4,7,0,2,0,916,0,8,924,0
78,2,430,15,1,9,0,0,0,457,0,3,460,0
79,0,861,32,2,10,0,1,0,906,0,15,921,0
80,2,457,74,2,4,1,2,0,542,0,6,548,0
81,0,602,26,0,1,0,1,0,630,0,5,635,0
82,2,88,736,8,25,0,2,2,863,0,7,870,0
83,1,136,376,6,22,0,0,0,541,0,1,542,0
84,1,303,108,0,2,3,0,0,417,0,3,420,0
85,5,96,584,5,16,0,0,2,708,0,6,714,0
86,5,567,21,0,5,1,0,2,601,0,0,601,0
87,3,423,9,2,10,1,1,2,451,0,3,454,0
88,5,701,11,1,2,1,0,2,723,0,3,726,0
89,2,451,17,0,4,0,2,3,479,0,7,486,0
90,7,527,13,1,12,0,0,0,560,0,1,561,0
91,3,439,100,3,0,0,1,0,546,0,4,550,0
92,1,102,502,3,6,2,4,1,621,0,5,626,0
93,6,116,500,4,14,1,0,1,642,0,4,646,0
94,1,100,152,2,8,0,1,1,265,0,6,271,0
95,2,125,331,3,12,2,0,0,475,0,6,481,0
96,1,161,452,1,18,0,1,2,636,0,9,645,0
