No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,OMPRAK ASH SHRIVAS,DARSHA NA VIKRAM,DESAI NAISHAD HBHAI,KIRITBHA I HARJIBH,MOHANB HAI B. PATEL,VASAVA KISHORB HAI,MAVJIBH AI LAXMAN,MUKESH BHAI LAVJIBH,,,,,
1,2,571,44,1,11,0,1,1,631,0,5,636,0
2,2,536,79,0,35,1,0,0,653,0,11,664,0
3,2,563,21,0,7,0,0,2,595,0,3,598,0
4,3,611,38,3,13,0,0,3,671,0,4,675,0
5,4,553,27,3,19,0,1,4,611,0,9,620,0
6,2,516,24,3,9,0,0,2,556,0,3,559,0
7,6,755,32,0,21,0,1,8,823,0,1,824,0
8,2,493,26,1,12,1,0,2,537,0,5,542,0
9,2,510,26,1,12,0,1,1,553,0,9,562,0
10,2,479,28,0,3,0,0,1,513,0,8,521,0
11,4,541,30,2,22,0,0,7,606,0,14,620,0
12,1,542,34,0,17,0,1,1,596,0,5,601,0
13,1,401,22,0,5,0,1,1,431,0,2,433,0
14,3,549,30,1,13,0,0,2,598,0,6,604,0
15,1,437,40,2,12,2,0,1,495,0,3,498,0
16,6,193,104,1,23,1,1,4,333,0,4,337,0
17,4,713,35,0,9,1,0,0,762,0,11,773,0
18,1,745,43,2,15,0,0,0,806,0,6,812,0
19,1,384,88,0,3,2,1,1,480,0,6,486,0
20,50,93,102,4,8,1,1,1,260,0,2,262,0
21,1,793,33,1,17,0,0,0,845,0,9,854,0
22,2,508,28,0,6,1,0,0,545,0,4,549,0
23,3,505,16,0,1,0,0,0,525,0,2,527,0
24,11,192,358,17,12,2,5,6,603,0,8,611,0
25,14,281,381,7,14,2,1,2,702,0,12,714,0
26,3,477,101,3,6,1,1,1,593,0,12,605,0
27,8,489,189,6,9,0,1,3,705,0,14,719,0
28,11,389,109,1,11,1,2,3,527,0,10,537,0
29,2,297,93,0,10,2,1,1,406,0,3,409,0
30,3,481,104,0,14,1,0,4,607,0,6,613,0
31,7,671,93,1,11,0,0,5,788,0,9,797,0
32,10,239,127,3,7,0,1,1,388,0,14,402,0
33,2,589,21,0,11,0,1,1,625,0,8,633,0
34,0,608,20,0,14,1,0,0,643,0,4,647,0
35,5,645,52,0,9,0,0,0,711,0,3,714,0
36,5,182,200,2,13,1,0,2,405,0,6,411,0
37,3,430,75,2,19,1,0,0,530,0,3,533,0
38,3,452,22,2,10,1,0,0,490,0,7,497,0
39,2,484,22,0,21,0,0,0,529,0,4,533,0
40,3,514,26,0,17,2,2,1,565,0,1,566,0
41,1,437,41,0,16,2,0,0,497,0,3,500,0
42,2,689,44,6,27,0,0,0,768,0,13,781,0
43,10,453,135,4,20,0,2,2,626,0,6,632,0
44,2,403,37,0,12,1,2,1,458,0,8,466,0
45,1,571,26,2,12,0,0,1,613,0,6,619,0
46,14,276,198,3,12,0,1,3,507,0,5,512,0
47,0,598,35,0,9,0,0,0,642,0,3,645,0
48,5,431,7,0,10,0,1,0,454,0,1,455,0
49,0,471,35,4,33,0,0,2,545,0,5,550,0
50,3,777,43,0,12,0,1,2,838,0,10,848,0
51,10,406,62,1,10,0,1,0,490,0,7,497,0
52,0,540,58,1,17,0,1,0,617,0,6,623,0
53,4,615,56,2,15,1,0,1,694,0,7,701,0
54,0,597,23,0,14,0,0,0,634,0,3,637,0
55,3,515,33,1,11,0,0,0,563,0,3,566,0
56,1,287,30,0,10,0,0,1,329,0,4,333,0
57,2,258,26,1,3,0,0,0,290,0,1,291,0
58,5,364,243,0,8,1,0,1,622,0,9,631,0
59,1,592,20,3,3,0,0,0,619,0,4,623,0
60,0,528,16,0,5,0,0,0,549,0,4,553,0
61,5,591,40,1,25,0,2,1,665,0,9,674,0
62,5,417,215,5,4,2,3,3,654,0,15,669,0
63,1,752,40,0,6,0,0,0,799,0,5,804,0
64,2,528,53,1,18,0,0,1,603,0,7,610,0
65,1,545,25,0,8,4,1,1,585,0,9,594,0
66,1,690,46,1,23,0,0,0,761,0,12,773,0
67,5,382,92,3,15,0,1,1,499,0,5,504,0
68,8,307,176,5,5,25,1,1,528,0,6,534,0
69,8,218,252,4,3,2,2,4,493,0,4,497,0
70,2,536,29,1,19,0,0,1,588,0,10,598,0
71,1,236,41,0,5,0,0,0,283,0,1,284,0
72,7,228,464,5,17,0,1,2,724,0,12,736,0
73,3,170,547,1,14,1,5,3,744,0,5,749,0
74,0,60,501,2,22,1,0,1,587,0,6,593,0
75,4,89,546,3,16,0,3,1,662,0,6,668,0
76,3,320,61,1,5,0,0,1,391,0,5,396,0
77,4,277,133,2,1,3,1,1,422,0,11,433,0
78,9,328,175,3,2,2,0,3,522,0,3,525,0
79,6,257,127,2,5,0,3,4,404,0,18,422,0
80,5,271,182,3,6,6,0,1,474,0,4,478,0
81,1,746,89,2,13,0,0,3,854,0,9,863,0
82,6,514,195,1,13,2,2,0,733,0,5,738,0
83,4,521,80,0,4,2,2,0,613,0,5,618,0
84,2,809,53,0,19,1,0,0,884,0,11,895,0
85,0,663,23,0,7,1,0,0,694,0,8,702,0
86,6,262,187,3,12,0,1,2,473,0,4,477,0
87,4,861,25,2,18,0,1,1,912,0,10,922,0
88,2,566,43,0,11,3,2,1,628,0,5,633,0
89,2,623,33,0,8,1,1,1,669,0,14,683,0
90,4,221,472,1,11,2,0,1,712,0,4,716,0
91,3,516,43,0,12,0,0,0,574,0,9,583,0
92,1,775,27,1,0,2,1,2,809,0,9,818,0
93,4,749,25,1,8,2,0,0,789,0,8,797,0
94,3,746,58,2,10,0,1,5,825,0,10,835,0
95,2,349,202,2,9,0,0,0,564,0,7,571,0
96,0,896,39,0,3,1,0,1,940,0,9,949,0
97,5,613,60,0,11,0,0,2,691,0,9,700,0
98,2,618,76,1,6,1,0,2,706,0,11,717,0
99,6,511,50,0,2,0,1,1,571,0,5,576,0
100,3,733,70,2,5,0,2,2,817,0,10,827,0
101,2,858,40,1,5,1,1,0,908,0,8,916,0
102,0,538,13,0,5,0,2,0,558,0,10,568,0
103,5,739,16,1,2,1,1,2,767,0,8,775,0
104,3,719,215,2,20,0,3,1,963,0,6,969,0
105,1,428,151,1,17,1,1,0,600,0,7,607,0
106,3,578,100,2,8,0,2,2,695,0,6,701,0
107,3,871,40,2,4,2,2,0,924,0,7,931,0
108,2,751,37,0,12,0,0,0,802,0,10,812,0
109,2,468,196,2,6,0,2,1,677,0,7,684,0
110,5,310,333,3,18,2,1,2,674,0,13,687,0
111,7,324,411,1,22,1,0,3,769,0,10,779,0
112,4,296,167,8,14,0,0,0,489,0,8,497,0
113,1,211,306,1,13,0,0,0,532,0,4,536,0
114,2,106,446,0,25,0,2,0,581,0,5,586,0
115,5,198,502,4,32,1,1,0,743,0,7,750,0
116,6,287,466,6,41,1,3,5,815,0,9,824,0
117,6,199,464,4,81,0,4,3,761,0,8,769,0
118,9,306,422,6,19,1,2,4,769,0,14,783,0
119,3,147,509,3,20,2,1,1,686,0,8,694,0
120,4,48,781,3,19,0,1,1,857,0,6,863,0
121,7,149,627,3,29,1,1,0,817,0,7,824,0
122,1,19,450,4,15,0,1,1,491,0,5,496,0
123,5,223,179,0,18,0,1,3,429,0,2,431,0
124,1,150,173,2,14,0,2,1,343,0,5,348,0
125,2,60,479,5,51,7,0,1,605,0,4,609,0
126,1,65,37,0,4,0,1,0,108,0,1,109,0
127,3,218,113,2,6,0,1,0,343,0,2,345,0
128,3,573,36,0,15,0,0,1,628,0,8,636,0
129,6,645,116,0,15,1,1,0,784,0,4,788,0
130,3,869,19,1,6,1,0,2,901,0,10,911,0
131,1,854,35,0,10,1,0,1,902,0,8,910,0
