Serial No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwiv,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
1,14,119,702,6,1,0,4,2,0,2,0,2,4,4,3,10,1,0,5,879,0,1,880,0
2,3,97,751,12,0,0,3,0,1,4,3,0,3,6,1,5,0,4,30,923,0,5,928,0
3,11,294,140,2,0,0,2,7,0,0,0,0,0,0,2,1,0,0,2,461,0,3,464,0
4,14,276,213,2,0,0,0,10,1,1,0,1,1,0,1,1,0,0,0,521,0,1,522,0
5,4,141,145,3,0,0,3,1,1,0,0,2,1,0,1,0,0,2,0,304,0,1,305,0
6,1,71,354,2,0,1,1,0,0,0,0,1,2,2,0,5,2,0,3,445,0,1,446,0
7,7,248,130,0,1,1,4,6,1,0,0,1,0,0,1,5,0,0,0,405,0,1,406,0
8,2,537,64,1,0,1,3,4,0,1,1,1,1,0,0,4,1,0,2,623,0,1,624,0
9,5,357,214,0,1,0,4,1,0,0,0,0,0,2,2,3,2,2,2,595,0,4,599,0
10,7,578,115,3,1,1,7,0,0,1,0,1,0,1,2,1,2,5,0,725,0,0,725,0
11,8,64,750,8,1,2,12,0,1,3,1,2,2,4,0,10,0,0,5,873,0,2,875,0
12,4,180,528,2,0,0,7,0,0,0,1,1,3,3,1,8,0,3,2,743,0,0,743,0
13,8,255,333,12,0,0,1,4,0,1,2,3,4,4,0,7,0,3,2,639,0,3,642,0
14,4,332,208,3,0,0,3,1,0,0,0,0,0,1,0,0,1,4,5,562,0,0,562,0
15,15,242,172,0,0,0,5,3,1,0,2,3,1,2,4,3,1,0,2,456,0,2,458,0
16,8,319,172,2,0,0,2,5,0,0,1,1,1,2,3,5,0,2,1,524,0,1,525,0
17,3,184,199,2,2,1,1,1,0,0,1,1,1,3,1,6,5,2,2,415,0,2,417,0
18,6,289,419,4,0,0,9,2,1,0,0,1,1,2,2,5,1,2,1,745,0,4,749,0
19,5,64,770,5,1,1,9,0,3,1,0,1,1,7,4,8,3,1,4,888,0,4,892,0
20,5,455,63,0,1,0,1,1,0,1,0,0,1,0,1,2,2,5,1,539,0,6,545,0
21,9,94,290,2,1,1,1,1,0,0,0,0,1,0,0,4,0,0,3,407,0,3,410,0
22,5,51,415,6,0,0,1,0,1,0,0,0,1,0,0,3,0,2,5,490,0,1,491,0
23,2,59,357,3,0,0,4,0,1,0,0,0,0,2,0,2,0,3,1,434,0,1,435,0
24,4,184,243,2,2,3,4,0,1,1,0,0,0,0,0,1,1,1,3,450,0,0,450,0
25,2,112,457,4,0,1,4,0,0,1,0,0,1,0,0,4,1,0,3,590,0,2,592,0
26,2,311,298,1,1,0,8,0,2,1,1,1,1,2,2,4,0,2,2,639,0,4,643,0
27,0,296,144,2,1,0,0,0,0,0,1,2,0,0,1,2,0,0,0,449,0,2,451,0
28,2,45,805,7,1,1,5,0,2,3,2,2,2,4,3,10,0,0,6,900,0,4,904,0
29,1,53,549,5,0,1,4,1,2,0,0,3,2,1,1,3,0,5,32,663,0,2,665,0
30,7,30,644,5,0,0,2,6,0,1,0,0,0,7,2,4,0,0,7,715,0,0,715,0
31,2,32,306,6,2,0,0,3,0,0,0,1,1,3,0,3,0,3,1,363,0,2,365,0
32,7,31,957,8,2,1,5,0,4,0,1,0,2,6,1,9,2,2,7,1045,0,2,1047,0
33,4,49,363,3,0,0,7,0,1,0,2,0,0,4,0,3,0,0,3,439,0,1,440,0
34,3,83,436,5,1,0,7,0,1,0,0,3,1,3,2,3,0,0,2,550,0,1,551,0
35,2,74,399,5,0,0,6,0,0,0,0,0,1,3,0,4,0,2,2,498,0,3,501,0
36,1,558,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,574,0,2,576,0
37,2,409,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,425,0,1,426,0
38,2,164,396,3,0,0,3,0,0,0,0,1,3,2,4,5,3,1,2,589,0,1,590,0
39,3,107,444,3,0,0,6,0,0,1,1,0,1,11,0,2,4,3,5,591,0,4,595,0
40,5,90,545,1,0,0,1,0,0,1,0,3,0,3,1,1,0,5,6,662,0,4,666,0
41,20,170,207,4,0,0,8,2,0,2,2,1,4,3,1,9,3,2,5,443,0,2,445,0
42,11,156,382,4,1,0,2,0,0,1,0,1,1,2,1,5,1,1,6,575,0,1,576,0
43,3,346,298,5,1,0,6,2,2,0,1,1,1,4,1,6,1,6,2,686,0,2,688,0
44,6,129,507,4,3,1,4,3,0,2,1,0,2,6,3,3,4,1,2,681,0,2,683,0
45,3,777,10,0,0,0,0,1,2,0,1,0,0,0,0,2,0,1,0,797,0,4,801,0
46,1,861,57,2,1,2,15,0,0,3,1,0,1,0,0,4,1,19,1,969,0,5,974,0
47,3,166,681,5,0,1,38,0,0,0,1,1,2,1,1,4,1,2,6,913,0,8,921,0
48,2,53,586,4,0,0,29,0,0,1,0,0,0,2,0,0,0,0,0,677,0,9,686,0
49,1,778,27,0,0,0,6,1,0,1,0,1,0,1,3,4,1,7,0,831,0,6,837,0
50,5,847,58,1,1,0,3,0,0,1,0,0,0,0,0,2,0,0,0,918,0,7,925,0
51,3,937,20,2,0,1,10,0,1,0,1,0,0,1,1,4,5,16,4,1006,0,5,1011,0
52,2,804,16,0,0,1,5,1,0,1,0,0,3,1,0,0,0,3,1,838,0,2,840,0
53,1,787,31,2,1,0,4,1,0,0,0,0,0,0,0,0,0,2,0,829,0,10,839,0
54,2,738,29,0,1,0,8,1,0,0,0,0,1,0,0,1,0,0,0,781,0,7,788,0
55,2,875,23,1,0,0,11,0,0,0,0,0,0,0,0,1,0,7,1,921,0,6,927,0
56,5,723,97,2,0,1,9,1,0,1,1,0,0,0,0,4,0,2,1,847,0,7,854,0
57,0,765,21,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,791,0,3,794,0
58,3,971,41,1,0,0,4,0,1,0,0,0,0,1,1,2,0,1,0,1026,0,5,1031,0
59,1,713,17,0,0,0,8,0,0,0,0,0,0,1,0,0,0,2,0,742,0,2,744,0
60,0,734,13,2,0,0,6,0,0,0,1,2,0,0,0,1,0,4,0,763,0,3,766,0
61,2,59,921,13,3,0,3,1,3,1,3,2,3,7,2,14,5,2,12,1056,0,3,1059,0
62,5,454,221,1,0,0,7,1,1,0,0,0,0,0,1,2,6,1,0,700,0,1,701,0
63,4,88,437,6,1,1,1,7,0,0,1,0,1,3,1,4,0,1,2,558,0,2,560,0
64,2,227,153,5,1,0,3,0,1,0,0,2,0,1,3,5,1,1,0,405,0,1,406,0
65,3,61,484,3,0,1,8,1,1,1,1,1,0,4,0,9,1,1,2,582,0,1,583,0
66,2,64,838,8,1,0,1,2,1,3,0,0,7,10,4,2,1,3,17,964,0,5,969,0
67,7,61,393,1,2,0,7,0,0,1,0,0,0,0,0,2,1,0,2,477,0,3,480,0
68,2,44,409,4,0,0,9,0,0,0,0,0,0,2,0,4,1,0,2,477,0,3,480,0
69,3,944,29,0,1,0,8,0,0,0,0,0,0,0,0,1,0,18,3,1007,0,3,1010,0
70,1,263,161,0,0,0,6,0,0,1,0,0,1,0,0,3,1,3,0,440,0,3,443,0
71,4,336,285,3,1,0,5,0,0,0,2,0,1,0,0,4,0,4,0,645,0,4,649,0
