No Polling St.,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
1,4,683,34,0,0,0,4,1,0,0,0,0,0,0,0,0,2,1,0,729,0,19,748,0
2,2,698,41,0,0,0,7,0,0,1,1,1,0,0,0,1,0,0,1,753,0,11,764,0
3,1,697,45,0,1,0,5,0,0,0,0,0,0,1,0,1,1,3,0,755,0,11,766,0
4,3,461,52,0,0,0,7,0,0,0,2,0,0,0,1,0,0,9,1,536,0,2,538,0
5,3,570,35,0,0,0,8,2,1,0,0,0,1,0,0,1,2,1,2,626,0,4,630,0
6,1,550,41,4,0,0,3,1,1,0,0,2,0,0,0,0,0,5,1,609,0,0,609,0
7,3,692,61,1,1,0,6,0,0,0,0,0,0,1,0,2,0,2,0,769,0,5,774,0
8,0,391,67,0,1,1,7,0,0,0,0,0,0,0,1,5,5,0,1,479,0,12,491,0
9,2,500,22,0,0,1,5,1,0,0,0,0,0,0,0,0,1,3,0,535,0,4,539,0
10,3,573,27,0,0,0,7,0,0,0,0,0,0,0,1,0,2,2,0,615,0,7,622,0
11,1,738,24,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,775,0,12,787,0
12,1,367,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,379,0,3,382,0
13,5,224,140,4,0,0,1,1,0,2,0,1,2,0,1,4,0,5,0,390,0,1,391,0
14,4,219,230,4,1,0,4,1,0,0,0,4,0,2,5,10,1,0,1,486,0,1,487,0
15,1,282,10,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,300,0,3,303,0
16,2,632,58,1,1,0,7,0,0,0,0,0,0,2,1,7,0,1,0,712,0,5,717,0
17,9,469,168,1,3,1,9,1,0,1,1,4,0,1,2,7,0,2,0,679,0,5,684,0
18,3,728,44,1,0,0,7,0,1,0,1,0,0,1,1,0,0,0,0,787,0,7,794,0
19,1,625,31,1,0,0,4,0,0,0,1,1,0,0,0,0,0,5,6,675,0,1,676,0
20,1,771,26,0,0,0,5,0,0,0,1,0,0,0,0,1,1,0,0,806,0,7,813,0
21,0,634,33,1,0,1,5,0,1,1,2,0,0,0,0,0,1,1,0,680,0,10,690,0
22,3,180,236,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,426,0,2,428,0
23,11,209,204,1,0,0,4,0,1,0,0,1,0,0,0,1,0,3,2,437,0,1,438,0
24,3,665,56,0,0,2,10,0,0,0,0,1,0,0,1,0,1,6,2,747,0,7,754,0
25,0,569,26,0,0,0,4,0,0,0,0,0,1,2,1,1,0,2,0,606,0,2,608,0
26,2,645,62,0,0,0,7,0,0,0,0,0,0,0,1,3,1,2,0,723,0,10,733,0
27,1,345,212,1,0,0,1,0,0,0,0,1,0,0,1,1,1,2,0,566,0,5,571,0
28,8,81,643,1,2,1,14,1,2,1,1,1,1,9,2,16,0,4,13,801,0,3,804,0
29,3,110,90,2,0,0,5,0,0,0,0,0,0,0,1,1,2,0,1,215,0,2,217,0
30,0,192,409,1,0,0,3,0,0,1,0,0,1,0,2,2,0,0,1,612,0,6,618,0
31,1,95,388,6,0,1,4,0,0,0,0,0,1,3,1,1,0,1,3,505,0,1,506,0
32,2,361,82,3,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,453,0,1,454,0
33,3,384,104,1,0,0,4,0,1,1,1,2,2,0,1,11,0,0,0,515,0,2,517,0
34,9,116,417,2,3,1,3,0,1,0,0,0,0,0,0,5,0,1,7,565,0,2,567,0
35,1,69,364,7,0,0,9,0,2,0,0,0,1,5,0,5,1,0,3,467,0,0,467,0
36,8,84,283,0,1,1,21,1,1,0,0,2,16,1,3,3,1,1,3,430,0,1,431,0
37,6,284,100,1,0,0,4,10,0,0,0,1,0,0,1,0,0,1,0,408,0,2,410,0
38,8,421,117,3,1,0,10,1,1,2,0,2,0,2,5,1,2,8,2,586,0,1,587,0
39,5,410,97,3,0,0,9,0,1,1,1,0,1,0,1,1,0,2,0,532,0,12,544,0
40,2,192,90,2,0,0,5,0,0,0,0,1,3,2,3,8,1,3,2,314,0,3,317,0
41,4,608,105,1,0,0,4,0,0,0,0,3,0,1,1,2,1,5,1,736,0,6,742,0
42,9,386,116,2,1,0,4,1,1,0,0,1,0,1,3,4,1,0,2,532,0,2,534,0
43,4,358,201,2,0,1,4,0,0,1,1,1,0,1,1,2,0,0,0,577,0,2,579,0
44,2,288,118,3,1,0,7,1,1,2,1,1,1,1,2,2,0,0,0,431,0,1,432,0
45,9,461,259,4,1,0,14,0,2,1,0,0,1,2,4,4,5,5,5,777,0,2,779,0
46,5,148,106,1,1,0,26,0,1,0,0,0,0,0,0,0,0,1,1,290,0,1,291,0
47,7,177,179,2,0,1,2,1,0,0,0,0,0,3,1,2,1,5,6,387,0,4,391,0
