polling station,,,,,,,,,,,,,,,,,,,,valid votes,rejected votes,nota,total,tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
1,0,697,52,0,1,0,21,0,0,0,0,0,0,1,0,1,0,3,0,776,0,17,793,0
2,4,654,41,0,0,0,1,0,0,0,0,1,0,2,0,0,1,2,0,706,0,10,716,0
3,1,544,38,0,0,0,15,0,0,0,0,0,1,0,0,0,0,2,1,602,0,7,609,0
4,1,418,40,0,0,0,18,1,0,0,0,0,0,0,1,1,0,2,0,482,0,11,493,0
5,1,245,153,0,3,0,15,0,0,1,0,0,0,0,0,1,0,0,0,419,0,8,427,0
6,5,513,47,1,0,0,11,0,1,0,0,0,0,0,0,0,0,1,0,579,0,8,587,0
7,1,609,27,0,0,0,16,0,0,1,0,1,0,0,0,0,0,0,0,655,0,10,665,0
8,1,519,17,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,551,0,9,560,0
9,2,637,15,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,668,0,12,680,0
10,1,416,24,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,460,0,3,463,0
11,3,535,33,0,0,0,18,0,0,0,0,0,0,0,0,1,0,4,1,595,0,10,605,0
12,0,485,20,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,519,0,4,523,0
13,3,407,31,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,450,0,1,451,0
14,2,573,61,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,647,0,13,660,0
15,3,424,43,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,485,0,9,494,0
16,0,283,23,1,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,316,0,12,328,0
17,0,486,39,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,539,0,17,556,0
18,1,320,55,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,387,0,13,400,0
19,2,903,45,1,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,970,0,14,984,0
20,2,623,31,0,1,0,9,0,0,0,3,0,0,0,1,0,0,1,0,671,0,9,680,0
21,3,645,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,678,0,11,689,0
22,2,724,27,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,762,0,7,769,0
23,4,529,152,3,0,2,8,0,0,0,0,1,1,3,3,6,0,1,0,713,0,7,720,0
24,2,424,30,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,469,0,5,474,0
25,3,896,43,0,3,0,32,0,0,0,0,0,0,0,0,1,0,1,0,979,0,22,1001,0
26,1,652,28,0,0,1,10,0,0,0,0,0,0,1,1,0,0,1,0,695,0,10,705,0
27,1,346,12,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,368,0,8,376,0
28,1,489,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,522,0,10,532,0
29,0,723,9,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,740,0,16,756,0
30,0,535,18,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,567,0,8,575,0
31,6,660,250,2,1,1,9,1,1,1,1,1,0,1,1,1,4,1,1,943,0,8,951,0
32,4,651,104,0,0,0,4,0,1,0,1,1,0,0,0,2,0,0,0,768,0,3,771,0
33,4,675,136,0,0,0,8,0,0,0,0,0,1,1,0,1,0,0,0,826,0,6,832,0
34,1,489,33,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,533,0,10,543,0
35,2,1001,54,1,0,0,23,0,0,0,0,0,0,0,1,1,0,1,0,1084,0,11,1095,0
36,0,800,40,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2,0,857,0,11,868,0
37,1,482,129,0,0,0,0,15,0,0,0,0,0,0,0,1,0,1,2,631,0,17,648,0
38,0,934,41,1,1,0,24,0,0,0,0,0,0,0,0,0,1,0,0,1002,0,6,1008,0
39,2,746,38,0,1,0,9,0,0,0,0,1,0,0,1,0,0,0,0,798,0,3,801,0
40,1,770,35,1,1,0,23,0,0,0,0,0,0,0,1,1,1,1,0,835,0,11,846,0
41,1,915,27,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,959,0,10,969,0
42,0,841,38,1,0,0,22,0,0,0,0,0,0,0,0,0,0,6,0,908,0,12,920,0
43,2,988,42,0,0,0,16,0,0,0,0,0,0,0,1,0,1,1,1,1052,0,11,1063,0
44,1,884,33,0,0,0,19,0,0,0,0,0,0,1,0,2,0,0,0,940,0,6,946,0
45,1,789,23,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,830,0,8,838,0
