No Polling St.,,,,,,,,,,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C. R. Patil,Maksu d Mirza,Asla m Mistr y,Patel Bhupen drakum ar Dhirubh ai,Pyarel al Bharti,Mehul Patel,Warde Rajub hai Bhimr ao,Sonal Kellog g,Arun S. Pathak (Journal ist),Kesha vji L. Sarad va,Percy Munshi,Ramjan Mansuri (Journali st),Ravsha heb Bhimra v Patil (Bandh,Rohit Gandhi,Lataben Ashokku mar Dwivedi,Vimal Patel (Endh al),Saiyed Mehmu d Ahmed,Hasan Shaikh,,,,,
1,4,640,49,2,0,1,4,1,1,0,2,2,4,2,3,7,2,1,2,727,0,0,727,0
2,3,421,58,1,0,0,6,0,0,0,0,0,1,1,0,1,0,0,0,492,0,4,496,0
3,8,413,40,1,0,1,2,0,1,0,1,0,0,4,0,7,1,0,1,480,0,2,482,0
4,8,411,122,1,1,0,2,1,0,1,0,1,1,0,4,2,2,3,1,561,0,3,564,0
5,4,368,50,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,427,0,1,428,0
6,8,568,179,4,1,2,4,0,0,2,2,1,3,0,7,11,3,8,7,810,0,12,822,0
7,6,638,53,1,0,0,5,0,0,0,0,0,0,0,1,1,0,10,1,716,0,4,720,0
8,2,544,69,0,1,0,10,0,0,0,0,2,0,0,1,1,0,0,0,630,0,1,631,0
9,5,254,109,0,0,1,3,0,0,2,0,0,1,3,7,5,1,3,2,396,0,3,399,0
10,1,325,47,0,1,0,5,0,0,0,0,0,0,0,1,0,3,2,0,385,0,4,389,0
11,0,260,34,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,308,0,9,317,0
12,6,427,96,3,1,2,7,0,0,1,0,0,2,1,3,3,1,12,7,572,0,5,577,0
13,2,508,52,2,0,0,11,1,0,0,0,1,0,1,0,1,2,3,0,584,0,6,590,0
14,7,351,137,3,1,1,3,0,0,1,0,2,0,0,3,4,3,6,4,526,0,5,531,0
15,9,401,122,2,1,0,3,1,2,1,3,2,1,3,3,15,6,9,2,586,0,14,600,0
16,4,149,155,4,2,2,2,2,1,2,1,2,3,3,11,16,10,3,6,378,0,7,385,0
18,13,632,85,3,0,0,4,1,1,1,0,1,0,1,1,3,8,6,4,764,0,5,769,0
19,1,464,50,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,6,535,0
20,1,599,54,0,1,0,24,1,0,0,0,0,0,0,0,0,1,3,0,684,0,8,692,0
21,4,527,66,0,0,0,14,0,0,1,0,0,0,0,0,0,0,1,0,613,0,7,620,0
22,3,532,34,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,575,0,1,576,0
23,3,351,89,1,1,0,2,1,1,0,0,2,0,0,3,4,0,1,0,459,0,1,460,0
24,2,479,94,1,1,1,5,0,0,0,1,1,1,1,2,4,0,1,2,596,0,4,600,0
25,10,487,50,3,1,2,7,0,0,0,1,1,3,2,4,8,1,9,3,592,0,5,597,0
26,2,506,51,0,0,0,0,0,0,0,0,1,0,0,4,2,1,4,0,571,0,3,574,0
27,4,372,38,0,0,0,7,0,1,1,0,2,1,3,5,5,2,15,5,461,0,5,466,0
28,5,457,62,1,1,0,8,0,0,0,0,0,0,0,0,3,2,12,5,556,0,6,562,0
29,6,294,61,1,1,0,8,0,1,0,0,0,1,0,1,3,1,3,1,382,0,5,387,0
30,3,310,247,7,1,1,5,0,2,0,1,3,2,3,11,6,1,2,2,607,0,3,610,0
31,0,486,107,2,1,1,33,2,0,0,0,0,1,1,0,5,1,2,1,643,0,9,652,0
32,1,510,86,1,0,1,23,2,1,0,1,0,0,0,2,2,0,7,9,646,0,8,654,0
33,2,361,58,2,1,0,13,4,0,0,1,3,3,0,4,6,1,3,2,464,0,2,466,0
34,2,194,52,1,1,0,4,0,0,0,0,1,1,1,2,1,0,5,0,265,0,1,266,0
35,0,814,44,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,879,0,5,884,0
36,4,319,206,3,0,2,0,2,0,0,1,2,2,5,5,9,5,8,4,577,0,8,585,0
37,5,482,85,1,0,0,10,1,1,0,0,0,1,1,3,4,0,3,0,597,0,8,605,0
38,6,150,158,1,0,0,2,0,1,0,1,2,0,1,2,2,4,2,3,335,0,4,339,0
39,2,238,123,2,0,0,3,2,1,0,1,1,0,2,2,3,3,7,4,394,0,3,397,0
40,7,533,159,4,1,0,2,0,0,0,1,0,0,1,0,0,0,1,1,710,0,2,712,0
41,6,396,129,0,1,1,1,0,0,0,0,2,2,1,1,0,1,1,1,543,0,3,546,0
42,9,536,152,2,1,1,8,1,2,1,2,2,4,4,6,13,2,0,2,748,0,5,753,0
43,1,345,153,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3,1,507,0,1,508,0
44,3,647,83,2,0,1,9,1,0,1,0,1,0,0,0,1,0,1,1,751,0,8,759,0
45,7,726,110,2,2,0,7,0,0,1,1,2,2,3,3,10,1,1,0,878,0,6,884,0
46,1,472,59,0,0,1,9,0,0,0,0,0,0,1,1,4,0,2,0,550,0,7,557,1
47,2,186,158,7,0,0,4,1,1,3,0,0,0,1,2,2,0,1,2,370,0,1,371,0
48,2,201,156,0,0,0,7,0,0,0,1,0,0,0,0,0,0,5,6,378,0,2,380,0
49,3,284,162,3,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,460,0,4,464,0
50,6,695,129,3,1,0,20,0,0,0,1,1,1,0,2,3,1,5,4,872,0,10,882,0
51,3,403,31,0,1,0,6,1,1,0,1,0,0,0,0,0,2,8,2,459,0,5,464,0
52,8,604,62,0,1,0,4,1,1,2,0,0,2,1,3,5,2,1,2,699,0,3,702,0
53,9,257,59,0,0,0,3,0,0,0,1,1,0,0,1,2,1,0,0,334,0,2,336,0
54,47,289,201,1,1,1,5,2,0,1,0,2,0,2,3,13,3,7,1,579,0,6,585,0
55,8,580,56,0,0,0,9,0,0,1,0,1,1,0,3,1,1,1,2,664,0,0,664,0
56,5,323,37,2,1,0,13,0,0,0,0,1,0,0,0,1,0,2,0,385,0,0,385,0
57,4,426,56,0,2,1,4,0,0,0,0,0,2,0,1,4,0,2,0,502,0,3,505,0
58,4,278,48,2,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,339,0,0,339,0
59,4,489,36,1,1,0,3,1,0,1,2,1,0,0,0,2,1,1,0,543,0,5,548,0
60,5,306,84,1,0,1,7,0,1,0,1,2,1,1,2,2,3,3,3,423,0,3,426,0
61,24,505,57,1,0,2,13,0,0,0,1,1,0,0,2,0,0,2,2,610,0,1,611,0
62,28,366,53,0,0,0,5,0,0,0,0,0,0,0,2,3,0,3,0,460,0,1,461,0
63,2,415,67,4,0,1,0,2,1,2,0,4,3,5,3,8,3,9,1,530,0,1,531,0
64,6,321,20,2,0,0,5,0,0,0,0,1,0,0,0,3,0,8,2,368,0,2,370,0
65,3,303,43,3,0,0,6,0,0,1,1,1,0,2,0,1,1,1,0,366,0,3,369,0
66,3,251,123,4,1,0,0,0,3,0,1,3,2,1,6,4,0,1,0,403,0,4,407,0
67,7,691,144,5,2,0,4,1,2,0,0,1,1,2,3,11,4,8,2,888,0,12,900,0
68,4,208,143,4,0,0,2,0,0,0,2,0,2,8,15,24,6,6,5,429,0,12,441,0
69,1,432,35,1,0,1,0,0,1,0,0,0,0,1,2,4,0,0,0,478,0,5,483,0
70,0,517,29,0,0,0,13,0,0,0,0,1,0,1,0,1,0,1,0,563,0,3,566,0
71,2,399,41,0,0,0,2,0,0,1,0,1,0,0,1,4,0,0,0,451,0,3,454,0
72,1,433,38,1,0,0,6,0,0,0,0,0,1,0,0,3,1,1,1,486,0,3,489,0
73,3,584,71,1,0,0,9,0,0,0,0,2,0,2,3,2,2,2,0,681,0,3,684,0
74,2,711,62,1,0,0,5,1,2,1,1,0,0,0,0,5,0,1,1,793,0,11,804,0
75,7,347,106,1,0,0,3,1,0,0,0,1,0,1,0,1,2,6,2,478,0,2,480,0
75,0,202,48,2,0,1,2,0,0,1,1,1,0,1,1,1,1,4,2,268,0,0,268,0
76,3,666,49,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,724,0,5,729,0
77,8,387,90,1,0,0,6,0,1,1,1,1,0,1,0,1,2,2,1,503,0,2,505,0
77,8,353,62,0,0,0,4,0,0,0,0,0,0,1,0,2,0,2,0,432,0,2,434,0
79,3,595,98,0,0,0,6,0,0,0,0,0,1,1,1,0,1,1,0,707,0,1,708,0
80,2,431,73,2,0,0,2,1,1,0,0,2,3,1,0,4,0,1,0,523,0,4,527,0
81,1,560,77,2,0,0,12,0,0,0,1,2,0,0,0,2,2,3,1,663,0,3,666,0
82,5,662,76,4,2,0,6,0,0,0,0,0,1,0,2,6,0,0,0,764,0,3,767,0
83,3,593,92,0,0,0,3,0,0,0,0,1,1,2,0,2,1,1,1,700,0,6,706,0
84,0,537,56,0,0,0,12,0,0,0,0,0,0,1,0,0,0,1,0,607,0,2,609,0
84,1,608,43,0,0,0,12,0,0,0,0,0,0,0,2,1,1,1,0,669,0,5,674,0
85,2,482,51,0,0,0,2,1,0,0,0,0,1,0,0,6,0,1,0,546,0,2,548,0
86,5,770,91,2,0,0,13,1,0,0,0,0,0,0,0,3,1,3,0,889,0,3,892,0
87,25,742,121,0,2,1,14,0,0,1,0,0,1,0,1,2,0,2,0,912,0,14,926,0
88,3,459,19,0,0,1,8,0,0,0,0,1,0,0,1,1,1,3,0,497,0,0,497,0
89,12,669,54,1,0,1,1,1,0,1,0,3,1,0,4,1,0,10,2,761,0,2,763,0
90,3,515,90,1,0,0,10,0,0,0,0,0,0,0,2,0,1,1,0,623,0,5,628,0
91,2,690,62,2,1,0,9,0,1,1,0,0,0,0,0,0,0,2,0,770,0,7,777,0
92,3,399,39,0,1,0,7,0,0,2,2,1,0,1,3,12,2,7,1,480,0,0,480,0
93,9,460,115,4,1,1,3,0,1,3,1,0,1,1,2,4,3,15,2,626,0,3,629,0
93,0,675,44,0,1,1,5,0,1,1,0,1,0,0,0,1,0,0,0,730,0,6,736,0
94,15,552,64,1,1,1,5,1,0,0,0,5,0,2,0,2,1,7,1,658,0,8,666,0
95,2,743,95,1,1,0,12,1,1,0,0,0,0,1,2,0,0,1,0,860,0,4,864,0
96,11,781,68,0,0,0,4,1,0,1,0,2,0,1,3,7,2,0,0,881,0,3,884,0
97,0,637,43,1,0,0,11,0,0,0,0,0,0,0,0,1,0,1,0,694,0,11,705,0
98,0,883,73,2,0,1,13,0,0,1,0,0,0,0,0,2,0,0,0,975,0,5,980,0
99,1,687,61,0,0,0,8,1,0,0,1,0,1,0,1,2,2,0,0,765,0,10,775,0
100,3,1092,52,0,0,0,16,0,0,0,0,0,0,0,0,1,1,1,1,1167,0,9,1176,0
101,3,849,64,1,0,0,8,0,0,0,0,0,0,1,1,1,1,2,0,931,0,7,938,0
102,1,343,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,357,0,3,360,0
103,0,570,39,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,619,0,8,627,0
104,2,850,56,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,917,0,14,931,0
105,1,703,64,0,0,1,14,1,1,0,0,1,0,0,0,0,0,0,0,786,0,9,795,0
106,3,524,63,1,1,0,4,2,0,0,0,0,0,1,1,3,3,1,0,607,0,12,619,0
107,6,493,64,1,0,0,4,0,2,0,1,1,2,3,4,10,2,2,1,596,0,5,601,0
107,1,620,19,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,1,652,0,5,657,0
108,7,800,70,1,0,0,11,1,1,2,1,1,1,1,3,0,2,9,0,911,0,8,919,0
109,1,436,309,3,1,0,9,0,0,0,0,0,0,0,2,2,2,0,0,765,0,0,765,0
109,0,257,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,277,0,8,285,0
110,0,593,28,1,0,0,8,0,0,0,0,0,0,1,0,2,1,0,0,634,0,11,645,0
110,1,635,32,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,677,0,8,685,0
111,4,350,67,3,0,0,1,0,3,0,0,0,1,1,0,3,0,1,1,435,0,0,435,0
112,12,523,85,3,1,0,18,0,1,0,1,1,0,0,1,5,2,1,1,655,0,4,659,0
113,4,344,51,0,1,0,8,2,0,1,0,1,0,0,0,0,2,3,1,418,0,1,419,0
114,3,329,49,1,0,0,4,1,1,0,0,1,0,1,2,1,1,0,1,395,0,0,395,0
115,7,590,58,1,1,0,4,3,1,1,0,1,1,2,2,4,0,5,3,684,0,3,687,0
116,1,490,34,1,2,0,7,1,1,0,3,0,2,2,0,4,0,3,0,551,0,2,553,0
117,5,500,59,0,0,0,5,0,2,0,0,1,1,2,1,6,1,10,3,596,0,2,598,0
118,3,784,85,7,1,1,7,8,1,1,1,3,0,2,1,3,2,0,0,910,0,2,912,0
119,4,550,24,0,0,0,6,0,0,0,0,0,1,0,0,2,1,9,3,600,0,5,605,0
120,1,536,15,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,560,0,2,562,0
121,2,700,49,0,1,0,3,7,0,0,0,1,0,0,0,2,1,2,0,768,0,2,770,0
122,8,647,129,7,2,0,6,17,1,2,1,1,0,1,4,7,3,2,0,838,0,3,841,0
123,3,673,84,2,0,0,7,1,0,0,1,0,1,2,2,6,1,3,1,787,0,2,789,0
124,1,724,66,2,1,0,15,0,1,0,1,0,0,1,1,3,0,0,0,816,0,10,826,0
125,4,625,41,0,0,0,1,4,0,0,1,0,0,0,1,9,4,12,2,704,0,4,708,0
126,25,442,90,1,0,1,7,8,1,0,0,1,0,0,1,2,1,23,6,609,0,5,614,0
127,7,642,55,1,1,0,4,5,0,1,0,0,0,2,0,3,1,7,0,729,0,3,732,0
128,1,567,75,1,0,0,3,23,0,1,0,0,0,1,0,4,1,2,0,679,0,2,681,0
129,1,691,37,0,0,0,8,5,1,1,0,0,1,0,0,2,1,1,0,749,0,4,753,0
130,14,454,59,4,0,0,3,2,0,1,0,0,2,0,1,1,1,15,3,560,0,1,561,0
131,5,773,43,0,0,1,6,0,0,0,1,0,0,0,1,2,1,3,1,837,0,3,840,0
132,6,702,74,4,1,2,6,10,0,0,0,2,2,1,2,5,0,1,0,818,0,2,820,0
133,10,784,58,2,0,3,2,1,0,4,2,2,3,2,1,4,1,7,1,887,0,8,895,0
134,4,606,38,2,1,1,4,1,0,1,0,1,3,2,3,3,0,6,0,676,0,2,678,0
135,8,702,49,4,2,0,11,6,0,2,1,2,0,0,0,2,1,2,0,792,0,4,796,0
136,7,598,65,2,1,1,10,0,0,0,1,1,0,1,2,2,1,3,1,696,0,3,699,0
137,11,709,56,1,3,0,7,6,1,2,1,1,0,1,0,1,1,1,0,802,0,4,806,0
138,8,388,103,2,3,0,2,33,0,1,3,3,2,5,0,5,1,0,1,560,0,2,562,0
139,2,659,40,3,3,0,11,0,1,0,0,1,0,1,3,3,0,1,0,728,0,4,732,0
140,2,849,40,2,0,1,5,2,0,0,0,3,2,0,2,5,0,1,0,914,0,2,916,0
141,3,696,33,2,0,0,5,0,2,0,0,3,0,0,0,3,0,1,1,749,0,0,749,0
142,1,480,12,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,500,0,0,500,0
142,3,430,10,1,0,1,5,0,1,0,0,1,0,0,1,1,2,0,0,456,0,2,458,0
143,9,630,67,1,0,1,4,10,1,0,0,0,0,0,3,3,0,1,2,732,0,1,733,0
144,2,393,25,0,0,0,3,1,2,0,1,0,0,0,1,2,0,9,0,439,0,1,440,0
145,5,713,88,0,2,0,12,1,0,2,1,0,3,1,0,4,10,11,3,856,0,4,860,0
146,3,420,43,1,0,1,3,16,1,0,0,0,1,0,1,1,2,8,0,501,0,2,503,0
147,3,439,56,0,0,0,1,30,0,0,0,0,0,0,0,3,0,0,0,532,0,1,533,0
148,1,357,33,2,2,0,4,13,0,1,0,0,0,0,0,1,1,3,1,419,0,3,422,0
149,5,368,51,5,2,0,11,0,0,0,1,1,3,0,1,3,2,0,1,454,0,3,457,0
150,2,246,22,1,0,0,0,2,1,0,0,0,0,1,2,1,2,1,1,282,0,2,284,0
151,5,476,48,4,0,3,3,2,0,0,0,1,0,1,0,1,1,1,0,546,0,2,548,0
152,3,499,48,0,0,0,9,5,1,0,0,2,0,0,2,0,0,4,2,575,0,2,577,0
153,5,232,45,2,4,0,4,8,1,0,1,0,0,0,1,0,0,0,0,303,0,0,303,0
154,9,362,39,0,1,0,7,2,0,0,0,0,1,0,2,3,1,0,1,428,0,0,428,0
