polling station,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai.,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
1,14,408,16,453,9,3,1,4,9,7,924,4,5,929,0
2,10,399,7,409,3,0,7,3,5,12,855,0,19,874,0
3,2,271,9,149,2,1,3,1,4,5,447,0,12,459,0
4,33,419,15,381,5,3,8,5,12,13,894,0,42,936,0
5,18,396,14,424,8,1,4,7,11,19,902,0,32,934,0
6,8,105,4,241,2,2,0,1,4,4,371,0,7,378,0
7,8,402,12,294,1,0,2,2,0,4,725,0,7,732,0
8,14,553,14,340,3,2,4,2,8,6,946,0,20,966,0
9,4,224,5,115,1,0,2,1,2,5,359,0,13,372,0
10,5,90,3,221,2,2,2,3,1,2,331,0,2,333,0
11,5,474,5,277,7,0,1,4,2,5,780,0,8,788,0
12,13,373,9,491,3,2,5,9,11,6,922,0,26,948,0
13,8,367,12,506,4,1,3,5,6,5,917,0,11,928,0
14,6,362,10,183,1,0,1,2,2,4,571,0,2,573,0
15,6,219,7,154,4,1,0,2,1,3,397,0,9,406,0
16,10,415,12,314,8,0,3,5,2,6,775,0,16,791,0
17,9,357,9,235,8,1,6,6,5,4,640,0,10,650,0
18,7,427,11,290,7,1,6,6,3,9,767,0,11,778,0
19,5,434,10,228,3,2,1,0,3,1,687,0,11,698,0
20,4,226,8,218,5,0,1,2,2,2,468,0,12,480,0
21,4,161,0,483,2,0,0,5,1,6,662,0,15,677,0
22,1,212,4,169,2,2,0,2,2,1,395,0,12,407,0
23,9,332,10,313,4,2,1,8,2,9,690,0,17,707,0
24,5,387,22,295,8,7,11,1,4,6,746,0,4,750,0
25,8,294,13,147,1,1,8,2,2,5,481,0,4,485,0
26,5,275,11,122,3,1,4,1,5,1,428,0,8,436,0
27,9,239,14,395,8,0,4,1,4,1,675,0,15,690,0
28,3,202,2,285,3,1,0,1,1,1,499,0,2,501,0
29,5,299,5,270,2,0,2,3,0,2,588,0,5,593,0
30,1,86,3,332,1,0,0,3,4,1,431,0,4,435,0
31,5,356,17,407,7,3,0,4,7,7,813,0,10,823,0
