,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,,,,,
Serial No. Of Polling Station,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
1,10,725,57,0,1,0,3,0,0,1,2,3,1,1,2,8,6,4,2,826,0,3,829,0
2,9,599,64,2,1,1,3,0,2,2,0,1,1,0,6,8,4,1,1,705,0,4,709,0
3,6,350,99,1,1,0,4,0,1,1,0,2,2,0,1,6,3,8,2,487,0,7,494,0
4,4,460,13,3,0,1,2,1,0,1,0,1,0,1,2,4,1,11,1,506,0,1,507,0
5,12,366,28,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,1,413,0,2,415,0
6,8,611,49,2,1,2,4,0,0,1,0,2,1,1,0,10,3,7,1,703,0,8,711,0
7,3,253,24,0,0,0,1,1,0,0,0,1,0,2,0,3,0,10,1,299,0,0,299,0
8,2,452,25,1,0,0,0,0,0,1,0,0,0,1,1,1,1,11,2,498,0,1,499,0
9,4,492,22,0,0,0,11,0,0,0,0,1,1,1,3,0,0,4,6,545,0,1,546,0
10,3,466,22,0,0,0,28,1,1,0,0,0,0,0,2,2,1,4,6,536,0,1,537,0
11,0,425,24,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,454,0,13,467,0
12,5,678,61,1,0,0,4,1,0,0,0,1,2,2,3,8,7,4,0,777,0,1,778,0
,66,5877,488,10,5,4,64,4,4,8,2,12,8,9,20,51,28,66,23,6749,0,42,6791,0
,66,5877,488,10,5,4,64,4,4,8,2,12,8,9,20,51,28,66,23,6749,0,42,6791,0
13,1,233,9,0,0,0,0,0,0,0,0,1,1,0,1,3,11,6,3,269,0,1,270,0
14,5,540,47,0,0,0,4,0,0,0,0,2,1,1,4,2,0,4,2,612,0,5,617,0
15,4,269,53,2,0,0,6,2,0,0,1,7,0,5,8,9,1,6,1,374,0,5,379,0
16,5,434,119,4,1,1,2,0,0,0,1,1,0,3,5,2,1,2,0,581,0,0,581,0
17,0,484,29,0,0,0,5,0,0,1,0,1,1,1,1,2,0,4,0,529,0,3,532,0
18,1,385,169,2,1,0,4,1,0,0,0,2,1,2,1,3,2,6,0,580,0,1,581,0
19,2,307,42,1,0,0,1,0,0,1,0,0,1,2,0,1,1,6,1,366,0,2,368,0
20,2,224,60,0,0,1,1,3,0,0,0,0,2,0,5,2,1,1,1,303,0,2,305,0
21,5,272,77,2,1,1,0,0,1,2,3,5,5,13,22,27,4,4,7,451,0,8,459,0
22,3,459,109,4,1,0,4,0,2,0,1,3,1,1,9,10,0,6,1,614,0,3,617,0
23,2,15,178,0,0,1,0,0,1,1,1,0,1,1,2,2,3,3,0,211,0,1,212,0
24,10,527,165,3,2,1,1,1,1,1,1,1,6,4,5,9,9,4,1,752,0,11,763,0
,106,10026,1545,28,11,9,92,11,9,14,10,35,28,42,83,123,61,118,40,12391,0,84,12475,0
,106,10026,1545,28,11,9,92,11,9,14,10,35,28,42,83,123,61,118,40,12391,0,84,12475,0
25,4,397,77,1,0,0,2,0,0,0,0,1,0,0,0,2,1,5,0,490,0,4,494,0
26,10,312,368,6,0,2,0,0,3,0,0,1,3,2,5,9,6,3,5,735,0,9,744,0
27,8,450,144,1,0,2,5,0,1,0,0,2,1,2,1,4,2,22,7,652,0,15,667,0
28,3,327,188,0,2,0,5,4,0,1,4,3,1,4,3,9,0,6,4,564,0,6,570,0
29,11,284,311,5,0,3,21,2,0,2,3,2,2,3,6,18,6,6,9,694,0,11,705,0
30,2,364,170,1,0,1,2,1,1,0,0,0,2,2,2,4,0,1,4,557,0,6,563,0
31,6,545,104,4,0,0,11,0,1,1,0,0,0,1,2,1,1,4,1,682,0,8,690,0
32,4,632,110,0,0,1,11,0,0,0,0,0,0,0,2,2,2,0,2,766,0,11,777,0
33,6,469,172,5,1,1,11,1,0,0,1,2,0,2,2,7,8,7,3,698,0,10,708,0
34,7,442,259,4,0,0,10,0,0,0,0,0,0,1,2,2,0,1,0,728,0,6,734,0
35,5,422,181,0,0,0,13,0,0,0,1,0,1,0,0,2,1,0,1,627,0,9,636,0
36,2,299,198,4,1,1,3,0,0,0,1,0,0,0,0,2,1,1,0,513,0,3,516,0
,174,14969,3827,59,15,20,186,19,15,18,20,46,38,59,108,185,89,174,76,20097,0,182,20279,0
,174,14969,3827,59,15,20,186,19,15,18,20,46,38,59,108,185,89,174,76,20097,0,182,20279,0
37,5,222,287,3,0,1,0,0,4,1,1,4,5,12,11,13,9,4,6,588,0,0,588,0
38,4,140,392,2,1,1,5,0,0,0,1,5,3,4,3,9,3,7,8,588,0,5,593,0
39,6,309,188,4,1,2,0,0,0,2,1,2,1,5,19,4,3,4,5,556,0,2,558,0
40,3,113,173,3,0,1,1,1,0,0,0,1,3,2,3,5,0,2,2,313,0,3,316,0
41,1,57,372,2,1,0,5,0,0,0,0,0,0,0,0,3,0,1,2,444,0,1,445,0
42,5,19,448,1,1,0,2,1,0,0,1,0,0,0,1,2,4,0,0,485,0,0,485,0
43,6,44,435,6,1,0,1,1,1,0,1,0,0,0,1,1,0,2,6,506,0,4,510,0
44,6,199,382,6,1,1,11,2,2,1,1,1,5,6,7,5,5,10,9,660,0,8,668,0
45,3,229,217,2,0,1,0,0,0,0,0,9,0,3,1,3,4,3,1,476,0,2,478,0
46,5,192,299,11,1,0,10,0,2,0,1,3,6,10,9,8,1,9,12,579,0,2,581,0
47,3,376,263,0,1,0,8,0,0,0,0,0,0,1,2,2,3,4,1,664,0,5,669,0
48,3,253,384,0,0,0,11,2,0,1,0,2,0,1,1,1,2,3,7,671,0,2,673,0
,224,17122,7667,99,23,27,240,26,24,23,27,73,61,103,166,241,123,223,135,26627,0,216,26843,0
,224,17122,7667,99,23,27,240,26,24,23,27,73,61,103,166,241,123,223,135,26627,0,216,26843,0
49,3,81,265,4,0,0,8,1,1,0,1,3,4,2,4,6,0,2,4,389,0,5,394,0
50,3,201,270,5,2,0,0,0,1,0,1,3,1,7,8,14,1,4,3,524,0,3,527,0
51,3,516,38,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,564,0,3,567,0
52,5,676,116,2,2,4,8,0,0,0,1,1,3,0,1,3,1,4,0,827,0,2,829,0
53,4,567,49,1,1,0,1,1,0,0,3,0,0,2,2,1,1,1,2,636,0,8,644,0
54,5,336,170,2,0,1,0,0,1,1,2,7,1,9,13,11,2,13,6,580,0,5,585,0
55,12,244,210,7,2,1,5,0,1,0,2,9,3,7,13,14,3,10,5,548,0,5,553,0
56,2,266,121,6,2,0,3,1,1,0,0,2,2,3,4,3,3,5,4,428,0,14,442,0
57,10,291,107,2,2,1,2,2,3,1,4,12,2,12,33,17,4,3,7,515,0,2,517,0
58,0,113,74,2,0,0,1,1,0,0,1,1,0,4,1,0,2,3,2,205,0,2,207,0
59,8,267,285,5,3,2,0,1,0,0,5,4,6,13,5,18,4,3,7,636,0,8,644,0
60,12,390,203,5,0,1,3,1,3,2,4,5,6,8,12,20,4,5,10,694,0,12,706,0
,291,21070,9575,141,37,37,271,34,35,27,51,120,89,170,262,350,148,280,185,33173,0,285,33458,0
,291,21070,9575,141,37,37,271,34,35,27,51,120,89,170,262,350,148,280,185,33173,0,285,33458,0
61,5,415,200,5,0,0,0,2,3,0,3,1,3,9,20,14,1,10,6,697,0,6,703,0
62,1,299,83,4,0,0,4,0,0,0,0,2,0,0,3,1,2,3,1,403,0,3,406,0
63,7,690,157,5,0,0,8,0,2,0,2,3,2,6,4,5,2,1,2,896,0,5,901,0
64,2,521,74,1,0,0,2,0,0,1,1,2,0,2,0,9,0,8,3,626,0,2,628,0
65,11,344,122,8,1,1,3,1,1,0,1,7,2,2,11,13,3,12,2,545,0,11,556,0
66,12,266,152,3,1,3,3,0,1,0,4,2,1,5,3,12,2,10,8,488,0,4,492,0
67,2,364,111,4,1,0,1,0,0,0,0,1,1,1,3,0,2,6,3,500,0,2,502,0
68,14,376,360,8,1,1,16,0,0,0,0,11,2,3,7,18,3,7,2,829,0,9,838,0
69,2,479,34,0,1,1,3,0,0,0,0,0,1,0,0,0,4,5,0,530,0,3,533,0
70,7,524,180,5,0,1,3,0,0,0,1,5,5,5,13,14,3,7,2,775,0,4,779,0
71,1,420,560,6,1,3,24,0,2,1,2,2,1,2,6,3,1,3,1,1039,0,4,1043,0
72,18,360,385,3,3,1,15,0,2,1,4,3,2,11,5,13,9,6,10,851,0,13,864,0
,373,26128,11993,193,46,48,353,37,46,30,69,159,109,216,337,452,180,358,225,41352,0,351,41703,0
,373,26128,11993,193,46,48,353,37,46,30,69,159,109,216,337,452,180,358,225,41352,0,351,41703,0
73,4,485,317,4,3,0,15,2,2,0,0,2,2,4,5,3,14,19,11,892,0,10,902,0
74,2,450,92,0,0,2,79,0,1,2,2,0,0,0,0,2,0,6,1,639,0,11,650,0
75,6,476,300,7,1,1,19,2,0,3,0,3,2,5,4,3,3,0,3,838,0,5,843,0
76,6,409,252,4,2,1,9,1,0,2,0,8,8,7,9,11,1,7,2,739,0,10,749,0
77,5,697,19,2,1,1,20,0,0,0,0,0,0,1,1,1,2,5,1,756,0,13,769,0
