Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
1,9,584,275,5,3,0,6,3,1,2,1,4,3,9,14,20,2,2,3,946,0,12,958,0
2,5,232,272,4,0,0,5,0,0,0,0,3,1,2,4,1,3,5,8,545,0,5,550,0
3,0,339,91,2,1,0,20,1,0,1,0,1,1,0,2,1,0,2,0,462,0,3,465,0
4,3,339,94,0,0,0,8,0,0,0,0,2,0,1,0,1,0,3,2,453,0,13,466,0
5,2,265,261,1,1,0,25,1,0,0,0,0,0,1,1,3,1,5,7,574,0,10,584,0
6,2,546,121,1,1,1,19,0,0,0,0,1,0,0,0,2,0,5,0,699,0,11,710,0
7,2,207,194,1,0,0,13,0,0,0,0,0,0,1,0,0,1,0,0,419,0,5,424,0
8,1,377,180,4,1,0,9,0,1,0,1,1,0,3,1,1,2,2,1,585,0,6,591,0
9,6,582,201,3,1,0,11,0,0,1,0,0,2,1,5,5,0,3,2,823,0,9,832,0
10,1,459,194,0,0,0,14,0,0,0,0,0,0,0,1,2,0,0,1,672,0,8,680,0
11,1,422,297,1,1,0,12,0,1,2,0,3,1,1,0,9,0,4,1,756,0,13,769,0
12,2,243,476,3,1,1,20,1,2,0,0,1,1,2,0,1,0,1,2,757,0,8,765,0
,34,4595,2656,25,10,2,162,6,5,6,2,16,9,21,28,46,9,32,27,7691,0,103,7794,0
,34,4595,2656,25,10,2,162,6,5,6,2,16,9,21,28,46,9,32,27,7691,0,103,7794,0
13,5,187,516,3,1,0,16,1,0,1,0,0,1,0,1,1,0,1,2,736,0,6,742,0
14,4,408,259,2,0,0,8,0,1,0,0,2,0,1,0,3,1,3,0,692,0,4,696,0
15,0,249,290,1,0,0,23,0,0,0,0,3,0,0,1,3,0,3,1,574,0,9,583,0
16,4,316,230,3,1,0,5,0,0,0,0,0,0,2,3,1,0,5,3,573,0,4,577,0
17,6,617,92,1,0,0,20,0,0,0,1,0,0,0,0,1,1,0,0,739,0,16,755,0
18,1,421,35,1,0,0,4,1,1,0,0,1,0,0,0,0,1,2,0,468,0,17,485,0
19,0,634,69,2,0,0,23,1,0,0,0,0,0,0,1,2,0,0,2,734,0,14,748,0
20,4,614,50,0,0,0,19,0,0,0,0,1,0,0,0,0,0,3,0,691,0,19,710,0
21,2,632,33,0,0,0,18,1,0,0,0,1,1,0,1,2,1,0,0,692,0,13,705,0
22,9,341,231,2,0,0,10,1,0,1,1,0,0,0,2,3,3,2,3,609,0,4,613,0
23,3,381,151,1,2,0,9,0,0,3,0,0,1,7,4,2,0,1,0,565,0,3,568,0
24,0,192,298,1,1,0,3,0,4,1,0,3,0,5,0,2,0,1,8,519,0,2,521,0
,72,9587,4910,42,15,2,320,11,11,12,4,27,12,36,41,66,16,53,46,15283,0,214,15497,0
,72,9587,4910,42,15,2,320,11,11,12,4,27,12,36,41,66,16,53,46,15283,0,214,15497,0
25,2,364,215,6,0,1,7,0,1,0,0,0,0,3,3,1,0,2,6,611,0,10,621,0
26,1,379,5,0,0,0,4,0,0,0,4,1,0,0,1,0,0,0,0,395,0,4,399,0
27,1,503,22,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,530,0,1,531,0
