Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Varde Rajubhai Bhimrav,Sonal Kelog,Arun S. Pathak (Patrakar),Keshavji L. Sardva,Parsi Munsi,Ramzan Mansuri (Patrakar),Ravsaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhel),Saiyad Mehmud Aehmad,Hasan Sheikh,,,,,
1,8,417,184,5,1,0,1,0,2,1,1,1,3,2,3,9,0,5,4,647,0,4,651,0
2,6,601,117,0,3,0,3,0,0,1,0,1,1,1,2,9,4,1,1,751,0,4,755,0
3,5,336,111,1,0,0,0,0,1,0,0,1,0,0,2,5,2,12,3,479,0,8,487,0
4,5,617,277,7,0,2,5,2,2,1,1,7,1,4,6,18,4,10,5,974,0,7,981,0
5,7,314,352,0,0,0,1,0,0,0,0,1,1,2,1,5,1,3,6,694,0,1,695,0
6,6,505,103,1,0,1,6,0,0,0,1,3,0,0,2,7,2,6,2,645,0,5,650,0
7,7,533,122,0,1,0,6,1,0,1,1,3,1,5,8,6,0,3,1,699,0,6,705,0
8,12,312,218,3,0,1,1,0,0,1,2,2,0,1,4,7,6,2,4,576,0,3,579,0
9,6,384,272,4,2,0,1,1,1,0,0,2,3,1,4,9,5,3,4,702,0,4,706,0
10,4,592,172,0,0,1,10,1,0,0,0,1,0,0,0,1,2,2,1,787,0,8,795,0
11,8,325,376,1,2,0,5,2,0,0,0,1,2,3,3,4,0,8,6,746,0,2,748,0
12,4,544,77,2,1,0,10,0,2,1,0,3,0,2,2,6,2,4,3,663,0,4,667,0
13,4,597,61,0,4,0,8,0,1,0,0,0,3,0,3,1,0,3,0,685,0,7,692,0
14,2,404,107,0,1,0,1,2,0,0,1,2,1,1,4,7,3,11,2,549,0,5,554,0
15,11,567,222,4,1,1,6,1,0,0,0,0,6,5,10,9,5,2,2,852,0,4,856,0
16,6,705,171,1,2,0,10,0,2,1,0,3,2,1,3,6,3,5,3,924,0,3,927,0
17,3,285,324,1,2,0,5,0,1,0,1,1,2,2,2,0,1,8,2,640,0,2,642,0
18,11,534,169,4,1,0,1,0,0,0,2,1,9,5,9,8,6,10,6,776,0,4,780,0
19,9,621,160,1,2,0,6,0,0,1,1,1,0,0,0,3,1,8,2,816,0,5,821,0
20,4,349,123,3,0,0,0,2,0,0,0,1,1,4,11,8,2,2,2,512,0,1,513,0
21,5,427,88,1,0,0,8,0,0,0,1,0,1,1,1,0,1,3,1,538,0,4,542,0
22,3,315,141,2,0,0,3,0,0,1,0,1,0,0,2,0,1,4,0,473,0,4,477,0
23,5,406,185,2,2,0,6,1,0,5,3,7,1,6,6,7,5,6,6,659,0,13,672,0
24,4,447,140,0,1,0,8,0,0,0,0,0,0,0,0,1,1,0,1,603,0,17,620,0
25,2,453,85,0,0,0,10,0,0,0,0,1,1,1,0,0,0,5,2,560,0,9,569,0
26,4,296,184,2,0,0,6,0,2,2,3,6,0,4,10,14,3,0,1,537,0,7,544,0
27,4,208,113,3,1,0,3,0,0,1,0,2,0,2,4,4,4,2,0,351,0,3,354,0
28,4,294,215,3,1,1,6,0,1,1,2,2,1,3,5,6,5,4,3,557,0,4,561,0
29,10,433,201,3,0,1,2,1,0,0,1,3,0,1,2,11,4,5,5,683,0,4,687,0
30,5,453,96,0,1,1,0,1,4,0,0,3,0,1,2,5,1,2,2,577,0,1,578,0
,174,13274,5166,54,29,9,138,15,19,18,21,60,40,58,111,176,74,139,80,19655,0,153,19808,0
,,,,,,,,,,,,,,,,,,,,,,,,
,174,13274,5166,54,29,9,138,15,19,18,21,60,40,58,111,176,74,139,80,19655,0,153,19808,0
31,10,305,226,5,1,1,2,4,1,0,2,5,2,3,6,13,2,6,5,599,0,6,605,0
32,9,439,313,4,2,2,3,0,1,0,0,1,1,1,4,7,7,8,7,809,0,9,818,0
33,10,363,215,1,2,2,1,0,1,0,2,1,3,3,15,7,5,10,6,647,0,4,651,0
34,10,507,202,8,4,2,1,0,1,2,3,7,7,5,12,31,9,12,11,834,0,15,849,0
35,13,331,331,4,3,0,2,1,3,4,4,10,10,7,14,19,2,7,3,768,0,2,770,0
36,7,371,131,2,1,0,1,0,0,0,1,0,0,0,8,3,5,1,1,532,0,3,535,0
37,7,252,152,0,2,1,1,1,0,0,0,1,1,3,5,6,2,3,3,440,0,6,446,0
38,5,645,109,4,1,1,5,0,0,0,1,1,0,1,2,11,1,2,1,790,0,1,791,0
39,7,477,241,4,5,0,4,1,1,0,2,3,5,6,8,19,6,2,4,795,0,5,800,0
40,4,466,156,0,2,0,1,0,1,1,2,4,2,2,2,9,5,8,5,670,0,4,674,0
41,9,390,165,7,2,0,1,0,1,1,3,2,2,4,6,11,5,4,2,615,0,12,627,0
42,2,267,35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,310,0,2,312,0
43,0,302,46,0,0,0,1,0,1,0,0,1,1,2,3,3,1,7,0,368,0,3,371,0
44,1,528,38,1,1,1,0,1,0,0,0,0,1,0,1,2,3,14,2,594,0,5,599,0
,268,18917,7526,94,55,19,163,23,30,26,41,96,75,95,197,317,127,227,130,28426,0,230,28656,0
,,,,,,,,,,,,,,,,,,,,,,,,
,268,18917,7526,94,55,19,163,23,30,26,41,96,75,95,197,317,127,227,130,28426,0,230,28656,0
45,8,460,30,2,0,0,1,0,0,0,0,2,0,0,2,1,2,11,3,522,0,3,525,0
46,0,384,69,2,1,1,1,0,0,1,0,2,0,2,0,1,3,5,0,472,0,1,473,0
47,6,579,20,2,0,0,3,1,1,0,4,0,0,2,3,9,4,10,2,646,0,1,647,0
48,5,559,42,0,2,0,1,0,0,0,3,2,1,2,5,2,3,17,6,650,0,3,653,0
49,4,649,168,5,3,3,5,1,1,1,0,1,0,0,2,5,2,5,0,855,0,3,858,0
50,4,447,45,1,0,0,1,0,0,0,1,0,1,0,1,2,1,2,1,507,0,3,510,0
51,4,593,41,2,0,0,2,0,0,1,1,2,0,3,4,5,2,5,1,666,0,5,671,0
52,3,333,38,0,0,0,2,1,0,0,0,0,0,0,0,1,1,3,1,383,0,5,388,0
53,3,492,119,2,0,1,1,0,0,0,0,3,2,2,2,4,2,13,4,650,0,8,658,0
54,3,588,85,1,1,0,4,0,2,0,3,0,2,0,2,8,1,0,1,701,0,2,703,0
55,2,612,30,1,2,0,0,1,0,0,0,1,0,1,3,2,1,5,1,662,0,1,663,0
56,9,474,113,1,2,0,1,0,0,0,1,1,0,0,1,7,4,8,4,626,0,4,630,0
57,7,374,229,4,0,1,3,1,0,0,0,1,1,1,4,9,6,3,4,648,0,5,653,0
58,14,528,112,0,2,0,9,0,1,2,0,0,0,3,2,7,5,2,2,689,0,5,694,0
,340,25989,8667,117,68,25,197,28,35,31,54,111,82,111,228,380,164,316,160,37103,0,279,37382,0
,,,,,,,,,,,,,,,,,,,,,,,,
,340,25989,8667,117,68,25,197,28,35,31,54,111,82,111,228,380,164,316,160,37103,0,279,37382,0
59,4,262,83,3,1,0,10,0,1,0,0,2,1,3,0,3,0,4,5,382,0,2,384,0
60,6,577,73,1,1,0,16,1,0,0,0,1,0,2,0,1,1,0,2,682,0,12,694,0
61,1,520,64,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,592,0,9,601,0
62,1,286,43,1,1,0,1,0,1,0,1,1,1,0,0,2,4,4,2,349,0,2,351,0
63,7,466,87,2,2,0,0,2,1,0,1,0,0,0,0,3,1,10,1,583,0,3,586,0
64,5,423,84,1,3,0,7,0,0,0,0,0,0,0,4,4,2,5,1,539,0,3,542,0
65,4,751,83,0,3,0,13,0,0,0,0,1,3,0,0,0,2,0,1,861,0,9,870,0
66,8,487,31,2,0,0,3,1,0,0,1,1,2,0,2,9,2,1,3,553,0,2,555,0
67,1,439,89,0,1,1,9,0,0,1,0,0,1,0,0,2,0,1,0,545,0,8,553,0
68,2,646,99,0,1,1,9,0,1,2,0,1,2,0,2,5,5,3,1,780,0,6,786,0
69,3,298,170,1,14,0,15,0,0,0,0,1,0,1,2,1,0,0,0,506,0,4,510,0
70,2,385,85,0,3,0,14,0,1,0,0,0,0,0,0,0,2,0,0,492,0,9,501,0
71,4,564,57,3,1,0,7,0,1,0,2,0,1,1,1,3,9,7,8,669,0,10,679,0
72,2,245,247,3,0,1,6,1,1,0,0,1,0,3,4,6,0,3,3,526,0,7,533,0
,390,32338,9962,134,100,29,310,33,42,34,59,120,93,121,243,419,192,356,187,45162,0,365,45527,0
,,,,,,,,,,,,,,,,,,,,,,,,
,390,32338,9962,134,100,29,310,33,42,34,59,120,93,121,243,419,192,356,187,45162,0,365,45527,0
73,2,421,100,2,1,0,15,0,0,0,0,0,0,0,0,3,1,0,2,547,0,12,559,0
74,3,359,214,1,1,0,4,2,1,1,0,1,0,1,2,6,2,3,3,604,0,6,610,0
75,7,552,139,2,1,0,1,1,0,0,2,0,1,1,5,1,3,2,2,720,0,7,727,0
76,5,586,182,4,1,0,6,0,1,1,1,0,0,0,2,5,2,12,6,814,0,6,820,0
77,7,637,96,3,2,1,8,0,0,0,0,0,1,0,0,2,0,11,2,770,0,3,773,0
78,4,439,59,1,1,0,5,0,2,0,0,1,0,1,1,0,3,8,2,527,0,10,537,0
79,6,400,133,1,0,0,12,1,2,0,0,0,1,1,1,5,2,4,1,570,0,9,579,0
80,3,516,103,2,2,0,7,3,0,0,0,3,0,0,1,4,1,1,0,646,0,13,659,0
81,2,303,76,1,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,388,0,3,391,0
82,1,346,123,1,0,1,9,0,1,0,1,0,1,2,0,1,1,0,2,490,0,3,493,0
83,5,294,163,2,0,1,1,2,0,3,2,3,0,3,0,7,0,6,5,497,0,2,499,0
84,9,733,60,2,0,0,10,0,2,0,0,1,1,0,1,1,0,4,0,824,0,8,832,0
85,3,799,74,0,1,0,6,1,0,0,0,1,1,1,2,0,0,0,0,889,0,16,905,0
86,2,627,115,0,1,1,12,1,0,0,1,1,0,0,1,5,2,3,0,772,0,16,788,0
,449,39350,11599,156,111,33,408,44,51,40,66,131,100,131,259,459,210,411,212,54220,0,479,54699,0
,,,,,,,,,,,,,,,,,,,,,,,,
,449,39350,11599,156,111,33,408,44,51,40,66,131,100,131,259,459,210,411,212,54220,0,479,54699,0
87,2,495,204,1,0,1,5,0,0,0,1,0,1,0,0,2,2,9,2,725,0,8,733,0
88,2,739,86,2,1,0,8,0,1,0,0,0,0,0,0,2,0,1,0,842,0,7,849,0
89,0,655,81,3,2,0,2,0,0,0,0,0,0,2,1,6,0,2,1,755,0,10,765,0
90,2,681,135,2,2,1,7,0,0,1,0,0,0,0,0,1,3,3,2,840,0,14,854,0
91,3,401,135,4,0,0,3,0,1,0,1,1,0,2,1,5,1,2,0,560,0,2,562,0
92,3,587,106,0,0,0,6,1,0,0,1,1,0,1,0,1,3,2,1,713,0,5,718,0
93,0,583,153,1,2,2,4,0,0,1,0,0,1,2,0,7,0,2,1,759,0,3,762,0
94,7,487,75,1,2,0,7,0,0,0,1,2,0,2,1,4,2,5,2,598,0,1,599,0
95,2,356,231,1,1,0,3,0,0,0,0,0,0,0,0,0,0,6,1,601,0,4,605,0
96,3,576,83,0,0,0,8,0,0,0,0,0,0,1,0,1,1,4,0,677,0,4,681,0
97,9,287,126,0,1,1,5,1,0,0,0,0,0,0,2,1,1,2,2,438,0,1,439,0
98,2,448,154,1,1,0,8,0,1,0,1,0,0,1,0,0,0,5,1,623,0,3,626,0
99,3,659,43,1,0,1,0,0,1,1,1,1,0,0,1,1,2,4,0,719,0,13,732,0
100,1,576,52,2,2,0,7,0,0,0,0,1,0,0,1,1,1,2,0,646,0,5,651,0
,488,46880,13263,175,125,39,481,46,55,43,72,137,102,142,266,491,226,460,225,63716,0,559,64275,0
,,,,,,,,,,,,,,,,,,,,,,,,
,488,46880,13263,175,125,39,481,46,55,43,72,137,102,142,266,491,226,460,225,63716,0,559,64275,0
101,0,601,74,1,0,0,5,0,0,0,1,1,0,0,1,1,0,1,0,686,0,11,697,0
102,0,585,58,2,1,1,3,1,0,0,1,0,0,0,1,3,1,0,0,657,0,4,661,0
103,0,559,128,3,0,0,5,0,0,1,0,1,0,1,0,1,0,4,0,703,0,4,707,0
104,5,493,123,3,3,0,5,0,0,0,0,1,0,0,0,3,0,2,1,639,0,8,647,0
105,1,444,98,1,1,0,1,0,0,0,0,3,0,0,1,1,2,0,0,553,0,1,554,0
106,2,600,55,0,0,0,6,0,0,0,0,1,0,1,0,1,2,3,1,672,0,13,685,0
107,26,450,230,2,1,0,10,1,3,0,0,1,1,5,3,9,4,2,3,751,0,6,757,0
108,7,556,125,1,1,0,7,0,1,0,0,1,1,0,1,5,3,2,1,712,0,5,717,0
109,7,498,176,3,1,0,5,0,0,1,0,1,3,1,4,2,2,6,4,714,0,7,721,0
110,2,591,40,0,0,0,2,0,0,0,0,2,0,2,3,5,1,3,0,651,0,9,660,0
111,60,364,209,1,0,0,6,0,0,0,0,0,1,1,3,6,5,6,4,666,0,5,671,0
112,10,237,169,3,1,2,4,2,2,0,2,0,3,2,1,2,3,5,0,448,0,1,449,0
113,90,191,123,1,0,0,1,2,0,0,1,0,0,0,1,3,0,0,0,413,0,1,414,0
114,14,255,194,3,0,1,1,0,1,1,0,2,2,0,1,5,3,7,0,490,0,10,500,0
,712,53304,15065,199,134,43,542,52,62,46,77,151,113,155,286,538,252,501,239,72471,0,644,73115,0
,,,,,,,,,,,,,,,,,,,,,,,,
,712,53304,15065,199,134,43,542,52,62,46,77,151,113,155,286,538,252,501,239,72471,0,644,73115,0
115,3,430,138,0,0,0,12,0,0,0,0,0,1,1,1,0,1,5,1,593,0,14,607,0
116,1,475,70,0,0,1,9,1,1,0,1,0,0,0,0,0,0,7,1,567,0,8,575,0
117,1,756,109,3,2,1,6,0,1,1,0,1,0,0,2,2,1,9,3,898,0,9,907,0
118,8,514,120,0,1,0,2,0,0,1,3,0,1,3,2,3,1,5,4,668,0,8,676,0
119,3,525,240,1,0,1,2,1,0,0,0,0,0,1,2,3,0,1,1,781,0,12,793,0
