Serial No.of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Kishanbhai V. Patel,Thakriya Ratilal V.,Dr. K.C. Patel,Gaurangbhai R. Patel,Talaviya Babubhai C.,Patel Govindbhai R.,Patel Shaileshbhai G.,Dr. Pankajkumar P. Patel,Vadiya Laxmanbhai C.,Patel Budhabhai R.,,,,,
1,208,12,358,10,1,3,0,3,6,3,604,0,8,612,0
2,373,4,73,1,0,0,0,0,1,5,457,0,22,479,0
3,82,2,214,5,0,1,0,3,0,1,308,0,5,313,0
4,503,8,215,6,0,4,0,4,2,5,747,0,18,765,0
5,136,6,476,14,1,3,1,5,12,6,660,0,19,679,0
6,259,2,318,9,0,5,2,3,1,3,602,0,8,610,0
7,144,8,369,5,2,5,0,4,3,1,541,0,7,548,0
8,352,5,330,0,2,4,1,2,5,2,703,0,21,724,0
9,237,7,381,4,4,43,1,115,3,3,798,0,16,814,0
10,277,14,334,7,7,9,2,52,7,13,722,0,25,747,0
11,174,3,243,5,1,7,2,0,7,1,443,0,13,456,0
12,301,10,154,3,2,0,0,7,1,2,480,0,5,485,0
13,312,4,267,4,1,5,3,24,2,3,625,0,18,643,0
14,272,8,188,1,8,4,1,60,7,2,551,0,12,563,0
15,214,6,287,5,4,3,2,70,3,7,601,0,19,620,0
16,199,6,320,4,1,2,0,3,3,5,543,0,20,563,0
17,435,5,266,3,1,12,1,0,2,2,727,0,12,739,0
18,334,10,369,2,2,7,0,4,5,7,740,0,33,773,0
19,230,6,341,1,0,4,0,5,8,5,600,0,16,616,0
20,337,6,294,3,0,8,2,3,5,5,663,0,18,681,0
21,268,3,359,4,2,2,0,11,10,8,667,0,13,680,0
22,165,2,447,7,1,1,0,10,6,1,640,0,7,647,0
23,272,9,273,6,1,5,5,26,6,9,612,0,14,626,0
24,219,1,199,3,0,0,0,21,3,3,449,0,14,463,0
25,473,8,189,4,1,2,0,1,2,5,685,0,4,689,0
26,273,5,280,2,0,8,2,0,8,8,586,0,37,623,0
27,362,3,237,5,1,5,0,3,3,6,625,0,13,638,0
28,262,6,422,9,6,3,1,14,11,30,764,0,55,819,0
29,272,4,304,9,3,5,2,7,7,8,621,0,22,643,0
30,421,9,297,4,2,6,2,10,8,11,770,0,30,800,0
31,374,15,353,10,6,12,1,4,6,7,788,0,9,797,0
32,331,4,182,5,1,1,1,4,4,0,533,0,11,544,0
33,326,13,160,4,6,5,0,4,3,4,525,0,14,539,0
34,68,4,244,4,0,2,1,13,6,6,348,0,3,351,0
35,191,7,507,9,6,0,2,6,14,14,756,0,22,778,0
36,222,4,294,9,1,4,1,7,7,2,551,0,5,556,0
37,235,6,314,3,2,4,0,3,5,0,572,0,13,585,0
38,200,5,477,4,2,2,0,4,1,8,703,0,11,714,0
39,244,10,456,3,4,3,0,2,2,0,724,0,8,732,0
40,510,3,212,3,1,13,1,5,4,8,760,0,16,776,0
41,413,10,251,3,3,5,4,1,4,2,696,0,5,701,0
42,346,6,325,7,1,5,3,9,6,7,715,0,14,729,0
43,240,5,473,14,5,0,1,14,4,10,766,0,30,796,0
44,184,6,238,5,2,2,3,2,4,3,449,0,12,461,0
45,267,5,182,1,0,5,1,3,7,0,471,0,9,480,0
46,152,1,329,4,2,3,0,7,4,11,513,0,9,522,0
47,334,6,284,7,1,6,2,3,4,5,652,0,12,664,0
48,242,3,327,10,0,7,0,2,9,6,606,0,8,614,0
49,347,17,372,6,2,2,1,7,14,14,782,0,24,806,0
50,324,5,317,4,0,5,1,5,2,6,669,0,22,691,0
51,272,6,323,4,0,2,2,4,7,9,629,0,25,654,0
52,299,12,561,8,3,15,2,6,8,3,917,0,7,924,0
53,262,9,379,1,1,1,0,1,4,2,660,0,14,674,0
54,206,3,434,6,0,5,1,4,2,5,666,0,7,673,0
55,426,8,332,9,66,9,5,7,13,10,885,0,22,907,0
56,339,4,394,5,1,5,0,5,6,14,773,0,32,805,0
57,426,9,329,3,5,0,1,6,9,4,792,0,22,814,0
58,325,4,434,4,1,0,4,4,4,5,785,0,10,795,0
59,249,4,313,7,0,3,0,0,5,6,587,0,11,598,0
60,150,5,422,6,1,2,4,2,4,5,601,0,13,614,0
61,454,11,422,10,5,2,1,8,9,11,933,0,34,967,0
62,445,10,226,6,0,4,3,5,5,5,709,0,14,723,0
63,107,5,180,2,0,3,2,0,2,1,302,0,7,309,0
64,372,10,457,9,4,1,1,6,5,3,868,0,13,881,0
65,189,7,409,10,1,5,0,3,5,4,633,0,8,641,0
66,388,8,401,3,1,2,2,6,6,8,825,0,12,837,0
67,335,7,188,6,1,7,2,5,5,5,561,0,9,570,0
68,323,6,218,3,0,7,0,5,2,3,567,0,13,580,0
69,246,5,220,5,2,7,0,8,6,5,504,0,11,515,0
70,211,1,278,7,1,1,1,2,5,3,510,0,15,525,0
71,281,3,231,2,0,4,1,9,6,7,544,0,17,561,0
72,277,2,253,4,1,2,0,3,6,5,553,0,15,568,0
73,305,6,271,6,2,3,0,3,4,1,601,0,15,616,0
74,197,5,340,3,0,3,1,11,1,2,563,0,11,574,0
75,260,10,209,6,0,2,0,6,6,4,503,0,17,520,0
76,357,3,241,9,2,1,2,6,6,7,634,0,6,640,0
77,189,7,321,11,2,0,2,4,3,2,541,0,17,558,0
78,187,16,513,13,4,8,4,6,7,9,767,0,21,788,0
79,290,9,197,1,1,2,3,4,6,3,516,0,17,533,0
80,228,12,362,7,0,5,2,4,1,3,624,0,11,635,0
81,279,13,328,7,2,3,0,8,5,7,652,0,17,669,0
82,181,8,251,5,0,3,0,5,3,3,459,0,10,469,0
83,284,2,217,3,0,7,1,1,3,4,522,0,10,532,0
84,193,7,83,2,1,1,0,5,4,3,299,0,7,306,0
