No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,Total of valid votes,No. of rejected votes,Total,No. of tendered votes
,Kishanbhai Vestabhai Patel,Thakarya Ratilal Vajirbhai,Dr. K.C.Patel,Gaurangbhai Rameshbhai Patel,Talaviya Babubhai Chhaganbhai,Patel Govindbhai Ranchhodbhai,Patel Shaileshbhai Gandabhai,Dr. Pankajbhai Parbhubhai Patel,Vadiya Laxmanbhai Chhaganbhai,Patel Budhabhai Ranchhodbhai,Nota,,,,
1,157,8,249,4,4,3,0,1,1,3,17,447,0,447,
2,276,9,304,9,0,2,1,5,14,10,37,667,0,667,
3,190,13,627,5,2,1,0,6,1,8,10,863,0,863,
4,88,5,344,0,0,0,1,2,4,3,2,449,0,449,
5,248,9,438,3,1,2,1,2,2,8,17,731,0,731,
6,68,2,678,7,1,2,0,0,0,1,7,766,0,766,
7,202,4,258,4,1,0,1,0,5,2,11,488,0,488,
8,310,3,165,3,3,2,0,1,0,5,21,513,0,513,
9,53,1,605,2,0,2,0,0,3,2,4,672,0,672,
10,397,10,485,7,2,10,2,4,4,7,18,946,0,946,
11,208,5,388,4,1,2,1,2,0,1,9,621,0,621,
12,207,5,561,2,1,6,1,1,6,5,14,809,0,809,
13,130,7,361,4,9,3,1,2,8,5,7,537,0,537,
14,432,10,89,1,1,1,2,3,4,3,23,569,0,569,
15,287,3,364,5,2,2,1,4,5,5,17,695,0,695,
16,258,6,523,2,9,2,2,0,3,2,9,816,0,816,
17,199,6,603,6,0,2,1,4,12,3,10,846,0,846,
18,397,10,466,2,0,8,0,5,2,3,12,905,0,905,
19,254,7,301,9,2,6,0,7,4,6,21,617,0,617,
20,167,3,398,3,4,0,1,0,2,2,10,590,0,590,
21,340,1,370,3,2,2,0,2,4,2,4,730,0,730,
22,352,11,446,12,0,9,1,4,6,10,5,856,0,856,
23,212,4,299,5,1,1,0,2,3,3,7,537,0,537,
24,227,3,345,3,0,2,0,2,4,4,11,601,0,601,
25,197,2,148,2,0,2,0,4,5,3,5,368,0,368,
26,235,10,543,0,1,2,1,0,1,0,6,799,0,799,
27,238,5,501,3,2,3,1,2,4,2,10,771,0,771,
28,249,6,195,1,1,1,0,2,3,4,15,477,0,477,
29,206,7,508,4,2,6,0,3,8,1,12,757,0,757,
30,135,7,445,6,1,0,1,1,5,3,12,616,0,616,
31,98,9,583,3,3,0,0,0,3,3,12,714,0,714,
32,103,2,250,2,0,3,1,2,4,0,5,372,0,372,
33,198,2,290,3,1,6,0,2,1,3,9,515,0,515,
34,245,3,214,1,1,12,0,4,0,3,9,492,0,492,
35,174,8,271,1,9,2,0,4,8,3,7,487,0,487,
36,298,13,284,6,1,0,1,4,3,4,8,622,0,622,
37,373,5,378,10,0,4,0,2,2,8,11,793,0,793,
38,57,1,238,0,0,1,0,0,0,1,5,303,0,303,
39,374,4,455,1,2,4,2,1,3,6,14,866,0,866,
40,334,2,220,6,1,6,1,1,2,3,10,586,0,586,
41,452,4,253,2,0,4,0,5,0,1,7,728,0,728,
42,395,5,285,3,2,12,1,2,5,2,19,731,0,731,
43,237,8,280,5,2,4,0,3,3,5,12,559,0,559,
44,222,3,337,2,3,1,0,0,0,2,4,574,0,574,
45,357,9,244,4,0,5,2,0,0,1,5,627,0,627,
46,239,6,246,3,0,3,1,1,5,3,21,528,0,528,
47,184,4,326,4,0,0,0,2,4,1,9,534,0,534,
48,347,5,172,4,0,2,1,1,5,2,11,550,0,550,
49,418,3,74,2,0,3,0,0,2,1,6,509,0,509,
50,195,5,618,3,2,7,0,0,5,5,8,848,0,848,
51,182,3,591,2,1,5,0,5,1,6,11,807,0,807,
52,386,7,320,5,2,0,2,4,7,7,16,756,0,756,
53,288,4,434,6,0,5,2,3,4,5,19,770,0,770,
54,137,6,421,6,0,1,1,2,4,5,12,595,0,595,
55,130,2,539,2,11,1,0,2,3,3,6,699,0,699,
56,308,6,375,2,1,3,1,2,4,1,4,707,0,707,
57,260,13,294,4,0,0,2,3,6,7,10,599,0,599,
58,71,0,435,0,1,1,0,0,1,1,7,517,0,517,
59,139,4,358,4,0,0,0,2,9,5,8,529,0,529,
60,191,5,408,1,1,6,0,2,2,1,10,627,0,627,
61,192,1,65,2,2,2,0,2,1,0,2,269,0,269,
62,358,6,387,5,0,1,1,1,4,2,10,775,0,775,
63,399,7,376,12,2,4,2,3,13,5,20,843,0,843,
64,279,8,304,6,5,1,0,4,6,6,12,631,0,631,
65,285,6,352,7,1,3,1,5,5,4,11,680,0,680,
66,331,6,221,4,2,1,0,2,2,8,12,589,0,589,
