Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Kishanbhai Vestabhai Patel,Thakriya Ratilal Vajirbhai,Dr.K.C. Patel,Gaurangbhai Rameshbhai Patel,Talaviya Babubhai Chhaganbhai,Patel Govindbhai Ranchhod bhai,Patel Shaileshbhai Gandabhai,Dr.Pankaj kumar Parabhubhai Patel,Vadiya Laxmanbhai Chhaganbhai,Patel Budhabhai Ranchhodb hai,,,,,
1,134,5,369,4,0,1,3,0,7,4,527,0,6,533,0
2,35,8,476,5,1,1,0,2,2,0,530,0,5,535,0
3,52,4,536,3,0,0,0,1,3,3,602,0,9,611,0
4,147,4,349,1,1,2,2,1,0,6,513,0,9,522,0
5,95,4,481,6,2,1,1,0,2,2,594,0,5,599,0
6,54,7,490,6,0,1,3,1,3,3,568,0,8,576,0
7,101,8,630,7,1,3,0,1,2,2,755,0,9,764,0
8,74,2,685,5,3,10,2,2,1,0,784,0,8,792,0
9,31,1,354,2,0,1,0,0,0,2,391,0,5,396,0
10,53,1,287,2,0,0,0,0,0,1,344,0,0,344,0
11,45,4,253,3,0,1,1,0,2,0,309,0,4,313,0
12,90,4,611,7,1,2,0,1,5,2,723,0,4,727,0
13,103,2,538,7,0,0,1,1,0,2,654,0,4,658,0
14,29,2,566,8,0,1,0,2,11,4,623,0,6,629,0
15,53,2,495,2,0,2,0,1,0,3,558,0,1,559,0
16,107,4,477,5,0,3,3,4,3,5,611,0,15,626,0
17,163,7,443,4,5,0,2,3,4,3,634,0,28,662,0
18,57,0,365,3,1,0,1,2,1,3,433,0,2,435,0
19,31,3,415,2,0,0,0,0,0,2,453,0,3,456,0
20,129,4,604,5,0,2,2,2,2,4,754,0,7,761,0
21,126,1,702,5,0,3,1,1,2,4,845,0,8,853,0
22,267,11,518,2,0,7,1,3,5,7,821,0,3,824,0
23,71,2,375,1,0,1,0,3,5,1,459,0,5,464,0
24,112,5,282,2,2,4,0,36,1,1,445,0,15,460,0
25,145,4,480,6,0,4,0,3,2,1,645,0,10,655,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26,99,5,537,3,6,0,1,4,2,4,661,0,11,672,
27,194,3,455,7,8,3,3,1,2,4,680,0,16,696,
28,144,2,436,9,3,9,0,2,2,4,611,0,5,616,
29,92,1,644,2,0,7,0,3,2,2,753,0,7,760,
30,158,3,451,1,0,4,0,1,1,0,619,0,5,624,
31,286,3,555,11,1,13,0,1,1,3,874,0,8,882,
32,294,3,459,9,0,10,1,1,3,0,780,0,19,799,
33,266,12,492,3,3,6,0,3,4,2,791,0,16,807,
34,68,4,394,2,0,3,0,0,0,1,472,0,5,477,
35,110,1,509,2,2,7,1,1,2,2,637,0,8,645,
36,133,4,563,6,3,1,0,0,1,1,712,0,7,719,
37,47,2,475,4,2,2,1,1,1,1,536,0,4,540,
38,98,0,345,7,1,1,0,0,1,0,453,0,3,456,
39,119,6,667,5,0,4,0,0,4,14,819,0,9,828,
40,195,4,514,1,1,10,4,1,1,1,732,0,6,738,
41,69,3,764,6,1,2,0,4,6,4,859,0,7,866,
42,66,3,777,4,2,2,1,2,0,0,857,0,6,863,
43,59,1,321,2,1,2,0,1,1,1,389,0,4,393,
44,90,5,469,0,0,1,0,0,2,1,568,0,12,580,
45,25,2,287,2,0,0,0,1,0,0,317,0,8,325,
46,51,6,392,5,2,2,0,1,2,2,463,0,10,473,
47,18,1,405,3,0,0,1,0,0,5,433,0,8,441,
48,34,5,677,0,0,1,0,1,2,4,724,0,9,733,
49,46,5,473,3,1,0,0,0,1,1,530,0,7,537,
50,15,0,269,1,0,1,0,1,0,1,288,0,0,288,
51,11,1,517,2,0,2,0,0,2,4,539,0,5,544,
52,120,8,515,4,1,3,0,2,10,2,665,0,17,682,
53,206,4,530,2,0,7,3,3,0,0,755,0,7,762,
54,221,4,436,2,0,1,1,1,5,3,674,0,12,686,
55,46,3,479,4,0,1,0,0,3,3,539,0,3,542,
56,317,13,469,7,4,8,2,1,4,5,830,0,21,851,
57,145,4,403,5,2,5,0,1,4,5,574,0,13,587,
58,151,5,212,1,1,2,0,1,7,4,384,0,29,413,
59,169,4,655,1,4,1,4,3,3,0,844,0,9,853,
60,195,7,478,3,1,3,1,0,1,5,694,0,5,699,
61,143,0,365,3,1,2,0,2,0,1,517,0,11,528,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
62,150,3,374,2,0,11,2,0,0,1,543,0,0,543,
63,111,1,286,4,0,0,0,0,1,0,403,0,3,406,
64,131,4,467,8,3,1,1,1,2,3,621,0,12,633,
65,223,10,389,5,1,5,1,1,3,2,640,0,7,647,
66,203,6,329,1,2,1,2,1,3,2,550,0,2,552,
67,164,4,619,1,0,1,0,0,3,1,793,0,4,797,
68,166,9,333,5,14,0,2,7,4,4,544,0,7,551,
69,151,2,248,0,6,2,0,1,3,3,416,0,3,419,
70,243,2,298,1,1,7,0,1,4,1,558,0,13,571,
71,55,1,211,3,1,1,1,1,0,4,278,0,4,282,
72,40,0,275,0,0,3,0,0,0,0,318,0,1,319,
73,108,2,254,2,1,1,0,1,4,1,374,0,6,380,
74,187,10,507,1,0,3,0,0,5,1,714,0,7,721,
75,193,6,439,5,2,2,0,1,4,7,659,0,12,671,
76,273,5,191,0,0,2,0,0,1,3,475,0,11,486,
77,250,6,671,5,0,8,0,0,0,5,945,0,15,960,
78,243,7,360,2,2,7,0,3,3,0,627,0,12,639,
79,294,2,405,0,0,13,0,0,0,0,714,0,5,719,
80,234,10,439,2,0,2,1,0,2,0,690,0,7,697,
81,84,3,693,6,2,5,0,0,1,1,795,0,2,797,
82,17,2,298,1,0,0,0,0,0,0,318,0,2,320,
83,28,2,430,2,1,0,1,0,1,0,465,0,2,467,
84,60,4,632,3,0,4,1,0,0,0,704,0,3,707,
85,39,3,678,4,2,2,0,1,1,2,732,0,3,735,
86,55,0,470,4,0,1,0,1,1,4,536,0,8,544,
87,40,0,551,3,0,5,0,0,1,1,601,0,4,605,
88,136,2,601,5,0,0,0,0,0,1,745,0,8,753,
89,69,1,530,0,1,2,0,0,1,1,605,0,4,609,
90,16,0,429,2,0,7,1,1,0,0,456,0,2,458,
91,21,3,582,6,1,2,0,0,3,4,622,0,5,627,
92,84,3,679,5,0,4,0,0,2,0,777,0,3,780,
93,83,1,731,3,0,4,0,0,1,0,823,0,5,828,
94,100,3,721,6,1,6,0,1,2,1,841,0,9,850,
95,82,6,636,3,1,8,0,1,8,2,747,0,14,761,
96,143,2,388,1,1,5,0,0,0,1,541,0,11,552,
97,72,1,719,2,0,9,0,0,1,0,804,0,5,809,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
98,169,1,586,1,0,19,0,0,0,1,777,0,4,781,
99,722,2,44,2,1,6,0,0,0,1,778,0,1,779,
100,88,4,567,2,0,4,1,1,4,2,673,0,9,682,
101,213,2,395,2,0,7,1,0,4,3,627,0,9,636,
102,315,13,383,4,0,5,0,3,14,2,739,0,32,771,
103,55,2,544,4,0,12,0,2,0,2,621,0,6,627,
104,80,0,371,0,0,9,0,0,0,0,460,0,3,463,
105,88,0,598,2,0,9,0,0,1,0,698,0,6,704,
106,108,0,125,0,0,15,1,0,0,1,250,0,5,255,
107,72,0,692,3,0,23,0,1,0,1,792,0,9,801,
108,51,0,383,1,0,8,0,0,0,0,443,0,4,447,
109,89,0,593,2,0,7,0,0,0,0,691,0,4,695,
110,42,0,365,3,0,5,0,0,0,0,415,0,4,419,
111,92,1,584,1,1,12,0,0,1,0,692,0,7,699,
112,54,2,335,2,0,8,0,2,1,0,404,0,12,416,
113,106,2,160,1,2,10,1,0,1,1,284,0,3,287,
114,278,2,365,2,0,19,1,1,0,0,668,0,11,679,
115,158,0,782,6,2,14,0,0,0,1,963,0,9,972,
116,143,6,366,2,2,11,0,0,1,1,532,0,6,538,
117,91,1,683,2,0,2,0,1,1,1,782,0,4,786,
118,202,1,345,2,0,6,1,1,1,0,559,0,6,565,
119,101,4,523,3,1,7,0,1,0,0,640,0,4,644,
120,310,1,357,2,0,8,1,0,0,0,679,0,6,685,
121,193,3,720,6,0,5,2,0,2,1,932,0,12,944,
122,101,6,737,3,1,4,0,0,1,2,855,0,8,863,
123,90,2,627,1,0,8,0,0,0,3,731,0,7,738,
124,56,1,447,3,0,1,0,0,0,1,509,0,1,510,
125,67,2,728,4,0,14,0,0,0,0,815,0,4,819,
126,50,0,559,6,0,1,0,0,1,1,618,0,2,620,
127,162,3,622,7,2,14,0,2,5,4,821,0,15,836,
128,335,2,417,2,3,2,1,3,0,4,769,0,15,784,
129,193,1,689,8,0,2,1,0,0,1,895,0,8,903,
130,199,1,467,5,0,3,1,0,0,0,676,0,4,680,
131,292,1,585,2,0,7,0,0,0,2,889,0,10,899,
132,263,4,537,3,0,10,0,0,0,2,819,0,4,823,
133,447,0,100,0,0,7,0,0,0,0,554,0,3,557,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
134,265,0,287,2,0,12,0,0,1,1,568,0,2,570,
135,326,2,308,2,0,8,0,0,0,0,646,0,6,652,
136,125,2,717,5,0,6,3,0,1,0,859,0,15,874,
137,418,4,377,4,0,12,0,0,0,1,816,0,7,823,
138,138,2,518,8,0,6,0,0,0,0,672,0,2,674,
139,113,3,693,6,0,5,0,1,1,0,822,0,7,829,
140,312,4,464,1,0,3,4,0,1,2,791,0,5,796,
141,62,1,401,0,0,5,0,0,0,1,470,0,3,473,
142,134,0,773,2,0,0,3,3,4,3,922,0,9,931,
143,113,4,582,4,0,1,0,0,1,0,705,0,5,710,
144,551,1,67,0,0,12,0,1,0,1,633,0,13,646,
145,292,1,502,1,0,9,1,0,1,2,809,0,3,812,
146,102,1,806,4,0,10,0,0,2,1,926,0,6,932,
147,35,2,549,3,0,2,0,0,1,0,592,0,4,596,
148,80,2,415,1,0,2,1,0,0,0,501,0,3,504,
149,75,0,577,1,0,4,0,0,0,0,657,0,7,664,
150,360,1,210,1,0,4,0,0,0,0,576,0,4,580,
151,326,3,476,4,1,5,0,0,4,4,823,0,13,836,
152,185,2,437,2,0,9,1,0,1,3,640,0,10,650,
153,353,3,340,4,0,3,0,1,1,4,709,0,7,716,
154,370,2,423,2,1,4,0,2,2,0,806,0,5,811,
155,429,2,266,1,0,6,0,2,1,1,708,0,4,712,
156,176,1,620,3,0,13,0,1,2,0,816,0,4,820,
157,164,0,222,2,0,15,0,0,0,1,404,0,2,406,
158,304,12,227,1,0,5,1,0,0,1,551,0,2,553,
159,198,2,565,1,1,15,0,0,0,0,782,0,4,786,
160,175,2,574,6,0,10,0,0,1,1,769,0,9,778,
161,224,4,154,1,1,6,1,0,0,2,393,0,1,394,
162,187,5,397,5,1,8,1,0,0,0,604,0,5,609,
163,349,4,296,1,2,5,2,2,5,1,667,0,8,675,
164,212,3,560,5,0,8,0,0,2,0,790,0,5,795,
165,163,5,562,7,0,10,4,1,0,0,752,0,4,756,
166,334,6,347,4,1,4,2,2,2,0,702,0,6,708,
167,343,0,296,3,1,20,19,0,0,3,685,0,5,690,
168,410,3,208,3,2,7,0,1,0,1,635,0,5,640,
169,551,6,137,2,0,4,0,0,1,0,701,0,3,704,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
170,390,7,231,1,0,2,0,2,1,4,638,0,23,661,
171,210,5,211,3,1,1,1,1,5,5,443,0,8,451,
172,240,4,539,2,0,19,4,0,5,2,815,0,20,835,
173,292,5,463,6,2,14,0,2,0,0,784,0,13,797,
174,360,14,406,5,0,12,3,2,1,2,805,0,14,819,
175,345,5,409,6,1,6,0,1,4,2,779,0,15,794,
176,176,2,404,5,0,9,1,1,0,0,598,0,5,603,
177,232,1,570,6,0,15,0,1,0,1,826,0,12,838,
178,263,1,520,1,2,9,0,0,0,0,796,0,8,804,
179,283,1,514,1,1,9,0,3,3,3,818,0,11,829,
180,157,1,625,0,1,11,0,0,0,1,796,0,6,802,
181,249,9,444,3,3,2,0,2,2,1,715,0,6,721,
182,305,4,444,1,2,15,2,1,0,1,775,0,14,789,
183,207,1,403,1,1,12,0,1,1,0,627,0,12,639,
184,349,4,213,2,0,14,1,1,0,1,585,0,8,593,
185,432,11,235,3,0,15,0,2,0,2,700,0,8,708,
186,478,3,309,3,1,8,0,1,1,5,809,0,6,815,
187,139,3,148,4,0,2,1,2,2,3,304,0,6,310,
188,170,6,560,1,2,2,0,3,3,3,750,0,7,757,
189,387,5,219,0,0,1,0,2,2,3,619,0,9,628,
190,370,3,217,2,0,3,1,1,1,4,602,0,8,610,
191,281,3,450,3,2,3,0,0,1,0,743,0,5,748,
192,336,4,338,7,0,1,0,4,1,5,696,0,11,707,
193,477,6,157,2,0,1,0,1,5,2,651,0,14,665,
194,263,1,377,1,2,3,0,3,8,5,663,0,9,672,
195,209,3,235,3,0,4,2,1,4,6,467,0,12,479,
196,337,9,193,4,0,1,0,7,6,3,560,0,18,578,
197,73,1,265,0,0,3,0,0,0,0,342,0,3,345,
198,155,0,218,1,0,0,0,0,0,0,374,0,4,378,
199,275,4,338,5,0,11,0,0,0,1,634,0,1,635,
200,200,7,471,5,1,9,0,2,6,2,703,0,10,713,
201,83,1,571,0,1,2,0,0,2,0,660,0,2,662,
202,71,0,349,0,0,1,0,0,0,2,423,0,5,428,
