No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Kishanbhai Vestabhai Patel,Thakriya Ratilal Vajirbhai,Dr. K. C. Patel,Gaurangbhai Rameshbhai Patel,Talaviya Babubhai Chhaganbhai,Patel Govindbhai Ranchhodbhai,Patel Shaileshbhai Gandabhai,Dr. Pankajkumar Parbhubhai,Vadia Laxmanbhai Chhaganbhai,Patel Budhabhai Ranchhodbhai,,,,,
1,260,5,513,2,3,2,0,8,10,7,810,0,11,821,0
2,290,10,636,3,1,3,0,1,9,3,956,0,12,968,0
3,352,6,199,1,1,1,0,6,5,3,574,0,12,586,0
4,47,5,624,8,0,2,1,2,3,1,693,0,3,696,0
5,37,1,215,0,0,2,0,1,3,0,259,0,3,262,0
6,249,4,298,2,0,1,0,0,1,2,557,0,9,566,0
7,40,0,306,0,0,0,0,1,1,1,349,0,2,351,0
8,235,6,571,4,0,4,1,0,7,15,843,0,21,864,0
9,119,4,268,2,0,2,0,1,2,1,399,0,3,402,0
10,202,4,545,3,0,2,1,1,4,4,766,0,5,771,0
11,89,2,504,1,0,1,0,2,3,3,605,0,5,610,0
12,118,2,299,2,0,3,0,0,0,0,424,0,3,427,0
13,53,2,513,4,0,1,0,0,1,0,574,0,5,579,0
14,281,6,415,4,0,1,0,2,10,5,724,0,14,738,0
15,260,4,399,3,0,3,1,1,5,5,681,0,12,693,0
16,50,3,630,1,1,8,1,0,2,0,696,0,6,702,0
17,142,4,629,3,1,7,0,0,1,1,788,0,7,795,0
18,294,4,560,3,1,6,0,0,1,4,873,0,5,878,0
19,197,2,571,6,1,7,2,1,3,1,791,0,7,798,0
20,273,5,459,4,1,1,0,5,4,1,753,0,16,769,0
21,233,3,482,3,0,1,0,0,1,3,726,0,6,732,0
22,144,0,442,5,0,1,0,0,3,0,595,0,10,605,0
23,215,3,461,7,4,8,0,2,4,4,708,0,14,722,0
24,256,4,386,4,2,2,1,1,0,1,657,0,4,661,0
25,154,0,577,3,0,0,0,0,0,1,735,0,2,737,0
26,165,5,411,3,0,5,0,0,1,1,591,0,5,596,0
