polling station,,,,,,,,,,,,,,,
,Kishanbhai Vestabhai Patel,Thakriya Ratilal Vajirbhai,Dr.K.C.Patel,Gaurangbhai Rameshbhai Patel,Talaviya Babubhai Chhaganbhai,Patel Govindbhai Ranchhodbhai,Patel Shaileshbhai Gandabhai,Dr.Pankajku mar Parabhubhai Patel,Vadiya Laxmanbhai Chhaganbhai,Patel Budhabhai Ranchhodbhai,None of The Above (NOTA),valid votes,rejected votes,total,tendered votes
1,221,5,535,4,1,1,0,5,5,9,12,798,0,798,0
2,519,7,143,1,2,3,1,2,1,4,7,690,0,690,0
3,271,6,90,0,1,2,0,2,2,2,10,386,0,386,0
4,222,2,253,3,0,0,1,3,1,5,9,499,0,499,0
5,323,6,421,9,2,0,1,10,11,8,15,806,0,806,0
6,202,5,125,2,0,2,0,2,3,0,9,350,0,350,0
7,317,5,147,2,0,16,2,0,4,2,5,500,0,500,0
8,173,6,37,1,0,0,0,1,2,0,5,225,0,225,0
9,363,10,232,7,1,0,0,3,8,10,9,643,0,643,0
10,462,10,178,4,1,2,3,3,2,8,33,706,0,706,0
11,400,3,117,0,2,5,0,2,6,4,9,548,0,548,0
12,235,5,152,4,1,2,1,0,4,3,8,415,0,415,0
13,275,1,156,0,0,2,0,0,6,2,7,449,0,449,0
14,207,2,212,1,1,3,0,1,3,2,3,435,0,435,0
15,363,5,284,3,5,5,2,2,5,5,12,691,0,691,0
16,192,2,81,1,0,2,0,0,0,1,7,286,0,286,0
17,313,4,306,7,2,2,3,4,2,3,7,653,0,653,0
18,321,5,220,2,0,0,2,10,3,2,9,574,0,574,0
19,420,5,327,5,2,7,1,15,7,2,24,815,0,815,0
20,325,6,203,4,0,15,2,3,4,4,15,581,0,581,0
21,464,6,300,5,2,3,0,8,11,7,18,824,0,824,0
22,463,7,227,3,2,7,0,4,4,5,14,736,0,736,0
23,282,5,207,4,0,0,1,0,5,6,6,516,0,516,0
24,271,4,200,3,1,2,0,0,1,3,5,490,0,490,0
25,463,11,296,6,2,2,1,3,4,13,24,825,0,825,0
26,278,6,189,1,0,4,0,2,1,4,14,499,0,499,0
27,111,2,36,3,0,1,0,1,3,2,5,164,0,164,0
28,404,12,282,7,1,10,2,4,7,8,18,755,0,755,0
29,220,8,180,2,1,3,3,1,11,3,8,440,0,440,0
30,257,2,196,2,1,1,0,0,2,2,5,468,0,468,0
31,470,10,90,0,0,5,1,0,2,0,4,582,0,582,0
32,364,39,175,1,4,7,0,3,3,4,16,616,0,616,0
33,252,3,567,1,3,6,0,2,5,6,16,861,0,861,0
34,304,6,367,4,1,2,0,2,5,2,13,706,0,706,0
35,354,10,335,5,2,8,0,3,16,5,21,759,0,759,0
36,352,9,244,5,0,3,1,8,13,11,17,663,0,663,0
37,257,8,177,2,0,3,1,1,5,2,12,468,0,468,0
38,320,7,261,4,0,0,0,4,8,3,18,625,0,625,0
39,261,8,570,5,2,4,3,3,9,5,18,888,0,888,0
40,454,6,275,5,1,3,1,6,4,6,26,787,0,787,0
41,286,3,291,2,1,2,0,4,3,4,8,604,0,604,0
42,399,6,237,2,1,5,1,3,7,2,11,674,0,674,0
43,289,8,337,3,0,10,1,2,6,5,28,689,0,689,0
44,270,2,213,4,1,2,4,6,9,4,20,535,0,535,0
45,427,7,252,1,2,4,0,3,8,6,19,729,0,729,0
46,302,5,305,4,2,2,1,4,9,6,36,676,0,676,0
47,177,5,220,3,1,2,0,3,1,1,5,418,0,418,0
48,419,8,265,2,0,4,3,2,6,4,21,734,0,734,0
49,273,6,526,4,1,5,2,5,8,3,16,849,0,849,0
50,288,5,333,2,0,2,0,3,4,3,16,656,0,656,0
51,277,7,238,2,1,4,1,2,1,3,12,548,0,548,0
52,362,4,440,9,3,5,1,6,10,4,17,861,0,861,0
53,195,12,314,5,0,17,1,4,8,9,15,580,0,580,0
54,110,7,492,2,0,3,0,1,8,7,4,634,0,634,0
55,77,2,448,5,0,0,0,0,3,1,4,540,0,540,0
56,458,16,309,10,1,3,3,2,8,19,54,883,0,883,0
57,202,5,304,1,0,3,1,4,12,7,18,557,0,557,0
58,102,5,473,2,0,1,1,1,3,5,4,597,0,597,0
59,110,3,326,5,0,3,0,2,1,1,4,455,0,455,0
