Serial No. and Name of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total
,Kishanbhai Vestabhai Patel,Thakriya Ratilal Vajirbhai,Dr.K.C.Patel,Gaurangbhai Rameshbhai Patel,Talaviya Babubhai Chhaganbhai,Patel Govindbhai Ranchhodbhai,Patel Shaileshbhai Gandabhai,Dr.Pankajku mar Parabhubhai Patel,Vadiya Laxmanbhai Chhaganbhai,Patel Budhabhai Ranchhodbhai,,,,
1,239,5,440,3,1,10,1,0,5,15,719,0,17,736
2,81,10,473,5,0,6,0,0,2,1,578,0,3,581
3,88,5,593,6,1,10,0,1,2,1,707,0,10,717
4,37,5,309,3,0,2,0,0,0,0,356,0,1,357
5,34,1,460,3,0,10,0,0,0,0,508,0,1,509
6,101,13,558,2,0,1,1,1,3,3,683,0,13,696
7,30,0,524,5,0,12,1,0,0,1,573,0,3,576
8,13,1,168,3,0,4,0,1,0,0,190,0,1,191
9,59,5,563,1,0,6,2,0,1,5,642,0,5,647
10,21,4,416,5,1,10,3,0,1,4,465,0,5,470
11,18,5,418,2,0,14,0,0,1,1,459,0,2,461
12,34,1,593,5,1,9,0,1,0,2,646,0,2,648
13,26,5,263,1,0,2,0,0,2,0,299,0,1,300
14,27,1,223,2,0,0,0,0,0,1,254,0,3,257
15,37,1,494,4,1,8,0,0,0,0,545,0,0,545
16,118,2,492,3,1,16,0,0,2,0,634,0,3,637
17,68,1,206,1,0,8,1,0,0,0,285,0,1,286
18,39,4,647,5,0,2,0,0,1,1,699,0,2,701
19,25,3,382,2,0,5,0,0,0,1,418,0,3,421
20,82,5,465,4,0,8,1,0,0,2,567,0,1,568
21,26,1,257,2,0,9,0,0,0,0,295,0,0,295
22,82,0,297,3,0,14,0,0,0,0,396,0,4,400
23,91,6,456,4,0,4,1,0,0,3,565,0,10,575
24,78,3,251,2,0,4,0,3,0,0,341,0,2,343
25,257,6,507,6,0,2,2,0,2,5,787,0,11,798
26,206,10,593,8,0,4,0,1,2,5,829,0,19,848
27,566,3,298,3,3,22,1,1,1,7,905,0,15,920
28,85,2,348,1,0,2,0,0,0,2,440,0,3,443
29,105,7,519,3,0,3,0,0,1,1,639,0,3,642
30,77,3,425,7,1,4,0,0,0,1,518,0,5,523
31,27,5,337,2,0,5,0,0,0,2,378,0,2,380
32,49,26,804,8,0,2,0,0,2,5,896,0,4,900
33,45,0,699,3,1,9,1,0,2,0,760,0,4,764
34,48,3,685,4,1,9,0,0,0,1,751,0,3,754
35,80,5,360,1,1,4,0,3,6,6,466,0,15,481
36,283,17,185,1,1,2,0,0,2,0,491,0,3,494
37,302,8,157,1,1,5,0,1,0,1,476,0,4,480
38,66,16,350,6,0,7,1,1,0,2,449,0,4,453
39,135,16,352,5,0,6,1,0,0,10,525,0,10,535
40,110,11,269,4,1,9,0,0,3,2,409,0,3,412
41,130,3,294,0,0,7,0,0,1,3,438,0,1,439
42,224,7,414,13,3,5,3,7,6,11,693,0,16,709
43,228,7,474,8,1,1,4,3,8,10,744,0,22,766
44,278,7,415,7,3,4,1,6,7,7,735,0,20,755
45,253,5,236,5,2,5,2,6,5,9,528,0,12,540
46,203,4,166,3,0,0,0,0,2,4,382,0,9,391
47,192,8,350,3,1,2,0,4,10,9,579,0,16,595
48,199,7,327,4,3,3,0,2,4,2,551,0,5,556
49,369,13,373,1,2,1,1,3,3,5,771,0,19,790
50,238,6,470,5,4,1,1,5,8,3,741,0,20,761
51,225,9,291,4,0,3,0,4,13,11,560,0,12,572
52,429,8,499,11,0,2,0,2,8,4,963,0,21,984
53,169,0,289,1,0,1,1,1,3,3,468,0,1,469
54,399,8,123,1,1,0,1,0,5,3,541,0,12,553
55,167,8,385,2,0,1,0,2,17,12,594,0,17,611
56,128,5,433,10,4,3,0,3,12,14,612,0,12,624
57,188,6,354,10,2,2,2,5,13,7,589,0,6,595
58,189,4,261,11,0,1,0,0,4,0,470,0,7,477
59,108,6,285,2,0,2,0,1,3,5,412,0,5,417
60,195,7,280,7,3,1,0,7,3,2,505,0,6,511
61,290,13,373,10,1,0,0,2,12,7,708,0,25,733
62,218,8,243,5,8,0,0,2,7,4,495,0,21,516
63,366,15,303,4,1,5,3,3,19,9,728,0,25,753
64,51,7,376,5,0,3,2,1,7,5,457,0,10,467
65,144,8,354,8,0,1,0,1,12,9,537,0,13,550
66,80,5,448,8,0,0,0,0,6,9,556,0,9,565
67,31,8,378,7,0,0,2,2,4,9,441,0,8,449
68,79,9,582,8,2,1,1,7,4,11,704,0,26,730
69,25,7,541,10,1,1,3,2,3,9,602,0,10,612
70,127,1,316,1,2,5,0,0,6,0,458,0,1,459
71,111,2,269,3,0,4,0,3,1,2,395,0,8,403
72,33,3,580,6,3,0,2,3,5,5,640,0,8,648
73,48,4,590,5,1,1,0,3,3,4,659,0,12,671
74,63,5,370,6,0,1,0,0,6,4,455,0,10,465
75,66,4,466,4,0,1,2,0,6,2,551,0,6,557
76,160,8,486,6,0,3,3,3,8,5,682,0,15,697
77,126,7,488,3,4,4,1,6,6,6,651,0,6,657
78,77,6,279,5,3,4,3,2,11,20,410,0,12,422
79,22,5,337,14,4,4,8,5,12,23,434,0,26,460
80,300,6,297,9,2,2,2,8,16,17,659,0,19,678
81,214,3,241,6,0,3,4,5,17,18,511,0,17,528
82,62,2,415,5,1,2,2,3,4,6,502,0,9,511
83,63,7,303,3,0,3,1,1,3,5,389,0,5,394
84,68,10,556,13,1,4,3,6,13,5,679,0,21,700
85,39,7,500,7,1,0,2,0,4,6,566,0,17,583
86,54,9,457,11,0,0,0,3,9,12,555,0,19,574
87,90,6,297,8,1,2,3,2,12,19,440,0,25,465
88,204,2,296,11,2,1,0,1,11,4,532,0,13,545
89,132,7,342,8,1,2,1,4,5,9,511,0,14,525
90,92,3,344,17,1,3,0,6,21,25,512,0,29,541
