"Party_Code","Party_name","Res_Symbol","Status","State_1","State_2","State_3","State_4"
"N0001","Bahujan Samaj Party","Elephant","National",,,,
"N0002","Bharatiya Janata Party","Lotus","National",,,,
"N0003","Communist Party of India","Ears of Corn and Sickle","National",,,,
"N0004","Communist Party of India (Marxist)","Hammer, Sickle and Star","National",,,,
"N0005","Indian National congress","Hand","National",,,,
"N0006","Nationalist congress Party","Clock","National",,,,
"S0001","Aam Aadmi Party","Broom","State","U05",,,
"S0002","AJSU Party","Banana","State","S27",,,
"S0003","All India Anna Dravida Munnetra Kazhagam","Two Leaves","State","U07","S22",,
"S0004","All India Forward Bloc","Lion","State","S25",,,
"S0005","All India N. R. congress","Jug","State","U07",,,
"S0006","All India Trinamool congress","Flowers and Grass","State","S02","S14","S25",
"S0007","All India United Democratic Front","Lock and Key","State","S03",,,
"S0008","Asom Gana Parishad","Elephant","State","S03",,,
"S0009","Biju Janata Dal","Conch","State","S18",,,
"S0010","Bodoland Peoples Front","Nangol","State","S03",,,
"S0011","Desiya Murpokku Dravida Kazhagam","Nagara","State","S22",,,
"S0012","Dravida Munnetra Kazhagam","Rising Sun","State","U07","S22",,
"S0013","Haryana Janhit congress (BL)","Tractor","State","S07",,,
"S0014","Hill State Peoples Democratic Party","Lion","State","S15",,,
"S0015","Indian National Lok Dal","Spectacles","State","S07",,,
"S0016","Indian Union Muslim League","Ladder","State","S11",,,
"S0017","Jammu and Kashmir National Conference","Plough","State","S09",,,
"S0018","Jammu and Kashmir National Panthers Party","Bicycle","State","S09",,,
"S0019","Jammu and Kashmir Peoples Democratic Party","Ink Pot and Pen","State","S09",,,
"S0020","Janata Dal (Secular)","A Lady Farmer carrying Paddy on her head","State","S10","S11",,
"S0021","Janata Dal (United)","Arrow","State","S04",,,
"S0022","Jharkhand Mukti Morcha","Bow and Arrow","State","S27",,,
"S0023","Jharkhand Vikas Morcha (Prajatantrik)","Comb","State","S27",,,
"S0024","Karnataka Jantha Paksha","Yet to be alloted","State","S10",,,
"S0025","Kerala congress (M)","Two Leaves","State","S11",,,
"S0026","Lok Jan Shakti Party","Bungalow","State","S04",,,
"S0027","Maharashtra Navnirman Sena","Railway Engine","State","S13",,,
"S0028","Maharashtrawadi Gomantak","Lion","State","S05",,,
"S0029","Manipur State congress Party","Cultivator Cutting Crop","State","S14",,,
"S0030","Mizo National Front","Star","State","S16",,,
"S0031","Mizoram Peoples Conference","Electric Bulb","State","S16",,,
"S0032","Naga Peoples Front","Cock","State","S14","S17",,
"S0033","National Peoples Party","Book","State","S15",,,
"S0034","Pattali Makkal Katchi","Mango","State","U07",,,
"S0035","Peoples Party of Arunachal","Maize","State","S02",,,
"S0036","Peoples Democratic Alliance","Crown","State","S14",,,
"S0037","Rashtriya Janata Dal","Hurricane Lamp","State","S04","S27",,
"S0038","Rashtriya Lok Dal","Hand Pump","State","S24",,,
"S0039","Revolutionary Socialist Party","Spade and Stoker","State","S25",,,
"S0040","Samajwadi Party","Bicycle","State","S24",,,
"S0041","Shiromani Akali Dal","Scales","State","S19",,,
"S0042","Shiv Sena","Bow and Arrow","State","S13",,,
"S0043","Sikkim Democratic Front","Umbrella","State","S21",,,
"S0044","Telangana Rashtra Samithi","Car","State","S01",,,
"S0045","Telugu Desam","Bicycle","State","S01",,,
"S0046","United Democratic Party","Drum","State","S15",,,
"S0047","Zoram Nationalist Party","Sun (without rays)","State","S16",,,
"U0001","Aadarshwaadi congress Party","NA","Unrecognised",,,,
"U0002","Aadijan Mukti Sena","NA","Unrecognised",,,,
"U0003","Aadivasi Sena Party","NA","Unrecognised",,,,
"U0004","Aam Janata Party","NA","Unrecognised",,,,
"U0005","Aama Odisha Party","NA","Unrecognised",,,,
"U0006","Aapka Hamara Party","NA","Unrecognised",,,,
"U0007","Aarakshan Virodhi Party","NA","Unrecognised",,,,
"U0008","Aarthik Samanta Party","NA","Unrecognised",,,,
"U0009","Aazadi Ka Antim Aandolan Dal","NA","Unrecognised",,,,
"U0010","A-Chik National congress (Democratic)","NA","Unrecognised",,,,
"U0011","Adarsh Jan Shakti Party","NA","Unrecognised",,,,
"U0012","Adarsh Lok Dal","NA","Unrecognised",,,,
"U0013","Adarsh Manavtawadi Party","NA","Unrecognised",,,,
"U0014","Adarsh Political Party","NA","Unrecognised",,,,
"U0015","Adarsh Rashtriya Vikas Party","NA","Unrecognised",,,,
"U0016","Adarsh Samaj Party","NA","Unrecognised",,,,
"U0017","Adarshwadi Dal","NA","Unrecognised",,,,
"U0018","Adhunik Vikaswadi Party","NA","Unrecognised",,,,
"U0019","Adim Bhartiya Dal","NA","Unrecognised",,,,
"U0020","Adivasi Jan Kalyan Party","NA","Unrecognised",,,,
"U0021","Advait Ishawasyam congress","NA","Unrecognised",,,,
"U0022","Agar Jan Party","NA","Unrecognised",,,,
"U0023","Ahinsa Dal","NA","Unrecognised",,,,
"U0024","Aihra National Party","NA","Unrecognised",,,,
"U0025","Aims Party","NA","Unrecognised",,,,
"U0026","Ajeya Bharat Party","NA","Unrecognised",,,,
"U0027","Akahand Bharat Maha Sangh Sarvahara Krantikari Party","NA","Unrecognised",,,,
"U0028","Akali Dal (1920)","NA","Unrecognised",,,,
"U0029","Akhand Bharat Ekta Andolan","NA","Unrecognised",,,,
"U0030","Akhand Bharat National Party","NA","Unrecognised",,,,
"U0031","Akhand Bharat Samaj Party","NA","Unrecognised",,,,
"U0032","Akhand Bharatheeya Aawaaz","NA","Unrecognised",,,,
"U0033","Akhand Bharatiya Kavach Party","NA","Unrecognised",,,,
"U0034","Akhand Bharti","NA","Unrecognised",,,,
"U0035","Akhand Desham Party","NA","Unrecognised",,,,
"U0036","Akhand Jharkhand Peoples Front","NA","Unrecognised",,,,
"U0037","Akhil Bharat Hindu Mahasabha","NA","Unrecognised",,,,
"U0038","Akhil Bharat Samagra Kranti Party","NA","Unrecognised",,,,
"U0039","Akhil Bharatiya Aman Committee","NA","Unrecognised",,,,
"U0040","Akhil Bharatiya Ashok Sena","NA","Unrecognised",,,,
"U0041","Akhil Bharatiya Atyant Pichhara Sangharsh Morcha Party","NA","Unrecognised",,,,
"U0042","Akhil Bharatiya Azad Lokhit congress Party","NA","Unrecognised",,,,
"U0043","Akhil Bharatiya Azad Party","NA","Unrecognised",,,,
"U0044","Akhil Bharatiya Bharat Mata – Putra Paksha","NA","Unrecognised",,,,
"U0045","Akhil Bharatiya Bhrastachar Nirmoolan Sena","NA","Unrecognised",,,,
"U0046","Akhil Bharatiya congress Dal (Ambedkar)","NA","Unrecognised",,,,
"U0047","Akhil Bharatiya Dalit Utthan Party","NA","Unrecognised",,,,
"U0048","Akhil Bharatiya Dastkar Morcha","NA","Unrecognised",,,,
"U0049","Akhil Bharatiya Desh Bhakt Morcha","NA","Unrecognised",,,,
"U0050","Akhil Bharatiya Gareeb Party","NA","Unrecognised",,,,
"U0051","Akhil Bharatiya Garib Mazdoor Kisan Party","NA","Unrecognised",,,,
"U0052","Akhil Bharatiya General Labour Party","NA","Unrecognised",,,,
"U0053","Akhil Bharatiya Gorkha League","NA","Unrecognised",,,,
"U0054","Akhil Bharatiya Hind Kranti Party","NA","Unrecognised",,,,
"U0055","Akhil Bharatiya Jan Sangh","NA","Unrecognised",,,,
"U0056","Akhil Bharatiya Janata congress","NA","Unrecognised",,,,
"U0057","Akhil Bharatiya Kisan Mazdoor Morcha","NA","Unrecognised",,,,
"U0058","Akhil Bharatiya Kranti Dal","NA","Unrecognised",,,,
"U0059","Akhil Bharatiya Lok Tantrik Alp-Sankhyak Jan Morcha","NA","Unrecognised",,,,
"U0060","Akhil Bharatiya Lokraj Party","NA","Unrecognised",,,,
"U0061","Akhil Bharatiya Loktantra Party","NA","Unrecognised",,,,
"U0062","Akhil Bharatiya Manav Adhikar Dal","NA","Unrecognised",,,,
"U0063","Akhil Bharatiya Manav Seva Dal","NA","Unrecognised",,,,
"U0064","Akhil Bharatiya Manavata Paksha","NA","Unrecognised",,,,
"U0065","Akhil Bharatiya Muslim League (Secular)","NA","Unrecognised",,,,
"U0066","Akhil Bharatiya Rajarya Sabha","NA","Unrecognised",,,,
"U0067","Akhil Bharatiya Rajivwadi congress (Dubey)","NA","Unrecognised",,,,
"U0068","Akhil Bharatiya Ram Rajya Parishad (Prem Ballabh Vyas)","NA","Unrecognised",,,,
"U0069","Akhil Bharatiya Rashtriya Azad Hind Party","NA","Unrecognised",,,,
"U0070","Akhil Bharatiya Revolutionary Shoshit Samaj Dal","NA","Unrecognised",,,,
"U0071","Akhil Bharatiya Samajwadi congress","NA","Unrecognised",,,,
"U0072","Akhil Bharatiya Sangharsh Dal","NA","Unrecognised",,,,
"U0073","Akhil Bharatiya Sena","NA","Unrecognised",,,,
"U0074","Akhil Bharatiya Shivsena Rashtrawadi","NA","Unrecognised",,,,
"U0075","Akhil Bhartiya Janata Sahara Party","NA","Unrecognised",,,,
"U0076","Akhil Bhartiya Aamjan Party","NA","Unrecognised",,,,
"U0077","Akhil Bhartiya Gondwana Party","NA","Unrecognised",,,,
"U0078","Akhil Bhartiya Janata Vikas Party","NA","Unrecognised",,,,
"U0079","Akhil Bhartiya Jharkhand Party","NA","Unrecognised",,,,
"U0080","Akhil Bhartiya Loktantrik congress","NA","Unrecognised",,,,
"U0081","Akhil Bhartiya Mithila Party","NA","Unrecognised",,,,
"U0082","Akhil Bhartiya Nagrik Sewa Sangh","NA","Unrecognised",,,,
"U0083","Akhil Bhartiya Sudhar Party","NA","Unrecognised",,,,
"U0084","Akhil Bhartiya Swarajya Dal","NA","Unrecognised",,,,
"U0085","Akhil Bhartiya Vikas congress Party","NA","Unrecognised",,,,
"U0086","Akhil Jan Vikas Dal","NA","Unrecognised",,,,
"U0087","Akhil Rashtrawadi Party","NA","Unrecognised",,,,
"U0088","Akhila Bharatiya Rytha Party","NA","Unrecognised",,,,
"U0089","Akhila India Jananayaka Makkal Katchi (Dr. Isaac)","NA","Unrecognised",,,,
"U0090","Akhilandra Mahadesam","NA","Unrecognised",,,,
"U0091","Akila India Vallalar Peravai","NA","Unrecognised",,,,
"U0092","Al-Hind Party","NA","Unrecognised",,,,
