ac_id_09,booth_id_14,booth_name_14,parts_14,village_14,ward_14,taluk_14,district_14,pc_id_09,pc_name_09,pc_reserved_09,ac_name_14,ac_reserved_14
1,1,"1 ഗവ. ഒവഛക്കഷണല് ഹയര് ഒസക്കദെറി സ്പറ്റുള്--കറ്റുലെത്തറ്റുര് (കിഴഒക്ക ഒകട്ടിടം വടക്ക“ഭാഗ൦)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - പറ്റൂതിയ വ3൪ഡ“നമ്പര് 3 വീട്ടുനമ്പര് 121 മുതല് 159, വ3൪ഡ“നമ്പര് 2-ഭാഗ൦ വീട്ടുനമ്പര് 1 മു","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,2,"2 ഗവ. ഒവഛക്കഷണല് ഹയര് ഒസക്കദെറി സ്പറ്റുള്--കറ്റുലെത്തറ്റുര് (കിഴഒക്ക ഒകട്ടിടം ഒതക്ക“ ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - പറ്റൂതിയ വ3൪ഡ“നമ്പര് 1 വീട്ടുനമ്പര് 1 മുതല് 192, വ3൪ഡ”നമ്പര് 2 ഭാഗ൦-വീട്ടുനമ്പര് 261 മു","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,3,"3 ഗവ. ഒവഛക്കഷണല് ഹയര് ഒസക്കദെറി സ്പറ്റുള്--കറ്റുലെത്തറ്റുര് (ഒതക്ക“ ഒകട്ടിടം )--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 3 (ഭാഗഠ) വീട്ടു നമ്പര് 301 മുതല് 748 വഒര, വ3൪ഡ“നമ്പര്-16 വീട്ടു നമ്പര് 1","മഠന്ദ്രജശചിര",11,"ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,4,"4 ഗവ: (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള് കണപ്തീര്സ്ഥപദവ്--കറ്റുലെത്തറ്റുര് പഴയ ഒകട്ടിടം--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 2 (ഭാഗഠ) വീട്ടുനമ്പര് 696 മുതല് 776 വഒര, വ3൪ഡ“നമ്പര്-3 (ഭാഗഠ) വീട്ടുനമ്പര","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,5,"5 ഗവ: (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള് കണപ്തീര്സ്ഥപദവ്,--കറ്റൂജെത്തറ്റുര് (പറ്റൂതിയ ഒകട്ടിടം മധജ്യഭാഗഠ ഒതക്ക“ ഭാഗഠ)--(35E--ക","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 2 വീട്ടുനമ്പര് 2 മുതല് 330 വഒര","മഠന്ദ്രജശചിര",11,"ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,6,"6 ഗവ: (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള് കറ്റുലെത്തറ്റുര് (മധജ്യ--ഭാഗഠ ഒകട്ടിടം)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 15 (ഭാഗഠ) വീട്ടുനമ്പര് 499 മുതല് 513 വഒര, വ3൪ഡ“-നമ്പര് 16 (ഭാഗഠ) വീട്ടുനമ്","മഠന്ദ്രജശചിര",12,"ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,7,"7 ഗവ: (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള് കറ്റുലെത്തറ്റുര്--(റെന്തക്ക ഒകട്ടിടം)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 3 (ഭാഗഠ) വീട്ടുനമ്പര് 213 മുതല് 445 വഒര, വ3൪ഡ“നമ്പര്-2 (ഭാഗഠ) വീട്ടുനമ്പര","മഠന്ദ്രജശചിര",12,"ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,8,"8 ഉദ്യ)വര ഭഗവതീ എ.എല്.പി.സ്ത&ള്, കണപ്തീര്സ്ഥ--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 1 (ഭാഗഠ) വീട്ടുനമ്പര് 193 മുതല് 470 വഒര, വ3൪ഡ“നമ്പര്-16(ഭാഗ൦) വീട്ടുനമ","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,9,"9 ഗവ: മുസ്തീഠ (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള്, ഉദ്യ)വര--റേറാട്ട--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 15 (ഭാഗഠ) വീട്ടുനമ്പര് 1 മുതല് 281 വഒര, വ3൪ഡ“നമ്പര്-3 (ഭാഗഠ) വീട്ടുനമ്പ","മഠന്ദ്രജശചിര",11,"ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,10,"10 ഗവ: അപ്പ൪ ഒഒപ്രമറി സ്തറ്റുള്, ഉദതൂവരഗറ്റൂഒസ്ത--(കിഴക്കറ്റൂ ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 4 (ഭാഗഠ) വീട്ടുനമ്പര് 333 മുതല് 535 വഒര, വ3൪ഡ“നമ്പര്-3 (ഭാഗഠ) വീട്ടുനമ്പര","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,11,"1 1 ഗവ: അപ്പ൪ ഒഒപ്രമറി സ്തറ്റുള്, ഉദ്യ)വര ഗറ്റുഒസ്ത--(പഠിഞ്ഞ3റു ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 3 (ഭാഗഠ) വീട്ടുനമ്പര് 75 മുതല് 98 വഒര, പറ്റുതിയ വ3൪ഡ“-നമ്പര് 5 (ഭാഗഠ) വീട്ടുന","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,12,"12 ഗവ:എല് പി എന്ന“ ഉദ്യ)വര ഒറയില്ന്ദ്രവ--ഒഗററിനറ്റൂസമീപഠ മഒലെശപ്രം (കിഴക്കറ്റു ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 15 (ഭാഗഠ) വീട്ടുനമ്പര് 297 മുതല് 345 വഒര, വ3൪ഡ“-നമ്പര് 14 (ഭാഗഠ) വീട്ടുനമ","മഠന്ദ്രജശചിര",10,"ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,13,"13 ഗവ:എല് പി എന്ന“ ഉദ്യ)വര ഒറയില്ന്ദ്രവഒഗററിനറ്റൂ--സമീപഠ മഒലെശപ്രം (പഠിഞ്ഞ3റു ഭാഗഠ ഒകട്ടിടം)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 12 (ഭാഗഠ) വീട്ടുനമ്പര് 206 മുതല് 265 വഒര","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,14,"14 ഒഗ3വിന്ദഒഒപ ഒമഒ-3റിയല് ഗവ:ഒക)ഒളജ്--മഒലെശപ്രം (പഠിഞ്ഞന്തറ ഒകട്ടിടം ഒതക്കറ്റു ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 11 (ഭാഗഠ) വീട്ടുനമ്പര് 414 മുതല് 438 വഒര, വ3൪ഡ“-നമ്പര് 7 (ഭാഗഠ) വീട്ടുനമ്പ","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,15,"15 ഗവ: (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള്, ബഡന്തജ (കിഴക്കറ്റു--ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 6 (ഭാഗഠ) വീട്ടുനമ്പര് 60 മുതല് 96 വഒര, 132 മുതല് 374-വഒര, വ3൪ഡ“നമ്പര് 11","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,16,"16 ഗവ: (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള്, ബഡന്തജ--(പഠിഞ്ഞ3റു ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 7 (ഭാഗഠ) വീട്ടുനമ്പര് 113 മുതല് 456 വഒര, വ3൪ഡ“നമ്പര്-6 (ഭാഗഠ) വീട്ടുനമ്പ","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,17,"17 ഗവ: മുസ്തീഠ (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള്,--ഒഹ3സഒബട്ടു (കിഴഒക്ക ഒകട്ടിടം)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 13 (ഭാഗഠ) വീട്ടുനമ്പര് 121 മുതല് 451 വഒര","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,18,"രുവ)ഒട്ടടറ്റുപ്പ3 രുകന്ദ്രത്തന്തന്റ montage Gnngo പലെ>യത്സ-18 ഗവ: മുസ്തീഠ (ടല3വ൪ ഒഒപ്രമറി സ്തറ്റുള്, കേ-ഒഹ3സഒബട്ടു (ഒതക്കറ്റൂ ഭാഗഠ ഒകട്ടിടം)","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - പ&(0)|യ(0) .-വ3൪ഡ""നമ്പര് 13 (ഭാഗഠ) വീട്ടുനമ്പര് 452 മുതല് 491 വഒര, വ3൪ഡ“-നമ്പര് 12 (ഭാഗഠ) വീടൂനമ","","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,19,"$വടെ>ട്ടടറ്റുപ്പ3 രുകന്ദ്രത്തന്തന്റ നമ്പരറ്റുഠ രുപരറ്റുഠ പവെ)യത്സ-19 എന്ന“.എ.ടി.എച്ച്.എസ“. മഒലെശപ്രം (വടക്കറ്റൂ ഭാഗഠ കേ-ഒകട്ടിടം)","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - പ&(0)|യ(0) .-വ3൪ഡ""നമ്പര് 5(ഭാഗ൦)വീട്ടുനമ്പര് 393 മുതല് 536 വഒര,വ)൪ഡ”നമ്പര്-10 (ഭാഗഠ) വീടൂനമ്പര്","","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,20,"smaegsggilg 8കുന്ദ്രത്ത|ഒന്റ നമ്പരറ്റുഠ രുപരറ്റുഠ പവെ)യത്സ-20 എന്ന“.എ.ടി. എച്ചടു്എസ“. മദേത്വശപ്രം (കിഴക്കറ്റൂ കേ-ഭാഗഠ)","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - പ&(0)|യ(0) .-വ3൪ഡ""നമ്പര് 11 വീട്ടുനമ്പര് 85 മുതല് 88 വഒര, വീട്ടുനമ്പര് 142-മുതല് 231 വഒര, വ)൪ഡ”ന","","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,21,"$൨0ഒട്ടടറ്റുപ്പ3 8കന്ദ്രത്ത|ഒന്റ നമ്പരറ്റുഠ രുപരറ്റുഠ പവെ)യന്താ-21 എന്ന“.എ.ടി. എല്.പി. സ്തറ്റുള്, മഒലെശപ്രം കേ-(പഠിഞ്ഞ3റു ഭാഗഠ)","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - പ&(0)|യ(0) .-വ3൪ഡ""നമ്പര് 11 വീട്ടുനമ്പര് 58 മുതല് 70 വഒര, 94 മുതല് 139, 264-മുതല് 394, വ)൪ഡ”നമ്പ","","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",1,Kasaragod,"",Manjeshwar,""
1,22,"22 ഗവ: ഒഒഹസ്തറ്റുള് ബങ്കര മംഒജശപ്ര (റെന്തക്ക--ഒകട്ടിടത്തിഒന്റ കിഴഒക്ക ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 10 (ഭാഗഠ) വീട്ടുനമ്പര് 275 മുതല് 330 വഒര, വീട്ടുനമ്പര്-476 മുതല് 506 വഒര","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
1,23,"23 ഗവ: ഒഒഹസ്പറ്റുള് ബങ്കര മഒജെശപ്രം (പറ്റൂതിയ--ഒകട്ടിടം, ഒതക്കറ്റു ഭാഗഠ)--(35E","മഠന്ദ്രജശപ്ര പലെ3യത്ത”-- - വ3൪ഡ""നമ്പര് 9 (ഭാഗഠ) വീട്ടുനമ്പര് 1 മുതല് 407 വഒര","മഠന്ദ്രജശചിര","ക3സര്ഒഗ3ഡ“","ക3സറാഗ3ഡ“",,1,Kasaragod,"",Manjeshwar,""
