AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTVOTPOLL,POSITION,religion,certainty
1,Seohara,GEN,YASH PAL SINGH,M,GEN,55,BSP,47751,1,Hindu,18
1,Seohara,GEN,QUTUBDDIN,M,GEN,46,SP,32873,2,Unknown,0
1,Seohara,GEN,MAHAVEER SINGH,M,GEN,64,BJP,22743,3,Hindu,25
1,Seohara,GEN,ANWAR JAMEEL,M,GEN,44,INC,20745,4,Muslim,11
1,Seohara,GEN,RANA PRATAP SINGH,M,GEN,53,RLD,20458,5,Hindu,17
1,Seohara,GEN,SURENDER SINGH,M,GEN,44,IND,3290,6,Sikh,33
1,Seohara,GEN,MATLOOB,M,GEN,31,NBNP,1177,7,Muslim,66
1,Seohara,GEN,MEHBOOB ALAM,M,GEN,40,IND,768,8,Muslim,11
1,Seohara,GEN,RAM SINGH,M,GEN,40,IND,696,9,Hindu,8
1,Seohara,GEN,ATHHAR,M,GEN,42,IND,620,10,Unknown,0
1,Seohara,GEN,AKBAR ALI,M,GEN,40,NLHP,514,11,Muslim,46
1,Seohara,GEN,NASIR HUSAIN,M,GEN,34,IND,391,12,Muslim,46
2,Dhampur,GEN,ASHOK KUMAR RANA,M,GEN,47,BSP,65717,1,Hindu,50
2,Dhampur,GEN,THAKUR MOOL CHAND CHAUHAN,M,GEN,52,SP,45191,2,Hindu,5
2,Dhampur,GEN,LOKENDRA KUMAR,M,GEN,30,BJP,26068,3,Hindu,16
2,Dhampur,GEN,AALE HASAN,M,GEN,57,RLD,12331,4,Muslim,16
2,Dhampur,GEN,RASHEED AHMAD,M,GEN,52,INC,4029,5,Muslim,17
2,Dhampur,GEN,MOHAN SINGH,M,GEN,32,RTKP,1826,6,Hindu,5
2,Dhampur,GEN,SUBHASH,M,GEN,38,IND,1691,7,Hindu,66
2,Dhampur,GEN,VEER SINGH,M,GEN,34,IND,770,8,Hindu,3
2,Dhampur,GEN,TIKAM SINGH,M,GEN,40,IND,744,9,Hindu,16
2,Dhampur,GEN,SHUJAUDDIN,M,GEN,34,IND,533,10,Unknown,0
2,Dhampur,GEN,PRAMOD,M,GEN,39,IND,469,11,Hindu,66
2,Dhampur,GEN,SHER ALI,M,GEN,59,UPUDF,467,12,Muslim,4
2,Dhampur,GEN,SARWAR NAGINWI,M,GEN,67,LD,398,13,Unknown,0
2,Dhampur,GEN,RAKESH KUMAR,M,GEN,47,IND,342,14,Hindu,46
2,Dhampur,GEN,SAFIQ,M,GEN,43,MUL,240,15,Unknown,0
2,Dhampur,GEN,NIBHRASH KUMAR,M,GEN,42,IND,236,16,Hindu,16
3,Afzalgarh,GEN,MUHAMMAD GAZI,M,GEN,31,BSP,59496,1,Muslim,83
3,Afzalgarh,GEN,DR. INDRA DEV SINGH,M,GEN,53,BJP,51066,2,Hindu,24
3,Afzalgarh,GEN,SHEIKH SULAMAN ALIAS PAPPU,M,GEN,50,SP,23522,3,Unknown,0
3,Afzalgarh,GEN,HUSAIN AHMAD,M,GEN,49,INC,21472,4,Muslim,27
3,Afzalgarh,GEN,PAWAN KUMAR,M,GEN,50,RLD,3924,5,Hindu,46
3,Afzalgarh,GEN,KM. PREM LATA,F,GEN,30,BJSH,2279,6,Hindu,19
3,Afzalgarh,GEN,RAJPAL,M,SC,37,IND,1238,7,Sikh,66
3,Afzalgarh,GEN,ARUN KUMAR,M,GEN,51,NCP,1107,8,Hindu,46
3,Afzalgarh,GEN,CHANDRA PAL SINGH,M,SC,42,IND,743,9,Hindu,50
3,Afzalgarh,GEN,RATAN SINGH,M,SC,36,IND,704,10,Unknown,0
3,Afzalgarh,GEN,YASH PAL,M,GEN,35,RJD,629,11,Hindu,6
3,Afzalgarh,GEN,SHEIKH AFZAL,M,GEN,46,ASPI,583,12,Muslim,16
3,Afzalgarh,GEN,PARSADI SINGH,M,GEN,30,PHSP,555,13,Hindu,16
3,Afzalgarh,GEN,ZAKIR,M,GEN,37,NLHP,545,14,Muslim,66
3,Afzalgarh,GEN,RAGHUVEER,M,SC,57,IND,462,15,Hindu,66
3,Afzalgarh,GEN,ABID,M,GEN,34,CPI(ML)(L),349,16,Muslim,16
4,Nagina,SC,OMWATI DEVI,F,SC,60,BSP,46551,1,Hindu,3
4,Nagina,SC,MANOJ KUMAR PARAS,M,SC,40,SP,36764,2,Hindu,60
4,Nagina,SC,LOVE KUSH KUMAR,M,SC,41,BJP,24003,3,Hindu,8
4,Nagina,SC,RAJU LAL,M,SC,46,ASPI,12527,4,Hindu,5
4,Nagina,SC,RACHNA,F,SC,28,RLD,10210,5,Hindu,66
4,Nagina,SC,MUNNEY SINGH,M,SC,48,PHSP,2517,6,Hindu,16
4,Nagina,SC,SOUNATH,M,SC,68,IND,2172,7,Unknown,0
4,Nagina,SC,DOONGER SINGH,M,SC,50,INC,1950,8,Hindu,16
4,Nagina,SC,BHUPENDRA SINGH,M,SC,40,UPUDF,1173,9,Hindu,46
4,Nagina,SC,SAMAR PAL,M,SC,47,IND,899,10,Hindu,9
4,Nagina,SC,RAMESH SINGH,M,SC,36,IND,689,11,Hindu,5
4,Nagina,SC,HARKISHAN,M,SC,52,NLHP,666,12,Unknown,0
4,Nagina,SC,SURENDRA KUMAR,M,SC,42,IND,623,13,Hindu,5
4,Nagina,SC,JAGDISH SINGH,M,SC,47,IND,485,14,Hindu,46
4,Nagina,SC,GHASITA SINGH,M,SC,62,IND,427,15,Hindu,16
5,Nazibabad,SC,SHEESH RAM,M,SC,62,BSP,49848,1,Hindu,5
5,Nazibabad,SC,RAJ KUMAR,M,SC,42,CPM,41860,2,Hindu,5
5,Nazibabad,SC,SUSHILA,F,SC,44,BJP,18404,3,Hindu,66
5,Nazibabad,SC,RAGHU NATH SINGH,M,SC,72,RLD,5025,4,Hindu,46
5,Nazibabad,SC,KAMLESH BHUIYAR,F,SC,41,INC,4072,5,Hindu,83
5,Nazibabad,SC,RISHI PAL SINGH,M,SC,50,IND,3351,6,Hindu,50
5,Nazibabad,SC,SHRI RAM,M,SC,53,UPUDF,2670,7,Hindu,12
5,Nazibabad,SC,TIKA RAM,M,SC,52,NLHP,1435,8,Hindu,5
5,Nazibabad,SC,OM PRAKASH,M,SC,52,IJP,1257,9,Unknown,0
6,Bijnor,GEN,SHAHNAWAZ S/O BADRUJAMA,M,GEN,34,BSP,61588,1,Unknown,0
6,Bijnor,GEN,KUVAR BHARATENDRA,M,GEN,44,BJP,61031,2,Hindu,83
6,Bijnor,GEN,SHAHID ALI,M,GEN,38,SP,21826,3,Muslim,9
6,Bijnor,GEN,SUKHVIR SINGH,M,GEN,60,RLD,5890,4,Hindu,16
6,Bijnor,GEN,SUDHIR PARASHAR,M,GEN,44,INC,3812,5,Hindu,46
6,Bijnor,GEN,NISHCHAL KUMAR,M,GEN,35,IND,1415,6,Hindu,46
6,Bijnor,GEN,DHEER SINGH,M,GEN,42,IND,1250,7,Hindu,46
6,Bijnor,GEN,KIRPAL SINGH SAINI,M,GEN,54,PHSP,947,8,Hindu,3
6,Bijnor,GEN,RAMPAL,M,GEN,46,IND,943,9,Unknown,0
6,Bijnor,GEN,NAIYER MALIK,F,GEN,36,IND,927,10,Muslim,16
6,Bijnor,GEN,NARPAL,M,SC,50,NCP,910,11,Unknown,0
6,Bijnor,GEN,RAM KUMAR,M,GEN,43,IND,847,12,Hindu,8
6,Bijnor,GEN,HARVEER DEVI,F,SC,42,IND,656,13,Hindu,3
6,Bijnor,GEN,ZISHAN MALIK,M,GEN,46,RPI(A),546,14,Muslim,16
6,Bijnor,GEN,VIRENDRA KUMAR,M,GEN,32,IND,485,15,Hindu,46
6,Bijnor,GEN,TASLEEM,M,GEN,38,IND,470,16,Muslim,66
6,Bijnor,GEN,PRAKASH,M,GEN,40,LD,375,17,Unknown,0
6,Bijnor,GEN,SHAHNAWAZ S/O IDRISH,M,GEN,44,IND,353,18,Unknown,0
6,Bijnor,GEN,DR. SUKH PAL SINGH,M,GEN,65,LJP,339,19,Hindu,46
6,Bijnor,GEN,SAMIULLAH,M,GEN,42,IND,286,20,Unknown,0
6,Bijnor,GEN,PURSHOTTAM,M,GEN,51,IND,271,21,Hindu,66
6,Bijnor,GEN,IRSHAD,M,GEN,25,NLHP,265,22,Muslim,23
6,Bijnor,GEN,CHANDRA PAL SINGH,M,GEN,30,IND,259,23,Hindu,50
7,Chandpur,GEN,IQBAL,M,GEN,47,BSP,58808,1,Muslim,16
7,Chandpur,GEN,RAM AVTAR SINGH,M,GEN,42,BJP,28797,2,Hindu,16
7,Chandpur,GEN,SWAMI OMVESH,M,GEN,81,RLD,27705,3,Hindu,83
7,Chandpur,GEN,ARVIND KUMAR S/O RAMPRAKASH,M,GEN,47,IND,17831,4,Hindu,66
7,Chandpur,GEN,ASHOK CHAUDHARY,M,GEN,42,SP,16983,5,Hindu,46
7,Chandpur,GEN,RAKESH KUMAR,M,GEN,42,IND,4831,6,Hindu,46
7,Chandpur,GEN,DR. DHARAMVEER SINGH,M,GEN,57,INC,2082,7,Sikh,3
7,Chandpur,GEN,LOKENDRA,M,GEN,38,IND,1769,8,Unknown,0
7,Chandpur,GEN,SADARUDDIN,M,GEN,36,BKD,1069,9,Unknown,0
7,Chandpur,GEN,RAVI KANTA SHARMA,F,GEN,51,IND,884,10,Hindu,21
7,Chandpur,GEN,ILYAS ANJUM,M,GEN,51,LJP,618,11,Muslim,62
7,Chandpur,GEN,MEGHRAJ,M,GEN,35,IND,610,12,Hindu,66
7,Chandpur,GEN,OM PAL,M,GEN,50,PHSP,562,13,Hindu,16
7,Chandpur,GEN,TILAK RAM,M,GEN,72,IND,484,14,Hindu,14
7,Chandpur,GEN,RANVIR,M,SC,31,IND,395,15,Unknown,0
7,Chandpur,GEN,ARVIND KUMAR S/O MUKHRAM,M,GEN,30,IND,339,16,Hindu,66
8,Kanth,GEN,RIZWAN AHMAD KHAN,M,GEN,66,BSP,37945,1,Muslim,50
8,Kanth,GEN,ABHINAY CHAUDHARY,M,GEN,29,RLD,21817,2,Hindu,46
8,Kanth,GEN,BRAHM SINGH,M,GEN,56,NLHP,21734,3,Hindu,16
8,Kanth,GEN,RAJESH KUMAR URF CHUNNU,M,GEN,48,BJP,17175,4,Hindu,66
8,Kanth,GEN,ANEESUR REHMAN,M,GEN,45,RPD,14944,5,Muslim,66
8,Kanth,GEN,RENU CHAUDHARY,F,GEN,31,SP,11139,6,Hindu,46
8,Kanth,GEN,SOHANPALSINGH,M,GEN,44,RSMD,2724,7,Unknown,0
8,Kanth,GEN,DHRUV CHAUDHARY,M,GEN,37,INC,1531,8,Hindu,46
8,Kanth,GEN,RASHID HUSSAIN,M,GEN,29,IND,1230,9,Muslim,9
